Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P122721901;P122721901_1;A;0;0;0;1000;1200;2835
P122721901;P122721901_2;B;0;1300;0;1000;2500;2835
P122721901;P122721901_3;C;1000;1300;0;2000;2500;2835
P122721901;P122721901_4;D;1000;0;0;2000;1200;2835
P122721901;P122721901_5;E;2000;0;0;3000;1200;2835
P122721901;P122721901_6;F;2000;1300;0;3000;2500;2835
P122721901;P122721901_7;G;3000;1300;0;4000;2500;2835
P122721901;P122721901_8;H;3000;0;0;4000;1200;2835
P122721901;P122721901_9;I;4000;0;0;5000;1200;2835
P122721901;P122721901_10;J;4000;1300;0;5000;2500;2835
P122721901;P122721901_11;K;5000;1300;0;6000;2500;2835
P122721901;P122721901_12;L;5000;0;0;6000;1200;2835
P122721901;P122721901_13;M;6000;0;0;7000;1200;2835
P122721901;P122721901_14;N;6000;1300;0;7000;2500;2835
P122721901;P122721901_15;O;7000;1300;0;8000;2500;2835
P122721901;P122721901_16;P;7000;0;0;8000;1200;2835
P122721901;P122721901_17;Q;8000;0;0;9000;1200;2835
P122721901;P122721901_18;R;8000;1300;0;9000;2500;2835
P122721901;P122721901_19;S;9000;1300;0;10000;2500;2835
P122721901;P122721901_20;T;9000;0;0;10000;1200;2835
P122721901;P122721901_21;U;10000;0;0;11000;1200;2835
P122721901;P122721901_22;V;10000;1300;0;11000;2500;2835
P122721901;P122721901_23;W;11000;1300;0;12000;2500;2835
P122721901;P122721901_24;X;11000;0;0;12000;1200;2835
P122721901;P122721901_25;Y;12000;0;0;13000;1200;2872
P122721901;P122721901_26;Z;12000;1300;0;13000;2500;2434
P122721901;P122721901_27;AA;13000;1300;0;14600;2500;2700
P122721901;P122721901_28;AB;13000;0;0;14600;1200;2700
Q122721901_1;Q122721901_1_1;A;0;1300;0;1600;2500;2700
Q122721901_1;Q122721901_1_2;B;0;0;0;1600;1200;2700
Q122721901_1;Q122721901_1_3;C;1600;0;0;3200;1200;2700
Q122721901_1;Q122721901_1_4;D;1600;1300;0;3200;2500;2700
Q122721901_1;Q122721901_1_5;E;3200;1300;0;4800;2500;2700
Q122721901_1;Q122721901_1_6;F;3200;0;0;4800;1200;2700
Q122721901_1;Q122721901_1_7;G;4800;0;0;6400;1200;2700
Q122721901_1;Q122721901_1_8;H;4800;1300;0;6400;2500;2700
Q122721901_1;Q122721901_1_9;I;6400;1300;0;8000;2500;2700
Q122721901_1;Q122721901_1_10;J;6400;0;0;8000;1200;2700
Q122721901_1;Q122721901_1_11;K;8000;0;0;9600;1200;2700
Q122721901_1;Q122721901_1_12;L;8000;1300;0;9600;2500;2700
Q122721901_1;Q122721901_1_13;M;9600;1300;0;11200;2500;2700
Q122721901_1;Q122721901_1_14;N;9600;0;0;11200;1200;2700
Q122721901_1;Q122721901_1_15;O;11200;0;0;12800;1200;2700
Q122721901_1;Q122721901_1_16;P;11200;1300;0;12800;2500;2700
Q122721901_1;Q122721901_1_17;Q;12800;1300;0;13800;2500;2835
Q122721901_1;Q122721901_1_18;R;12800;0;0;13800;1200;2835
Q122721901_1;Q122721901_1_19;S;13800;0;0;14800;1200;2835
Q122721901_1;Q122721901_1_20;T;13800;1300;0;14800;2500;2835
P122730401;P122730401_1;A;0;1300;0;1600;2500;2700
P122730401;P122730401_2;B;0;0;0;1600;1200;2700
P122730401;P122730401_3;C;1600;0;0;3200;1200;2700
P122730401;P122730401_4;D;1600;1300;0;3200;2500;2700
P122730401;P122730401_5;E;3200;1300;0;4800;2500;2700
P122730401;P122730401_6;F;3200;0;0;4800;1200;2700
P122730401;P122730401_7;G;4800;0;0;6400;1200;2700
P122730401;P122730401_8;H;4800;1300;0;6400;2500;2700
P122730401;P122730401_9;I;6400;1300;0;8000;2500;2700
P122730401;P122730401_10;J;6400;0;0;7200;600;445
P122730401;P122730401_11;K;7200;0;0;8200;1200;2835
P122730401;P122730401_12;L;8000;1300;0;9000;2500;2835
P122730401;P122730401_13;M;8200;0;0;9200;1200;2835
P122730401;P122730401_14;N;9000;1300;0;10000;2500;2573
P122730401;P122730401_15;O;9200;0;0;10200;1200;2835
P122730401;P122730401_16;P;10000;1300;0;11000;2500;2835
P122730401;P122730401_17;Q;10200;0;0;11200;1200;2835
P122730401;P122730401_18;R;11000;1300;0;12000;2500;2835
P122730401;P122730401_19;S;11200;0;0;12200;1200;2835
P122730401;P122730401_20;T;12000;1300;0;13000;2500;2835
P122730401;P122730401_21;U;12200;0;0;13800;1200;2700
P122730401;P122730401_22;V;13000;1300;0;14600;2500;2700
