Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P100730401;14600;9760.43;89.9844;6460.22;12126.9
P100730403;14600;10182.6;95.3928;6761.81;12205
P100730405;14800;10323.8;94.6296;6427.51;12727.6
P100730407;14800;10044.2;96.228;6375.72;12507.2
P101730401;14800;10543.1;97.5636;6315.19;13075.1
P101721901;14800;10425.3;96.1872;6394.13;12867.2
P101730405;14800;10005.1;96.4596;6127.48;12751.3
P102730401;14800;10695.1;95.8704;6362.01;13173.6
P102730403;14600;10070.7;96.228;6345.35;12568.3
P102730405;14800;10429.5;96.654;6415.59;12847
P102730407;14600;11074.8;97.1076;6714.14;13151.5
P103730401;14600;10138.7;95.9136;6732.65;12194.4
P103730403;14800;9883.22;94.6992;6537.68;12161.3
P103721401;14600;9970.77;94.3704;6332.08;12483.5
P104730401;14800;10146.5;96.1056;6074.18;12953.5
P104730403;14800;10615.2;96.8508;6376.84;13076.8
P104730405;14800;10499.4;96.09;6576.45;12733.3
P107730401;14800;9794.53;96.552;6145.22;12520.5
P107730403;14800;10869.8;98.4708;6395.14;13310.6
P107730405;14600;10010.8;92.8176;6387.41;12460.4
P108730401;13000;8417.14;80.7912;6849.86;10339
P108721901;14800;10325.5;95.2776;6017.52;13197.2
P108730403;14800;10962.9;99.2136;6589.73;13181.6
P108730405;14800;10943.6;99.2136;6842.13;12874.3
P109730401;14600;9827.1;94.4856;6352.38;12316.7
P109730403;14800;10479.5;95.9952;6516.32;12782
P109730405;14800;9983.41;94.3704;6441.59;12371.2
P110730401;14400;10303.9;94.872;6843.28;12233.3
P110730403;14800;9843.1;95.358;6059.2;12667.2
P110730405;14800;10392.8;95.814;6273.77;12972
P114730401;13400;8711.41;80.724;6776;10717.6
P114730403;14600;10093.4;94.0524;6221.78;12732
P114730405;14200;9300.17;86.8572;6402.66;11732.4
P114730407;14600;10120.3;96.1308;6478.92;12465.4
P115730401;14800;10907.8;99.144;6341.86;13409.4
P115721901;14600;9997.61;94.5372;6443.93;12382.7
P115730403;14800;10644.3;97.8252;6633.46;12813.1
P116730401;14600;10290.5;94.0212;6575.62;12525.3
P116730403;14800;9977.31;94.4064;6536.04;12257.3
P116730405;14800;10028.4;96.228;6455.82;12400
P116730407;14800;10398.8;95.6364;6008.6;13280.7
P117730401;14600;10249.2;95.7516;6136.78;12984.8
P117730403;14800;10553.4;97.5636;6526.24;12844.6
P117730405;14800;10403;95.8284;6483.95;12742.4
P118730401;14800;9968.13;96.2676;6254.12;12569.8
P118730403;14800;10721.8;97.5684;6341.69;13223.6
P118730405;14800;10039.7;94.7292;6708.66;12122.7
Q122730401_1;14800;9703.47;95.436;6100.05;12481
P122730401;14800;10847.3;96.9468;6751.34;12881.6
P122721901;14800;10912.1;99.0216;6847.65;12836.5
P079730407;14800;10778.7;98.304;6803.09;12753.9
P080730405;14600;10515.1;96.0432;6638.95;12677.6
P081730405;14800;10665.8;97.4016;6373.34;13131.4
P081730407;14200;10648.9;95.4828;6853.31;12566.9
P082730405;14800;10916.8;99.0468;6694.04;13016.4
P090730403;14800;10575.7;95.3304;7047.44;12272.1
P093730401;14800;9728.59;93.7896;6208.59;12382.2
P079730401;14000;8591.15;79.8648;6319.6;11118.1
P079730403;14600;10185.8;95.3928;6754.94;12216
P079730405;14400;10389.6;95.4228;6743.92;12432.4
P080730401;14600;9792.39;92.4648;6457.81;12161.7
P080721901;14800;9955.74;94.6596;6143.59;12683.6
P081730401;14800;9910.01;93.03;6428.64;12312.6
P081730403;14800;10033.2;96.228;6138.17;12767.2
P082730401;14400;9872.91;92.5632;6529.6;12160.2
P082730403;14800;10045.3;96.4596;6302.63;12591.7
P083730401;14800;9869.28;92.646;6457.36;12239.1
P083730403;14600;10133.7;96.2976;6646.94;12287.1
P083730405;14800;10129;94.2084;6467.81;12486.8
P086730401;14400;9948.15;92.7012;6422.85;12357.3
P086730403;14600;10113.3;96.1056;6210.31;12765
P086730405;14800;10742.4;97.5612;6478.43;13088.2
P086730407;14800;10829.5;97.6452;6910.88;12681.8
P087730401;14800;9852.92;93.8736;6367.35;12325.4
P087730403;14800;9987.28;94.8912;6078.35;12789.6
P087730407;14800;10838.5;98.6628;6772.83;12848.3
P088730401;14800;10637.2;97.0428;6754.02;12668.4
P088730403;14800;10035.6;96.4344;6347.74;12530.5
P088730405;14800;9988.69;94.1784;6060.32;12811.5
P089730401;14800;10558.1;96.492;6524.12;12851.7
P089730403;14800;9982.91;96.0756;6287;12547.1
P089730405;14800;10358.8;95.814;6496.97;12683.4
P090730401;14600;9878.22;90.6948;6516.44;12180.6
P090730405;14600;9498.14;91.7928;6495.97;11823.9
P093730403;14800;10649.6;96.8508;6547.03;12917
P093730405;14600;9951.6;94.1784;6373.76;12416.8
P093730407;14600;10100.9;96.1308;6185.63;12780.8
P094730401;14800;10524.1;97.5888;6567.28;12768.4
P094730403;14800;10881.3;98.4708;6602.45;13085.5
P094730405;14800;10807.4;97.6452;6600.13;13014.2
P095730401;14800;10319.8;95.0856;6595.08;12532.4
P095730403;14800;10006;96.2676;6415.48;12423.6
P095730405;14400;10118.8;93.5136;6973.07;11900.1
P096730401;14800;9688.59;92.6412;6368.98;12159.2
P096730403;14800;10657.5;97.4016;6563.67;12905.9
P096730405;14600;10129;96.1308;6325.87;12648.8
P067730405;14800;9750.09;92.7504;6451.2;12126.9
P068730401;14600;10426;95.9736;6448.89;12805.5
P073730405;14800;10042.8;94.7292;6440.5;12431.9
P074730401;14600;10089.4;92.3076;6461.44;12454.5
P061730401;13000;8150.67;75.8616;6924.34;9987.55
P061730403;14600;10235.4;95.5848;6669.17;12363.4
P061730405;14600;10055.5;93.6576;6543.29;12327.2
P061721401;14600;10021.1;95.58;6445.93;12403.9
P062730401;14800;10891.6;98.8548;6071.74;13701.4
P062730403;14800;10033.4;94.5624;6319.26;12560.8
P062730405;14600;10182.7;94.9368;6251.9;12786.9
P065730401;14800;10586.3;94.9716;6640.83;12746.7
P065730403;14800;9775.6;96.552;6026.74;12636.8
P065730405;14800;10764;97.9308;6293.14;13321.2
P065730407;14600;10198.1;96.2976;6337.86;12704.2
P066730401;14800;10509;97.5888;6343.29;13009
P066721901;14800;10485;96.4008;6344.36;12983.7
P066730405;14800;10849;98.8548;6661.84;12985.5
P067730401;14800;10703.1;97.5936;6841.91;12634.1
P067730403;14800;10022.1;96.4596;6387.82;12471.2
P068730403;14800;9829.68;94.3404;5952.53;12775.5
P068730405;14800;10668;97.4268;6422.51;13077.6
P068730407;14600;11122.4;98.5308;6789.52;13113.2
P069730401;14800;9742.42;91.3308;6857.36;11655.7
P069730403;14800;9962.42;96.2928;6508.39;12274
P069730407;14800;10693.7;97.5936;6877.23;12584.3
P072730401;14800;9707.43;93.5976;6255.27;12307.8
P072730403;14600;10344;96.1356;6729.92;12402.7
P072730405;14600;10392.5;95.8068;6566.63;12637.5
P073730401;14800;9766.59;94.4016;6211.53;12416.9
P073721901;14800;11007.3;99.1884;6621.78;13189.5
P074730403;14800;9942.36;94.6596;6222.46;12580.2
P074730405;14800;10695.6;97.2096;6716.14;12770.1
P074730407;14800;10887.7;99.0216;6834.48;12827.1
P075730401;14800;9895.81;93.03;6403.97;12326.5
P075730403;14600;10049.7;96.228;6449.93;12428
P075730405;14800;10535.6;97.1076;6390.03;12982.3
P076730401;14600;9830.56;92.646;6504.61;12146.4
P076730403;14600;10149.3;96.1056;6402.1;12582.1
P076730405;14800;10513.9;97.3968;6385.37;12965.8
Q079731005_1;13600;19406.4;71.5952;11387.4;16150.3
P079731005;14805;21150.3;80.9313;8828.69;20814
P080721701;14405;23920.4;84.6547;10006.1;22240.6
P080731007;14610;22261.2;90.0528;7067.26;23935
P080731001;14805;23997.8;84.5014;10739.4;21481.1
P081721701;14805;23974.7;89.7172;10881.2;21296.2
P081731005;14800;22941.5;88.1152;10482.1;20718.5
P081731001;14815;23940.9;92.9134;9034.67;23369.6
P082721701;14805;23877.2;92.7442;9380.43;22911.4
P083721701;13605;23917.3;79.6543;11307.2;20752.7
P083731005;14605;23984.6;91.5183;11674.6;20400.8
P083731001;14605;23948.1;92.6252;10873.7;21278.1
P086731005;14810;23637.5;90.4923;8100.23;24132.5
P086731001;14605;23864.6;82.1026;10629.1;21473.8
P087721701;14810;23233.8;93.4647;8953.46;22755.2
P087731007;14800;23309.8;87.1289;9734.87;21939.5
P088721701;14800;23976.5;90.1155;10569.6;21653.7
P088731005;14800;23883.1;87.9824;11087.7;20969
Q089721701_1;14805;23735.1;94.6636;9103.47;23085.3
P089721701;14805;23719.6;90.775;9291.9;22854.8
P090721701;14200;23993;84.1959;11992.8;20046
P090731005;14605;22580.1;92.3588;8756.6;22326.1
Q093731005_1;14610;23473.7;77.6888;9910.93;21902.5
P093731005;14805;23302.2;96.6728;9671.66;22004
P094721701;14805;23998.7;84.2417;10688.9;21539.7
P094731007;14805;23758.3;92.3192;10020.8;22061.8
P095721701;14805;23687.7;84.5921;9738.97;22312.7
P095731005;14810;23887.8;92.8887;10865.3;21227.5
P095731001;14810;23977.2;87.4029;8790.69;23684.3
P096721701;14600;23580;92.4656;10052.3;21847.5
P096731001;14000;20851.5;77.7653;10762.6;18308.5
P109731001;14410;22812.5;85.3597;10661.1;20385.2
P110721701;14800;23337.3;90.3552;8416.48;23471.5
P118731005;14605;22750.4;91.6508;9606.35;21526.7
P122721701;14805;23505.5;95.9144;9400.66;22516.5
Q100731005_1;13800;17971.3;65.418;10534.4;15688.7
P100731005;14805;22058.3;84.7669;9161.5;21342.3
