Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P100730407;14600;10238;95.7768;6484.12;12577.2
P101730401;14800;9940.28;95.9088;6278.23;12514.5
P104730407;14800;10412.3;94.7424;6561.18;12663.6
P107730401;14800;10012.7;96.2676;6304.61;12556.8
P117721401;14800;10557.2;96.684;6319.23;13084.6
P118730401;14800;10211.9;94.542;6513.76;12517.3
P118730405;14600;10287.5;96.1356;6486.75;12623.8
P122730401;14600;10287.1;96.1356;6283.12;12855.7
P100730401;13000;8165.87;75.6228;6746.62;10205.6
P100730403;14600;10024.5;93.6936;6260.9;12618.5
P100730405;13400;9019.62;83.778;6895.79;10889.1
P101721901;14800;10956.6;99.2136;6478.85;13301.8
P101730405;14800;10194.3;94.5672;6923.6;12032.1
P102730401;11800;8085.83;74.964;7269.07;9529.33
P102730403;14600;10097.2;94.2444;6436.97;12490.3
P102730405;13000;8719.15;82.2048;6809.64;10686.9
P102730407;14800;10762.2;97.7388;6537.22;13040.9
P103730401;14800;9825.89;96.2376;6150.9;12545.4
P103730403;14800;10823.1;97.2612;6317.42;13352.5
P103730405;14600;10173.8;95.418;6387.76;12623
P104730401;12400;8102.5;75.1776;7019.48;9830.82
P104730403;14600;10024.5;93.6936;6260.9;12618.5
P104730405;14000;9006.31;85.4976;6424.63;11413.4
P107730403;14800;10651.7;97.2096;6273.2;13231.7
P107730405;14800;10158.4;94.4004;6170.35;12855.7
P108730401;12400;8391.14;76.7364;7496.3;9575.33
P108721901;14800;9981.81;94.6596;5929.64;12953.8
P108730405;14800;9925.84;94.6452;6161.09;12633.7
P108730407;14800;10634.2;97.2348;6443.31;13020.1
P109730401;14800;10368.1;96.2952;6452.37;12743.6
P109730403;14600;9983.26;94.3308;6556.64;12239.8
P109730405;14800;10934.1;99.0468;6720.06;13004.1
P110730401;14800;10017.9;96.4344;6228.86;12648.4
P110730403;14800;10918.5;99.0216;6279.45;13491.3
P110730405;14600;10263.9;95.9688;6318.41;12792.2
P114730401;14600;9396.44;86.1372;6554.93;11654.9
P114730403;14600;9947.42;94.446;6237.65;12567.9
P114730405;14600;10159.7;95.3928;6559.91;12412.5
P114730407;14800;10519.8;97.3968;6448.21;12900.1
P115730401;14600;10254.4;95.9688;6559.09;12508.1
P115721901;14800;10180.3;94.3752;6279.92;12752.5
P115730403;14800;10549.7;97.7556;6532.62;12833.6
P116730401;14600;10124.2;95.9136;6236.86;12745.6
P116730403;14800;10630.8;97.0428;6559.85;12883.7
P116730405;14600;10301.9;96.1104;6165.2;13005.1
P117730401;14400;9745.86;91.02;6505.35;12060.9
P117730403;14800;10122.2;93.8244;6547.36;12389.3
P117730405;14600;10002.5;95.196;6311.12;12539.2
P118730403;14600;9906.16;92.9472;6454.85;12278.8
P122730403;14800;10442.7;96.1872;6490.4;12774.8
P122730405;14600;10250.2;95.7768;6158.63;12960.9
P081730407;14800;10686.5;98.028;6830.57;12630.3
P083730401;14400;10182;94.3536;6858.28;12094.3
P087730407;14600;10234.6;95.5848;6572.38;12473.1
P088730403;14800;9759.55;96.0708;6153.29;12476.3
P094730407;14800;10804.1;96.6276;6924.68;12640.6
P096730403;14800;10956;99.0216;6518.74;13255.7
P079730401;12400;8283.01;77.2968;7133.66;9881.03
P079730403;14600;10091;93.8244;7011.39;11828.6
P079730405;12400;8370.54;78.72;7049.02;10065.2
P079730407;14800;10474.4;96.1188;6725.74;12538
P080730401;14800;9693.05;94.9836;6166.01;12395.3
P080721901;14800;10951;98.5404;6177.61;13640
P080730405;14800;10165.1;94.4004;6200.66;12827.8
P081730401;14200;9751.18;91.632;6435.75;12145.6
P081730403;14600;10224.9;95.3928;6468.18;12582.3
P081730405;14800;10786.5;97.464;6529.94;13073.5
P082730401;14400;10300.5;93.9996;7059.82;11982.8
P082730403;14800;9864.79;96.4296;6304.95;12408.5
P082730405;14800;10558.8;97.7556;6438.54;12950
P083730403;14800;9934.5;94.866;6410.95;12357.2
P083730405;14800;10547.3;97.7556;6540.62;12822.1
P086730401;13600;9152.64;84.2676;6850.92;11073.3
P086730403;14600;10281;95.9436;6456.36;12651.9
P086730405;14600;10084.1;94.4832;6680.36;12199.4
P086730407;14800;10894.6;99.2136;6765.76;12912.5
P087730401;14800;10011.7;94.7976;6320.46;12537.7
P087730403;14800;10200.2;94.5672;6321.01;12725.6
P088730401;14800;10321.6;94.8324;6595.83;12533.4
P088730405;14800;10977.7;99.0216;6565.47;13224.1
P089730401;12400;8357.4;77.898;6973.85;10137.8
P089730403;14600;10203.2;95.3928;6420.92;12614.5
P089730405;14400;10222.1;94.032;6606.83;12421.3
P089721401;14800;10853.4;99.144;6766.11;12870.8
P090730401;14800;9910.17;93.0048;6455.46;12282.1
P090730403;14600;10129.1;96.1056;6604.29;12331.2
P090730405;14800;10634.6;97.2348;6649.59;12785
P093730401;14800;10247;94.104;6645.09;12402.5
P093730403;14600;9878.81;94.4856;6393.2;12321.8
P093730405;14800;10032.9;94.5624;6499.28;12354.9
P094730401;14200;9520.11;89.784;6724.92;11584.6
P094730403;14600;10245.3;95.5848;6375.55;12708.4
P094730405;14800;10520.5;96.4776;6635.07;12687.4
P095730401;14800;10184.4;96.1056;6395.2;12625.1
P095730403;14800;10023;96.2676;6532.39;12307.1
P095730407;14800;10808.5;98.496;6482.76;13149.3
P096730401;14800;9562.76;91.218;6339.15;12067.4
P096730405;14800;9999.16;96.2928;6380.96;12456.1
P062721903;14000;9698.09;90.882;6997.19;11451.8
P065730401;14800;10209.2;93.6876;6488.06;12544
P066730407;14600;10031.9;95.388;6201.57;12693.6
P067730401;14600;10220;93.4956;6701.68;12311
P075730405;14800;10105.8;95.9388;6301.84;12653
P076730401;14800;10231.4;94.5204;6466.68;12590.5
P062730401;11800;7797.77;72.3408;7300.9;9204.95
P062730403;14600;10237.6;95.7768;6291.95;12796.1
P062730405;14000;9065.51;83.7024;6923.98;10902.8
P065730403;14600;10092.6;96.1308;6483.14;12433
P065730405;14800;10852.9;97.848;6474.25;13203.4
P065730407;14800;10806.4;99.144;6798.72;12786.6
P066730401;14800;10015.6;93.7224;6249.49;12622.6
P066721901;14600;10105.3;96.1308;6458.09;12474.2
P067730403;14600;9994.58;94.74;6617.14;12182
P067730407;14600;9962.01;94.1568;6709.68;12043.9
P068730401;14800;10844.6;98.304;6592.04;13060.7
P068730403;14800;9925.69;95.9088;6173.39;12619.5
P068730405;14800;10294.6;94.6296;6306.27;12836.7
P068730407;14600;11118.5;98.82;6776.86;13123.6
P069730401;14400;10075.9;93.444;6495.4;12402.3
P069730403;14800;9673.86;94.5024;6163.63;12378.8
P069730405;14800;10537.7;96.036;6755.58;12567.1
P072730401;14600;10203;93.4956;6675.29;12324.1
P072730403;14600;10100.1;95.7468;6570.99;12340.2
P072730405;14600;10154.5;96.0336;6871.41;12051.7
P073730401;14800;9576.09;93.2016;6177.32;12265.4
P073721901;14800;10905.3;99.0468;6336.68;13412.8
P073730403;14600;10354.1;96.0384;6305.28;12897.4
P074730401;14600;9919.21;91.506;6516.59;12221.4
P074730403;14800;10063.3;95.3628;6271.57;12645.1
P074730405;14800;10498.7;95.2824;6636.53;12664
P074730407;14800;10855.7;98.8548;6794.18;12841.1
P075730401;14600;10024.5;94.1316;6497.48;12348.5
P075730403;14600;10101.8;96.1056;6527.43;12391.7
P076730403;14800;10603.4;96.8508;6722.19;12670.9
P076730405;14600;10149.4;96.2976;6752.9;12182
P081731005;14610;21217.6;92.6172;8973.13;20716.5
P082721701;14610;23999.5;86.7456;11818.5;20251.4
Q079731005_1;14205;20126.1;66.9847;11152.5;17138
P079731005;14805;19382.9;82.9029;9266.91;18546.6
P080721701;14205;23072.3;77.8603;11918.2;19210.4
P080731007;14810;22741.1;93.9819;7648.64;23751.4
P080731001;14815;23939.7;86.5496;9785.74;22511.3
P081721701;14210;23978.1;87.2115;11418.5;20686.4
Q082721701_1;14410;23596.6;83.8254;9734.91;22226.2
P083721701;14800;23958.4;84.3545;11859;20164.2
P083731005;14605;23769.3;91.6359;11023.8;20928.2
P083731001;14805;23558;92.8205;9531.19;22420.1
Q086731005_1;14605;23939;88.7823;9111.29;23280.3
P086731005;14405;23994.5;84.3028;10296;21983.8
P087721701;14605;23973.2;89.5732;11647.5;20420.3
P087731007;14805;20710.1;84.5302;8786.55;20421.9
P088721701;14805;23835.2;84.4299;10882.3;21155.6
P088731005;14805;22161.9;89.972;8284.52;22446.6
Q089721701_1;14805;23933.9;86.5335;10021.3;22236.7
P089721701;14605;22898.3;91.604;10681.1;20448.2
P090721701;13205;18664.8;66.7589;10032.4;16954.9
P090731005;14805;23931.6;93.3152;9180.61;23193.8
P090731001;14600;23972.1;86.4824;10450.2;21785.5
Q093731005_1;14605;23856.1;85.6232;9506.45;22746.4
P093731005;14600;22781.3;90.3545;10261.8;20809.7
P094721701;14605;23966;84.5984;11320.1;20786.7
P094731007;14605;23414.5;91.2788;10357;21334.2
P095721701;14610;23763.5;85.6901;11983.7;19826.9
P095731005;14810;22416.9;90.3343;8713.87;22211.6
Q096721701_1;13805;23528;77.617;10923.7;20801.1
P096721701;14605;22930.3;96.3424;7270.35;24372.3
P096731001;14605;21793.1;80.6429;9946.39;20181.4
Q100731005_1;13600;18224.6;63.9672;8899.36;17807.7
P100731005;14815;19990.8;82.5253;7949.58;20657.8
Q101721701_1;9400;14301.6;48.33;11907.5;10452
P101721701;14800;23887.8;88.2975;10067.3;22138.1
P101731007;14805;23136.2;90.7577;8250.82;23459.4
P102721701;13800;23625;80.9777;11840.2;19852.3
P102731005;14805;23798.6;93.7611;10149.6;21954.9
Q103721701_1;14805;23867.4;82.2195;8155.75;24299.1
P103721701;14805;22749.6;96.2009;8711.75;22546.8
P104721701;14200;22179.9;78.1315;11685.9;18583.2
P104731005;14805;23873.4;92.5215;9679.31;22566.5
P104731001;14000;18988.2;72.5873;11999.7;15033.3
Q107731005_1;12405;21180.7;75.9355;10389.9;19062.9
P107731005;14810;23636.1;90.6821;9844.31;22140.9
P108721701;14605;23597.8;84.2803;11979.2;19666.3
P108731007;14805;23757.3;90.8355;9947.64;22144.2
P109721701;14405;21736.4;77.8229;11671.6;18156
P109731005;14600;23525.8;94.0724;9600.17;22309.2
P109731001;14600;21855.6;79.222;11681.8;18263.6
Q110721701_1;14400;23938.6;83.3808;9334.34;23025.3
P110721701;14810;22824.2;97.1604;9655.57;21544.4
Q114731005_1;12805;20898.6;70.4215;11191.3;17866.3
P114731005;14810;23479.3;93.4767;9640.29;22216.9
P115721701;14000;23988.2;85.8056;11631;20454.2
P115731007;14805;21091.5;90.0512;8344.31;21308
P116721701;14800;23776;85.1503;9317.46;22882
P116731005;14815;23399.4;93.3169;10729;20894.7
Q117721701_1;14805;23914.2;81.8127;7948.15;24582.8
P117721701;14805;23399.1;95.5832;10648.7;20985.9
P118721701;14200;23101.3;79.6404;10402.7;20968.9
P118731005;14605;23336.1;92.6696;10023.9;21635.9
P122721701;14815;23388.6;83.5624;9522.97;22260.1
P122731007;14805;23245.7;93.6956;9256.78;22420.9
P102730305;14100;10019.9;87.9786;6982.04;11790.9
P103730301;14800;11260.7;95.3292;6835.22;13199.3
Q100730301_1;1600;245;1.872;4346.38;5023.7
P100730301;14900;9890.85;86.817;6153.94;12606.9
P100730303;14500;10269.4;87.3216;6912.06;12120.3
P101730301;14900;11501;98.2494;7140.17;13091.6
P101722401;14800;10953.2;100.501;6115.95;13712.5
P102730301;14900;11558.5;98.3712;6661.92;13694.8
P103730305;14800;10459.1;95.0334;6397.81;12896.8
P104730301;14900;11637.5;97.1934;6767.56;13653.3
P107730301;14500;10144.8;87.615;7088.78;11794.1
P107730303;14900;10910.4;96.8052;5954.79;13853.6
P108730301;14900;11355;97.9806;6718.92;13426.3
P108730303;14800;11529.5;100.327;6204.77;14187.6
P109730301;14900;11836.8;99.2478;6624.79;14015.5
P109730305;14900;10484.1;94.6968;6200.76;13146.7
