Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P104448713;P104448713_1;A;0;0;0;1010;1206;2625
P104448713;P104448713_2;B;0;1240;0;2400;2440;2835
P104448713;P104448713_3;C;1010;0;0;3410;1200;2835
P104448713;P104448713_4;D;2400;1240;0;4800;2440;2835
P104448713;P104448713_5;E;3410;0;0;6010;1200;2835
P104448713;P104448713_6;F;4800;1240;0;7400;2440;2835
P104448713;P104448713_7;G;6010;0;0;8410;1200;2835
P104448713;P104448713_8;H;7400;1240;0;10000;2440;2835
P104448713;P104448713_9;I;8410;0;0;10810;1200;2835
P104448713;P104448713_10;J;10000;1240;0;12400;2440;2835
P104448713;P104448713_11;K;10810;0;0;13210;1200;2835
P104448713;P104448713_12;L;12400;1240;0;13400;2440;2835
P103448705;P103448705_1;A;0;0;0;1200;2400;2835
P103448705;P103448705_2;B;1200;40;0;2400;2440;2835
P103448705;P103448705_3;C;2400;1240;0;3400;2440;2835
P103448705;P103448705_4;D;2400;0;0;3400;1200;2835
P103448705;P103448705_5;E;3400;0;0;4400;1200;2835
P103448705;P103448705_6;F;3400;1240;0;4400;2440;2835
P103448705;P103448705_7;G;4400;1240;0;5400;2440;2700
P103448705;P103448705_8;H;4400;0;0;5400;1200;2700
P103448705;P103448705_9;I;5400;0;0;6400;1200;2700
P103448705;P103448705_10;J;5400;1240;0;6400;2440;2745
P103448705;P103448705_11;K;6400;1240;0;7400;2440;2700
P103448705;P103448705_12;L;6400;0;0;7400;1200;2700
P103448705;P103448705_13;M;7400;0;0;8400;1200;2700
P103448705;P103448705_14;N;7400;1240;0;8400;2440;2700
P103448705;P103448705_15;O;8400;1240;0;10000;2440;2700
P103448705;P103448705_16;P;8400;0;0;10000;1200;2700
P103448705;P103448705_17;Q;10000;0;0;11600;1200;2700
P103448705;P103448705_18;R;10000;1240;0;11600;2440;2700
P103448705;P103448705_19;S;11600;1240;0;13200;2440;2700
P103448705;P103448705_20;T;11600;0;0;13200;1200;930
P103448703;P103448703_1;A;0;0;0;1610;1208;2210
P103448703;P103448703_2;B;0;1232;0;1610;2440;2210
P103448703;P103448703_3;C;1610;1232;0;3220;2440;750
P103448703;P103448703_4;D;1610;0;0;2610;1200;2745
P103448703;P103448703_5;E;2610;0;0;3620;1206;1470
P103448703;P103448703_6;F;3220;1240;0;5820;2440;2835
P103448703;P103448703_7;G;3620;0;0;4627;1209;2200
P103448703;P103448703_8;H;4627;0;0;5634;1209;2200
P103448703;P103448703_9;I;5634;0;0;6634;1200;2745
P103448703;P103448703_10;J;5820;1240;0;6820;2440;2745
P103448703;P103448703_11;K;6634;0;0;7641;1209;2200
P103448703;P103448703_12;L;6820;1240;0;7820;2440;2745
P103448703;P103448703_13;M;7641;0;0;10041;1200;2835
P103448703;P103448703_14;N;7820;1240;0;8820;2440;2700
P103448703;P103448703_15;O;8820;1240;0;11220;2440;2835
P103448703;P103448703_16;P;10041;0;0;12441;1200;2835
P103448703;P103448703_17;Q;11220;1240;0;12220;2440;2835
P103448703;P103448703_18;R;12220;1240;0;13220;2440;2790
P103448703;P103448703_19;S;12441;0;0;13441;1200;2700
P103448701;P103448701_1;A;0;0;0;1200;2400;2835
P103448701;P103448701_2;B;1200;0;0;3800;1200;2835
P103448701;P103448701_3;C;1200;1240;0;2200;2440;2745
P103448701;P103448701_4;D;2200;1240;0;4600;2440;2835
P103448701;P103448701_5;E;3800;0;0;4807;1209;2200
P103448701;P103448701_6;F;4600;1240;0;7000;2440;2835
P103448701;P103448701_7;G;4807;0;0;7207;1200;2835
P103448701;P103448701_8;H;7000;1240;0;9400;2440;2835
P103448701;P103448701_9;I;7207;0;0;9807;1200;1905
P103448701;P103448701_10;J;9400;1240;0;10400;2440;2700
P103448701;P103448701_11;K;9807;0;0;10807;1200;2790
P103448701;P103448701_12;L;10400;1240;0;11400;2440;2835
P103448701;P103448701_13;M;10807;0;0;13207;1200;2835
P103448701;P103448701_14;N;11400;1240;0;12400;2440;2700
P103448701;P103448701_15;O;12400;1240;0;13400;2440;2790
P103448713;P103448713_1;A;0;0;0;1200;2400;2835
P103448713;P103448713_2;B;1200;0;0;2207;1209;2200
P103448713;P103448713_3;C;1200;1234;0;2210;2440;2555
P103448713;P103448713_4;D;2207;0;0;4607;1200;2835
P103448713;P103448713_5;E;2210;1240;0;3210;2440;2700
P103448713;P103448713_6;F;3210;1240;0;5610;2440;2835
P103448713;P103448713_7;G;4607;0;0;7207;1200;2835
P103448713;P103448713_8;H;5610;1240;0;8010;2440;2835
P103448713;P103448713_9;I;7207;0;0;9607;1200;2835
P103448713;P103448713_10;J;8010;1240;0;10410;2440;2835
P103448713;P103448713_11;K;9607;0;0;12007;1200;2835
P103448713;P103448713_12;L;10410;1240;0;11410;2440;2700
P103448713;P103448713_13;M;11410;1240;0;12410;2440;2790
P103448713;P103448713_14;N;12007;0;0;13007;1200;2790
P103448713;P103448713_15;O;12410;1240;0;13410;2440;2835
P102448705;P102448705_1;A;0;1232;0;1610;2440;2210
P102448705;P102448705_2;B;0;0;0;1610;1208;2210
P102448705;P102448705_3;C;1610;0;0;3210;1200;2700
P102448705;P102448705_4;D;1610;1240;0;3210;2440;2700
P102448705;P102448705_5;E;3210;1240;0;4810;2440;2700
P102448705;P102448705_6;F;3210;0;0;4210;1200;2700
P102448705;P102448705_7;G;4210;0;0;5210;1200;2745
P102448705;P102448705_8;H;4810;1240;0;5810;2440;2700
P102448705;P102448705_9;I;5210;0;0;6210;1200;2745
P102448705;P102448705_10;J;5810;1240;0;6810;2440;2700
P102448705;P102448705_11;K;6210;0;0;7810;1200;2700
P102448705;P102448705_12;L;6810;1240;0;8410;2440;2700
P102448705;P102448705_13;M;7810;0;0;9410;1200;2700
P102448705;P102448705_14;N;8410;1240;0;9410;2440;2700
P102448705;P102448705_15;O;9410;0;0;11020;1208;2210
P102448705;P102448705_16;P;9410;1240;0;11810;2440;2835
P102448705;P102448705_17;Q;11020;0;0;13420;1200;2835
P102448705;P102448705_18;R;11810;1240;0;13410;2440;2700
P102448711;P102448711_1;A;0;1240;0;1000;2440;975
P102448711;P102448711_2;B;0;0;0;1600;1200;2700
P102448711;P102448711_3;C;1000;1240;0;2600;2440;2700
P102448711;P102448711_4;D;1600;0;0;3200;1200;2700
P102448711;P102448711_5;E;2600;1232;0;4210;2440;2210
P102448711;P102448711_6;F;3200;0;0;4200;1200;2700
P102448711;P102448711_7;G;4200;0;0;5200;1200;2700
P102448711;P102448711_8;H;4210;1231;0;5217;2440;2200
P102448711;P102448711_9;I;5200;0;0;6200;1200;2700
P102448711;P102448711_10;J;5217;1240;0;6217;2440;2700
P102448711;P102448711_11;K;6200;0;0;7200;1200;2700
P102448711;P102448711_12;L;6217;1240;0;8617;2440;2835
P102448711;P102448711_13;M;7200;0;0;9800;1200;2835
P102448711;P102448711_14;N;8617;1240;0;11017;2440;2835
P102448711;P102448711_15;O;9800;0;0;11400;1200;2700
P102448711;P102448711_16;P;11017;1240;0;13417;2440;2835
P102448711;P102448711_17;Q;11400;0;0;12400;1200;2700
P102448711;P102448711_18;R;12400;0;0;13400;1200;2745
P102448703;P102448703_1;A;0;0;0;1000;1200;2835
P102448703;P102448703_2;B;0;1234;0;1010;2440;2625
P102448703;P102448703_3;C;1000;0;0;2000;1200;2745
P102448703;P102448703_4;D;1010;1240;0;3410;2440;2835
P102448703;P102448703_5;E;2000;0;0;4600;1200;975
P102448703;P102448703_6;F;3410;1240;0;4410;2440;2745
P102448703;P102448703_7;G;4410;1240;0;6010;2440;2700
P102448703;P102448703_8;H;4600;0;0;7000;1200;2835
P102448703;P102448703_9;I;6010;1240;0;7010;2440;2700
P102448703;P102448703_10;J;7000;0;0;8000;1200;2790
P102448703;P102448703_11;K;7010;1231;0;8017;2440;1475
P102448703;P102448703_12;L;8000;0;0;9610;1208;2210
P102448703;P102448703_13;M;8017;1240;0;10417;2440;2835
P102448703;P102448703_14;N;9610;0;0;10610;1200;2745
P102448703;P102448703_15;O;10417;1240;0;11417;2440;2745
P102448703;P102448703_16;P;10610;0;0;13010;1200;2835
P102448703;P102448703_17;Q;11417;1240;0;12417;2440;2745
P102448703;P102448703_18;R;12417;1240;0;13417;2440;2745
P102448701;P102448701_1;A;0;0;0;1610;1208;2210
P102448701;P102448701_2;B;0;1240;0;1000;2440;2700
P102448701;P102448701_3;C;1000;1240;0;3400;2440;2835
P102448701;P102448701_4;D;1610;0;0;3210;1200;2700
P102448701;P102448701_5;E;3210;0;0;4810;1200;2700
P102448701;P102448701_6;F;3400;1234;0;4410;2440;1470
P102448701;P102448701_7;G;4410;1240;0;6810;2440;2835
P102448701;P102448701_8;H;4810;0;0;6410;1200;2700
P102448701;P102448701_9;I;6410;0;0;8010;1200;2700
