Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P093414515;13180;25294.7;79.9005;10606;22930.3
P094414501;13130;24572.8;79.3332;10659.2;22147.7
P095414513;13230;25137;80.187;9961.31;23508.3
Q096414501_1;13230;25984.6;80.187;10823.1;23372.5
P097414515;11710;21590;66.5883;10969.3;18811
P098414501;11710;19707.5;59.9019;11455.5;16373.7
P098414503;13180;25275.8;75.3967;11295.6;22124.6
P103414515;13130;25076.6;74.6871;11582;21598.4
P104414501;13230;25612.8;79.8351;9645.24;24344.8
P109414515;13180;24973.9;79.9005;10135.2;23146.7
P110414501;13180;25481.5;76.7332;11716;21850.4
P110414509;13230;24950;80.5389;9761.12;23549.7
Q111414503_2;13130;25863.5;75.814;11851.1;22078.2
P111414515;13180;24556.5;79.5486;10499.4;22313.7
P112414553;13130;24979.1;79.3332;11024.7;22136.9
P112414551;13130;25561;79.6851;10791.9;22984.5
P114414505;13230;25607.5;80.187;10302;23590
Q093414505_1;10190;13926.8;41.0956;9975.87;12281.5
P093414505;13180;24238.7;79.7601;11117.9;21290.1
P093414509;13180;25295.3;79.1967;10316.5;23261.2
P094414503;13230;25903.7;80.187;11008.3;23080.2
P094414505;13180;25515.1;79.9005;11087.2;22601.6
P094414509;13180;24712.2;79.9005;10811.1;22113.8
P094414515;13230;24554.7;80.5389;10086.9;22782.6
P095414501;11660;21137.8;67.0768;11206.7;18088
P095414503;13230;25758.7;86.8735;11761.4;22075.7
P095414505;13230;25958.6;80.5389;10695.9;23491.6
P095414509;13230;23971.2;80.5389;10220.9;22046.3
P095414511;13180;23106.1;73.4256;10444.8;20925.6
P096414501;13180;25967.4;79.9005;10632.5;23572.8
P096414503;13230;25376.2;86.8735;11547.6;21937.3
P096414505;13230;25792.4;80.5389;10638.5;23390.9
P096414509;13180;24956.2;80.3236;11560.7;21502.4
P096414511;13180;25491;78.8447;11093.2;22570.7
P096414515;13230;24880.2;80.5389;10759.8;22340.3
P097414501;13180;22716.4;69.5545;10905.6;20010.1
P097414503;13180;25979.1;74.6217;11974.5;22053
Q097414505_1;13230;24482;80.5389;10389.8;22364.3
P097414505;13230;24273;80.187;10480.9;22051.3
P097414509;13180;25416.8;83.2793;11978.4;21486.3
P097414511;13180;25466.4;78.9159;10478.9;23247.1
P098414553;13230;25389.2;79.4832;10576.8;23058.1
P098414551;13130;25828.1;78.2774;11267.1;22709.3
Q098414557_1;13230;25836.9;80.5389;11392.8;22574.6
P098414557;13130;25317.9;78.5582;10650.9;22902.3
P100414505;13180;25992.9;79.5486;11028.5;23146.4
P100414509;13180;25491.5;79.1967;10100.4;23704.1
P100414511;13180;25966.3;79.9005;11059.9;23083.9
P101414501;13130;25024.4;78.9101;10908.2;22315.1
P101414503;13180;25845.3;79.9005;10929.1;23112.2
P101414505;13180;25968;76.3813;11911.2;22114.2
P101414507;7350;12584;41.9285;11583.2;9104.42
P101414509;13230;25640.3;86.8735;11935.7;21758.4
P102414501;11710;20266.8;64.3364;11345.4;17058.6
P102414503;13180;25997.7;86.235;11949.1;22100.6
P102414505;13230;25760.6;80.5389;10512.3;23503.2
P102414509;13230;25925.4;86.8735;11966.8;22008.1
P102414511;11710;20052.4;64.3364;11747.3;16385.7
P102414515;13180;25367;79.1967;10126.8;23549.5
P103414501;11710;20102.1;59.6904;10792.4;17525
P103414503;13180;25989.2;75.3256;11820.4;22239
P103414505;13230;25356;86.8735;11615.9;21839.2
P103414509;13180;24868.4;79.6197;11331.4;21676.2
P103414511;10240;17800;53.7685;11846.3;14020.3
P104414503;13230;25729.4;86.8735;11806.9;21994.5
Q108414505_1;11760;20346.7;64.1999;11792.1;16628.8
P108414505;13180;24428.7;79.1967;10882.7;21748.6
P108414509;13180;24945.2;79.5486;10819.9;22336.8
P108414515;13230;24777.3;80.5389;10240.9;22829.4
P109414501;13130;24434.7;76.7294;10156;22583.7
P109414503;13230;25753.1;86.8735;11675.5;22168.3
P109414505;13230;25222.6;80.5389;10238.1;23278.1
P109414509;13180;24967.7;80.3236;11302.4;21808.6
P110414503;13230;24335;80.5389;10283.4;22338.7
P110414505;13230;25821.4;80.5389;10347.7;23751.8
P110414511;13180;25799.9;79.1967;11515.6;22397.5
P110414513;13180;25867.9;79.9005;11093.5;22947.2
P111414501;13180;25605.9;79.5486;11293.5;22456.9
Q111414503_1;13180;25983.2;79.9005;10421.4;23829.4
P111414503;13230;25163.6;86.8735;11596.6;21668.7
Q111414505_1;13180;25224;80.3236;10895.8;22528.9
P111414505;13180;24310.2;79.5486;10504.5;22061.6
P111414509;13230;25946.8;80.5389;10736.1;23433.9
P111414511;13180;25525.9;79.5486;10791.9;22949.4
P114414509;13230;24648.2;80.5389;10220.4;22723.9
P114414511;13180;25401.5;79.5486;10425.7;23242.8
P075414515;13180;25215.6;83.2793;11015.9;22383.5
P076414501;13180;25384.8;80.3236;11206.9;22334.7
P076414513;13180;24413.1;76.7332;11413.1;21127.7
P077414501;13130;25941.1;79.6851;11426.2;22640.8
P079414515;13230;24833.7;80.5389;10000.1;23160.7
P080414501;13180;24958;73.989;11703.1;21341.7
P081414515;13180;25196.5;79.9005;11024.1;22355
P082414501;13180;25866.8;79.9005;11662;22297.3
P083414515;13180;23852.1;76.7332;10831.5;21230.3
P084414501;11660;20718.6;66.7249;11145.3;17738.7
P084414503;13180;25250.6;79.5486;10564.9;22933.1
P084414557;13230;25836.2;86.1696;11758;22157.2
P086414505;13180;24914.7;79.1967;10370.6;22818.9
P086414515;13180;25374.5;79.9005;10317.1;23339.8
P087414501;13130;25722.1;76.0948;11942.6;21832.4
P088414515;13230;25309;80.5389;10424.1;23152.2
P089414501;13130;23932.8;73.7737;9661.97;22645.7
P089414515;13180;25458.5;79.5486;10250.2;23500.1
P090414503;13180;24277.7;79.9716;10412;22134.7
P075414501;13180;19213.2;61.32;11168.1;16207.3
P075414503;13230;25478.5;77.3717;11644.8;21928.6
Q075414505_1;13230;25678.8;86.8735;11472.3;22325.8
P075414505;13180;25863.3;83.2793;11950.1;21965.1
P075414511;13230;24902;80.5389;10294.1;22893.5
P076414503;13230;25937.8;80.5389;11226.8;22865
P076414505;13230;25990.2;86.8735;11975.8;22062.7
P076414509;13230;24048.6;80.5389;10053.6;22314.6
P076414511;13230;24822;80.5389;10012;23135.4
P077414503;13230;25387.6;83.7062;11838.7;21616.5
P077414553;13180;25676.3;79.9005;10014.3;23987.1
P077414551;13130;25570.1;76.5179;11926.3;21699
P077414557;13230;25360.7;86.8735;11678.9;21771.9
Q079414505_1;10290;17052.8;51.7319;10939.6;14307.8
P079414505;13180;25103.1;83.2793;11752.4;21430.5
P079414511;11660;21285.7;66.8652;11950;17387.5
P080414503;13180;25730.1;83.0678;11900.6;21888.4
P080414505;13180;25142.7;79.9005;10478.2;22924.1
P080414509;13130;25716.4;79.6851;11458.8;22378.9
P080414515;13230;24442.2;80.5389;10603.1;22081.2
P081414501;11710;17010.8;54.8346;8929.16;16559.9
P081414503;13180;25888.5;76.7332;11612.9;22375.1
P081414505;13230;25708.6;86.8735;11664;22136.9
P081414509;13180;25549.4;83.2793;11929.5;21674.8
P081414511;13180;25683.8;80.3236;11408.8;22403.3
P082414503;13230;24971.8;86.8735;11779.6;21268.2
P082414505;13130;25832.4;79.6851;10724.7;23332.6
P082414509;13230;25081;80.5389;10746.4;22556.4
P082414515;13180;25872.5;83.2793;11883.3;22050.5
P083414501;13180;22736.5;73.989;10108.4;20939.9
P083414503;13180;25420;76.8044;11121.2;22467.7
P083414505;13230;25110.1;86.8735;11864.9;21309.1
P083414509;13230;24303.8;80.5389;10197.8;22405.2
P083414511;11760;21000.5;67.3672;11525.4;17586.9
P084414553;13230;25786.4;86.5216;11985.6;21847.7
Q084414551_1;13230;24855.5;79.8351;10855.1;22206.9
P084414551;13130;25532.3;79.262;10142.1;23697.3
Q086414505_1;13230;25323.1;83.7062;11959.7;21413.9
P086414509;13130;24631.1;79.3332;10511.5;22374.5
P087414503;13230;25607.9;86.8735;11541.4;22176.1
P087414505;13130;25358.9;79.262;11354;22141
P087414509;13180;25195;76.7332;11633.9;21657.7
P087414515;13180;25941.3;86.235;11999.2;21987
P088414501;13180;25519.2;80.3236;11103.1;22587.6
P088414503;13180;25923.2;76.9448;11113;22980.3
P088414505;13230;25429.8;86.8735;11659.2;21863.5
P088414509;13180;25111.8;79.9005;10524.3;22840.6
P088414511;13130;25843.5;79.6851;10805.1;23251.8
P089414503;13130;25285.2;73.7737;9736.93;23912.6
P089414505;13230;25480.6;86.8735;11741.1;21820.9
P089414509;13180;25727.8;80.3236;11197;22689
P089414511;13180;25837.6;79.5486;11154.3;22847.5
P090414501;13080;24283;72.7121;11838.2;20512.5
P090414505;13230;25936;80.5389;10620.2;23555.4
P090414509;13180;24186.1;76.7332;10757.4;21648.9
P090414511;13180;25502.9;79.9005;9891.54;23953.7
P090414513;13130;23905.3;72.2948;11718.9;20270.9
P091414501;13180;25920.7;78.1409;11280.4;22786.8
P091414503;13180;25862.1;83.0678;11984;21925.3
P091414553;13180;25345.7;78.8447;10436.9;23174.2
P091414551;13130;25900.2;75.1102;11920.7;22035.5
P091414557;13180;25984.9;86.235;11861.4;22187.9
P066449409;13444;8268.72;81.3088;6431.15;10668.4
P067449405;13261;6467.27;58.7665;6346.59;8963.45
P067449407;12852;7274.03;70.8631;6464.58;9635.57
P068449405;13095;5796.32;54.5061;4913.89;9927.41
P067449403;13438;8074.96;79.2918;6240.85;10691.8
Q068449405_1;13037;7290.65;71.4484;7214.93;8795.93
P068449401;13082;6906.93;63.6365;5934.68;9873.16
P069449405;13285;6590.92;59.668;5478.83;10077.3
P069449409;13445;8143.47;79.8766;6043.08;10986
P070449405;13481;5774.68;53.0525;5799.75;8894.88
P072449403;13438;8191.73;79.5548;6367.36;10664.2
Q073449405_1;13259;7098.19;69.974;6255.52;9698.3
P073449403;13435;7239.26;72.5963;6148.06;9961.99
P074449403;13445;8166.59;79.2918;6952.07;9971.82
P074449407;13255;7298.57;72.5368;6182.82;9981.63
P075449405;13460;7649.26;71.1833;6113.17;10411.8
P076449409;13435;8223.69;78.0946;6862.71;10130.9
P077449405;13258;7269.34;69.824;6156.29;9982.69
P076449403;13445;7986.36;78.868;6126.31;10733.9
P079449403;13442;7764.6;78.1774;6638.65;9927.5
P080449405;13265;7132.08;64.6156;5980.25;10046.3
Q079449403_1;13445;7039.1;69.5571;6267.61;9625.41
P080449409;13438;7857.32;73.5646;6001.46;10747.3
P081449405;13265;7146.91;66.1797;6297.34;9699.29
P080449403;13441;8033.83;80.3003;6997.54;9787.17
Q065449403_2;12258;4939.51;49.4465;5595.62;8292.65
Q065449403_1;13475;5826.84;61.0454;5224.4;9603.6
P065449403;13431;8635.65;76.4275;6363.07;11113
P066449405;13275;6274.16;62.405;5709.87;9496.93
P066449403;13435;7973.84;77.0994;6503.75;10290.7
P068449403;13441;8329.75;82.3025;6429.4;10731.4
P069449403;13445;8310.63;80.2319;6733.32;10365.5
P070449451;13262;7017.85;66.9767;6219.96;9658.53
P070449453;13451;7837.81;76.6582;6070.98;10648.5
P073449405;13475;7126.43;69.9862;5605.78;10468
P073449409;13451;7540.82;71.8031;5710.39;10763
P074449405;13454;8497.31;78.0662;6359.46;10978.8
P075449401;13438;7960.87;72.5987;7165.43;9522.64
P075449403;13266;7098.35;72.9803;6577.57;9330.96
P076449405;13454;8135.27;75.7178;6092.24;10921.7
P077449451;13272;6121.32;60.3286;5913.22;9112.03
P077449453;13210;9508.53;85.9673;7214.79;11014
P081449407;13455;7442.5;74.6024;5869.71;10482.9
P081449403;13256;7456.19;73.7586;5909.48;10451.2
P082449405;13444;8751.74;79.2791;6132.38;11492.4
P082449401;13272;7060.17;66.9653;5732.72;10256.9
P082449403;13266;7178.87;73.6161;6709.14;9261.33
P083449405;13451;8235.45;74.6349;5920.02;11218.4
P083449409;13438;7852.27;73.3015;6091.32;10639.7
P083449403;13442;7253.76;74.9606;6528.44;9542.42
P084449405;13437;8110.85;73.2892;5941.95;11068.8
P084449453;13269;6483.74;64.2738;5929.48;9455.9
P084449455;13027;9172.37;83.7616;6931.64;11000.9
P090449403;13438;8189.77;79.8899;6841.46;10121.2
