Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P108211301;9090;10598.6;46.659;9875.75;9067.5
P110211301;13326;16226.7;68.6876;10103.9;14435.3
P073211301;7070;6394.43;34.7086;9189.78;5646.13
P080211301;9090;10931.5;44.3812;10357;8851.28
P087211301;9090;9788.06;43.1266;9857.41;8277.9
P089211301;13326;15240.2;64.3757;9710.53;13897.7
P094211301;9090;10011.9;42.4872;10174.5;8139.96
P096211301;9090;11277.6;47.0427;10718;8785.39
P101211301;10090;10784.3;46.0007;10012.6;9097.07
P103211301;13326;15536.4;65.0883;10100.9;13748.4
P075210701;12010;19868.3;60.3136;10727.2;17365.5
P076210707;13200;23935.6;71.0888;10376.4;21833.2
P079210701;12010;20146.2;61.3756;11635.2;16607.3
P080210707;13206;23982.8;70.7614;11901.8;20139.7
P086210701;13030;19364.3;59.471;8953.65;18885.5
P087210707;13200;23973.5;70.38;11313.4;20801.8
P089210701;10010;17105.9;52.0122;11475.1;13749.7
P090210707;13200;23982.9;70.7074;10617.2;21605.6
P093210701;11010;18275.7;55.7956;11907.4;14426.2
P094210707;13206;23958.3;71.0888;11665.4;20384.9
P096210701;12020;18504;56.8576;10542.5;16212.1
P097210707;13000;23966.2;71.0348;11623.4;20440.8
P072210701;11010;18039.4;54.0248;11503.7;14650.7
P073210707;12020;22726.2;67.6868;11563;19269.7
P074210701;13000;20360.3;61.2102;9585.97;19159.9
P081210701;13210;23091.5;68.8028;10324.3;21048.6
P082210701;10010;16891;50.6228;11056.1;14012.9
P083210707;12020;23283.8;70.1382;11369;20048.6
P088210701;12010;21411.6;64.5042;11405.7;18134.6
P095210701;13010;20366.6;60.7748;8882.53;19968.9
P066010003;12000;27215.7;32.436;11792.4;23497.4
P067010019;13000;27893.3;31.968;10402.5;25761.1
P076010013;13200;24704.4;28.35;11144.7;21725.3
P079010017;13200;26945.7;29.028;11847;23165.1
P079010001;13200;26855;31.128;11643.8;23306.3
P080010007;13400;27566.6;41.508;9698.17;26238.1
P066010007;8200;12671.8;23.928;11148.2;9688.71
P068010015;13200;27995.8;29.574;11815.9;24250.7
