Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P066041115;13400;8586.45;91.5406;6114.96;11347
P067041101;13400;12622.5;88.0517;8464.82;12701.5
Q065041101_1;7200;3371.15;46.5552;6419.02;5784.67
P065041101;13400;8947.2;76.5072;7137.22;10541.2
P065041105;13400;11273.1;91.9836;8191.31;11664.2
P065041107;13200;11409.8;89.1893;8717.51;11200.4
P065041109;13400;9667.83;91.1052;7476.78;10874.3
P065041111;13400;14718.3;89.521;8096.93;15217.1
P065041113;13400;8032.45;92.8584;6498.99;10354.7
P065041117;13400;11727.1;89.9021;6838.85;13661.6
P066041101;13400;11553;90.828;6926.46;13387.5
P066041103;13400;11248.1;86.8191;7016.34;12980
P066041105;13400;13692.7;89.8301;8267.05;13997.4
P066041107;13400;9785.45;91.6342;7050.25;11478.6
P066041109;13400;12764.5;91.8888;8057.89;13307.8
P066041111;13400;13957.6;88.8048;6282.14;16527.3
P067041103;13400;10115.1;88.6609;7261.65;11567.1
P067041105;13400;10274.1;89.7504;6183.84;12956
P067041107;13400;12279.3;90.0139;7624.83;13316.8
P067041109;13400;10259.2;91.4436;6934.16;12084.9
P067041111;13400;14518.4;89.2795;8924.76;14072.6
P067041113;13400;12244.9;89.6182;5861.79;15294.3
P067041115;13400;9556.5;93.3943;6578.08;11788.5
P068041101;11600;8735.26;65.5441;8481.42;8795.3
P068041103;13400;10590.2;84.9158;7395.6;11889.3
P068041105;13400;10669.4;89.1533;6418.02;13084.1
P068041107;13400;12609.5;90.7848;7039.13;14315.4
P068041109;13400;11191;90.4063;7499.58;12371.4
P068041111;13370;12819.6;87.5696;7580.43;13907.8
P068041113;13400;9856.26;91.8934;6866.01;11759.7
P069041101;13400;9221;86.4924;7078.22;10882.3
P069041103;13400;15354.6;89.099;8159.78;15781.7
P069041105;13370;11044.4;87.5262;8343.32;11262.1
P069041111;13400;10367.1;83.6712;7176.05;11916.7
