Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P065041101;10600;5216.47;60.3324;6882.61;7100.97
P065041105;13400;10975.3;89.4276;6721.09;13044.1
P065041107;13400;11021.1;90.4099;7157.17;12592.3
P065041109;13400;10751.2;91.8756;6357.34;13235.1
P065041111;13400;13141.9;91.1047;7678.98;14117.7
P065041113;13400;11599.9;91.9795;6546.15;13868.4
P065041115;13400;8994.01;91.4364;6397.96;11431.6
P066041101;13400;12071.8;91.5792;7171.35;13626.8
P066041103;13170;12958.2;85.692;9510.92;11843.4
P066041105;13400;10226.9;90.4639;7436.14;11479.7
P066041107;13400;11749;90.8136;6957.73;13547.7
P066041109;13400;10469.8;92.1096;6803.65;12444.4
P066041111;13400;11798.1;89.2322;6397.55;14236.1
P066041113;13400;13490.7;91.1148;5928.38;16464.2
P066041115;13400;10334.9;91.9116;6455.41;12706.9
P067041101;13400;10572;88.7471;6881.11;12458.2
P067041103;13400;13339.3;85.5134;7698.04;14293.3
P067041105;13200;8830.29;90.0792;6938.63;10650.9
P067041107;13400;12525.2;90.9427;5894.57;15537.2
P067041109;13400;12062.4;90.0314;7881.89;12806.6
P067041111;13400;14532.3;88.5348;5824.32;17624.5
P067041113;13400;8391.89;92.6244;6656.23;10534.7
P067041115;13400;10668.1;91.6015;6541.61;12941.8
P068041101;13400;11068.1;88.7075;6781.96;13067.5
P068041103;13400;11495.2;89.1818;6729.64;13554.3
P068041105;13400;14032;89.3729;9030.28;13465.7
P068041107;13400;10185.1;91.314;7366.67;11517.2
P068041109;13370;15571.9;85.9561;8953.45;15093.3
P068041111;13400;8242.83;92.268;6237.37;10863.6
P068041115;13400;8201.29;93.0744;5774.79;11350
P069041101;13400;12649.3;87.5726;7934.19;13333.8
P069041105;13400;13768.1;89.8337;7301.48;15174.6
P069041107;13400;12094.7;88.3837;7549.84;13217.8
P069041111;13400;10174.2;88.9188;6199.96;12837.7
P069041113;13400;14594.1;88.4083;7185.86;16132.6
P069041117;13400;9545.06;92.0124;5962.96;12479
P072041101;13400;12032;88.0482;8376.07;12212.2
P072041103;13400;10598.5;91.152;7177.55;12146.4
P072041105;13200;12209.5;89.6431;8770.93;11939.2
P072041107;13400;13064.5;90.1183;8147.12;13506.1
P072041109;13370;11872;85.0358;6761.71;13894.5
P072041111;13400;11480.6;92.5488;7310.53;12876.8
P072041113;13400;7956.64;92.8294;5797.67;11079.2
P073041101;13400;12098.4;86.0681;6327.98;14615.8
P073041103;13400;12277;89.0129;7005.91;14020.8
P073041107;13400;12091.6;87.458;7499.03;13272.7
P073041109;13400;12943.6;90.3744;8766.71;12678.1
P073041113;13400;11570.4;89.7439;6470.59;13925.1
P073041117;13400;9845.02;92.6635;6643.96;12001.9
P074041101;13400;11946.3;87.0949;7328.63;13321.9
P074041103;13400;11295.7;88.9406;7115.42;12914.5
P074041105;13400;10381.2;88.8624;6651.58;12529.3
P074041107;13400;12235.8;91.1698;7632.86;13264.2
P074041109;13400;13419.5;86.5319;6471.91;15772.7
P074041111;13400;9710.4;92.7895;6586.83;11932.4
P074041115;13400;9629.34;92.2063;5429.71;13171.8
P075041101;13400;12269.5;89.0419;8668.18;12116.4
P075041105;13400;11885.6;88.0381;7594.44;12957.8
P075041107;13400;11546.3;89.9525;7901.46;12268.2
P075041109;13400;11808.9;89.9172;7453.05;13042.5
P075041111;13400;17489.1;86.4197;9241.42;16681.9
P075041113;13400;7687.27;89.9815;5608;11026.3
P075041115;13400;10468.8;92.6028;7672.04;11452.5
P076041101;13400;11301.4;87.8357;8013.53;11895.4
P076041105;13400;10805.4;88.1746;7494.75;11991.4
P076041107;13370;14542.3;86.5452;10091.7;12764.7
P076041111;13400;14763.4;89.0676;7452.06;15998.1
P076041113;13400;8353.88;90.882;6200.83;11016.4
P076041115;13400;9158.64;93.8078;5488.49;12634
P086041117;13200;9283.09;91.8;7143.42;10870
P087041101;13400;12768.8;87.6416;8426.09;12892
P086041101;12000;8415.87;68.4094;8009.65;9014.26
P086041103;13400;11390.4;91.368;6992.3;13149.7
P086041105;13400;11450.9;90.2868;5836.54;14529.1
P086041109;13400;16064.6;86.6696;9631.29;14812.5
P086041113;13400;12758.2;87.9329;5026.93;16760.3
P086041115;13400;8664.13;93.6283;6538.01;10941.9
P087041103;13400;10485.1;89.7372;7604.39;11545.9
P087041105;13410;11253.5;88.4325;8058.56;11796.1
P087041109;13400;15772.2;87.8972;7745.92;16671.6
P087041115;13400;11426.2;91.3464;5713.03;14645.4
P087041117;13400;9645.25;93.5592;5789.7;12776.9
P088041101;10000;9423.02;58.3123;9733.65;8054.09
P088041103;13400;11449.3;89.2255;7387.2;12758
P088041105;13370;13910.5;87.9744;9449.11;12866.2
P088041109;13400;17902.1;89.5822;9125.57;17227
P088041111;13400;10137.9;93.8443;5661.98;13415.3
P088041113;13400;9757.17;93.8443;5826.6;12846.7
P089041101;13400;10553.2;79.6705;8039.72;11117.2
P089041103;13400;12902.6;90.7193;7483.47;14101.4
P089041109;13400;13596.5;89.8412;9441.49;12561
P089041111;13400;16919.1;89.3412;8369.68;17106.6
P089041113;13200;7930.45;92.9808;6159.28;10640.4
P089041115;13400;12413.2;93.1094;8385.92;12582.2
P090041103;13400;12327.7;89.5102;7595.93;13398.2
P090041107;13400;12422.6;91.5545;6545.88;14691.3
P090041113;13400;16740.3;87.0611;8708.5;16541.2
