Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P068172427;13340;11013.1;88.2685;8500.95;11050.9
P072172407;12800;8572.51;88.5312;6985.87;10339.2
P073172405;12800;8616.17;88.8192;6737.96;10665.7
P074172427;13470;9418.76;86.4021;7694.03;10377.3
P081172427;12535;8497.42;85.4919;7285.24;9922.47
P082172427;13205;10609.1;86.0086;8375.39;10790.1
P067172427;13470;8554.57;74.141;8022.31;9138.52
P068172407;12800;8598.89;88.6752;7050.64;10291.7
P072172427;13340;10723;86.4868;8319.01;10968.4
P075172407;12800;8411.47;88.3872;6860.25;10321.5
P075172427;13340;10523.5;84.417;8522.63;10536.5
P079172407;12800;8033.9;88.0992;6771.75;10044.9
P079172427;13470;10000.3;85.3865;8003.38;10605.8
P080172405;12800;7711.1;81.1584;6950.09;9518.6
P081172407;12800;8230.13;86.8416;6764.92;10248.9
P068071701;13170;23729.7;66.4677;10898.2;21031.9
P072071701;13310;27736.8;76.5953;10966.9;24960.6
P103071701;12340;22528.8;62.4247;10618.4;20150.2
P107071701;13370;27985.2;76.103;11615.2;24469.2
P110071701;13340;22160.4;61.0533;9395.36;21177.5
P114071701;13340;27861.9;78.4357;10886.5;25177.4
Q068071701_1;1000;570;1.17;4683.3;4964.23
P075071701;13200;27584.9;72.8243;11909;23733.6
P079071701;13200;26789.2;74.285;11140;23815.4
P082071701;13400;27749.6;78.4772;11490.2;24376.2
P086071701;13400;27211.4;75.7669;11453.3;23880.1
P089071701;13400;28000;78.2496;10529.1;25723.4
P093071701;12910;27189.1;72.6137;11833.2;23424.3
P096071701;13400;27909.3;82.5156;11504.9;24519.1
P069350001;11770;18886.3;70.5784;11657.8;15321.7
P076350001;13490;23535.3;74.4;10401.9;21403.8
P086350001;13250;23352.8;77.4111;11844.5;19575.1
P093350001;13480;20421.3;73.0081;7713.25;21358
P107350001;10330;14170.7;51.6364;11181.9;11149.1
P110350001;13090;18436.7;68.8926;8269.87;18738.1
P102350001;12410;16114.6;56.7921;8766.24;15849.6
P086172427;13340;11876.1;87.3969;8686.27;11702.4
P087172405;12800;8400.84;88.5312;7157.52;9971.63
P088172427;13470;9594.3;86.7362;8213.42;9960.16
P089172427;13340;11047.5;86.4868;8269.8;11349.1
P095172407;12800;7419.22;87.3792;6524.27;9712.64
P086172407;12800;7479.96;82.7904;6537.49;9758.3
P088172407;12800;8286.22;88.3872;6874.77;10179.7
P090172405;12800;8373.14;88.5312;6647.6;10525.8
