Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
Q101227601_1;12810;21169.3;69.3522;11585.7;17686.9
P102220605;13120;23717.8;65.855;11835.8;19950
Q101227601_2;1000;1446.9;2.34;5569.57;4829.77
P101227601;13480;22167.4;65.0417;10052.6;20434.5
P102227601;13370;23216.3;74.6621;10604.1;20854
P103227601;13460;23973.7;62.8783;10871.9;21305.8
P104220603;13410;23601.4;80.9571;9684.99;22288
P104227605;13390;23409.7;76.0503;10079.2;21646.4
P107220603;13120;19240.4;48.5767;10452.4;17051.3
P107227601;13350;23984.7;72.0719;11733.7;20333.4
P108227601;13480;22791.7;71.7676;11245.7;19697.4
P109220605;13480;23099.7;74.0568;9177.15;22365.8
P109227601;13310;23217.3;65.9742;11140.9;20242.5
P110227601;13350;22031.2;75.3582;10351.5;19957.2
P111220603;13500;20089.3;51.6218;9363.42;19142.8
P111227605;13390;23448.5;79.1543;11285.2;20309
P114220603;13480;20485.5;60.4472;10635.7;18087.2
P114227601;13490;23919.7;68.387;11775.4;20220.9
P115227601;13360;21252.6;68.6345;11094;18331.3
P116220605;13290;23870.3;63.02;10671.5;21431.2
P116227601;13430;21981.8;71.9141;11028.9;19134.7
P117227601;13400;22513;76.6678;10805.5;19921
P118220603;13220;21386.5;61.4437;10824.1;18773.2
P118227601;13320;22338.3;62.8454;11581.5;18860.7
P122227601;13390;22139.3;75.1748;10421.6;19985.3
P072036805;13259;7027.34;86.2191;6466.39;9386.81
P073036803;13483;6015.39;78.9428;6178.18;8703.75
P073036805;13265;7901.25;83.9103;6704.92;9988.52
P074036803;13487;6849.69;79.9467;5823.99;9942.23
P083036803;13447;8458.3;82.9573;6143.44;11186.3
P086036801;13475;6964.27;84.0403;6626.87;9140.61
P086036805;13455;7390.18;84.0753;6141.69;10120.2
P087036805;13093;5801.31;86.9244;5852.81;8860.97
P088036805;13445;7810.77;87.0695;7043.16;9512.06
P089036805;13454;7913.67;83.5203;5865.44;10958.9
P090036805;13484;6765.35;86.7392;6345.59;9262.67
P093036803;13484;7088.69;82.2728;6088.28;9879.65
P072036801;10248;4490.87;57.8481;6549.43;6755.58
P072036803;13287;7035.5;78.7948;5739.41;10224.6
P073036801;13451;7086.12;83.653;6959.39;8883.01
P074036801;13451;7602;85.6644;6655.6;9745.55
P074036805;13093;5671.35;86.6296;5831.6;8755.21
P075036801;13288;6490.37;81.5446;5887.6;9510.32
P075036803;13448;8230.97;86.5752;6701.54;10322.1
P075036805;13099;5624.89;86.3848;5615.73;8955.09
P076036803;13483;7361.76;82.3213;6215.08;10008
P076036805;13474;8030.08;83.4805;6087.37;10822.1
P079036801;13444;7615.97;84.3209;6905.15;9474.75
P079036803;13497;6814.52;77.7274;6095.08;9597.71
P079036805;13089;5642.57;86.7855;5782.68;8782.26
P080036801;13275;6803.57;84.3365;6365.2;9278.51
P080036803;13454;8192.66;83.3039;6350.15;10684.8
P081036801;13481;6793.21;82.4294;6551.43;9055.64
P081036803;13460;8053.48;81.0766;6691.96;10155.5
P081036805;13105;5546.99;82.4714;5968.68;8474.42
P082036801;13475;6813.16;83.6355;6086.24;9606.44
P082036803;13451;7836.49;83.9156;6317.63;10365.7
P082036805;13106;5572.89;86.4165;5853.43;8631.84
P083036801;13475;6573.14;84.135;5528.92;10002.4
P086036803;13101;6304.32;80.9952;5890.96;9320.44
P087036801;13288;6881.66;83.8942;5433.52;10419.8
P087036803;13480;8081.71;85.8847;6850.35;10003
P088036803;13460;7000.26;78.1115;5793.88;10127.2
P089036801;13275;6903.38;84.2011;5451.71;10420.7
P089036803;13102;6110.53;83.3007;5693.62;9351.84
P090036801;13471;6855.74;84.7951;6373.71;9320.97
P090036803;13486;7403.89;84.8642;6521.51;9700.47
P093036805;13474;7242.13;83.5785;6101.92;10017.5
P094036801;13275;6722.75;82.5245;5730.97;9921.44
P094036803;13457;8022.03;84.1396;6569.35;10264
P094036805;13099;5267.01;84.6168;5780.74;8408.9
P095036801;13477;7341.61;82.956;6328.91;9857.97
P095036803;13454;8182.43;86.5546;6545.33;10451.8
P095036805;13099;5940.67;84.5256;5900.8;8945.56
P096036801;13461;7624.93;85.7119;6948.57;9434.16
P096036803;13491;6884.17;81.0109;5979.4;9799.36
P096036805;13085;6107.2;84.9215;5762.35;9270.08
P097036801;13487;6295.23;81.6762;5882.34;9321.18
P097036803;13254;7456.59;81.1938;6228.32;10087.7
P097036805;13455;8012.73;86.5092;6519.16;10312
P068227601;1000;205.072;0.9;4314.47;5020.19
P069220603;11690;17344.5;42.6061;11034.1;14491.5
Q069227601_1;13410;23965.4;78.042;11237.8;20880
P069227601;13370;21704.3;73.323;10688.5;19245.7
P072220603;13380;23782.3;68.715;9854.12;22275.9
P072227601;13350;23792.2;73.5605;11124.8;20835.8
P073227601;13480;23387.8;76.3195;11039;20529.3
P074220605;13370;23997.8;72.4008;11648.2;20444
P074227601;13480;23486.7;69.1253;10810;20889.6
P075227601;13400;22382.3;74.576;10103.9;20590.8
P076220603;12690;18108.1;47.9396;11014.3;15277.8
P076227605;13340;22242.2;75.6775;10304.6;20221.8
P079220603;13410;21630.2;61.0259;10768.5;19080.4
P079227601;13490;23427.7;67.5618;11277.9;20296.5
P080227601;13110;20986.9;72.0047;10949;18231.1
P081220605;13390;23740.3;69.8654;10843;21105.4
P081227601;13340;23267.1;72.2311;11195.7;20229.7
P082227601;13380;23482.2;74.3249;10816.6;20877.5
P083220603;13350;23129.3;56.1549;10479.7;20909.1
P083227601;12950;19715;75.5839;10703.5;17239.3
P086227601;12410;19305.2;66.6456;11115;16359.9
Q087227601_1;11680;17398.3;59.5922;11852.9;13611
P088220605;13370;23534.1;70.0577;11111.6;20592.7
P088227601;13492;21630.4;69.6999;11059.9;18748
P089227601;13370;23986.3;59.4228;11389.5;20727.8
P090220603;13390;23002.5;71.9641;11437.2;19689.6
P090227605;13340;19411.6;75.2148;9626.65;18164.8
P093220603;13190;23952.4;73.6197;10368.1;21859.5
P094227601;13320;23990.4;65.9861;10157.7;22137.6
P095227601;13480;20921.7;77.0413;10668.2;18486.3
P096227601;13490;23179.2;65.315;10981.6;20386.1
