Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P081590505;13207;8084.02;84.9906;6570.05;10325.2
P082591103;13407;8853.08;86.6121;7179.78;10398.5
P083590501;13242;7603.4;91.2511;6564.88;9850.48
Q079590501_1;2007;918.269;10.1974;5002.02;4948.8
P079590501;13428;6859.15;75.7374;6656.58;9001.59
P079591101;13428;7888.57;91.6369;6577.7;10121
P079590503;13228;8658.94;90.9963;7019.51;10387.2
P079591103;13414;9231.2;90.1168;7208.39;10744
P079590505;13472;6405.39;91.4958;6274.39;8983.96
P080590501;13414;8140.6;89.7795;6681.23;10254.9
P080591101;13442;7621.05;91.5612;6504.82;9936.67
P080590503;13242;7859.52;90.7688;6549.49;10124.2
P080591103;13442;7363.99;93.8051;6818.09;9322.12
P080590505;13421;8080.07;87.838;6530.77;10366.1
P081590501;13249;7533.29;91.9447;6371.37;10001.2
P081591101;13421;7846.31;90.9976;6709.54;9928.31
P081590503;13242;7216.38;90.9292;5966.83;10145.9
P081591103;13428;8429.57;91.4102;7071.96;10098
P082590501;13242;7251.67;91.5464;6157.58;9963.54
P082591101;13428;8203.99;92.1948;6736.96;10254.7
P082590503;13063;6769.76;91.5407;6004.85;9655.91
P082590505;13409;7907.97;85.9228;6572.86;10145.9
P083591101;13235;8141.22;91.0122;6972.96;9922.63
P083590503;13235;8357.86;91.6941;6564.22;10605.7
P083591103;13442;7612.28;93.3477;6013.26;10488.8
P083590505;13256;6993.08;89.05;6955.32;8794.61
P086590501;13256;7492.15;92.306;6463.26;9855.19
P086591101;13421;8595.09;90.3795;6876.2;10486.9
P086590503;13407;9619.41;90.9198;6820.85;11574.4
P086591103;13066;7062.6;89.0752;7253.62;8523.74
P086590505;13442;6904.8;90.0699;6667.48;9034.8
P087590501;13421;7798.73;91.257;6485.65;10136.2
P087591101;13221;9021.41;90.5427;7472.82;10232.4
P087591103;13270;6301.95;93.3457;5472.96;9795.06
P087590505;13428;8235.69;91.5491;6483.61;10575.5
P088590501;13421;7935.52;90.3503;6556.79;10191.8
P088591101;13435;8079;90.7476;6561.8;10329.6
P088590503;13228;8618.03;89.9422;6028.9;11476.7
P088591103;13428;8220.63;90.3002;6695.22;10319
P088590505;13263;6426.88;91.4878;6488.77;8760.81
P089590501;13435;7734.5;90.546;6243.32;10348.5
P089591101;13416;9346.99;89.3335;7187.19;10883.9
P089590503;13486;5480.89;92.8911;5562.76;8871.54
P089591103;13424;8678.4;90.5149;7117.22;10295.2
P089590505;13207;7991.32;86.031;6626.15;10168.5
P090590501;13256;7253.19;91.2233;6114.48;10014.2
P090591101;13214;9303.94;90.7465;7239.75;10780.9
P090591103;13463;6814.41;92.5318;5485.41;10293.3
P090590505;13449;7124.42;93.8098;6980.44;8897.3
P093590501;13442;7772;90.9549;6586.52;9994.39
P093591101;13421;7957.4;89.1837;6983.62;9726.63
P093590503;13407;9525.06;92.0068;6678.32;11642.7
P093591103;13080;6391.26;89.1059;6867.79;8292.67
P093590505;13442;7278.16;89.7692;6487.01;9614.1
P094590501;13242;7648.88;91.8222;6463.21;10012
P094591101;13421;8652.18;90.3863;6890.16;10528.1
P094590503;13249;7263.06;92.4286;6692.32;9364.71
P094591103;13442;7788.27;93.2252;6519.04;10087.7
P094590505;13214;7292.22;87.1851;6723.09;9358.76
P095590501;13249;7301.33;92.4286;5937.97;10263.8
P095591101;13428;8367.4;91.6196;6782.23;10366.5
P095590503;13421;8942.48;92.4298;6714.85;11018.4
P095591103;13080;5572.49;87.3217;6171.58;8268.38
P068590505;13435;8210.85;91.2758;6209.11;10863.9
P069590503;13407;9692.14;91.2258;6645.98;11846.7
P075590505;13428;7807.52;86.1671;6814.59;9769.65
P076591103;13256;7077.86;92.6729;5773.2;10228.4
P065591101;11228;5197.32;58.5736;6601.41;7402.71
P065590503;13421;7590.18;90.6145;6535.99;9870.22
Q065591103_1;13414;8959.32;89.7315;6963.51;10751.5
P065591103;13231;8532.95;86.167;6909.63;10386.6
P065590505;13263;6515.21;91.8053;6516.68;8817.3
P066590501;13421;8023.7;91.1187;6212.05;10673.4
P066591101;13435;7675.96;92.459;6496.3;10001.3
P066590503;13421;8946.95;90.806;6881.98;10832.2
P066590505;13449;6452.45;90.9758;6554.84;8710.98
P067590501;13249;7572.04;90.7674;6510.8;9880.84
P067591101;13435;7945.27;92.3067;6520.3;10243.2
P067590503;13414;9149.3;90.5791;7002.11;10897.4
P067591103;13080;6352.69;89.0706;6753.05;8385.04
P068590501;11821;6878.53;75.573;7139.63;8469.74
P068591101;13428;7651.53;91.8616;6452.3;10027.1
P068590503;13421;7821.99;90.8106;6438.4;10213.4
P068591103;13245;8196.88;89.8564;7407.91;9481.94
P069590501;13249;7468.12;91.633;6297.32;10020.5
P069591101;13442;7522.97;92.9272;6199.62;10186.9
P069591103;13256;7024.12;91.767;6021.28;9891.52
P069590505;13449;7035.39;91.3496;6017.36;9907.28
P072590501;13428;8067.42;91.7359;6652.66;10214.3
P072591101;13442;7620.33;91.5916;6231.97;10247.3
P072590503;13421;8460.97;89.6558;6761.49;10483.7
P072591103;13245;8415.82;89.3816;6932.26;10243.7
P072590505;13449;6620.74;89.6811;6484.09;8960.01
P073590501;13249;7693.22;91.8222;6374.78;10157.2
P073591101;13421;7736.81;92.2252;6249.22;10344.1
P073590503;13249;7207.22;90.6945;5927.21;10182
P073591103;13442;7793.8;93.0769;6452.66;10168.9
P074590501;13421;7566.33;91.0932;6488.84;9900.19
P074591101;13442;7615.3;91.8114;6328.34;10132.3
P074590503;13435;7931.21;91.8714;6292.33;10489.3
P074591103;13245;7612.26;87.6516;6061.67;10433.6
P074590505;13442;7737.46;89.0057;6502.81;10055.4
P075590501;13421;8169.76;92.0511;6411.55;10591.8
P075591101;13256;7165.72;91.2871;6132.47;9906.23
P075590503;13249;7530.42;89.3823;6231.74;10157.7
P075591103;13431;8518.45;89.55;6999.4;10269.7
P076590501;13249;7342.07;89.9677;6583.54;9567.85
P076591101;13242;8181.81;91.5522;7004.71;9926.98
Q100590501_1;1600;159.104;1.7856;4262.52;5033.5
P100590501;13421;6003.07;72.9443;5923.95;8981.54
P100591101;13442;7309.8;91.046;6377.93;9770.21
P100590503;13414;9217.52;89.3754;6852.77;11136.1
P100591103;13431;8033.87;89.4051;6538.96;10310.5
P100590505;13270;5759.31;91.7007;5899.42;8765.77
P101590501;13428;6957.73;84.1228;6632.13;9128.06
P101591101;13235;8306.74;89.6318;7163.52;9870.69
P101590503;13435;7828.6;90.995;6021.43;10695.8
P101591103;13449;7085.41;93.1419;5822.08;10180.1
P101590505;13442;7442.68;91.0132;6413.01;9863.07
P102590501;13442;8035.14;91.3385;6754.48;10065.9
P102591101;13437;8022.3;90.5838;7038.35;9729.08
P102590503;13428;8298.61;91.7549;6616.14;10487.2
P102591103;13445;7582.1;90.2675;6169.53;10280.3
P102590505;13442;7023.92;91.4769;6880.39;8910.96
P103590501;13242;7437.29;90.5494;6423.1;9846.15
P103591101;13430;8500.1;91.1798;6873.83;10394.6
P103591103;13414;8915;91.1304;6914.91;10762.6
P103590505;13091;5404.41;92.7998;6006.46;8288.72
P104590501;12621;6770.84;79.506;6652.23;8918.24
P104591101;13435;7587.56;91.8706;6358.48;10070.2
P104590503;13407;9021.99;88.6318;6829.35;10967.3
P104591103;13256;7015.07;92.801;5798.6;10136.6
P104590505;13270;6420.04;92.4374;6476.05;8768.49
P107590501;13428;7438.11;91.939;6253.99;10040
P107591101;13207;8186.36;87.5299;6784.74;10182.5
P107590503;13428;8470.97;92.1958;6270.25;11054.3
