Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P098382905;P098382905_1;A;0;1234;0;1010;2440;2440
P098382905;P098382905_2;B;0;0;0;1000;1200;2700
P098382905;P098382905_3;C;1000;0;0;2000;1200;2700
P098382905;P098382905_4;D;1010;1240;0;2010;2440;2700
P098382905;P098382905_5;E;2000;0;0;3600;1200;2700
P098382905;P098382905_6;F;2010;1240;0;3610;2440;2700
P098382905;P098382905_7;G;3600;0;0;5200;1200;2700
P098382905;P098382905_8;H;3610;1240;0;5210;2440;2700
P098382905;P098382905_9;I;5200;0;0;6800;1200;2700
P098382905;P098382905_10;J;5210;1240;0;6810;2440;2700
P098382905;P098382905_11;K;6800;0;0;8400;1200;2700
P098382905;P098382905_12;L;6810;1240;0;7810;2440;2700
P098382905;P098382905_13;M;7810;1240;0;8810;2440;2700
P098382905;P098382905_14;N;8400;0;0;9400;1200;2790
P098382905;P098382905_15;O;8810;1240;0;10410;2440;2700
P098382905;P098382905_16;P;9400;0;0;10400;1200;2835
P098382905;P098382905_17;Q;10400;0;0;11400;1200;2835
P098382905;P098382905_18;R;10410;1240;0;11410;2440;2835
P098382905;P098382905_19;S;11400;0;0;12400;1200;2835
P098382905;P098382905_20;T;11410;1240;0;12410;2440;2835
P098382905;P098382905_21;U;12400;0;0;13400;1200;2835
P098382905;P098382905_22;V;12410;1240;0;13410;2440;2835
P098382803;P098382803_1;A;0;0;0;1600;1200;2700
P098382803;P098382803_2;B;0;1240;0;1000;2440;2835
P098382803;P098382803_3;C;1000;1240;0;2000;2440;2835
P098382803;P098382803_4;D;1600;0;0;3200;1200;2700
P098382803;P098382803_5;E;2000;1240;0;3600;2440;2700
P098382803;P098382803_6;F;3200;0;0;4800;1200;2700
P098382803;P098382803_7;G;3600;1240;0;5200;2440;2700
P098382803;P098382803_8;H;4800;0;0;6400;1200;2700
P098382803;P098382803_9;I;5200;1240;0;6800;2440;2700
P098382803;P098382803_10;J;6400;0;0;8000;1200;2700
P098382803;P098382803_11;K;6800;1240;0;8400;2440;2700
P098382803;P098382803_12;L;8000;0;0;9600;1200;2700
P098382803;P098382803_13;M;8400;1240;0;10000;2440;2700
P098382803;P098382803_14;N;9600;0;0;11200;1200;2700
P098382803;P098382803_15;O;10000;1240;0;11600;2440;2700
P098382803;P098382803_16;P;11200;0;0;12800;1200;2700
P098382803;P098382803_17;Q;11600;1240;0;13200;2440;2700
P098382801;P098382801_1;A;0;0;0;1600;1200;2700
P098382801;P098382801_2;B;0;1240;0;1600;2440;2700
P098382801;P098382801_3;C;1600;0;0;3200;2000;2835
P098382801;P098382801_4;D;3200;0;0;4800;1200;2700
P098382801;P098382801_5;E;3200;1240;0;4800;2440;2700
P098382801;P098382801_6;F;4800;0;0;6400;2000;2835
P098382801;P098382801_7;G;6400;0;0;8000;1200;2700
P098382801;P098382801_8;H;6400;1240;0;8000;2440;2700
P098382801;P098382801_9;I;8000;1240;0;9600;2440;2700
P098382801;P098382801_10;J;8000;0;0;9600;1200;2700
P098382801;P098382801_11;K;9600;0;0;11200;1200;2700
P098382801;P098382801_12;L;9600;1240;0;11200;2440;2700
P098382801;P098382801_13;M;11200;1240;0;12800;2440;2700
P098382801;P098382801_14;N;11200;0;0;12800;1200;2700
P098381101;P098381101_1;A;0;0;0;1600;2000;1905
P098381101;P098381101_2;B;1600;0;0;3200;2000;1905
P098381101;P098381101_3;C;3200;0;0;4800;2000;1905
P098381101;P098381101_4;D;4800;0;0;6400;1200;2700
P098381101;P098381101_5;E;4800;1240;0;5800;2440;2790
P098381101;P098381101_6;F;5800;1240;0;6800;2440;2790
P098381101;P098381101_7;G;6400;0;0;8000;1200;2700
P098381101;P098381101_8;H;6800;1240;0;8400;2440;2700
P098381101;P098381101_9;I;8000;0;0;9000;1200;2745
P098381101;P098381101_10;J;8400;1240;0;10000;2440;2700
P098381101;P098381101_11;K;9000;0;0;10600;1200;2700
P098381101;P098381101_12;L;10000;1240;0;11600;2440;2700
P098381101;P098381101_13;M;10600;0;0;12200;1200;2700
P098381101;P098381101_14;N;11600;1240;0;13200;2440;2700
P098381101;P098381101_15;O;12200;0;0;13200;1200;2790
P098382903;P098382903_1;A;0;0;0;1600;2000;2835
P098382903;P098382903_2;B;1600;0;0;3270;2000;2555
P098382903;P098382903_3;C;3270;0;0;4940;2000;2555
P098382903;P098382903_4;D;4940;0;0;6610;2000;2555
P098382903;P098382903_5;E;6610;0;0;8280;2000;2555
P098382903;P098382903_6;F;8280;0;0;9950;2000;2555
P098382903;P098382903_7;G;9950;0;0;11620;2000;2555
P098382903;P098382903_8;H;11620;0;0;13290;2000;2555
P098382809;P098382809_1;A;0;0;0;1670;2000;2555
P098382809;P098382809_2;B;1670;0;0;3340;2000;2555
P098382809;P098382809_3;C;3340;0;0;5010;2000;2555
P098382809;P098382809_4;D;5010;0;0;6680;2000;2555
P098382809;P098382809_5;E;6680;0;0;8350;2000;2555
P098382809;P098382809_6;F;8350;0;0;10020;2000;2555
P098382809;P098382809_7;G;10020;0;0;11690;2000;2555
P098382809;P098382809_8;H;11690;0;0;13360;2000;2555
P098382921;P098382921_1;A;0;0;0;1600;2000;2835
P098382921;P098382921_2;B;1600;0;0;3270;2000;2555
P098382921;P098382921_3;C;3270;0;0;4870;2000;2835
P098382921;P098382921_4;D;4870;1240;0;6470;2440;2700
P098382921;P098382921_5;E;4870;0;0;5870;1200;2790
P098382921;P098382921_6;F;5870;0;0;7470;1200;2700
P098382921;P098382921_7;G;6470;1240;0;8070;2440;2700
P098382921;P098382921_8;H;7470;0;0;8470;1200;2790
P098382921;P098382921_9;I;8070;1240;0;9670;2440;2700
P098382921;P098382921_10;J;8470;0;0;10070;1200;2700
P098382921;P098382921_11;K;9670;1240;0;11270;2440;2700
P098382921;P098382921_12;L;10070;0;0;11670;1200;2700
P098382921;P098382921_13;M;11270;1240;0;12270;2440;2790
P098382921;P098382921_14;N;11670;0;0;13270;1200;2700
P098382921;P098382921_15;O;12270;1440;0;13470;2440;2790
Q098382921_1;Q098382921_1_1;A;0;0;0;1670;2000;2555
Q098382921_1;Q098382921_1_2;B;1670;0;0;3340;2000;2555
Q098382921_1;Q098382921_1_3;C;3340;0;0;5010;2000;2555
Q098382921_1;Q098382921_1_4;D;5010;0;0;6610;2000;2835
Q098382921_1;Q098382921_1_5;E;6610;0;0;8210;1200;2700
Q098382921_1;Q098382921_1_6;F;6610;1240;0;8210;2440;2700
Q098382921_1;Q098382921_1_7;G;8210;1234;0;9220;2440;1570
Q098382921_1;Q098382921_1_8;H;8210;0;0;9210;1200;2790
Q098382921_1;Q098382921_1_9;I;9210;0;0;10810;1200;2700
Q098382921_1;Q098382921_1_10;J;9220;1240;0;10820;2440;2700
Q098382921_1;Q098382921_1_11;K;10810;0;0;12410;1200;2700
Q098382921_1;Q098382921_1_12;L;10820;1240;0;12420;2440;2700
Q098382921_1;Q098382921_1_13;M;12410;0;0;13410;1200;2745
Q098382921_1;Q098382921_1_14;N;12420;1240;0;13420;2440;2835
Q098382921_2;Q098382921_2_1;A;0;0;0;1600;1200;2700
Q098382921_2;Q098382921_2_2;B;0;1240;0;1600;2440;2700
Q098382921_2;Q098382921_2_3;C;1600;0;0;3270;2000;2555
Q098382921_2;Q098382921_2_4;D;3270;0;0;4940;2000;2555
Q098382921_2;Q098382921_2_5;E;4940;0;0;6610;2000;2555
Q098382921_2;Q098382921_2_6;F;6610;0;0;8280;2000;2555
Q098382921_2;Q098382921_2_7;G;8280;0;0;9950;2000;2555
Q098382921_2;Q098382921_2_8;H;9950;0;0;11550;1200;2700
Q098382921_2;Q098382921_2_9;I;9950;1240;0;11550;2440;2700
Q098382921_2;Q098382921_2_10;J;11550;1240;0;13150;2440;2700
Q098382921_2;Q098382921_2_11;K;11550;0;0;13150;1200;1815
P097382803;P097382803_1;A;0;0;0;1000;1200;2700
P097382803;P097382803_2;B;0;1240;0;1000;2440;2790
P097382803;P097382803_3;C;1000;0;0;2600;2000;2835
P097382803;P097382803_4;D;2600;0;0;3600;1200;2835
P097382803;P097382803_5;E;2600;1240;0;4200;2440;2700
P097382803;P097382803_6;F;3600;0;0;5200;1200;2700
P097382803;P097382803_7;G;4200;1240;0;5800;2440;2700
P097382803;P097382803_8;H;5200;0;0;6800;1200;2700
P097382803;P097382803_9;I;5800;1240;0;7400;2440;2700
P097382803;P097382803_10;J;6800;0;0;8400;1200;2700
P097382803;P097382803_11;K;7400;1240;0;8400;2440;2700
P097382803;P097382803_12;L;8400;1240;0;10000;2440;2700
P097382803;P097382803_13;M;8400;0;0;10000;1200;2700
P097382803;P097382803_14;N;10000;0;0;11600;1200;2700
P097382803;P097382803_15;O;10000;1240;0;11600;2440;2700
P097382803;P097382803_16;P;11600;1240;0;13200;2440;2700
P097382803;P097382803_17;Q;11600;0;0;13200;1200;2700
P097382907;P097382907_1;A;0;0;0;1670;2000;2555
P097382907;P097382907_2;B;1670;0;0;3340;2000;2555
P097382907;P097382907_3;C;3340;0;0;5010;2000;2555
P097382907;P097382907_4;D;5010;0;0;6610;2000;2835
P097382907;P097382907_5;E;6610;1240;0;8210;2440;2700
P097382907;P097382907_6;F;6610;0;0;7620;1206;485
P097382907;P097382907_7;G;7620;0;0;9220;1200;2700
P097382907;P097382907_8;H;8210;1240;0;9210;2440;2835
P097382907;P097382907_9;I;9210;1240;0;10210;2440;2790
P097382907;P097382907_10;J;9220;0;0;10820;1200;2700
P097382907;P097382907_11;K;10210;1240;0;11210;2440;2790
P097382907;P097382907_12;L;10820;0;0;12420;1200;2700
P097382907;P097382907_13;M;11210;1240;0;12810;2440;2700
P097382907;P097382907_14;N;12420;0;0;13420;1200;975
P097382801;P097382801_1;A;0;0;0;1670;2000;2555
P097382801;P097382801_2;B;1670;0;0;3340;2000;2555
P097382801;P097382801_3;C;3340;0;0;5010;2000;2555
P097382801;P097382801_4;D;5010;0;0;6680;2000;2555
P097382801;P097382801_5;E;6680;0;0;8350;2000;2555
P097382801;P097382801_6;F;8350;1240;0;9950;2440;2700
P097382801;P097382801_7;G;8350;0;0;9360;1206;2755
P097382801;P097382801_8;H;9360;0;0;10360;1200;2700
P097382801;P097382801_9;I;9950;1240;0;10950;2440;2745
P097382801;P097382801_10;J;10360;0;0;11360;1200;2835
P097382801;P097382801_11;K;10950;1240;0;11950;2440;2835
P097382801;P097382801_12;L;11360;0;0;12360;1200;2835
P097382801;P097382801_13;M;11950;1240;0;12950;2440;2835
P097382801;P097382801_14;N;12360;0;0;13360;1200;2835
P097382903;P097382903_1;A;0;0;0;1600;2000;2835
P097382903;P097382903_2;B;1600;0;0;3270;2000;2555
P097382903;P097382903_3;C;3270;1240;0;4870;2440;2700
P097382903;P097382903_4;D;3270;0;0;4870;1200;2700
P097382903;P097382903_5;E;4870;0;0;6470;1200;2700
P097382903;P097382903_6;F;4870;1240;0;6470;2440;2700
P097382903;P097382903_7;G;6470;1240;0;8070;2440;2700
P097382903;P097382903_8;H;6470;0;0;8070;1200;2700
P097382903;P097382903_9;I;8070;0;0;9670;1200;2700
P097382903;P097382903_10;J;8070;1240;0;9070;2440;2700
P097382903;P097382903_11;K;9070;1240;0;10070;2440;2700
P097382903;P097382903_12;L;9670;0;0;10670;1200;2790
P097382903;P097382903_13;M;10070;1240;0;11670;2440;2700
P097382903;P097382903_14;N;10670;0;0;12270;1200;2700
P097382903;P097382903_15;O;11670;1240;0;13270;2440;2700
P097382903;P097382903_16;P;12270;0;0;13470;1000;2835
P097382809;P097382809_1;A;0;0;0;1600;1200;2700
P097382809;P097382809_2;B;0;1240;0;1600;2440;2700
P097382809;P097382809_3;C;1600;1240;0;3200;2440;2700
P097382809;P097382809_4;D;1600;0;0;3200;1200;2700
P097382809;P097382809_5;E;3200;0;0;4800;1200;2700
P097382809;P097382809_6;F;3200;1240;0;4800;2440;2700
P097382809;P097382809_7;G;4800;1240;0;6400;2440;2700
P097382809;P097382809_8;H;4800;0;0;6400;1200;2700
P097382809;P097382809_9;I;6400;0;0;8000;1200;2700
P097382809;P097382809_10;J;6400;1240;0;8000;2440;2700
P097382809;P097382809_11;K;8000;1240;0;9600;2440;2700
P097382809;P097382809_12;L;8000;0;0;9600;1200;2700
P097382809;P097382809_13;M;9600;0;0;11200;1200;2700
P097382809;P097382809_14;N;9600;1240;0;11200;2440;2700
P097382809;P097382809_15;O;11200;1240;0;12800;2440;2700
P097382809;P097382809_16;P;11200;0;0;12800;1200;2700
P097382921;P097382921_1;A;0;1240;0;1600;2440;2700
P097382921;P097382921_2;B;0;0;0;1600;1200;2700
P097382921;P097382921_3;C;1600;0;0;3270;2000;2555
P097382921;P097382921_4;D;3270;0;0;4940;2000;2555
P097382921;P097382921_5;E;4940;0;0;6540;2000;2835
P097382921;P097382921_6;F;6540;0;0;8140;2000;2835
P097382921;P097382921_7;G;8140;0;0;9810;2000;2555
P097382921;P097382921_8;H;9810;1234;0;10820;2440;385
P097382921;P097382921_9;I;9810;0;0;10810;1200;2790
P097382921;P097382921_10;J;10810;0;0;12410;1200;2700
P097382921;P097382921_11;K;10820;1240;0;12420;2440;2700
P097382921;P097382921_12;L;12410;0;0;13410;1200;2745
P097382921;P097382921_13;M;12420;1240;0;13420;2440;2790
Q097382921_1;Q097382921_1_1;A;0;0;0;1670;2000;2555
Q097382921_1;Q097382921_1_2;B;1670;1240;0;3270;2440;2700
Q097382921_1;Q097382921_1_3;C;1670;0;0;3270;1200;2700
Q097382921_1;Q097382921_1_4;D;3270;0;0;4940;2000;2555
Q097382921_1;Q097382921_1_5;E;4940;0;0;6610;2000;2555
Q097382921_1;Q097382921_1_6;F;6610;0;0;8280;2000;2555
Q097382921_1;Q097382921_1_7;G;8280;0;0;9950;2000;2555
Q097382921_1;Q097382921_1_8;H;9950;0;0;11620;2000;2555
Q097382921_1;Q097382921_1_9;I;11620;0;0;13290;2000;2555
P096382901;P096382901_1;A;0;0;0;1670;2000;2555
P096382901;P096382901_2;B;1670;440;0;3340;2440;2555
P096382901;P096382901_3;C;3340;0;0;4940;2000;2835
P096382901;P096382901_4;D;4940;0;0;6610;2000;2555
P096382901;P096382901_5;E;6610;1240;0;8210;2440;2700
P096382901;P096382901_6;F;6610;0;0;8210;1200;2700
P096382901;P096382901_7;G;8210;0;0;9880;2000;2555
P096382901;P096382901_8;H;9880;0;0;11550;2000;2555
P096382901;P096382901_9;I;11550;0;0;13150;1200;2700
P096382901;P096382901_10;J;11550;1240;0;13150;2440;2700
P096382803;P096382803_1;A;0;0;0;1600;1200;2700
P096382803;P096382803_2;B;0;1240;0;1600;2440;2700
P096382803;P096382803_3;C;1600;1240;0;2600;2440;2790
P096382803;P096382803_4;D;1600;0;0;3200;1200;2700
P096382803;P096382803_5;E;2600;1240;0;4200;2440;2700
P096382803;P096382803_6;F;3200;0;0;4800;1200;2700
P096382803;P096382803_7;G;4200;1240;0;5200;2440;2700
P096382803;P096382803_8;H;4800;0;0;5800;1200;2700
P096382803;P096382803_9;I;5200;1240;0;6800;2440;2700
P096382803;P096382803_10;J;5800;0;0;7400;1200;2700
P096382803;P096382803_11;K;6800;1240;0;8400;2440;2700
P096382803;P096382803_12;L;7400;0;0;9000;1200;2700
P096382803;P096382803_13;M;8400;1240;0;10000;2440;2700
P096382803;P096382803_14;N;9000;0;0;10600;1200;2700
P096382803;P096382803_15;O;10000;1240;0;11000;2440;2835
P096382803;P096382803_16;P;10600;0;0;11600;1200;2835
P096382803;P096382803_17;Q;11000;1240;0;12600;2440;2700
P096382803;P096382803_18;R;11600;0;0;13200;1200;2700
P096382905;P096382905_1;A;0;0;0;1670;2000;2555
P096382905;P096382905_2;B;1670;0;0;3340;2000;2555
P096382905;P096382905_3;C;3340;0;0;4940;2000;2835
P096382905;P096382905_4;D;4940;0;0;6540;2000;2835
P096382905;P096382905_5;E;6540;0;0;8210;2000;2555
P096382905;P096382905_6;F;8210;0;0;9880;2000;2555
P096382905;P096382905_7;G;9880;0;0;11550;2000;2555
P096382905;P096382905_8;H;11550;0;0;13150;1200;2700
P096382905;P096382905_9;I;11550;1240;0;13150;2440;2700
P096382801;P096382801_1;A;0;0;0;1010;1206;1176
P096382801;P096382801_2;B;0;1240;0;1600;2440;2700
P096382801;P096382801_3;C;1010;0;0;2010;1200;2790
P096382801;P096382801_4;D;1600;1240;0;3200;2440;2700
P096382801;P096382801_5;E;2010;0;0;3010;1200;2790
P096382801;P096382801_6;F;3010;0;0;4610;1200;2700
P096382801;P096382801_7;G;3200;1240;0;4800;2440;2700
P096382801;P096382801_8;H;4610;0;0;6210;1200;2700
P096382801;P096382801_9;I;4800;1240;0;6400;2440;2700
P096382801;P096382801_10;J;6210;0;0;7220;1206;2055
P096382801;P096382801_11;K;6400;1240;0;8000;2440;2700
P096382801;P096382801_12;L;7220;0;0;8820;1200;2700
P096382801;P096382801_13;M;8000;1240;0;9600;2440;2700
P096382801;P096382801_14;N;8820;0;0;10420;1200;2700
P096382801;P096382801_15;O;9600;1240;0;11200;2440;2700
P096382801;P096382801_16;P;10420;0;0;11420;1200;2835
P096382801;P096382801_17;Q;11200;1240;0;12200;2440;2835
P096382801;P096382801_18;R;11420;0;0;12420;1200;2835
P096382801;P096382801_19;S;12200;1240;0;13200;2440;2700
P096382801;P096382801_20;T;12420;0;0;13420;1200;2700
P096381101;P096381101_1;A;0;0;0;1670;2000;2555
P096381101;P096381101_2;B;1670;0;0;3340;2000;2555
P096381101;P096381101_3;C;3340;0;0;4340;1200;2790
P096381101;P096381101_4;D;3340;1240;0;4940;2440;2700
P096381101;P096381101_5;E;4340;0;0;5940;1200;2700
P096381101;P096381101_6;F;4940;1240;0;6540;2440;2700
P096381101;P096381101_7;G;5940;0;0;7540;1200;2700
P096381101;P096381101_8;H;6540;1240;0;8140;2440;2700
P096381101;P096381101_9;I;7540;0;0;9140;1200;2700
P096381101;P096381101_10;J;8140;1240;0;9740;2440;2700
P096381101;P096381101_11;K;9140;0;0;10740;1200;2700
P096381101;P096381101_12;L;9740;1240;0;11340;2440;2700
P096381101;P096381101_13;M;10740;0;0;11740;1200;2700
P096381101;P096381101_14;N;11340;1240;0;12340;2440;2745
P096381101;P096381101_15;O;11740;0;0;13340;1200;2700
P096381101;P096381101_16;P;12340;1240;0;13340;2440;2790
P096382903;P096382903_1;A;0;0;0;1600;2000;2835
P096382903;P096382903_2;B;1600;0;0;3200;2000;2835
P096382903;P096382903_3;C;3200;0;0;4870;2000;2555
P096382903;P096382903_4;D;4870;0;0;6540;2000;2555
P096382903;P096382903_5;E;6540;0;0;8210;2000;2555
P096382903;P096382903_6;F;8210;0;0;9880;2000;2555
P096382903;P096382903_7;G;9880;0;0;11550;2000;2555
P096382903;P096382903_8;H;11550;0;0;13220;2000;2555
P096382809;P096382809_1;A;0;0;0;1670;2000;2555
P096382809;P096382809_2;B;1670;0;0;3270;1200;2700
P096382809;P096382809_3;C;1670;1240;0;3270;2440;2700
P096382809;P096382809_4;D;3270;1240;0;4270;2440;2835
P096382809;P096382809_5;E;3270;0;0;4270;1200;2835
P096382809;P096382809_6;F;4270;0;0;5870;1200;2700
P096382809;P096382809_7;G;4270;1240;0;5870;2440;2700
P096382809;P096382809_8;H;5870;0;0;7470;2000;2835
P096382809;P096382809_9;I;7470;0;0;9070;1200;2700
P096382809;P096382809_10;J;7470;1240;0;9070;2440;2700
P096382809;P096382809_11;K;9070;1240;0;10670;2440;2700
P096382809;P096382809_12;L;9070;0;0;10670;1200;2700
P096382809;P096382809_13;M;10670;0;0;12270;1200;2700
P096382809;P096382809_14;N;10670;1240;0;11670;2440;2790
P096382809;P096382809_15;O;11670;1240;0;13270;2440;2700
P096382809;P096382809_16;P;12270;0;0;13470;1000;2745
P096382921;P096382921_1;A;0;0;0;1670;2000;2555
P096382921;P096382921_2;B;1670;0;0;3340;2000;2555
P096382921;P096382921_3;C;3340;0;0;5010;2000;2555
P096382921;P096382921_4;D;5010;0;0;6680;2000;2555
P096382921;P096382921_5;E;6680;1240;0;8280;2440;2700
P096382921;P096382921_6;F;6680;0;0;8280;1200;2700
P096382921;P096382921_7;G;8280;0;0;9880;2000;2835
P096382921;P096382921_8;H;9880;1240;0;11480;2440;2700
P096382921;P096382921_9;I;9880;0;0;11480;1200;2700
P096382921;P096382921_10;J;11480;0;0;12480;1200;2835
P096382921;P096382921_11;K;11480;1240;0;13080;2440;2700
P096382921;P096382921_12;L;12480;0;0;13480;1200;2835
P095382901;P095382901_1;A;0;0;0;1600;2000;2835
P095382901;P095382901_2;B;1600;0;0;3270;2000;2555
P095382901;P095382901_3;C;3270;0;0;4940;2000;2555
P095382901;P095382901_4;D;4940;0;0;6610;2000;2555
P095382901;P095382901_5;E;6610;1240;0;8210;2440;2700
P095382901;P095382901_6;F;6610;0;0;8210;1200;2700
