Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P086382803;13410;8192.27;80.4111;5870.11;11232.2
P087382905;13340;7924.24;77.7858;5714.44;11141.8
P087382803;13340;8168.84;76.9197;6895.06;10039.1
P088382809;13220;5263.05;70.6422;5221.85;9042.71
P089382901;12750;7965.47;75.7878;6429.35;10367.2
P090382809;13350;7521.53;75.1871;5781.43;10662.6
P090382803;13340;7614.47;72.601;6309.5;10153
P091382921;13480;7157.26;77.1188;5269.08;10883
P091382905;13480;7124.75;75.9308;5322.21;10789.9
P093382801;13210;9146.51;82.3265;7279.49;10578.1
P093382803;13220;5286.84;70.6422;5298.73;8978.77
Q094382921_1;13470;8947.37;81.5959;6391.39;11392.4
P094382803;13290;5100.07;70.1039;5222.69;8878.78
P095382903;13210;9205.24;82.2619;6515.3;11508.9
Q086382809_1;11340;4058.64;44.6997;6197.2;6725.3
P086382809;13480;6585.63;71.4356;5176.5;10417
P086382903;13220;4872.87;69.3462;5453.74;8387.92
P086382801;13210;9802.95;84.1064;7150.98;11381.2
P086382905;13480;7014.97;75.9308;5126.88;10903
P086382811;13350;8201.96;80.5195;5781.77;11342.7
P087382921;13270;8581.83;81.7217;6634.55;10749.4
P087382809;13150;5782.34;72.4765;5196.43;9591.02
P087382903;13150;5946.28;72.4765;5304.62;9631.49
P087381101;13210;9878.22;83.1568;7408.96;11162.1
P087382801;13340;7783.03;79.5454;5739.95;10971.5
P087382907;13480;6867.46;75.1028;6757.94;8894.23
P087382901;13350;8361.79;80.3721;5888.65;11380.5
Q088382809_1;13220;5331.17;70.6422;5565.24;8718.98
P088382903;13200;9511.9;80.0864;7044.02;11212.2
P088382801;13270;7752.77;77.2217;6491.95;10083.1
P088382905;13410;9569.1;82.4017;6680.1;11684.7
P088382803;13480;7036.7;77.0108;5298.29;10729.1
P088382901;13410;7574.79;77.7111;5334.97;11225.4
P089382921;13490;6890.34;74.434;6127.22;9636.85
P089382809;13480;6956.88;75.7688;5432.01;10496.7
P089382903;13200;8888.19;82.134;6632.46;11058.2
P089381101;13360;4468.53;68.2696;5451.83;7985.76
P089382801;13220;8992.67;81.5482;6770.96;11004.6
P089382905;13200;10275.1;84.456;6998.34;12027.5
P089382803;13410;7070.32;76.2531;5438.25;10603
P090382921;13360;4468.53;68.2696;5451.83;7985.76
P090382903;12870;8488.48;79.8137;6237.47;11109.2
P090382801;13400;9817.01;84.87;7068.86;11489
P090382907;13150;4997.43;67.4399;5717.36;8211.65
P091382903;13480;4906.72;69.8845;5881.75;7933.35
P091382801;13210;9432.37;80.6927;7385.86;10742.6
P091382803;13470;8455.67;82.6757;6126.83;11202.6
P093382809;13270;9208.94;82.2977;6574.15;11445.4
P093382903;13480;4988.41;69.8845;5635.02;8296.59
P093382905;13410;8060.31;80.3571;5364.78;11676.9
P093382811;13340;8450.79;81.0034;5877.44;11482.3
P093382901;13360;4468.53;68.2696;5451.83;7985.76
P094382921;13480;6433.14;74.5268;5359.45;10055.8
P094382809;13210;9204.14;82.2217;6874.63;11097.7
P094382903;13340;8536.94;81.0574;5672.08;11802.8
P094381101;13340;6733.25;69.4834;5045.01;10714.7
P094382801;13200;9000.99;83.106;6565.26;11247.6
P094382905;13340;8805.34;80.5398;5639.46;12108.5
P094382907;13220;5381.37;70.6422;5308.77;9061.84
P094382901;13360;4468.53;68.2696;5451.83;7985.76
P095382809;13200;9739.56;84.564;6853.97;11656.8
P095382801;13200;9265.2;83.43;6234.93;11888.8
P095382905;13340;8985.04;81.8674;5972.38;11908.2
P095382803;13420;8043.45;80.6259;5691.79;11286.9
P095382901;13360;4468.53;68.2696;5451.83;7985.76
P096382921;13340;7847.13;79.4914;5991.96;10748
P096382809;13410;6784.9;73.5531;6186;9464.33
P096382903;13410;10339.1;86.1491;7308.46;11737.6
P096381101;13150;5039.4;65.2285;5318.36;8708.93
P096382801;13210;9841.89;84.2144;7058.83;11525.3
P096382905;13340;8155.9;80.8414;5645.81;11451.8
P096382803;12950;6256.4;71.5585;5213.23;10045.9
P096382901;13350;8039.14;78.0704;5588.14;11400.8
P097382921;13150;5626.11;71.1805;5231.36;9394.93
P097382809;12800;8942.47;82.944;7229.85;10430.7
P097382903;13340;8545.26;79.5994;5555.1;11944.6
P097382801;13220;8180.18;79.6629;5589.26;11540.6
P097382907;13280;8860.2;79.9725;6128.57;11605.2
P097382803;13340;8259.87;81.0574;5771.92;11411.8
Q098382921_2;12410;6201.56;68.4879;6553.47;8461.66
Q098382921_1;13420;8101.94;79.0835;5707.13;11327.8
P098382921;13340;6785.55;74.8491;6074.66;9592.04
P098382809;13410;8433.36;80.0871;5407.77;12000.9
P098382903;13480;5171.13;69.8845;6025.74;8033.44
P098381101;13290;5223.79;70.1039;6222.82;7861.21
P098382801;13200;8562.31;80.352;7219.52;10062.4
P098382803;13200;8966;84.24;7192.83;10496.5
P098382905;13410;11217.1;88.1301;7134.86;12813.8
P100382901;13340;8634.92;81.1834;6071.6;11444.9
P101382921;13490;6527.41;73.6425;5217.33;10312.2
P101382907;13280;8935.83;77.2388;7570.45;10035.4
P102382809;13480;6660.24;75.8768;5320.98;10326.8
P107382901;13280;9159.12;82.8739;6344.97;11657.2
Q108382921_1;13480;7116.38;77.3348;5099.04;11036.2
Q100382809_1;4870;1497.57;18.1145;5274.68;5216.95
P100382809;13410;6488.62;68.2251;5856.78;9543.74
P100382903;13480;6080.85;71.5748;6524.37;8374.16
