Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P077382905;P077382905_1;A;0;1234;0;1010;2440;2440
P077382905;P077382905_2;B;0;0;0;1000;1200;2700
P077382905;P077382905_3;C;1000;0;0;2000;1200;2700
P077382905;P077382905_4;D;1010;1240;0;2010;2440;2700
P077382905;P077382905_5;E;2000;0;0;3000;1200;2700
P077382905;P077382905_6;F;2010;1240;0;3010;2440;2700
P077382905;P077382905_7;G;3000;0;0;4000;1200;2790
P077382905;P077382905_8;H;3010;1240;0;4010;2440;2835
P077382905;P077382905_9;I;4000;0;0;5000;1200;2835
P077382905;P077382905_10;J;4010;1240;0;5010;2440;2835
P077382905;P077382905_11;K;5000;0;0;6000;1200;2835
P077382905;P077382905_12;L;5010;1240;0;6010;2440;2835
P077382905;P077382905_13;M;6000;0;0;7000;1200;2835
P077382905;P077382905_14;N;6010;1240;0;7010;2440;2835
P077382905;P077382905_15;O;7000;0;0;8600;1200;2700
P077382905;P077382905_16;P;7010;1240;0;8610;2440;2700
P077382905;P077382905_17;Q;8600;0;0;10200;1200;2700
P077382905;P077382905_18;R;8610;1240;0;10210;2440;2700
P077382905;P077382905_19;S;10200;0;0;11800;1200;2700
P077382905;P077382905_20;T;10210;1240;0;11810;2440;2700
P077382905;P077382905_21;U;11800;0;0;13400;1200;2700
P077382905;P077382905_22;V;11810;1240;0;13410;2440;2700
P077382803;P077382803_1;A;0;1240;0;1600;2440;2700
P077382803;P077382803_2;B;0;0;0;1600;1200;2700
P077382803;P077382803_3;C;1600;0;0;3200;2000;2835
P077382803;P077382803_4;D;3200;1240;0;4800;2440;2700
P077382803;P077382803_5;E;3200;0;0;4200;1200;2835
P077382803;P077382803_6;F;4200;0;0;5200;1200;2790
P077382803;P077382803_7;G;4800;1240;0;6400;2440;2700
P077382803;P077382803_8;H;5200;0;0;6800;1200;2700
P077382803;P077382803_9;I;6400;1240;0;8000;2440;2700
P077382803;P077382803_10;J;6800;0;0;8400;1200;2700
P077382803;P077382803_11;K;8000;1240;0;9600;2440;2700
P077382803;P077382803_12;L;8400;0;0;10000;1200;2700
P077382803;P077382803_13;M;9600;1240;0;11200;2440;2700
P077382803;P077382803_14;N;10000;0;0;11600;1200;2700
P077382803;P077382803_15;O;11200;1240;0;12800;2440;2700
P077382803;P077382803_16;P;11600;0;0;13200;1200;2700
P077382801;P077382801_1;A;0;1240;0;1600;2440;2700
P077382801;P077382801_2;B;0;0;0;1600;1200;2700
P077382801;P077382801_3;C;1600;0;0;3200;1200;2700
P077382801;P077382801_4;D;1600;1240;0;3200;2440;2700
P077382801;P077382801_5;E;3200;1240;0;4800;2440;2700
P077382801;P077382801_6;F;3200;0;0;4800;1200;2700
P077382801;P077382801_7;G;4800;0;0;6400;1200;2700
P077382801;P077382801_8;H;4800;1240;0;6400;2440;2700
P077382801;P077382801_9;I;6400;1240;0;8000;2440;2700
P077382801;P077382801_10;J;6400;0;0;8000;1200;2700
P077382801;P077382801_11;K;8000;0;0;9600;1200;2700
P077382801;P077382801_12;L;8000;1240;0;9600;2440;2700
P077382801;P077382801_13;M;9600;1240;0;11200;2440;2700
P077382801;P077382801_14;N;9600;0;0;11200;1200;2700
P077382801;P077382801_15;O;11200;0;0;12800;1200;2700
P077382801;P077382801_16;P;11200;1240;0;12800;2440;2700
P077381101;P077381101_1;A;0;0;0;1670;2000;2555
P077381101;P077381101_2;B;1670;0;0;3340;2000;2555
P077381101;P077381101_3;C;3340;0;0;5010;2000;2555
P077381101;P077381101_4;D;5010;0;0;6680;2000;2555
P077381101;P077381101_5;E;6680;0;0;8350;2000;2555
P077381101;P077381101_6;F;8350;0;0;10020;2000;2555
P077381101;P077381101_7;G;10020;0;0;11690;2000;2555
P077381101;P077381101_8;H;11690;0;0;13360;2000;2555
P077382903;P077382903_1;A;0;0;0;1670;2000;2555
P077382903;P077382903_2;B;1670;0;0;3340;2000;2555
P077382903;P077382903_3;C;3340;0;0;4940;2000;2835
P077382903;P077382903_4;D;4940;0;0;6540;2000;2835
P077382903;P077382903_5;E;6540;0;0;8140;2000;2835
P077382903;P077382903_6;F;8140;0;0;9740;2000;2835
P077382903;P077382903_7;G;9740;1240;0;11340;2440;2700
P077382903;P077382903_8;H;9740;0;0;10750;1206;385
P077382903;P077382903_9;I;10750;0;0;12350;1200;2700
P077382903;P077382903_10;J;11340;1240;0;12340;2440;2835
P077382903;P077382903_11;K;12340;1240;0;13340;2440;2745
P077382903;P077382903_12;L;12350;0;0;13350;1200;2835
P077382809;P077382809_1;A;0;0;0;1670;2000;2555
P077382809;P077382809_2;B;1670;0;0;3270;2000;2835
P077382809;P077382809_3;C;3270;1240;0;4870;2440;2700
P077382809;P077382809_4;D;3270;0;0;4870;1200;2700
P077382809;P077382809_5;E;4870;0;0;6540;2000;2555
P077382809;P077382809_6;F;6540;1240;0;8140;2440;2700
P077382809;P077382809_7;G;6540;0;0;8140;1200;2700
P077382809;P077382809_8;H;8140;0;0;9740;1200;2700
P077382809;P077382809_9;I;8140;1240;0;9740;2440;2700
P077382809;P077382809_10;J;9740;1240;0;11340;2440;2700
P077382809;P077382809_11;K;9740;0;0;11340;1200;2700
P077382809;P077382809_12;L;11340;0;0;12940;1200;2700
P077382809;P077382809_13;M;11340;1240;0;12340;2440;2745
P077382809;P077382809_14;N;12340;1240;0;13340;2440;2835
P077382921;P077382921_1;A;0;1240;0;1600;2440;2700
P077382921;P077382921_2;B;0;0;0;1600;1200;2700
P077382921;P077382921_3;C;1600;0;0;3270;2000;2555
P077382921;P077382921_4;D;3270;0;0;4940;2000;2555
P077382921;P077382921_5;E;4940;0;0;6610;2000;2555
P077382921;P077382921_6;F;6610;1240;0;8210;2440;2700
P077382921;P077382921_7;G;6610;0;0;8210;1200;2700
P077382921;P077382921_8;H;8210;0;0;9810;1200;2700
P077382921;P077382921_9;I;8210;1240;0;9210;2440;2745
P077382921;P077382921_10;J;9210;1240;0;10810;2440;2700
P077382921;P077382921_11;K;9810;0;0;11410;1200;2700
P077382921;P077382921_12;L;10810;1240;0;12410;2440;2700
P077382921;P077382921_13;M;11410;0;0;13010;1200;2700
P077382921;P077382921_14;N;12410;1240;0;13410;2440;2790
Q077382921_1;Q077382921_1_1;A;0;0;0;1670;2000;2555
Q077382921_1;Q077382921_1_2;B;1670;1240;0;3270;2440;2700
Q077382921_1;Q077382921_1_3;C;1670;0;0;3270;1200;2700
Q077382921_1;Q077382921_1_4;D;3270;0;0;4940;2000;2555
Q077382921_1;Q077382921_1_5;E;4940;0;0;6610;2000;2555
Q077382921_1;Q077382921_1_6;F;6610;0;0;8280;2000;2555
Q077382921_1;Q077382921_1_7;G;8280;0;0;9950;2000;2555
Q077382921_1;Q077382921_1_8;H;9950;0;0;11550;2000;2835
Q077382921_1;Q077382921_1_9;I;11550;0;0;13220;2000;2555
P076382803;P076382803_1;A;0;1240;0;1600;2440;2700
P076382803;P076382803_2;B;0;0;0;1000;1200;2745
P076382803;P076382803_3;C;1000;0;0;2010;1206;2655
P076382803;P076382803_4;D;1600;1240;0;3200;2440;2700
