Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P067382901;13340;7758.51;77.6014;5951.31;10705.8
Q068382921_1;13340;8145.39;77.7814;6026.86;11006.4
P068382901;13220;5301.69;70.6422;5303.57;8988.1
Q069382921_1;13480;5598.8;71.1805;6475.95;7947.36
P072382901;13220;5172.94;70.6422;5366.03;8788.08
Q073382921_1;12270;6553.24;65.9213;6812.27;8518.02
Q072382903_1;13360;4477.75;68.2696;5459.02;7986.77
P074382809;13340;7413.89;72.8864;6011.89;10292
Q066382809_1;11410;3572.33;43.4726;5869.11;6613.38
P066382809;13150;5763.83;67.8181;5264.96;9494.31
P066382903;13280;8359.03;78.7134;6202.79;11019.3
P066381101;13150;5099.55;65.2285;5274;8819.71
P066382801;13340;8811.13;82.2454;5786.81;11946.1
Q066382905_1;13350;8114.72;79.5138;5602.31;11460.2
P066382905;13150;5711.64;70.5865;5474.02;9203.55
P066382907;13340;8237.16;79.0594;5857.61;11291.3
P066382803;13470;9204.55;81.8994;6442.38;11591.4
P066382901;13360;4468.53;68.2696;5451.83;7985.76
P067382809;13470;8979.75;81.7037;6074.43;11786.5
P067382903;13420;7464.81;78.3985;5297.17;11158.5
P067382801;13340;7406.91;76.1451;6470.66;9761.52
P067382905;13210;9154.49;81.5368;6330.78;11668.7
P067382803;13480;6825.96;74.7608;5148.58;10689.2
P068382921;13490;6696.6;74.4412;5558.88;10091.7
P068382809;13340;8490.5;80.9494;6095.36;11273.4
P068382903;13220;4916.74;69.3462;5912.83;7907.9
P068381101;13150;8647.71;77.5811;6149.77;11368.5
P068382801;13210;10004.7;85.6469;7218.52;11505.9
P068382905;13150;5441.44;71.1805;5418.8;8996.36
P068382803;13200;10097.8;83.1464;7510.09;11266.2
P069382921;13340;8777.68;82.1914;5994.95;11675.1
P069382809;13200;9873.96;85.59;7114.24;11494.1
P069382903;13350;8567.72;78.8771;5728.52;11769.2
P069382801;13480;6845;75.6608;5155.35;10700.6
P069382907;13410;7875.24;78.0891;5290.08;11577
P069382803;13210;9147.96;84.3164;6967.52;10935.6
Q070382921_1;13220;4885.13;66.049;5436.31;8420.06
P070382921;13410;8028.8;80.4111;6084.83;10823.7
P070382809;13480;5580.27;71.1805;5520.1;9019.58
P070382903;13410;5408.96;70.4228;6206.31;8065.22
P070381101;13360;4468.53;68.2696;5451.83;7985.76
P070382801;13400;9599.88;82.962;7410.31;10882.2
P070382803;13200;9520.26;85.752;7196.3;11046.8
Q070382905_1;13200;9632.73;85.806;6674.45;11754.8
P070382905;13350;9459.04;81.9235;5993.2;12358.5
P072382809;13200;9061.03;78.775;7320.3;10446.1
P072382903;13220;4991.98;69.3462;5430.95;8533.03
P072382801;13210;9790.29;84.1604;7022.22;11515.5
P072382905;13280;8583.36;78.6054;6283.87;11151.1
P072382811;13410;7094.37;76.4151;5279.53;10808.2
P072382803;13280;8716.38;79.4187;6461.3;11081.7
P073382921;13200;10020.3;83.7394;7432.4;11277.5
P073382809;13150;5915.91;72.4765;5181.3;9741.85
P073382903;13210;9583.81;83.3216;7087.24;11234.8
P073381101;13340;7761.04;77.9194;5441.98;11289.5
P073382801;13220;4985.29;69.3462;5665.68;8258.48
P073382905;13200;9652.19;84.348;7019.98;11379.9
P073382907;13470;9177.35;82.7119;6520.01;11475.6
P073382803;13360;4468.53;68.2696;5451.83;7985.76
P073382901;13360;4468.53;68.2696;5451.83;7985.76
P074382903;13470;8796.29;82.7837;6135.66;11533.2
P074382801;13470;8774.45;81.5957;5797.59;11897.1
P074382905;13210;9286.06;83.7191;6621.22;11468.8
P074382803;13340;8297.34;79.4914;5858.11;11350.9
P074382901;13420;7421.29;77.4781;5515.93;10865.4
Q075382921_1;13360;4468.53;68.2696;5451.83;7985.76
P075382921;13410;7872.21;79.1691;5421.61;11423.9
P075382809;13200;9420.68;84.618;6981.16;11192.7
P075382903;13220;4962.79;69.3462;5333.52;8615.02
P075381101;13470;8547.45;78.0079;6028.64;11406.5
P075382801;13210;9979.74;84.1604;7067.37;11653.4
P075382905;12550;5316.18;67.5085;5944.95;8270.68
P075382803;13210;9732.22;85.8312;7201.66;11252.6
P075382901;13220;5496.6;71.9382;5390.78;9083.5
Q076382921_1;13220;5313.77;68.8602;5342.19;8956.12
P076382921;13470;7817.33;78.7337;6250.62;10423
P076382809;13340;8534.02;81.2194;5733.73;11729.6
P076382903;13200;9979.49;84.0602;7314.49;11371.2
P076382801;13340;7772.97;78.1954;5914.67;10762
P076382907;13220;5202.79;70.6422;5515.75;8647.08
P076382803;13200;10066.1;85.476;7320.9;11450.4
P077382921;13470;9049.44;82.7837;6206.52;11705.5
P077382809;13350;8187.13;79.3664;5725.24;11392.4
P077382903;13410;5510.63;70.4228;6277.04;8086.18
P077381101;13360;4468.53;68.2696;5451.83;7985.76
P077382801;13200;9914.3;83.268;6930.29;11744.4
P077382803;12800;8787.25;82.944;6847.12;10712.3
P077382905;13410;10758.9;87.8061;6733.25;12813.8
P079382901;13350;8028.52;78.6611;6034.64;10880.7
Q080382921_1;13150;5863.54;70.6405;5331.42;9518.16
P082382901;12620;4263.9;59.3418;5631.35;7576.26
Q083382921_1;13220;5581.99;71.9382;5594.12;8936.84
P083382903;13400;8979.46;83.268;7162.45;10544.6
P083382907;13220;4982.76;69.3462;5483.44;8463.92
P084382903;13480;5221.58;69.8845;6146.9;7945.63
P084382905;13420;7541.11;78.3782;5435.02;11077.5
P086382903;13220;4944.69;69.3462;5646.85;8239.37
P086382901;12870;9063.35;80.8397;6821.03;11018.1
P087382907;13410;7793.13;78.5751;5455.53;11306.1
P088382901;13200;10120.3;84.474;7444.42;11363.7
P089382801;13210;9699.88;83.9984;7149.75;11279.5
P089382901;13480;7053.19;75.2288;5384.97;10646.7
P090382921;13350;7276.73;74.3504;7234.14;8760.09
P090382803;13200;9567.51;81.5074;7607.71;10624.6
P091382801;13210;9360.71;83.8787;6951.4;11166.7
Q079382809_1;11750;5652.56;53.2666;6982.27;7423.35
P079382809;13220;4583.05;64.2678;5394.58;8165.61
P079382903;13480;6525.06;74.4188;5330.54;10180.7
P079382801;13020;9403.63;80.8348;6787.11;11397.1
P079382905;13410;7666.84;76.9371;7621.69;8707.95
P079382811;13340;8595.84;82.2454;5760.93;11760.3
P079382803;13410;6684.54;71.3571;5861.67;9734.08
