Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P098423711;P098423711_1;A;0;0;0;2000;1200;2935
P098423711;P098423711_2;B;0;1240;0;2000;2440;2935
P098423711;P098423711_3;C;2000;1240;0;4000;2440;2935
P098423711;P098423711_4;D;2000;0;0;4000;1200;2935
P098423711;P098423711_5;E;4000;0;0;6000;1200;2935
P098423711;P098423711_6;F;4000;1240;0;6000;2440;2935
P098423711;P098423711_7;G;6000;1240;0;8000;2440;2935
P098423711;P098423711_8;H;6000;0;0;8000;1200;2935
P098423711;P098423711_9;I;8000;0;0;10000;1200;2935
P098423711;P098423711_10;J;8000;1240;0;9600;2440;2700
P098423711;P098423711_11;K;9600;1240;0;11200;2440;2700
P098423711;P098423711_12;L;10000;0;0;11000;1200;2790
P098423711;P098423711_13;M;11000;0;0;12400;1200;2940
P098423711;P098423711_14;N;11200;1240;0;12200;2440;2835
P098423711;P098423711_15;O;12200;1240;0;13200;2440;2835
P098423711;P098423711_16;P;12400;0;0;13400;1200;2835
P098423703;P098423703_1;A;0;0;0;2000;1200;2935
P098423703;P098423703_2;B;0;1240;0;2000;2440;2935
P098423703;P098423703_3;C;2000;1240;0;4000;2440;2935
P098423703;P098423703_4;D;2000;0;0;4000;1200;2935
P098423703;P098423703_5;E;4000;0;0;6000;1200;2935
P098423703;P098423703_6;F;4000;1240;0;6000;2440;2935
P098423703;P098423703_7;G;6000;1240;0;8000;2440;1490
P098423703;P098423703_8;H;6000;0;0;7000;1200;2835
P098423703;P098423703_9;I;7000;0;0;8000;1200;2835
P098423703;P098423703_10;J;8000;0;0;9000;1200;2790
P098423703;P098423703_11;K;8000;1240;0;9000;2440;2835
P098423703;P098423703_12;L;9000;1870;0;9780;2440;1771
P098423703;P098423703_13;M;9000;0;0;10000;1200;2835
P098423703;P098423703_14;N;9000;1200;0;9780;1770;478
P098423703;P098423703_15;O;9780;1240;0;10780;2440;2835
P098423703;P098423703_16;P;10000;0;0;11000;1200;2835
P098423703;P098423703_17;Q;10780;1240;0;12380;2440;2520
P098423703;P098423703_18;R;11000;0;0;12000;1200;2835
P098423703;P098423703_19;S;12000;0;0;13000;1200;2835
P098423703;P098423703_20;T;12380;1240;0;13380;2440;2835
P098423709;P098423709_1;A;0;1240;0;2000;2440;2935
P098423709;P098423709_2;B;0;0;0;2000;1200;2935
P098423709;P098423709_3;C;2000;0;0;4000;1200;2935
P098423709;P098423709_4;D;2000;1240;0;4000;2440;2935
P098423709;P098423709_5;E;4000;1240;0;6000;2440;2935
P098423709;P098423709_6;F;4000;0;0;6000;1200;2935
P098423709;P098423709_7;G;6000;0;0;8000;1200;1490
P098423709;P098423709_8;H;6000;1240;0;7600;2440;2520
P098423709;P098423709_9;I;7600;1240;0;9200;2440;2700
P098423709;P098423709_10;J;8000;0;0;9400;1200;2940
P098423709;P098423709_11;K;9200;1240;0;10200;2440;2835
P098423709;P098423709_12;L;9400;0;0;10400;1200;2835
P098423709;P098423709_13;M;10200;1240;0;11200;2440;2835
P098423709;P098423709_14;N;10400;0;0;11400;1200;2835
P098423709;P098423709_15;O;11200;1240;0;12200;2440;2835
P098423709;P098423709_16;P;11400;0;0;12400;1200;2835
P098423709;P098423709_17;Q;12200;1240;0;13200;2440;2835
P098423709;P098423709_18;R;12400;0;0;13400;1200;2790
P098423701;P098423701_1;A;0;0;0;2000;1200;2935
P098423701;P098423701_2;B;0;1240;0;2000;2440;2935
P098423701;P098423701_3;C;2000;1240;0;4000;2440;2935
P098423701;P098423701_4;D;2000;0;0;3600;1200;2700
P098423701;P098423701_5;E;3600;0;0;4600;1200;2835
P098423701;P098423701_6;F;4000;1240;0;5000;2440;2835
P098423701;P098423701_7;G;4600;0;0;5600;1200;2835
P098423701;P098423701_8;H;5000;1240;0;6000;2440;2790
P098423701;P098423701_9;I;5600;0;0;7200;1200;2700
P098423701;P098423701_10;J;6000;1240;0;7400;2440;2940
P098423701;P098423701_11;K;7200;0;0;8800;1200;2520
P098423701;P098423701_12;L;7400;1240;0;8400;2440;2835
P098423701;P098423701_13;M;8400;1240;0;9400;2440;2835
P098423701;P098423701_14;N;8800;0;0;9800;1200;2835
P098423701;P098423701_15;O;9400;1240;0;10400;2440;2835
P098423701;P098423701_16;P;9800;0;0;10800;1200;2835
P098423701;P098423701_17;Q;10400;1240;0;11400;2440;2835
P098423701;P098423701_18;R;10800;0;0;11800;1200;2835
P098423701;P098423701_19;S;11400;1240;0;12400;2440;2790
P098423701;P098423701_20;T;11800;0;0;13400;1200;2700
P098423701;P098423701_21;U;12400;1240;0;13400;2440;2835
P098423707;P098423707_1;A;0;0;0;2000;1200;2935
P098423707;P098423707_2;B;0;1240;0;2000;2440;2935
P098423707;P098423707_3;C;2000;1240;0;4000;2440;2935
P098423707;P098423707_4;D;2000;0;0;4000;1200;2935
P098423707;P098423707_5;E;4000;0;0;5000;1200;2835
P098423707;P098423707_6;F;4000;1240;0;5000;2440;2835
P098423707;P098423707_7;G;5000;1240;0;6000;2440;2835
P098423707;P098423707_8;H;5000;0;0;5780;570;1771
P098423707;P098423707_9;I;5000;670;0;5780;1240;1340
P098423707;P098423707_10;J;5780;0;0;6780;1200;2835
P098423707;P098423707_11;K;6000;1240;0;7000;2440;2835
P098423707;P098423707_12;L;6780;0;0;7780;1200;2835
P098423707;P098423707_13;M;7000;1240;0;8400;2440;2940
P098423707;P098423707_14;N;7780;0;0;9380;1200;2700
P098423707;P098423707_15;O;8400;1240;0;9400;2440;2835
P098423707;P098423707_16;P;9380;0;0;10380;1200;2835
P098423707;P098423707_17;Q;9400;1240;0;10400;2440;2745
P098423707;P098423707_18;R;10380;0;0;11380;1200;2835
P098423707;P098423707_19;S;10400;1240;0;11400;2440;2835
P098423707;P098423707_20;T;11380;0;0;12380;1200;2835
P098423707;P098423707_21;U;11400;1240;0;12400;2440;2835
P098423707;P098423707_22;V;12380;0;0;13380;1200;2835
P098423707;P098423707_23;W;12400;1240;0;13400;2440;2835
P097423705;P097423705_1;A;0;1240;0;2000;2440;2935
P097423705;P097423705_2;B;0;0;0;2000;1200;2935
P097423705;P097423705_3;C;2000;0;0;4000;1200;2935
P097423705;P097423705_4;D;2000;1240;0;4000;2440;2935
P097423705;P097423705_5;E;4000;1240;0;6000;2440;2935
P097423705;P097423705_6;F;4000;0;0;6000;1200;2935
P097423705;P097423705_7;G;6000;0;0;8000;1200;2935
P097423705;P097423705_8;H;6000;1240;0;8000;2440;2935
P097423705;P097423705_9;I;8000;1240;0;10000;2440;2935
P097423705;P097423705_10;J;8000;0;0;10000;1200;2935
P097423705;P097423705_11;K;10000;0;0;12000;1200;2935
P097423705;P097423705_12;L;10000;1240;0;12000;2440;1490
P097423705;P097423705_13;M;12000;1440;0;13200;2440;2835
P097423705;P097423705_14;N;12000;0;0;13000;1200;2835
P097423711;P097423711_1;A;0;0;0;2000;1200;2935
P097423711;P097423711_2;B;0;1240;0;2000;2440;2935
P097423711;P097423711_3;C;2000;1240;0;4000;2440;2935
P097423711;P097423711_4;D;2000;0;0;4000;1200;1490
P097423711;P097423711_5;E;4000;0;0;5600;1200;2520
P097423711;P097423711_6;F;4000;1240;0;5600;2440;2520
P097423711;P097423711_7;G;5600;1870;0;6380;2440;1771
P097423711;P097423711_8;H;5600;0;0;6800;1400;2940
P097423711;P097423711_9;I;6380;1440;0;7580;2440;2835
P097423711;P097423711_10;J;6800;0;0;7800;1200;2835
P097423711;P097423711_11;K;7580;1240;0;8580;2440;2835
P097423711;P097423711_12;L;7800;0;0;8800;1200;2835
P097423711;P097423711_13;M;8580;1240;0;9580;2440;2835
P097423711;P097423711_14;N;8800;0;0;9800;1200;2790
P097423711;P097423711_15;O;9580;1240;0;11180;2440;2700
P097423711;P097423711_16;P;9800;0;0;11400;1200;2700
P097423711;P097423711_17;Q;11180;1240;0;12180;2440;2835
