Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
Q086423707_1;9580;11890.5;58.2289;10743.3;9369.41
P087423709;13400;13756;90.292;6789.53;15746.7
P086423711;13400;12991.5;88.0176;6634.37;15159.3
P088423711;13200;12144.4;85.02;6601.68;14349.5
P089423711;13380;14047.3;87.9054;7791.52;14894.6
P090423711;13400;11347.2;91.125;6891.12;13222
P089423705;10000;7556.69;70.44;7874.24;8309.61
P091423707;13200;15534.4;88.692;7626.69;16569.8
P091423709;13400;13093.2;91.7256;6881.94;14978.4
P091423703;13200;9918.85;89.046;7138.22;11511.7
P093423707;13380;15246.1;85.7102;8372.15;15430.8
P093423711;13200;13759.8;89.4684;7046.68;15457.1
P093423705;13400;10818.4;83.7228;7095.64;12459.8
P094423707;13380;14099.5;86.4325;6667.4;16229.5
P094423703;13380;11340.2;89.5305;6675.48;13461.1
P094423711;13500;11032.4;87.192;6402.21;13465.1
P095423707;13400;15307.9;87.7608;7480.5;16510.1
P095423701;13380;14901.5;85.2949;7765.16;15778.9
P095423703;13200;12562.6;90.426;6700.3;14655.1
P095423711;13400;14555.1;89.622;7070.26;16225.5
P096423703;13400;14313;86.58;6875.72;16205.4
P095423705;12000;9420.14;80.34;7420.81;10690.5
P096423711;13380;10183.1;87.9853;7087.73;11833.6
P097423709;13400;12625.8;92.3112;6825.85;14575.1
P097423705;13200;9576.32;82.6056;7330.06;10950.2
P098423709;13400;13272.1;91.4856;6810.03;15239.4
P098423703;13200;13643.3;89.8944;7186.99;15180.5
P098423711;13400;11892.7;91.071;6893.76;13764.4
P086423707;13400;14716.3;87.5208;7142.07;16304.8
P086423701;13380;14605.5;85.2536;7621.59;15646.7
P086423709;13400;11252;88.4976;6837.11;13188.5
P086423703;13400;13179;91.756;6575.82;15413.6
P086423705;13200;9969.6;91.572;7360.29;11309
P087423707;13000;13964.6;85.0958;7299.58;15373.2
P087423701;13400;16031.1;90.4176;8210.51;16400.3
P087423703;13400;14555.6;91.3536;7107.82;16183.1
P087423711;13400;14949.8;88.9946;7632.13;15979
P087423705;13400;11131.5;92.3892;6942.05;12948.1
P088423707;13380;16254;88.6919;7842.74;17042.8
P088423701;13200;15050;87.1764;8154.03;15483.7
P088423709;13400;12663.6;91.4856;6934.06;14489.4
P088423703;13400;13417.8;87.7187;6476.92;15765.3
P089423707;13180;13521.9;75.7273;8249.87;13846.2
P089423701;13380;15881.9;84.5202;8073.42;16407.5
P089423709;13400;12159.8;91.9092;6710.33;14240.9
P089423703;13200;12201.1;87.306;6548.42;14466.9
P090423707;13180;13718.5;81.4117;7597.07;14787.7
P090423701;13380;16078.1;88.2603;8047.18;16633.6
P090423709;13400;13227.6;91.7772;6968.75;15013.8
P090423703;13200;14522.4;90.186;6751.81;16556.2
P091423701;13380;16432.8;88.3659;8416.93;16566.4
P093423701;13400;15152.3;88.8504;8072.65;15678.8
P093423709;13200;11961.8;90.774;6817.61;13920.5
P093423703;13400;12945.4;85.0128;6370.94;15413.7
P094423701;13200;17420.6;88.9884;8467.71;17496.3
P094423709;13200;13895.8;90.642;6615.19;16085.5
P095423709;13200;12204.3;87.306;6716.42;14278.4
P096423707;13380;13390.8;80.8237;7639.51;14411.6
P096423701;13400;16717.4;86.0985;8452.89;16810
P096423709;13200;11962.2;90.534;6923.25;13800.3
P097423707;13380;14448.9;82.0557;8381.38;14623.1
P097423701;13400;15231.9;89.7686;7614.31;16281.5
P097423703;13200;13211.2;90.0804;6732.93;15266.5
P097423711;13400;13704.4;84.6875;7096.19;15345.1
P098423707;13400;16206.5;89.1996;7968.02;16852.4
P098423701;13400;15777.1;90.3104;8103.16;16268.8
P100420401;9040;6528.85;57.1326;7999.95;7138.32
P101420403;13500;11223;78.6183;8873.48;10835.6
P100420411;12810;11534.1;68.4276;8580.48;11481.1
Q100420403_1;9000;6740.34;54.6997;7899.58;7464.33
Q101420403_1;13500;11919.4;83.9603;8539.37;11913.3
P101420407;13400;18928.7;45.6364;11390;15669.6
P101420405;13200;10222.2;85.8369;7381.28;11537.6
P101420413;13210;10360.9;88.1414;7322.74;11743.2
P101420401;13236;10011.9;88.3451;7625.41;11048.7
P102420403;13210;12629.7;79.4343;9491.26;11537.4
P101420411;13410;11898.7;69.4066;9196.15;11143.1
P102420407;13400;19430.8;45.3989;10768.7;16880.7
P102420401;13010;10280.7;86.122;7647.12;11292.7
P102420411;13400;12308.9;75.5326;8407.18;12453.6
P103420403;13400;12790.8;77.7613;9650.45;11516.8
P103420405;13210;10332.6;84.9886;7210.75;11842.7
P103420401;13040;9692.45;81.9868;7538.02;10829
P103420411;13400;12058.3;74.6048;8357.14;12260.2
P104420403;13410;12986.9;77.5686;9540.68;11838.2
P104420401;13030;9508.49;82.1556;7707.11;10452.1
P104420411;13400;12355;75.998;9278.89;11505
P105420403;13410;12933.9;77.201;9759.51;11535.5
P105420405;13210;10175.8;84.8344;7504.48;11350.6
P105420409;13200;10150.2;85.2948;7467.93;11366.8
P105420401;13040;9932.54;85.4565;7649.83;10941.5
P105420411;12400;10717.7;67.6448;8620.06;10619.5
P107420403;13410;12860.6;75.2086;9356.72;11921.8
P107420405;13210;10573.4;87.9173;7426.89;11836.8
P107420401;13020;10353.3;88.4119;7615.01;11402
P108420413;13206;10146.9;84.3533;7684.49;11116.4
P109420409;13200;10403.9;87.8552;7472.69;11615.1
P109420407;13110;9716.43;78.4363;6964.66;11507.3
P114420403;13400;13103.2;76.173;10021.1;11406.3
P100420403;13410;11834.5;70.5387;8907.89;11407.9
P100420407;13500;19198.7;45.072;11221.9;16131.5
P100420405;13220;10207.1;84.783;7616.5;11254.1
P100420409;13210;10395.7;88.1414;7250.2;11860.8
P100420413;13200;10367.7;86.22;7549.09;11491.7
P101420409;13000;10124.1;83.9033;7354.79;11469.8
P102420405;13010;9995.53;84.0653;7395.9;11294.3
P102420409;13020;10548.7;85.9426;7370.51;11876.5
P102420413;13200;10133.7;87.66;7533.44;11275.5
P103420407;12900;19175.8;42.9446;11325.7;15990.1
P103420409;13400;10074.4;86.544;7167.15;11634.2
P103420413;13200;10616.6;88.452;7511.27;11783.7
P104420407;13400;18881.1;48.0681;11022.1;16041.9
P104420405;13010;10632.6;86.6393;7364.26;11967.5
P104420409;13200;10242.1;85.7474;7477.18;11448.1
P105420407;13400;15954;63.7238;11942.7;12064.2
P107420407;13000;19026.2;46.0487;10976.9;16238.6
P107420409;13210;10551;87.9173;7566.06;11655.6
P107420413;13210;10331.4;88.0793;7295.93;11744.3
P107420411;13500;14723.4;71.5268;10280.6;12730.3
P108420403;13500;19371.4;46.6958;10806.6;16778
P108420405;12600;9124.97;75.9212;7674.34;10106
P108420409;13210;10157.7;86.3801;7393.09;11459.7
P108420401;13250;9332.33;86.8738;7419.15;10604.6
P108420411;13200;11783.3;72.932;7802.64;12618
P109420403;13500;18848.4;41.7551;11333.2;15654.2
P109420405;13200;10469.3;86.8634;7417.88;11743
P109420401;13210;10467.9;87.9794;7491.13;11658
P114420407;13010;21630.8;35.47;11510.4;18234.3
P114420405;13200;10252.2;86.3594;7399.72;11546.6
P114420409;13200;10249.7;85.6853;7332.95;11620.3
P114420413;13210;9897.56;84.0653;7252.81;11359.6
P114420401;13200;10696.2;88.452;7487.37;11890.5
Q067422507_1;13180;7824.98;60.5945;6625.5;10002.9
P068422507;13500;12238.6;88.7652;7333.73;13608.4
Q068422507_1;13480;8067.45;71.2649;6518.62;10367.3
P067422513;10060;6358.91;53.3902;7308.99;7756.86
P067422501;12500;7457.16;68.0508;7207.64;8970.76
P068422509;13340;7921.6;68.8792;7023.62;9645.19
P068422511;13200;9211.9;78.354;6701.21;11303.4
P068422513;11880;7052.57;61.2659;6648.07;9204.72
P069422509;13260;8196.49;70.137;6726.47;10259.2
P068422517;12800;8183.8;77.8464;7072.32;9851.82
P069422511;13500;8485.36;79.0362;6587.43;10706.7
P069422515;13200;9082.4;84.213;6907.31;10938.7
P069422517;11500;6821.44;64.0044;7427.6;8084.04
P070422507;13420;8468.24;75.1831;6686.89;10576.1
P069422513;12400;7568.19;67.5792;6637.7;9732.17
P070422509;13360;7937.66;71.1223;6488.75;10271.6
P070422511;13420;8368.23;76.551;6774.88;10375.7
P070422515;13500;9134.27;82.2672;6661.88;11270.7
Q067422507_2;7500;5209.48;33.534;7466.92;6427.2
P067422507;13420;8007.99;71.2933;6629.36;10181.5
P067422509;12340;7265.66;65.5618;6805.12;9238.59
P067422511;13500;8867.19;79.3602;6778.36;10870.7
P067422505;13420;8012.62;71.0143;6524.28;10306
P067422503;13500;9061.24;80.3016;6577.47;11294
P067422515;13200;8069.8;76.6512;7101.32;9704.73
P067422517;12600;8400.64;76.8694;6872.08;10297.2
P068422505;13420;8122.62;72.4093;6844.32;10050.8
P068422503;13420;9427.29;81.4741;6539.87;11702.9
P068422515;13400;8465.05;79.9704;6888.54;10342.8
P068422501;13500;9497.36;85.32;6644.38;11653.7
P069422507;13500;12554.8;88.8768;7375.33;13877
P069422505;13480;8459.28;75.9701;6666.97;10589.9
P069422503;13310;9255.28;80.7448;6689.15;11360.6
P069422501;13500;8753.98;79.1856;6387.12;11203.9
P070422505;13500;9194.56;82.1628;6703.16;11283.8
P101423711;13200;13899.2;86.292;7272.24;15339
P102423707;13380;16658.4;86.1445;9082.14;16032.9
P101423705;13280;10936.4;81.9049;6641.24;13096.3
P102423701;13400;14624.8;87.5748;8262.66;14934.4
Q100423701_1;11200;14731.6;70.5924;10802.3;12143.2
P102423711;13200;10781.7;87.504;6977.13;12558.3
P103423707;13000;13719.2;84.2845;7334.04;15088.5
P100423707;12800;11181.8;73.1817;7712.41;12119.4
P100423701;13400;15008.4;85.8684;6943.88;16823
P100423709;13400;11609.8;88.1987;6745.75;13650.5
P100423703;13400;13261.2;91.8552;6651.32;15409.6
P100423711;13200;11654.8;90.96;6691.32;13757.6
P101423707;13200;14568.6;86.0892;7386.24;15878.4
P101423701;13380;14271.2;84.2989;6989.04;16034.2
P101423709;13200;12285.7;87.198;6600.54;14492.1
P101423703;13400;11957.3;88.6128;6806.48;13928.6
P102423709;13200;11326.2;87.036;6760.29;13350.3
P102423703;13200;13237.7;90.2964;6572.96;15475.6
P103423701;13400;15607.9;85.8684;8001.22;16216
P103423709;13400;11761.1;88.9608;6709.9;13842.7
P103423703;13200;12482.9;90.372;6933.57;14309.3
P103423711;11000;9955.52;62.8224;7808.64;10783.3
P103423705;13380;14162.4;84.9705;6719.18;16233.4
P104423707;13200;12792.5;82.8072;7083.37;14447.9
P104423701;13380;15571.6;88.0398;7627.66;16605.9
P104423709;13400;12488.2;92.3112;6734.43;14541.8
P104423703;13200;12469.7;86.6664;6705.39;14556.5
P104423711;13400;12072.6;88.8265;6916.21;13918.7
P105423707;9380;9123.39;57.3865;8798.23;8821.9
P105423701;13380;16084.7;85.8582;8530.89;16088.3
P105423709;13200;14025.9;89.6004;7164.95;15588.2
P105423703;13400;13722.2;92.0712;6606.58;15921.7
P105423705;13380;13317.2;85.2918;7031.62;15031.7
P107423707;13400;14397;89.5764;7841.09;15187.8
P107423701;13200;15738.9;89.226;7672.38;16722.1
P107423709;13400;13018.7;92.2572;6607.37;15217.3
P107423703;13200;9567.46;87.864;7172.13;11121.6
P107423705;13380;13437.9;88.0929;7046.58;15135.3
P108423707;13380;15500.6;86.9534;7651.2;16508
P108423701;13200;14258.6;89.1744;7677.67;15235.8
P108423709;13400;12607.1;92.0712;6813.26;14570.8
P108423703;13380;12700;88.9482;6837.44;14636
P108423711;13400;12396.6;88.7892;6489.59;14729.6
P109423707;13380;15311.6;87.4197;8165;15732.7
P109423701;13400;15648.1;85.1468;7584.77;16731.4
P109423709;13200;11166.5;90.9084;6848.67;13089.7
P109423711;13400;11408.1;88.6272;6689.99;13512.4
P114423707;12380;11271.2;70.8537;7634.63;12297.5
Q114423701_1;13000;13890.9;70.6957;9913.56;12316.7
P114423701;13200;15676.2;89.682;7742.93;16578.9
P114423709;13400;11190.3;87.0657;6871.63;13087.3
P114423703;13380;13332.8;89.1398;6561.12;15584.2
P114423711;13400;11740.7;90.93;6713.38;13818.3
P067423107;13400;12570.2;76.3189;10682.6;10118.4
P068423103;13400;13190.8;81.8772;9798.43;11747.9
P068423109;13200;14441.6;61.9888;8921.11;13999.9
P069423101;13400;14776.4;78.1871;11526;11362.2
P062423101;12390;9856.66;66.0576;9689.77;8537.8
P062423103;13410;9657.76;70.8299;9262.22;8826.79
P062423105;13390;13843.8;76.2741;10003.5;12167
P062423109;13430;11918.5;68.4133;7596.36;12988.5
P062423107;13400;13457.4;74.2799;10640;11054.2
P063423101;13400;11066.5;80.2705;9461.2;10008.4
P063423103;13390;14782.6;71.4358;11781.9;11076.3
P063423109;13440;11074.7;61.8132;7293.76;12490
P063423107;13400;10538.8;70.7244;9439.22;9505.88
P067423101;13200;10683.9;78.2377;8754.34;10432.5
P067423103;13390;9423.27;74.685;8387.92;9590
P067423105;13390;14282.6;76.7372;10263.4;12309.2
P067423109;13460;10877.4;66.9476;7425.21;12142.8
P068423101;13410;7830.07;73.9226;6833.56;9770.55
P068423105;13400;13272;75.5975;9315.75;12379.9
P069423105;13390;11019.2;74.4075;8823.98;10688.4
P069423109;13420;11305.7;64.7299;8063.3;11842.8
P069423107;13410;12643.3;74.7479;9188.28;11896.7
P070423101;13400;14893.5;76.0109;11232.5;11814.3
P070423105;13410;10327.2;80.6165;8474.63;10395
P070423109;13450;10324;72.6574;7808.9;11151.5
P072423101;13410;11635.6;78.7271;9529.86;10499.2
P072423103;13370;17078.6;71.0909;11647;13526.3
P072423109;13460;12300.9;67.1571;7509.85;13469.6
P072423107;13400;11051.1;73.8567;8674.41;10890.9
P073423101;13410;10298.1;77.9075;8438.75;10406.8
P073423103;13350;16135.6;75.5894;11416.8;12845.9
P073423109;13410;10390.9;63.8507;7356.25;11734.9
P073423107;13380;12489.1;75.4189;10038.3;10772.5
P074423101;13390;14602.1;75.5214;10831.5;11980.4
P074423105;13400;11982.5;73.6475;9534.14;10841.3
P074423109;13440;10058.2;66.4956;7484.47;11255.9
P074423107;12810;12598.7;69.2607;9911.41;11026.9
P075423101;12560;8930.35;63.9289;8445.67;9031.18
P075423103;13390;12047.9;75.9119;10232;10110.4
P075423105;13430;13383.3;81.1566;9698.98;12053.9
P075423109;13220;10016.6;62.6678;7432.18;11273.9
P075423107;13380;13951.9;75.5687;10954.6;11189.7
P076423101;13380;9391.85;78.2075;7212.84;10899.5
P076423103;13210;15784.2;77.5128;11355.8;12564.2
P076423109;13456;11598.9;68.5539;7274.12;13036.7
P076423107;13390;14050.1;76.5745;11253.5;10946.8
P077423103;13410;14168.2;79.2562;10395.2;12044.3
P077423109;13250;10351;67.4957;7971.99;10992.3
P077423107;13400;9913.91;77.5662;7697.62;10868.4
P079423101;13400;11824;76.6233;8964.13;11333.2
P079423103;13410;11963.8;77.4538;7462.26;13186.8
P079423105;13390;11943.3;74.4918;9183.06;11202.6
P079423109;13440;16144.4;64.9238;6516.06;18447.2
P080423101;13410;9890.28;75.4247;7332.32;11261.6
P080423103;13200;12541;78.1565;9598.17;11326.7
P080423105;13400;16374.3;74.2359;11869.9;12567.6
P080423107;13400;11558.3;77.67;9497.58;10458.8
P081423101;13410;10977.7;76.7222;7837.63;11772.4
P081423103;13410;10185.5;74.7674;8758.42;9929.46
P081423105;13400;12566.2;76.2299;8128.41;13029
P081423109;13440;16905.9;66.0686;8316.98;17153.6
P082423101;13180;10024.9;77.0172;8922.93;9581.11
P082423103;13380;9775.93;73.5855;8636.45;9659.06
P082423105;13400;12280.1;77.3507;8309.25;12536.6
