Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P093421707;12600;12233.9;77.196;9370.02;11280
P093421709;13410;10213.9;93.8938;7318.77;11600.7
P093421705;12600;13679.1;83.9928;10660.2;11252.7
P093421703;12550;13782.2;86.1198;11011.8;10954.7
P093421701;12550;10896.2;79.672;8938.58;10434.6
P094421707;12600;14322.9;85.7331;11081.9;11415.5
P094421709;13410;10223.3;94.8317;7328.26;11599.3
P094421705;12600;13785;79.8655;10514;11525.6
P094421703;12550;12698.5;84.7662;10207.1;10789.2
P094421701;12550;11903;82.4094;9865.9;10383.2
P095421707;12600;13205.5;84.3795;10468.1;10998.5
P095421709;13410;9974.04;94.3628;7076.44;11637.4
P095421705;12600;13712.7;83.9928;10384.6;11600.9
P095421703;12550;12737.1;80.6389;10389.8;10619.4
P095421701;12550;11903;82.4094;9865.9;10383.2
P096421707;12600;13171.9;84.3795;10320.8;11133
P096421709;13410;10108.5;93.8938;7212.22;11616.8
P096421705;12600;14830.1;85.3464;11276.2;11700.8
P096421703;12550;11369.7;79.2853;9240.63;10563.3
P096421701;12500;12732;80.9358;10905.9;10025.4
P097421707;12600;11766.2;80.2824;9651.71;10490.8
P097421709;13410;10282.1;93.8938;7046.37;11979.7
P097421705;12600;14796.4;85.3464;11274;11669.7
P097421703;12550;12664.8;84.7662;10053.8;10930.5
P097421701;12550;11903;82.4094;10004.8;10224.6
P098421707;12600;12844.3;82.6803;10314.6;10812.4
P098421709;13410;10156.3;94.3628;7260.54;11609.5
P098421705;12600;14112.6;81.5647;10901.2;11411.3
P098421703;12550;12698.5;84.7662;10068.2;10947.8
P098421713;12500;11253.3;77.883;9866.88;9732.38
P100421707;12550;12233.9;77.1096;10473.5;10020.8
P100421709;13410;9993.56;94.3628;7049.28;11687.9
P100421705;12600;14074;85.692;10816;11470
P100421703;12550;13420.8;84.4206;10791.9;10844.3
P100421701;12550;11474;81.3712;9377.15;10511.8
P101421707;12600;13961.7;84.0339;10928.4;11229.4
P101421709;13410;10172.9;94.3628;7242.4;11646.8
P101421705;12600;13534.9;79.8655;10293.1;11527.6
P101421703;12550;12698.5;84.7662;10207.1;10789.2
P101421701;12550;11146.9;82.755;9266.71;10310.8
P102421707;12600;13928;84.0339;10920;11205.3
P102421709;13410;9669.45;92.4504;7303.95;11073.1
P102421705;12600;13717.7;79.8655;10509.6;11463.4
P102421703;12550;12664.8;84.7662;10192.7;10772
P102421701;12550;12264.3;84.1086;10085.8;10493.5
P103421707;12600;12810.7;82.6803;10167.3;10946.9
P103421709;13410;10223.9;94.8317;7328.87;11599.2
P103421705;12600;13679.1;83.9928;10382.4;11569.8
P103421703;12550;12703.5;80.6389;10375.4;10602.2
P103421701;12500;11942.3;81.2814;10147.2;10101.4
P104421707;12550;12233.9;77.1096;10334.5;10179.3
P104421709;13410;9854.83;93.4249;6956.03;11655.6
P104421705;12600;14796.4;85.3464;11274;11669.7
P104421703;12550;11547.5;83.4126;9234.71;10747.9
P104421701;10950;9665.74;66.084;9835.24;8180.87
P105421707;12650;15054;78.0889;11215.1;11994.5
P105421709;13460;11230.5;95.4195;7636.16;12255.1
P105421703;10410;9742.64;64.7002;9908.39;8174.31
P105421713;12500;10967.4;84.8409;9173.92;10237.2
P107421707;12600;13928;84.0339;10920;11205.3
P107421709;13410;9701.76;92.9194;6801.4;11678.9
P107421705;12600;13712.7;83.9928;10378.6;11607.8
P107421703;12550;12703.5;80.6389;10375.4;10602.2
P107421701;12550;11401.6;85.4985;9164.16;10682.5
P108421707;12600;13961.7;84.0339;10916.4;11243
P108421709;13410;10159;93.8938;7263.3;11609.1
P108421705;12600;13679.1;83.9928;10382.4;11569.8
P108421703;12550;12698.5;84.7662;10195.1;10802.9
P108421701;12500;10566.9;84.186;8535.61;10565.1
P109421707;12550;12913.8;84.8073;10501.5;10668.6
P109421709;13410;9584.3;91.5125;7195.02;11112.3
P109421705;12750;17155.3;75.5005;11404.5;13879.7
P114421707;12600;12810.7;82.6803;10306.2;10788.3
P114421709;13410;9651.8;91.9815;7286.12;11075.8
P114421705;12600;14074;85.692;10816;11470
P114421703;12550;12664.8;84.7662;10053.8;10930.5
P114421701;12550;12196.3;81.0256;10098.6;10411
P080421701;12500;11253.3;77.883;9559.05;10083.7
P081421707;12550;11762.7;87.1977;9383.93;10792.9
P087421701;12500;10892.2;79.9278;9369.25;9939.1
P088421707;12550;12225.2;85.1529;9605.51;11002.5
P089421701;10950;10822.5;70.14;10226.9;8890.75
P090421707;12500;11504.7;87.6255;9312.45;10616.4
P090421709;13160;11303.9;84.8213;7700.63;12254.9
P090421701;12500;11073.9;79.9689;9567.11;9894.96
P091421707;12600;13172.4;84.3795;10043.4;11450
Q079421707_1;1550;288.352;2.8272;4389.53;5017.81
P079421707;12550;11440.2;81.3712;9372.98;10482.8
P079421709;13460;11254.9;93.5894;6933.91;13080.9
P079421705;13500;15483;82.8738;10520.4;13216.3
P079421703;12500;12011.9;87.2388;9831.75;10531
P079421701;12550;11830.1;83.4537;9696.96;10503
P080421707;12600;13600.5;86.0787;10219.1;11677.6
P080421709;13410;9729.11;92.9194;6753.25;11761.2
P080421705;12600;13785;79.8655;10539.6;11496.4
P080421703;12550;12664.8;84.7662;10053.8;10930.5
P081421709;13460;12023.6;93.7127;6671.8;14148.7
P081421705;12600;13501.2;79.8655;10064.5;11754.8
P081421703;12550;13782.2;86.1198;11150.9;10796
P081421701;12500;11006.1;80.7136;9370.23;10051.9
P082421707;12600;14073.9;81.948;10550.3;11773
P082421709;13410;9995.71;94.3628;7063.43;11673.9
P082421705;12600;13679.1;83.9928;10660.5;11252.4
P082421703;12550;12664.8;84.7662;10192.7;10772
P082421701;12500;11255.8;87.5844;9093.61;10617.2
P083421707;12500;11650.6;85.5396;9340.1;10730.7
P083421709;12970;11632.6;78.4361;7289.17;13053.2
P083421705;12600;13679.1;83.9928;10660.5;11252.4
P083421703;12550;12664.8;84.7662;10192.7;10772
P083421701;12500;11834;83.1115;9670.37;10537.3
P084421707;12500;10420.9;86.2719;8357.13;10622.8
P084421709;13160;13787.7;86.6363;7014.44;15521.7
P084421705;12600;12777.3;86.4243;9875.26;11246.8
