Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
Q089382403_1;12000;7236.85;60.6208;6964.52;9027.89
P089382403;13210;8843.44;75.4305;7067.11;10517.4
P089382111;13200;9329.31;76.4659;7443.77;10573.5
P089382407;13210;10275.3;87.1943;7112;11898
P089382405;13200;10438.8;87.9228;7516.75;11599.7
P089382101;13010;9032.65;76.6105;7560.58;10143.5
P089382401;13210;10566;88.8894;7497.11;11749.3
P089382103;13210;8911.46;75.696;7220.86;10410
P089382409;13200;10435;88.4059;7532.95;11577.3
P089382105;13200;8827.11;72.144;7516.53;9988.22
P089382107;13210;8194.99;70.724;7110.62;9819.3
P089382109;13210;8614.67;74.2457;7121.5;10226.6
P090382403;11600;8346.29;70.9437;7738.88;9253.67
P090382111;13210;8468.51;70.8014;7303.01;9873.27
P090382407;13200;10613;87.8688;7427.14;11876.2
P090382405;13200;10373.9;88.1817;7472.83;11584.9
P090382101;13210;9259;77.8723;7283.94;10685.5
P090382401;13200;10621.3;88.452;7525.57;11772.1
P090382103;13210;9624.82;82.2887;7186.63;11162.4
P090382409;13210;10370;88.9455;7307.97;11769.1
P090382107;13200;9094.65;75.4452;7501.99;10272.4
P091382403;13200;10241.2;87.1737;7352.79;11589.2
P091382111;13200;8555.49;71.154;7321.25;9939.45
P091382407;13210;10515.4;86.6761;7511.58;11682.2
P091382405;13010;10389.6;87.1126;7709.69;11330.3
P091382401;13210;10355.6;88.3505;7287.28;11778.4
P091382409;13210;10165.9;89.1586;7282.91;11593.7
P072382111;8000;4021.36;34.3761;6569.71;6262.94
Q072382407_1;13200;9868.72;83.2176;7194.51;11397.3
P072382407;13210;10720.2;88.8077;7430.39;11979.7
P072382405;13210;10306.6;88.2524;7471.3;11519.3
P072382101;13200;9104.34;76.0248;7526.54;10254
P072382411;13210;10198.2;87.0809;7311.87;11592.8
P072382401;13210;10151.3;87.5275;7163.56;11715.2
Q072382409_1;13200;10546.4;88.614;7406.9;11832.6
P072382409;13200;10673.6;88.2396;7446.41;11914.8
P072382105;13200;9059.72;77.0154;7648.5;10070.2
P072382107;13230;7581.96;69.9788;6586.13;9804.79
P072382109;13410;9169.35;80.0216;7136.6;10764
P073382403;13210;10514.7;88.0373;7426.88;11778.1
Q073382407_1;13400;10232;86.436;7247.06;11700.6
P073382407;13210;10405.8;88.5143;7171.34;11960.8
P073382405;13200;10420.3;87.9228;7482.1;11620.7
P073382101;13200;9387.76;77.994;7569.28;10488.7
Q073382401_2;13210;10374.1;86.7731;7510.06;11542.6
Q073382401_1;13200;10471;88.0776;7418.59;11743.9
P073382401;13200;10304.4;87.9721;7237.63;11783.8
P073382409;13210;10281.2;88.3554;7231.92;11767.1
P073382105;13010;9428.99;78.0126;7380.53;10745.3
P073382109;13210;8858.46;76.3196;7130.75;10459.8
Q075382403_1;12610;8322.84;69.8637;6731.7;10379.6
P075382403;13200;8521.97;71.478;6928.33;10354.3
P075382111;13010;8846.12;72.6376;7543.51;9976.45
P075382407;13210;10134.9;88.2897;7245.6;11605.2
P075382405;13210;10419.7;88.2889;7561.3;11529.7
P075382101;13210;9162.01;76.4824;7566.27;10266.4
P075382401;13200;10386.1;88.1489;7420.24;11657.1
P075382103;13200;8624.63;72.882;7385.03;9935.81
Q075382409_2;13010;10607.2;88.3158;7479.23;11810.9
Q075382409_1;13220;10496.4;88.5365;7415.99;11772.2
P075382409;13400;10324.4;88.7472;7391.68;11628
P075382109;13210;8687.75;74.2029;7224.56;10182
P076382403;13200;10540;88.1424;7346.64;11895
P076382111;13210;8063.86;69.3115;7089.23;9712.59
P076382407;13220;10303.9;86.9201;7269.04;11747.4
P076382405;13010;10517.4;87.815;7603.34;11579.5
P076382101;13220;9107.12;79.5299;7338.07;10471.9
Q076382401_3;13200;10713.3;87.624;7529.82;11859.2
Q076382401_2;13210;10512.6;87.9649;7380.78;11828.7
Q076382401_1;13200;10533.9;88.2726;7247.63;12001.9
P076382401;13200;10409;88.2234;7378.26;11727.9
Q076382409_1;13200;10541.7;88.272;7561.85;11651.1
P076382409;13230;10077.9;88.8461;7133.19;11676.4
Q103382403_1;11600;7760.83;65.2068;7315.26;9151.62
P103382403;13210;9126.12;75.2059;6876.88;11017.2
P103382111;13220;9000.48;77.3284;7331.12;10373.2
P103382407;13010;10721;87.419;7540.36;11854.9
Q103382405_2;13220;9823.53;86.4906;6875.23;11716.5
Q103382405_1;13200;10657.8;88.8588;7543.64;11788
P103382405;13210;10437.1;88.013;7204.16;11954.7
P103382401;13200;10721.9;88.452;7531.73;11865.7
P103382103;13200;10095.1;84.2832;7292.9;11511.4
P103382409;13200;10425.4;88.1817;7500.57;11604.8
P103382107;13020;7788;66.6373;7062.36;9467.39
P103382109;13210;8727.4;74.7727;7163.56;10291.3
P104382403;13210;10372.9;87.2403;7159.4;11941.6
P104382111;13010;7708.35;65.0522;7205.41;9224.49
P104382407;13400;10642.1;88.7508;7447.31;11882.2
P104382405;13010;10439.7;87.815;7425.12;11705.2
P104382101;13210;9099.23;77.5914;7404.45;10388.2
Q104382401_2;13010;10688.6;87.1712;7388.21;11996.2
Q104382401_1;13200;9986.92;86.4537;7328.39;11362.7
P104382401;13200;10587.6;88.6726;7497.28;11770.7
Q104382409_1;13400;10377.9;89.0928;7152.96;11953.9
P104382409;13200;10359.9;88.2222;7141.81;11948.6
P104382105;13010;9515.93;78.0966;7701.36;10466.1
P104382109;13210;8888.64;76.1803;7286.57;10312.2
