Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P174770401;14200;11534.4;95.3724;7285.71;12958.9
P177770407;14900;11212.6;94.779;6639.4;13374.6
P170770407;14605;9902.06;87.0311;6902.67;11763.7
P170752703;14200;11022.5;94.5168;6913.58;12871.7
P170770401;14200;11268.8;95.6244;7053.5;12958.3
P171752701;14805;11165.7;99.1305;7008.99;12906
P171770405;14200;11812.4;94.14;7257.72;13268.8
P171770401;14605;10675.2;91.1619;6954.65;12477.5
P171712803;14605;10973.2;96.4192;6886.81;12852.9
P171770403;14200;11689.3;95.3724;7285.78;13113.8
P171712801;14605;10868.5;97.234;6449.6;13247.2
P172752701;14605;11184.5;97.264;6837.43;13120.6
P172770405;14200;11814.3;94.14;7232.58;13299.5
P172770401;14605;11179;96.8812;6883.25;13062.8
P172770403;14600;11027;95.7;6903.61;12887.6
P173752701;14805;10986.1;96.49;6729.53;13045.3
P173770405;14200;11649.2;93.024;7220.84;13147.8
Q173770401_1;14615;10555.3;89.9475;6148.13;13278
P173770401;14605;10929.9;95.4268;6568.62;13172.8
P173734901;14605;10833.4;96.802;6519.33;13132.4
P173770403;14800;11336.1;97.6488;7017.7;13066.5
P174752701;14605;11627.1;97.4188;6838.57;13561.8
P174770405;14200;11758.8;93.024;7422.55;13027.2
P174712803;14605;10835;95.4352;6479.29;13179.8
P174712801;14605;10941.8;96.2644;6560.09;13194.3
P177752703;14605;10970.4;94.3364;7144.66;12555.9
P177770401;14605;10957.1;97.4968;6527.53;13246.8
P177770403;14200;11371.8;94.596;6991.69;13131.8
Q178752701_1;14200;11128.8;95.358;7152.63;12705.2
P178752701;14805;11288.7;99.1965;6995.49;13044.4
P178770405;14200;11695.1;94.14;7272.94;13134.2
P178770401;14200;11225.5;94.26;7061.62;12905.7
P178712803;14605;10914.3;96.3688;6849.79;12836.3
P178770403;14200;11657.9;95.2764;7311.84;13052.6
P178712801;14805;10931.9;99.8733;6084.15;13727.6
P179752701;14200;11155.8;94.4808;6925.58;12991.3
P179770405;14200;11619.8;93.024;7277.84;13053.3
P179770401;14605;11175.1;97.078;6687.33;13282.5
P179770403;14605;11199.1;96.8716;6582.35;13426.2
P180752701;14605;10921.7;93.8507;6695.23;13020.1
P180770405;12000;9443.27;74.898;8095.31;9943.91
P180770401;14605;11345.3;97.6084;6706.91;13430.3
P171730407;14800;10010.4;95.196;6490.46;12342.4
P172730401;14800;10672.8;96.9132;6936.72;12495.6
P172730407;14800;10854.7;98.6628;6760.97;12878
P173730405;14800;10520.1;97.5888;6480.68;12863.2
P174730401;14600;9605.9;91.6488;6381.45;12062.3
P170730403;14200;9456.18;88.8168;6704.27;11544.2
P170730405;14600;10177.5;94.3752;6475.71;12526.4
P171730401;14600;10042.5;94.3236;6500.8;12362.8
P171730403;14800;10897.9;99.0216;6894.5;12768.9
P171730405;14600;9946.28;94.6596;6563.5;12194.9
P172730403;14800;9951.28;93.2292;6389.23;12398.8
P173730401;14800;9786.89;92.6208;6245.3;12398.7
P173730403;14600;10138.6;95.9388;6443.2;12524.5
P174730403;14800;10673.1;97.5936;6728.64;12733.3
P174730405;14800;10506.9;97.3968;6340.65;13009.8
P174721903;14800;10897.7;97.3164;6754.24;12928.7
P177730401;14800;9832.44;96.2628;6166.72;12533.9
P177730403;14800;10992.4;98.9496;6340.16;13495.9
P177730405;14800;9701.35;94.9836;6189.61;12376.7
P178730401;14800;10627.3;96.5868;6793.16;12613.9
P178721901;14800;9838.88;94.7244;6383.49;12292.9
P178730405;14800;10926.6;99.0468;6389.91;13373.4
P179730401;14600;10021.4;92.6184;6796.88;12003.7
P179730403;14800;9874.1;96.6216;6256.25;12473.4
P179730405;14800;10808.2;98.0976;6519.88;13106.7
P179730407;14800;10921.1;99.0468;6572.91;13159.1
P180730401;14800;9765.11;93.6084;6570.12;12006.2
P185752701;14200;10433.5;90.87;7041.92;12136.3
Q186752701_2;14605;11047.6;95.8804;6783.99;13044.7
P186770405;14200;11776.8;94.14;7230.49;13264.3
P187770405;14200;11913.2;95.256;7281.69;13342.3
P188752701;14200;10803.5;92.0832;7148.19;12385
P191770407;14605;10830.3;94.0772;6232.12;13457.2
P191752703;14805;11193.3;99.5889;6322;13717.6
P194770405;14200;11643.6;93.024;7222.38;13140.3
P195770405;14000;11964.7;95.256;7258.33;13420.5
P198752703;14605;10930.5;96.166;6875.94;12822.6
P199752701;14615;10411.9;93.9612;6526.31;12703
P201770405;14200;11783.6;94.14;7202.38;13303.2
P202770405;14200;11950.1;95.256;7334.12;13319.3
P208770405;14200;11800.1;94.14;7265.1;13248.1
P209770405;14200;11957.3;95.256;7187.56;13493.9
Q184770407_1;3605;1125.92;10.8767;5137.04;5002.37
P184770407;14600;9990.45;84.7404;6911.68;11841.8
P184752703;14615;10675.4;96.8148;6467.29;13033.9
P185770405;14200;11350;90.738;7391.67;12653.6
Q186752701_1;14600;11387.9;95.6052;6878.9;13276.6
P186752701;14605;10694.3;98.7645;6826.45;12642.9
P187752701;14805;10702.6;98.2197;6162.9;13408.4
Q188752701_1;14600;11172.7;94.5624;6902.26;13034.8
P188770405;14200;11950.2;95.256;7321.03;13334.4
Q192752701_1;14200;11270.9;94.9488;6993.27;13029.1
P192752701;14600;11087.3;93.9336;6638.11;13250.9
P192770405;14200;11893.1;94.14;7231.84;13379
Q193752701_1;14605;10880;95.8588;6828.59;12826.2
