Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P172770403;14200;11072.6;93.2604;7086.7;12724.2
Q173752701_1;14605;10850.7;97.4593;6441.48;13238.6
P173770403;14000;10601;92.662;6713.24;12678.8
P174752701;14605;11536.2;96.8428;6741.29;13582
P174770403;14210;10704.3;95.0193;6732.34;12760.3
P177770401;14605;11073;97.0684;6689.7;13177.6
P177770403;14200;10929.2;91.3668;7367.03;12260.9
Q178752701_1;14805;10694.6;95.9805;6481.52;13036.8
P178712803;14815;10339.6;98.3754;6155.96;13053.3
P170770407;8000;4891.93;42.33;7420.08;6163.1
P170770401;14605;10818.2;94.1051;6872.76;12713.9
Q171752701_1;14200;11247.4;95.1468;6890.96;13122.4
P171752701;14805;10894.9;99.4965;6521.55;13191.5
P171770405;14200;11811.6;94.14;7254.16;13272.1
P171770401;14010;10996.4;90.076;6903.16;12857.5
P171712803;14805;10532.5;95.0932;6295.22;13087.3
Q172752701_2;11815;8004.98;75.7777;7400.06;9299
Q172752701_1;14200;11109.6;94.6044;7019.63;12837.7
P172752701;14200;11044.5;94.8228;7111.88;12667.4
P172770405;14200;11861.6;94.14;7243.98;13333.7
P172770401;14200;11420.5;95.3028;7033.94;13132.3
P173752701;14600;10928.8;95.196;6916.04;12775.2
P173770405;14200;11620.9;93.024;7198.99;13144.3
P173770401;14600;10817.8;92.4952;6258.54;13414.4
Q174752701_2;14200;10816.4;93.2304;6691.91;12918.5
Q174752701_1;14800;11279;96.0132;6790.71;13268.4
P174770405;14200;11758.8;93.024;7422.55;13027.2
P174770401;14200;11536.3;95.2464;7243.76;13008.6
P174712803;14605;10771.5;96.37;6522.61;13066.8
P177770407;14900;11186.5;94.8606;6460.27;13553
P177752703;14010;11002.3;92.446;7085.4;12655.4
P178752701;14200;11095.1;95.1708;7181.68;12638.3
P178770405;14200;11866.2;94.14;7239.22;13343.7
P178770401;14200;11234;94.8348;7089.22;12882.7
Q179752701_2;14200;11177.2;94.212;7158.5;12746.9
Q179752701_1;14200;11158.8;95.8836;7287.57;12581.2
P179752701;14200;11272.1;94.488;6918.67;13115.4
P179770405;14200;11626.3;93.024;7257.69;13082.8
P179770401;14605;11243.8;97.0084;6716.73;13317.6
P179770403;14200;11251.1;94.8888;7068.06;12924
P180752701;14605;10975;93.9407;6720.16;13044.9
P180770405;12000;9443.27;74.898;8104.61;9933.3
P180770401;14605;11287.6;97.5184;6525.89;13579.2
P170730401;6600;3569.51;33.8328;6619.77;5753.95
P170730405;14000;8676.21;80.5644;6549.11;10941.3
P170730407;14800;10576.2;97.524;6521.47;12872.8
P171730401;14600;10259.8;95.5848;6476.79;12607.4
P171721901;14600;10138.5;96.2724;6684.32;12249.3
P171730403;14800;10181.3;94.5672;6435.39;12576.2
P172730401;14600;9946.96;91.6476;6492.34;12276.8
P172730403;14800;10196.5;94.542;6415.32;12614.2
P172730405;14800;10561.6;97.7556;6534.1;12843.8
P172730407;14800;10811.1;99.144;6785.73;12806.2
P173730401;14800;10020.7;92.8176;6600.73;12226.9
P173730403;14800;9994.04;96.2928;6373.57;12459.4
P173730405;14800;10411.5;96.0204;6722.54;12478.7
P174730401;14600;9983.54;92.7372;6545.91;12252.3
P174730403;14800;10126.9;96.2976;6466.63;12486.1
P174730405;14600;10263.9;95.9688;6304.32;12808.3
P177730401;13400;8721.34;79.794;6962.74;10514.4
P177730403;14800;10095.5;96.228;6069.62;12907.8
P177730405;14800;10228.4;94.2708;6345.54;12725.8
P177730407;14800;10827.7;99.144;6713.93;12904.7
P178730401;14600;10136.8;94.0128;6603.42;12339.9
P178730403;14800;9851.48;94.7244;6376.36;12313.7
P178730407;14800;10661.3;97.4268;6917.51;12506
P179730401;14800;9796.74;92.8632;6331.09;12310.6
P179730403;14400;10473.8;95.9736;6938.37;12294.7
P179730405;14800;10161.7;96.2976;6459.63;12528.9
P179730407;14800;10893.9;99.0468;6638;13057.5
P180730401;14800;9880.69;94.7244;6484.59;12219.4
P194770405;14200;11593.7;93.024;7220.73;13092.4
P195770405;14000;11984.3;95.256;7255.22;13443.6
P199770405;13000;10944.8;87.336;7588.74;12023.5
Q200752701_1;14805;10787.5;95.104;6839.66;12721
P200770405;14200;11783.6;94.14;7188.13;13319.5
P200752701;14600;10067;88.1448;6614.86;12257.1
P201752701;14805;10850.5;98.1081;7055.68;12537.5
P201770405;14200;11940.9;95.256;7327.17;13318.1
P202752701;14615;10352.2;95.8212;6478.64;12697.7
P202770405;14200;11902.8;95.256;7243.62;13375.3
P205770407;14605;11286.2;96.5872;6577.13;13519.2
P205752703;14605;10808.7;95.1868;6604.45;13010.6
P206752701;14805;10712.5;98.9157;6636.2;12878.2
P208770405;14200;11773.3;94.14;7164;13336.7
P209770405;14000;12002.3;95.256;7309.18;13400
P184770407;11600;6557.99;57.8399;6878.8;8446.84
P184752703;14615;10590.4;94.842;5999.95;13482.2
Q185752701_1;14200;10855.5;94.6992;6834.83;12794.5
P185752701;14805;10880.4;96.9004;6013.41;13756.8
P185770405;14200;11776.7;94.14;7189.35;13311.2
P186752701;14600;11129.9;95.142;6495.19;13456.5
P186770405;14200;11913.3;95.256;7287.73;13335.5
Q187752701_1;14805;10847.9;95.8;6037.54;13696.7
P187752701;14805;10903.8;99.4881;6084.26;13699.3
P187770405;14200;11750.4;94.14;7232.2;13236
Q188752701_1;14200;11194.2;94.0752;7013.78;12929.1
P188752701;14600;10947.1;95.7252;6692.72;13048.3
P188770405;14200;11929.5;95.256;7299.23;13338.6
Q191770407_1;5210;2435.67;24.6631;5953.79;5380.09
P191770407;14200;11188.4;93.8004;7175.56;12738.6
P191752703;14805;11166.4;97.0108;6315.75;13697.8
Q192752701_1;14200;11099.9;94.8972;6933.52;12926.3
P192752701;14605;10145.3;91.6144;5921.86;13126.1
P192770405;14200;11052.3;88.506;7521.6;12207.7
P193752701;14200;10789.4;94.2384;6785.17;12785.1
P193770405;14200;11208.9;89.622;7632.85;12237.3
Q194752701_1;14805;10750;96.6124;5935.31;13715.5
P194752701;14805;11160.1;98.2593;6196.38;13827.7
Q195752701_1;14200;11437.2;94.4736;7183.77;12978
P195752701;14200;10807.7;95.7012;6946.63;12619.2
P198770407;12900;9614.21;79.569;7323.3;10995.8
P198752703;14605;11065.5;97.5532;6488.45;13399.8
Q199752701_1;10605;6858.86;62.5807;7560.88;7969.36
P199752701;14200;11049.2;94.8672;6861.04;12958.3
Q201752701_1;14200;11203;94.0752;7048.55;12898.2
Q202752701_1;14800;11013;94.92;5955.99;13954.9
Q206752701_1;14200;11264.7;94.9308;7118.39;12880.2
P206770405;14200;11065.5;88.506;7513.76;12229.7
P207752701;14600;10870.3;93.8184;6416.49;13286.7
P207770405;14200;10908.9;87.39;7407.61;12194.3
Q208752701_1;14805;10520.3;92.5096;6284.58;13087.2
P208752701;14615;10547.8;95.6208;6076.12;13352.6
Q209752701_1;14200;11314.7;94.878;7146.42;12898.2
P209752701;14800;10945;99.9504;7069.79;12615.9
P170730301;13800;9159.38;83.34;7342.31;10519.3
P171730301;14300;10280.8;88.6176;6739.31;12328.8
P171722401;14800;11296;99.921;7059.18;12979
Q172730301_1;14800;11442;90.3978;6419.57;13854.9
P172730301;14800;10435.7;99.2496;6351.75;12926
Q173730301_1;14900;11056.7;93.489;6812.77;13020.9
P173730301;14900;11057.9;100.03;6774.75;13065.4
Q174730301_1;14400;10084.3;88.074;6645.95;12238.9
P174730301;14900;11526.2;99.2706;6614.1;13717.2
P177730301;14800;10992;96.726;6571.17;13231.9
P177730303;14900;11329.7;99.8634;6668.45;13458.6
P178730301;14600;10917.5;97.044;6717.13;12990.8
P178722401;14900;11393.6;100.285;6283.47;13961.8
Q179730301_1;14900;11068.8;95.4978;6901.41;12931.9
P179730301;14800;11779.5;100.472;6802.66;13755.2
P180730301;10500;7032.24;63.5466;7459.93;8257.95
P174731001;14805;23796;87.5324;10994.3;20988.4
P177731005;14805;23284.9;91.5298;9448.25;22241.6
P170731005;11600;13515.8;52.285;10730.4;11009.4
P171721701;12200;16734.5;61.9599;10896.5;14038.6
P171731007;14805;23765.3;94.1876;9124.56;23091.4
P172721701;14200;21100.5;80.1732;11228.6;18025.6
P172731005;14810;23720.1;92.7573;8266.83;24025
Q173721701_1;14805;23945;82.3908;8694.83;23761.6
P173721701;14805;23160.8;96.6344;8873.88;22773
P174721701;14005;21515.5;77.0394;11482.7;18150.6
P174731005;14600;22976.4;89.39;10181.1;21096.9
Q177731005_1;14605;23617.9;84.6544;7540.72;24751.4
P178721701;14605;23935.7;88.2319;10711.7;21450.7
P178731007;14805;23355.5;92.9644;8042.21;23916.8
P179721701;14810;23614;91.2081;8494.38;23659.2
P179731005;14610;22801.6;88.4758;11163.8;19800.6
P180721701;14605;23986.9;90.0389;9580.58;22792.6
P212770407;14605;9372.96;79.2335;7208;10886.1
P212752703;14605;11145.4;97.3384;6637.92;13309.1
Q213752701_1;9605;6267.97;56.1208;7878.49;7016.04
P213752701;14200;10859.6;94.2444;6857.45;12772.8
P213770405;14200;11202.1;89.622;7642.49;12219.4
Q214752701_1;10615;7272.13;64.4299;7549.41;8395.72
P214752701;14200;10833;94.8252;6676.73;12952.4
P214770405;14200;11207.7;89.622;7491.64;12397.2
Q215752701_1;14805;10165.8;92.8312;6018.4;13036.5
P215752701;14805;11073.4;98.5377;6260.43;13667.9
P215770405;14200;11982.8;95.256;7306.43;13383.7
Q216752701_1;14200;11109.4;94.176;6938.23;12930.4
P216752701;14200;11092.8;95.7024;7082.34;12749.4
P216770405;14200;11847.1;94.14;7236.64;13327.6
P219770407;13900;9972;82.8942;6940.2;11790.8
P219752703;14805;10924.4;96.994;6674.25;13046.6
Q220752701_2;4615;2468.17;23.9647;6161.25;5175.85
Q220752701_1;14200;11332.1;94.464;7062.8;13011
P220752701;14805;10685.6;96.8176;6053.73;13516
P220770405;14200;11792.4;94.14;7288.98;13213.1
Q221752701_1;14200;11204.4;94.1484;7054.07;12893.2
P221752701;14200;11447.9;95.55;7277.69;12881.6
Q222752701_1;10605;7238.23;64.3192;7700.94;8188.91
P222752701;14200;10953.6;95.3436;6756.61;12981.9
P222770405;14200;11208.9;89.622;7632.85;12237.3
Q223752701_2;14605;10096.6;90.192;7201.6;11617.1
Q223752701_1;14600;10996.8;93.0264;6676.12;13116.9
P223752701;14605;10876.4;97.7344;6564.21;13124.3
P223770405;14200;11847.6;94.14;7247.43;13315.8
P226770407;14200;11327.3;94.134;7011.85;13064.3
P226752703;14805;10888.8;96.7804;6010.85;13768.1
P227752701;14200;11096.5;95.4228;6939.73;12915.9
P227770405;14200;11065.5;88.506;7527.97;12213.5
Q228752701_2;5615;3491.31;34.9176;6681.99;5604.75
Q228752701_1;14200;11131.7;94.8324;7055.5;12818.9
P228752701;14805;10932.6;96.586;6071.78;13742.4
P228770405;14200;11628.8;93.024;7420.13;12899.9
P229752701;14200;10839.1;94.5516;6843.69;12768.1
P229770405;14200;11351.1;90.738;7540.38;12485
Q230752701_2;6605;4231.06;39.1185;7288.36;5652.55
Q230752701_1;14200;11370.3;94.7604;7225.61;12863.4
P230752701;14200;11057.1;95.6736;7159.9;12625.2
P230770405;14200;11786.1;94.14;7237.74;13265.4
P233770407;13000;9802.72;82.4952;7416.83;11077.6
P233752703;14605;11158.5;97.7248;6572.23;13397.2
P193730403;14800;10934.6;99.0216;6609.14;13131.2
P194730403;14800;10171.2;96.2976;6250.86;12776.6
P195730401;14800;9877.29;92.3964;6204.03;12536.2
P199730401;14600;10046.1;94.7148;6878.13;11935.7
P200730401;14800;9786.46;93.0768;5799.36;12907.1
P184730401;11400;7356.07;68.58;7190.92;8888.75
P184730403;14600;9561.63;88.9296;7053.91;11250.7
P185730403;8200;5219.13;47.3436;7429.86;6479.15
P185730401;14600;9597.33;91.1676;6369.33;12067.6
P186730401;14600;9830.13;92.1972;6477.03;12177.5
P186730403;14800;10643.7;96.5616;6907.28;12500
P187730401;14800;10025.8;94.9896;6538.81;12302.6
P187730403;14800;10830;99.144;6561.25;13081.3
P188730401;14800;9806.92;93.3084;6286.42;12371.8
P191730401;10200;7269.17;65.8572;7673.38;8251.3
P191730403;14600;10129.9;96.1056;6376.98;12591.4
P192730401;14000;9011.48;85.6608;6675.2;11132.7
P192721901;14800;10911.6;98.6628;6663.21;13046.4
P193730401;14800;9905.99;94.8912;6171.14;12602.4
P195730403;14800;10761.1;98.112;6807.48;12731.3
P198730401;14800;9687.63;92.7576;6216.93;12331.8
P198730403;14800;10875.5;99.144;6622.54;13056.8
P200730403;14800;10947.5;98.8296;6546.52;13215.5
P201730401;14800;9856.91;95.358;6049.21;12692.4
P201730403;14800;11020.4;98.5008;6596.86;13231
P202730401;14800;9729.87;92.7576;6287.59;12293.4
P184731005;14605;20420.4;77.9909;10225.5;18490.2
P185721701;14805;23859;86.1387;10718.3;21366.4
Q184731005_1;2600;2244.21;8.9856;6235.28;4867.41
P186721701;14205;23770.1;87.1736;10020.5;22073.9
P187721701;14805;22887.2;88.1631;7786.73;23739.9
P188721701;10605;12452.6;45.6362;10515.2;10191.8
P188731005;14800;23936.9;91.4192;10221.2;22011.5
P191731005;14810;23153.9;87.6281;9113.07;22493.2
P192721701;14605;23558.1;87.4728;11199.9;20515.9
P193721701;11010;12076.2;44.0872;10193;10183.1
P193731005;14605;23960.8;87.8683;10732.3;21452.3
P194721701;14805;23097.1;87.7284;9534.86;21955
P195721701;12005;15898.2;48.6271;10988.4;13097.4
P195731005;14810;23758.1;93.4757;9169.15;23033.4
P198731005;14210;21778.9;82.8305;8579.42;21727.1
P199721701;12605;17857;62.1605;10348.7;15786.2
P199731007;14800;23884.8;93.492;9612.68;22653.9
P200721701;14800;23963.2;83.5916;8337.93;24186.9
P201721701;14605;23208.4;89.1804;8963.49;22718.3
P202721701;10005;12844.8;41.9491;10430.6;10680.6
P202731005;14810;23190.2;93.4313;7933.76;23875.2
P205731005;14800;22152.5;81.974;10706.7;19673.2
P206721701;10605;15369.1;53.9297;10646.1;12958.9
P206731007;14605;22546.4;89.5438;9061.76;21944.2
P207721701;14610;23799.1;83.4339;9682.87;22488.1
P208721701;14605;23989.6;91.106;9744.92;22607.9
P209721701;9600;14397.2;45.3943;11387.3;11141.2
P209731005;14805;23095.6;93.3545;7802.11;23930.8
P212731005;13205;19869.3;82.5017;10285.4;17870.8
P213721701;14405;23808.3;85.9376;11336.8;20610
Q212731005_1;3000;3994.1;9.0708;7798.39;4833.58
P214721701;10200;11921.4;41.6803;9600.95;10703.9
P214731005;14405;23726.3;89.2217;8866.11;23347.4
P215721701;14600;23459.4;88.5965;9620.2;22220
P216721701;12605;20216.4;64.7383;8829.83;19878.9
P216731005;14810;23009.1;91.3373;9278.79;22159.2
P219731005;14405;22850.6;87.9919;7485.91;24046.6
P220721701;14610;23952.8;89.0297;8779.6;23672.6
P221721701;11010;14414.1;48.8416;10604.1;12051.9
P221731005;14605;23889.8;90.86;9699.84;22559.4
P222721701;14805;23670.5;88.6241;8504.33;23704.4
P223721701;13810;18973.8;63.8938;10144.3;17136.2
P223731005;14800;23948.7;93.3684;9688.15;22631.7
P226731005;14605;22864.8;85.8821;9113.41;22203.6
P227721701;14610;23996.1;87.9051;10296.5;21984.9
P228721701;10600;13370.7;46.2496;10289.2;11367.8
P228731005;14600;23596.4;89.0561;9779.74;22174.9
P229721701;14605;23711.3;87.5631;8303.8;23974.1
P230721701;10600;14931.9;52.2112;11275.9;11803.1
P230731005;14810;23951.6;94.2293;9305.33;23071.5
P233731005;13200;20625.3;72.8888;9501.15;19521.7
P170730503;8000;4719.94;51.1668;7042.41;6422.09
P171730505;14764;10384.7;91.1738;6625.82;12562.3
P171730503;14800;11019;99.154;6682.4;13132
P173730505;14788;9786.8;94.8372;6158.95;12497.1
P173730503;14188;9462.93;88.1155;6583.51;11688.7
P174730501;14788;9988.47;93.5736;6643.54;12145.8
P177730507;14764;9728.71;90.84;6758.39;11755
P178730505;13188;6985.53;67.2406;7022.27;8710.67
P178730501;14776;9583.63;91.1902;6502.6;11901.8
P178730503;14800;10536.7;98.2696;6184.7;13217.6
P180730505;10988;6833.76;64.628;7551.67;7954.77
P205730401;10800;6420.43;60.0912;6886.74;8300.23
P205730403;14600;10318;95.904;6811.11;12284.1
P206730401;13600;8819.28;83.2812;6887.89;10697.8
P206730403;14800;10832.1;98.112;6557.17;13088
P207730401;14600;9768.41;92.7252;6226.68;12401.4
P207730403;14800;10843.1;99.144;6609.19;13039.6
P208730401;14600;9741.21;92.7108;6612.2;11934.3
P209730401;14600;9943.68;92.556;6371.11;12411.9
P209730403;14800;10669.7;97.5684;6882.68;12554.2
P212730401;14800;9727.03;93.6228;6166.49;12428.7
P212730403;14800;10923.4;98.8296;6428;13326.7
P213730401;14800;9639.33;91.5732;6688.12;11745.8
P214730401;14600;9849.9;92.7408;6390.88;12295.5
P214730403;14800;10781.9;97.5756;6577.11;13015
P215730401;14800;9690.06;93.4308;6136.23;12426.3
P215730403;14800;10946.3;98.8296;6580.52;13175.6
P216730401;14600;9907.4;93.7908;6515.93;12210.3
P184730301;13800;9355.44;83.3574;7008.36;11096.4
P185730301;14800;10853.1;93.6732;6564.73;13100.3
P186730301;14200;10541.3;92.226;6948.11;12351.1
P187730301;14200;10860.8;93.8988;7062.65;12539.9
P198730301;14500;10583.3;92.0172;6718.98;12654.6
P199730301;14900;10802.2;95.4;6526.22;13093.4
