Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P182447851;13045;9235.48;87.8421;7527.69;10383.9
P184447809;13077;6309.13;89.6342;6201.49;8970.89
P182447815;10610;6280.72;49.7514;7661.4;7276.51
P182447855;13431;8553.01;89.9994;6850.8;10473.8
P184447825;13224;9933.17;90.2821;7343.18;11292.1
P184447821;13217;9531.91;80.2905;7514.74;10695.1
P184447811;13224;9434.52;87.4259;7858.8;10205.1
P184447813;13438;8897;91.402;6255.32;11497.3
P185447815;13238;9698.89;86.9386;6733.01;11754.1
P185447823;13238;9529.33;90.6587;6988.49;11293
P185447819;13031;9494.99;87.1219;7746.63;10393.5
P185447801;13228;9567.35;88.1514;7607.61;10624.5
P185447821;10217;7055.95;58.2219;7958.93;7712.23
P185447811;13235;8637.72;87.8115;5781.82;11778.4
P185447813;13221;9371.44;87.5097;6838.28;11306.5
P185447817;13234;9708.91;88.2971;7057.65;11393.7
P186447815;13231;9095.75;84.7186;7236.94;10575.9
P186447823;13214;9568.26;85.3908;7397.23;10865.5
P186447819;13007;9757.51;87.9094;6966.09;11546.7
P186447801;13424;9164.3;89.1741;6813.51;11127.7
P186447809;13084;6457.38;91.6413;5611.57;9792.32
P186447821;11221;7025.94;64.2385;7657.75;8025.9
P186447811;13224;8968.85;85.4934;6636.26;11134.5
P186447813;13028;9290.75;87.1107;7254.15;10751.3
P186447817;13231;10172.5;90.6775;7088.99;11821.5
P187447815;13231;8973.44;83.9179;6798.89;10953.5
P187447823;13231;9473.42;89.128;7021.8;11199.1
P187447819;13031;10048.7;86.4833;8034;10619.3
P187447801;13431;9381.09;89.8755;7205.32;10897.3
P187447809;13056;7976.64;88.5615;7548.5;9101.27
P187447821;13224;9383.16;89.0798;7392;10686.4
P187447811;12821;9325.68;86.5005;7034.03;11037.4
P187447813;13231;9670.57;88.5449;6618.54;11856.4
P187447817;13428;9227.05;92.4973;6882.42;11111.8
P188447815;13241;9106.33;80.7697;6842.07;11037.1
P188447823;12624;10037.7;86.4724;7333.25;11408
P188447819;13235;9317.69;89.608;5943.56;12273.8
P188447801;13207;10177.8;88.308;7836.48;10973.8
P188447821;13238;9051.08;91.4668;6586.7;11273.3
P188447811;13245;8432.29;88.7795;6241.88;11048
P188447813;13214;10701.2;89.319;7422.47;11969.7
P188447817;13452;7929;93.4987;6213.21;10577.4
Q189447815_2;13214;8414.03;90.8945;6762.43;10435.7
Q189447815_1;13024;10807;88.2391;7692.92;11766.9
P189447815;13021;10604.1;88.8369;7235.09;12086.4
P189447819;13227;9869.15;89.0621;7348.56;11221.9
P189447851;13042;8991.35;88.104;5921.11;11973.1
P189447859;13241;8280.91;89.1367;6745.26;10322.2
P189447853;13052;9040.63;89.0171;7422.09;10309.5
P189447855;13014;10852.6;88.911;7030.38;12568.5
Q191447825_1;5607;3364.92;31.0442;6789.59;5355.58
P191447825;13224;9830.48;89.6678;7065.2;11506.6
P191447809;13084;6682.99;90.3243;6295.29;9237.71
P191447821;13028;9574.27;85.1252;7510.68;10742.1
P191447811;13217;10328.1;88.1175;7897.81;11054.1
P191447813;13431;8651.87;92.1952;6350.41;11143.7
P192447815;13231;9521.96;86.1148;6875.26;11414.8
P192447823;13231;9035.94;88.393;6701.22;11127.4
P192447819;13024;9793.07;86.8764;7148.03;11374.7
P192447801;13221;9845.32;89.8887;7669.21;10832.2
P192447821;10224;7156.97;66.6866;7502.7;8333.87
