Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P186447813;13442;7481.25;90.6479;6795.16;9465.54
P187447801;13231;10529.9;89.6739;7478.64;11734.3
P188447813;13042;9134.64;88.4457;6975.39;10913.3
P189447815;13427;9805.84;90.784;7445.94;11047.5
P194447817;13414;10128.4;90.1633;7799.06;10967.1
P195447823;13231;9399.86;89.9171;7166.13;10960.8
P182447815;13210;8565.6;69.5248;7949.65;9232.47
P182447819;13235;9144.99;89.1657;5873.59;12180.9
P182447851;13431;7851.42;91.7611;6323.77;10373.6
P182447855;13428;8518.78;92.0765;6860.39;10428.6
P184447825;13014;10136.3;87.4925;7114.42;11756.3
P184447809;13266;6820.37;88.568;6897.98;8687.34
P184447821;13014;10615.2;87.7959;7780.11;11475.5
P184447813;13042;9035.72;88.3583;6829.12;10981.3
P185447815;13238;9930.01;89.213;6868.27;11830.9
P185447823;13220;10102.1;88.0087;7547.69;11227.6
P185447819;13228;9808;91.0935;7146.3;11391.6
P185447801;13417;9200.98;90.5017;6779.04;11203.7
P185447821;13028;9808.7;88.511;7128.09;11413.1
P185447811;13217;10202.5;90.6836;7334.07;11571.9
P185447813;13235;9278.19;89.8221;6797.12;11260.2
P185447817;13224;9768.83;90.4473;7564.98;10874.7
P186447815;13248;9312.76;86.9311;6872.85;11208.4
P186447823;13021;10568.6;88.9202;7608.94;11624.2
P186447819;13431;9124.32;91.2429;7144.21;10710.3
P186447801;13245;9677.74;89.5906;7365.42;11011.3
Q186447809_1;13238;8780.77;90.9934;6211.2;11431.4
P186447809;13495;5604.46;92.582;5879.37;8633.81
P186447821;13000;11078.7;87.1536;7908.83;11792.2
P186447811;13438;8502.62;89.6786;6123.88;11252.9
P186447817;13452;7837.42;92.0365;6426.64;10242.3
P187447815;13014;10918.6;86.9162;7800.17;11756.1
P187447823;13234;10258.6;88.1214;7687.58;11224.5
P187447819;13021;10144.7;87.7437;7522.71;11298.8
P187447809;13024;10340.8;87.7833;7698.42;11294.4
P187447821;13245;8401.34;84.5531;6072.36;11210.5
P187447811;13238;9633.85;89.5209;7275.96;11069.5
P187447813;12621;9727.47;85.8625;7070.51;11397.6
P187447817;13214;9809;89.0307;7393.45;11110.6
P188447815;13231;9415.64;91.0869;6876.34;11307.3
P188447823;13214;9749.74;87.7257;6870.4;11648.2
P188447819;13231;9205.27;89.705;6888.53;11083
P188447801;13221;10288.4;89.2323;7221.64;11786
P188447821;13424;9221.38;92.0211;7135.28;10817.5
P188447811;13028;10021.6;88.3657;7718.69;10952
P188447817;13424;9652.75;90.4184;6797.07;11634.9
P189447819;13021;10384.2;88.6808;7702.17;11333.5
P189447851;13252;8206.39;89.2889;6216.26;10851.3
P189447859;13038;9794.73;88.6745;6327.46;12312.7
P189447853;13424;9569.96;92.3843;7516.19;10731.5
P189447855;13242;8750.56;91.359;6662.18;10886.6
P191447821;13231;9428.7;85.1323;7483.07;10628
P191447825;13224;9383.5;85.5771;6842.07;11314.3
P191447809;13077;6532.12;87.8237;6363.56;9008.94
P191447811;13021;10342.6;88.1263;7369.47;11671.6
P191447813;13445;8664.19;90.0658;6737.69;10714.1
P192447815;13217;9528.52;86.4821;6683.64;11640.1
P192447823;13224;9488.48;88.987;6776.23;11494.4
P192447819;13021;10444.7;89.087;7222.29;11941.6
P192447801;13417;8992.76;90.3686;6910.9;10845
P192447821;13231;9590.82;86.2014;7552.63;10710.7
P192447811;13224;9117.38;86.0669;6600.73;11323.5
P192447813;13028;10489.8;87.776;7527.64;11638.2
P192447817;13438;8472.12;88.2774;6821.16;10426.7
P193447815;13231;9278.84;87.8068;6817.52;11237.6
P193447823;13238;9163.07;88.3706;6130.6;11905.7
P193447819;13214;10518.6;90.5022;6734.19;12572.5
P193447801;13238;9570.09;88.3707;7033.36;11282.6
P193447809;13080;6616.71;90.5465;5589.95;9976.32
P193447821;13221;9928.19;90.8006;6776.82;11933.4
P193447811;13217;10162.4;87.6263;7636.29;11186.9
P193447813;13235;8705.31;89.3206;5964.54;11637.5
P193447817;13442;8176.49;91.9118;6646.02;10331
Q194447809_1;13449;7628.95;93.545;6888.04;9507.26
P194447815;13021;10382.1;86.1055;7598.48;11449.7
P194447823;13014;9635.85;85.4004;7527.48;10784.5
P194447819;13221;9784.99;87.4004;7324.75;11164.9
P194447801;13234;9144.25;89.8974;6782;11143.6
P194447809;13021;10714.2;89.1061;7422.22;11983
P194447821;13038;9543.18;89.2833;6712.13;11622.2
P194447811;13224;9128.72;84.2877;6851.68;11048.5
P194447813;13217;10426.2;89.4583;7632.84;11454.6
P195447815;13242;8914.38;90.1341;6104.26;11687.1
P195447819;13228;9663.49;88.3705;7455.22;10894.6
P195447801;13210;10511.7;88.421;7871.39;11267.8
P195447821;13245;8714.27;91.3437;6404.36;11144.5
P195447811;13238;9725.11;89.8613;6535;12006.3
P195447813;13207;10760.3;89.7282;7714.4;11695.7
P195447817;13049;8986.43;89.4202;6729.23;11046
P196447815;13410;9485.19;90.9394;6992.95;11243.8
P196447819;13028;10200.5;89.2522;6807.26;12171
P196447851;13242;8637.7;91.7748;5802.77;11754.5
P196447859;13227;9828.06;90.2217;7557.44;10942.5
P196447853;13200;11713.1;88.452;7967.21;12360
P196447855;12859;6900.52;89.7409;5750.62;10076.8
P202447813;13221;10150.3;88.2094;7337.02;11516.2
P203447815;13234;9585.5;90.6227;7120.11;11199
Q198447825_1;13014;8643.33;77.033;7212.1;10151.8
P198447825;13221;8302.94;75.0096;6742.38;10347.5
P198447809;13283;6176.35;89.249;5674.34;9439.66
P198447821;13031;10017.5;86.2133;7757.91;10903.1
P198447811;13231;9246.67;90.145;6383.77;11700.4
P198447813;13224;9748.19;90.4473;6720.78;11817.4
P199447815;13221;10309.9;88.8355;7487.58;11504
P199447823;13241;9560.42;86.1173;7230.25;11048.2
P199447819;13042;9341.09;89.7922;6474.33;11691.5
P199447801;13421;9670.01;88.7816;7422.17;10938.8
P199447821;13231;9496.21;90.2943;6931.79;11324.6
P199447811;13052;9146.79;86.5012;6791.95;11134.8
P199447813;13417;10092.9;91.1732;7388.76;11399.8
