Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P205041103;P205041103_1;A;0;0;0;600;800;2632
P205041103;P205041103_2;B;0;1240;0;1800;2440;2935
P205041103;P205041103_3;C;600;0;0;1600;1200;2835
P205041103;P205041103_4;D;1600;0;0;2600;1200;2610
P205041103;P205041103_5;E;1800;1240;0;3600;2440;2935
P205041103;P205041103_6;F;2600;0;0;5000;1200;2935
P205041103;P205041103_7;G;3600;1240;0;5200;2440;2865
P205041103;P205041103_8;H;5000;0;0;6800;1200;2935
P205041103;P205041103_9;I;5200;1240;0;6200;2440;2835
P205041103;P205041103_10;J;6200;1240;0;8000;2440;2935
P205041103;P205041103_11;K;6800;0;0;8600;1200;2935
P205041103;P205041103_12;L;8000;1240;0;9800;2440;2935
P205041103;P205041103_13;M;8600;0;0;9600;1200;2610
P205041103;P205041103_14;N;9600;0;0;10600;1200;2835
P205041103;P205041103_15;O;9800;1240;0;12200;2440;2935
P205041103;P205041103_16;P;10600;0;0;12200;1200;2865
P205041103;P205041103_17;Q;12200;0;0;13400;2400;2935
P205041101;P205041101_1;A;0;0;0;1800;1200;2935
P205041101;P205041101_2;B;0;1240;0;1800;2440;2935
P205041101;P205041101_3;C;1800;1240;0;3600;2440;2935
P205041101;P205041101_4;D;1800;0;0;3400;1200;2700
P205041101;P205041101_5;E;3400;0;0;5000;1200;2865
P205041101;P205041101_6;F;3600;1240;0;4600;2440;2835
P205041101;P205041101_7;G;4600;1240;0;5600;2440;2835
P205041101;P205041101_8;H;5000;0;0;6600;1200;2865
P205041101;P205041101_9;I;5600;1240;0;6600;2440;2835
P205041101;P205041101_10;J;6600;0;0;7600;1200;2835
P205041101;P205041101_11;K;6600;1240;0;7600;2440;2865
P205041101;P205041101_12;L;7600;1240;0;8600;2440;2835
P205041101;P205041101_13;M;7600;0;0;8600;1200;2865
P205041101;P205041101_14;N;8600;0;0;10400;1200;2935
P205041101;P205041101_15;O;8600;1240;0;9600;2440;2835
P205041101;P205041101_16;P;9600;1200;0;10400;1800;2632
P205041101;P205041101_17;Q;10400;0;0;11600;2400;2935
P205041101;P205041101_18;R;11600;0;0;13400;1200;2935
P205041101;P205041101_19;S;11600;1240;0;13400;2440;2935
P205041115;P205041115_1;A;0;0;0;1600;1200;2865
P205041115;P205041115_2;B;0;1240;0;1000;2440;2835
P205041115;P205041115_3;C;1000;1240;0;2000;2440;2385
P205041115;P205041115_4;D;1600;0;0;3200;1200;2340
