Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P187041113;12600;7379.91;71.3772;7115.4;8998.77
P188041111;13200;13121;87.0398;8308.25;13378.6
P185041105;4000;1907.6;12.1644;5883.84;4931.84
P188041115;13400;10099.5;90.9288;6044.23;12940.7
P191041115;13400;11721.3;90.8136;7731.85;12636.7
P191041101;13400;10523.9;88.4086;6873.37;12418.9
P191041103;13400;15785.4;89.406;10379.7;13679.3
P191041105;13400;11360.4;88.8552;5592.38;14717.2
P191041107;13400;11287.1;92.0088;6759.47;13312.1
P191041109;13400;9756.54;93.1457;6388.74;12204.6
P191041111;13400;8317.01;92.8188;6317.01;10846.9
P191041113;13400;11920.9;88.5235;7618.69;12965.4
P192041115;13400;12984.9;88.3908;8603.08;12906.1
P192041101;13400;10363.1;91.1376;7208.98;11875.2
P192041103;13400;11628.5;87.6518;5584.98;14993.8
P192041105;13400;16393.5;91.6704;8831.14;16054.5
P192041107;13400;10240.7;91.7352;6488.05;12575.4
P192041111;13400;8471.68;93.4488;7038.6;10178.2
P192041113;13400;10593.9;91.5437;7522.7;11748
P193041101;13400;10660.1;91.7136;6579.76;12890.2
P193041103;13400;12059.1;89.2003;7180.92;13603.2
P193041105;13400;14582.3;89.9928;9609.14;13355.5
P193041107;13400;9763.52;87.0012;4655.18;14189.8
P193041109;13400;13955.2;91.9615;8137.01;14408.3
P193041111;13400;7760.59;93.2148;6493.77;10088.8
P193041113;13400;11936.1;92.4298;7871.76;12691.8
P194041115;13400;10843.7;89.3914;7816.13;11662.9
P194041101;13400;10691.8;89.4168;7285.93;12116
P194041103;13400;10705;91.6056;6972.84;12486.5
P194041105;13400;17962.7;89.1674;7718.57;18893.3
P194041107;13400;14161;88.776;7133.27;15759.5
P194041109;13200;8107.28;92.9808;6260.88;10701.3
P194041113;13200;8592.3;92.9808;6558.37;10846.8
P198041115;9400;7329.25;55.482;8355.01;7533.54
P198041101;13400;11668.7;89.2826;7934.58;12352.8
P198041105;13400;12105.6;90.7378;6651.69;14253.6
P198041107;13400;16954.7;91.3644;10226.3;15023.6
P198041109;13400;14408.5;91.1808;7420.76;15678.9
P198041111;13400;9870.95;93.9096;6046.58;12709.5
P198041113;13400;9058.98;92.5298;6441.2;11447.2
P199041115;13400;12512.1;90.4824;8149.02;12951.5
P199041101;13400;13060.7;89.682;7740.02;13966.8
P199041103;13400;13100.8;91.548;9330.19;12192.3
P199041105;13400;19022;90.2734;8820.62;18695
P199041107;13400;11113.4;93.132;7759.37;11997.3
P199041109;13200;8644.98;92.9808;6759.07;10670.5
P199041111;13400;10250.2;93.3187;6754.35;12281.1
P200041101;13400;12455.6;87.5333;7353.61;13802.6
P200041103;13400;12849.7;89.1142;8619.13;12752.6
P200041107;13400;16093.3;90.7164;8794.19;15796.5
P200041109;13400;15108.6;91.2991;9573.08;13922.9
P200041111;13400;8466.66;93.3943;5908.71;11462.5
P200041113;13400;9914.3;92.8872;7199.53;11437.2
P201041115;13200;12478.4;89.1247;7689.44;13442.2
P201041101;13400;12641.6;91.5768;8784.36;12355.9
P201041103;13400;16990;90.1181;10275.1;15003.2
P201041111;13400;11814;92.6964;6189.96;14489
P201041113;13400;10346.1;93.8808;6039.36;13192.8
P205041115;12600;10737.9;77.6443;8174.84;11147.8
P205041101;13400;15407.2;90.5724;9570.26;14224.7
P205041109;13400;11157;91.644;7909.94;11869.2
P178041101;12400;8734.04;70.7213;7592.11;9808.9
P178041103;13400;9667.83;78.8933;7193.33;11197.8
Q178041105_1;13400;11040.7;89.0244;7339.15;12404.2
P178041105;13200;10081.2;88.83;6075.41;12886.9
Q178041107_2;13400;10104.9;92.4588;6650.45;12254.3
Q178041107_1;13400;12575.7;90.169;9054.79;11981.4
P178041107;13400;10908.8;93.042;6346.47;13405.1
P178041109;13400;13605.1;90.7987;9595.62;12393.7
P179041101;13400;10710.6;87.1013;6907.77;12566.4
P179041103;13400;10875.3;87.8424;6382.88;13330.1
P179041105;13400;11938.2;87.1298;6535.69;14218.6
P179041107;13400;12801.9;88.0985;6978.66;14576.8
Q179041109_1;13400;8694.72;91.4105;6542.91;10966.9
P179041109;13400;10372.7;92.2608;6464.31;12734.5
P179041111;13400;13287;91.1731;9335.47;12372.5
P180041101;13400;9831.62;74.3609;7379.28;11149.4
P180041103;13400;12186.3;79.7534;8189.73;12579.2
P180041105;13400;10189.8;87.5546;5743.59;13374.1
P180041107;13400;12297;82.4246;8678.08;12132.6
Q180041109_1;13400;12221.3;90.7733;8490.58;12270.9
P180041109;13400;7927.06;93.4488;6827.71;9874.22
P186215001;11700;23807.5;48.2976;10417.2;21658.6
P188215003;13000;24820.9;50.5674;8101.96;25313.9
P191215003;10900;21582.4;44.0505;10922.6;18856.7
P191215001;11900;24816.1;50.6259;10269.1;22836.1
P191215005;13000;24819.3;50.5674;9063.55;24215
P191215009;12200;24816.1;50.5674;10554.1;22510.9
P191215011;11900;24816.1;50.6259;10269.1;22836.1
P191215007;13500;24825.7;50.5674;7415.64;26101.9
P192215003;11700;24820.9;50.5674;11364.1;21591.3
P192215001;13000;24819.3;50.5674;7816.3;25638.3
P192215005;13000;24828.9;50.5674;8095.91;25328.8
P192215009;13500;24816.1;50.6259;6808.66;26785
P192215011;13500;24816.1;50.6259;6808.66;26785
P192215007;13000;24816.1;50.6259;8459.89;24900.7
P193215003;11700;24825.7;50.4504;11286;21685.3
P193215001;13500;24824.9;50.5674;7340.96;26186.3
P193215005;13000;24817.7;50.5674;8942.86;24351.2
P193215011;13500;24816.1;50.5674;6124;27566.3
P193215009;13500;24827.3;50.5674;7147.45;26409.6
P193215007;11900;24816.1;50.5674;10774.1;22259.8
P194215003;13500;24819.3;50.6259;6728.42;26879.7
P194215001;11900;24825.7;50.5674;10778.1;22264.9
P194215005;11900;24816.1;50.5674;9764.15;23412.3
P194215009;11900;24816.1;50.6259;10188.6;22928
P194215007;13000;24816.1;50.5674;9144.55;24119.4
P198215003;11200;20501.8;41.7807;10070.8;18748.2
P198215001;13500;24817.7;50.5674;7140.25;26408.2
P198215005;13000;24816.1;50.5674;9144.55;24119.4
P198215009;11900;24816.1;50.5674;10774.1;22259.8
P198215011;13500;24824.1;50.5674;7338.73;26188.1
P198215007;13500;24816.1;50.5674;7332.22;26187.5
P199215003;13000;24819.3;50.5089;8418.63;24951
P199215001;11900;24819.3;50.5674;10693.5;22355
P199215005;11900;24817.7;50.5674;10693.5;22353.4
P199215011;11700;24816.1;50.5674;11359.6;21591.7
P199215009;13000;24827.3;50.5674;9153.53;24120.3
P199215007;11700;24816.1;50.5674;11359.6;21591.7
P200215003;13000;24820.9;50.5089;8302.85;25084.7
P200215001;13000;24816.1;50.5674;9039.22;24239.6
P200215005;13000;24832.1;50.5674;9037.38;24257.7
P200215011;13000;24816.1;50.5674;9064;24211.3
P200215007;13000;24816.1;50.5674;8097.43;25314.3
P201215003;4300;8633.28;17.5734;11150.1;5648.01
P201215001;13500;24816.1;50.6259;6889.21;26693.1
P201215005;11900;24819.3;50.5674;10693.1;22355.4
P201215009;13500;24819.3;50.6259;6892.38;26692.6
P205215003;10400;17265;35.2053;10347.2;15195.8
P205215009;10400;19960.8;40.7043;11409.2;16679.8
P206215003;11200;20500.2;41.7222;9448.15;19457.1
P186043703;3917;823.96;12.5;4801.74;5083.03
P188043701;6107;2671.24;29.7488;6226.58;5304.37
P188043703;13449;6710.81;89.5919;6125.03;9459.82
P188043705;13331;6906.4;88.5251;6551.62;9168.61
P191043701;13452;7622.84;90.6933;6497.34;9946.99
P191043703;13456;6014.25;91.9239;6219.76;8655.16
P191043705;13449;6641.71;87.9029;6456.41;9012.56
P192043701;13452;7311;87.5883;6369.25;9781.32
P192043703;13156;6096.1;91.2197;5963.26;9029.71
P192043705;13445;6537.74;89.3831;6145.23;9263.7
P193043701;13217;7696.21;88.1317;6758.04;9722.87
P193043703;13159;6315.23;92.0321;6468.72;8672.04
P193043705;13042;6298.5;89.2187;6393.9;8740.7
P194043701;13452;7455.68;90.0679;6481.29;9798.15
P194043703;13328;6504.07;89.1318;5871.87;9541.97
P194043705;12859;6730.53;88.8647;6759.25;8755.81
P194043709;13270;6091.21;89.5897;5879.77;9120.09
P198043701;13449;6949.61;89.5764;5777.09;10095.7
P198043703;13338;6919.77;90.4302;5853.55;9978.57
P198043705;13452;6567.62;89.1088;6226.38;9200.99
P199043701;13452;6781.47;90.4347;6261.45;9374.8
P199043703;13472;6688.17;92.2032;5680.12;9944.89
P199043705;13331;7011.42;91.0046;6002;9900.82
P200043701;13270;6252.16;87.339;5785.18;9388.99
P200043703;13338;6799.7;90.1965;6241.89;9415.36
P200043705;13449;7305.55;92.6646;6603.24;9508.85
P201043701;13156;6285.36;81.8012;6171.44;8981.41
P201043703;13400;6832.9;87.0006;5855.57;9889.41
P201043705;13273;6550.8;91.3267;5542.85;9964.15
P201043709;13449;6869.85;92.3344;6432.85;9267.59
P205043701;13334;6916.11;81.735;6869.37;8815.72
P205043703;13472;5958.08;91.2714;5823.64;9051.02
P206043701;13328;6251.74;85.9504;5913.95;9241.62
P187335501;8540;4898.56;45.5911;7572.44;5995.87
P191335603;13340;9053.52;86.5076;7466.19;10272.1
P187335601;13200;9267.99;77.292;7413.72;10546.4
P191335601;13480;7998.5;90.8896;6188.7;10674.8
P192335601;13480;7455.16;85.1;5527.73;10885.8
P193335603;13340;9719.1;88.339;7112.95;11340.8
P193335601;13480;7804.97;86.2004;7198.44;9329.07
P194335501;13410;12157.8;82.4234;9626.33;10911.3
P198335603;13480;6890.59;90.8269;6808.78;8859.34
Q198335603_1;13270;10158.5;86.2546;7739.06;11065.7
P194335601;13410;7710.98;85.4093;7210.24;9221.61
P199335601;13410;8941.99;90.7913;6779.24;10944.5
P200335603;13470;9645.82;88.0052;7287.59;11068.2
P198335601;13200;9809.09;84.9852;7328.88;11184.3
P200335601;13480;8117.41;91.3796;6764.29;10136.9
P201335501;13180;12521.7;84.1406;11265.7;9404.48
P201335601;13470;10028.8;87.2543;6991.93;11788.5
P205335601;13420;7715.98;85.3781;6501.92;10034.9
P198040005;13400;7168.92;92.9357;5311.21;10846.6
P199040001;13481;7119.28;78.8698;6790.9;9108.44
P186040001;3275;1373.4;11.8062;5345.01;5012.52
P188040001;13276;5368.91;70.0967;5955;8311.95
P191040001;13340;6060.97;71.9206;6524.6;8354.02
P191040005;13400;6936.68;90.0011;5741.97;10122.8
P192040001;13350;6336.69;74.9023;6581.59;8564.7
P192040005;13400;6801.24;91.9675;6740.93;8847.43
P193040001;13220;6324.93;75.9625;6510.14;8634.47
P193040005;13400;6801.02;91.9675;6744.52;8843.1
P194040001;12685;6645.74;77.0271;6753.72;8677.33
P194040005;13400;6933.99;92.5056;5342.9;10575.5
P198040001;13340;6274.73;81.6311;6301.15;8822.77
P199040005;13400;6726.17;91.2567;5394.33;10309
P200040001;13215;7533.7;85.5086;6517.43;9834.92
P200040005;13425;6262.49;89.6976;6492.61;8592.04
P201040001;13080;7650.55;89.3927;6706.03;9736.56
P201040005;13070;6391.55;89.6216;6784.41;8388.12
P205040001;13425;7026.46;89.287;5567.26;10412
P206040001;9375;3672.83;50.0001;6303.39;6218.3
P186144501;12990;8151.37;61.3019;7024.81;9873.61
P187145501;12691;10032.2;67.2976;5950.1;12980.8
P188144503;13388;8131.47;64.0502;6560.74;10383.3
P191145501;13395;16188;76.5387;9975.9;14542.6
P191144501;13393;12063;68.0208;5584.49;15428.8
P192144503;13390;10849.6;67.9387;6252.18;13453.5
P193144501;13295;15177;71.3503;6420.28;17589.1
P193144503;13492;12810.7;69.8756;7550.51;13933
P194144503;13392;11860.6;73.1271;7028.71;13578.4
P198145501;13287;9275.09;65.346;5583.12;12642.5
P191144503;13286;6750.49;66.0048;6167.18;9451.4
P192145501;13096;15607.9;72.6471;10311.8;13579.2
P193145501;13286;6750.49;66.0048;6167.18;9451.4
P194145501;13286;6750.49;66.0048;6167.18;9451.4
P194144501;13392;14315.1;68.7566;8078.92;14834.5
P198144501;13294;14315.1;68.7566;10095.5;12533.3
P198144503;13392;11429.7;71.8302;7365.93;12762.7
P199145501;13396;15009.4;73.387;8180.82;15412.4
Q199144503_1;13286;6750.49;66.0048;6167.18;9451.4
P199144503;13289;10567.9;69.2366;6551.12;12830.6
P200145501;13392;13294.8;63.4715;8469.14;13368.8
P200144501;13287;7181.42;67.3017;6580.11;9411.12
P200144503;13494;14983.4;66.803;8335.23;15210.3
P201145501;13286;6750.49;66.0048;6167.18;9451.4
P201144503;13094;14315.1;68.7566;9604.41;13093.7
P205145501;13286;7463.18;66.0038;5939.04;10424.4
P205144503;13392;13602.5;68.7576;7146.45;15185.9
P200299003;13500;14451.8;90.1088;8426.38;14574.7
P201299001;12700;14005.1;88.138;9024.17;13445.7
P187299001;12700;12986.9;81.5488;9396.62;12002.6
P191299001;12700;11646.5;75.6832;8684.64;11474.7
P191299003;13400;15989.8;92.3512;9803.67;14541
Q191299005_1;13300;14254.2;93.6852;8445.57;14355.2
P191299005;13300;14254.2;93.6852;8445.57;14355.2
Q192299001_1;12800;15070.4;83.8712;9671.89;13772
P192299001;13300;14254.2;93.6852;8445.57;14355.2
P192299003;13300;14254.2;93.6852;8445.57;14355.2
P192299005;13300;14254.2;93.6852;8445.57;14355.2
P193299001;13400;16213.2;93.3132;9958.9;14587.2
P193299003;13300;14254.2;93.6852;8445.57;14355.2
P193299005;13300;14254.2;93.6852;8445.57;14355.2
P194299001;13400;16213.2;93.3132;9554.81;15048.3
Q194299003_1;13300;14254.2;93.6852;8445.57;14355.2
P194299003;13300;14254.2;93.6852;8445.57;14355.2
P194299005;13300;14254.2;93.6852;8445.57;14355.2
P198299001;13400;16213.2;93.3132;9150.72;15509.5
P198299003;13300;14254.2;93.6852;8445.57;14355.2
