Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0091017500_08062023001106;P240627001;P240627001_1;A1;0;820;0 ;600 ;1620 ;634
0091017500_08062023001106;P240627001;P240627001_1;A2;0;820;634 ;600 ;1620 ;1268
0091017500_08062023001106;P240627001;P240627001_2;B1;600;1620;0 ;1200 ;2420 ;634
0091017500_08062023001106;P240627001;P240627001_2;B2;600;1620;634 ;1200 ;2420 ;1268
0091017500_08062023001106;P240627001;P240627001_3;C1;600;820;0 ;1200 ;1620 ;634
0091017500_08062023001106;P240627001;P240627001_3;C2;600;820;634 ;1200 ;1620 ;1268
0091017500_08062023001106;P240627001;P240627001_4;D1;1200;1640;0 ;1800 ;2440 ;634
0091017500_08062023001106;P240627001;P240627001_4;D2;1200;1640;634 ;1800 ;2440 ;1268
0091017500_08062023001106;P240627001;P240627001_5;E1;1200;840;0 ;1800 ;1640 ;634
0091017500_08062023001106;P240627001;P240627001_5;E2;1200;840;634 ;1800 ;1640 ;1268
0091017500_08062023001106;P240627001;P240627001_6;F1;1200;40;0 ;1800 ;840 ;634
0091017500_08062023001106;P240627001;P240627001_6;F2;1200;40;634 ;1800 ;840 ;1268
0091017500_08062023001895;P240627001;P240627001_7;G1;1800;0;0 ;2400 ;800 ;634
0091017500_08062023001106;P240627001;P240627001_7;G2;1800;0;634 ;2400 ;800 ;1268
0091017500_08062023001895;P240627001;P240627001_8;H1;1800;800;0 ;2400 ;1600 ;634
0091017500_08062023001895;P240627001;P240627001_8;H2;1800;800;634 ;2400 ;1600 ;1268
0091017500_08062023001895;P240627001;P240627001_9;I1;1800;1640;0 ;2400 ;2440 ;634
0091017500_08062023001895;P240627001;P240627001_9;I2;1800;1640;634 ;2400 ;2440 ;1268
0091017500_08062023001895;P240627001;P240627001_10;J1;2400;1640;0 ;3000 ;2440 ;634
0091017500_08062023001895;P240627001;P240627001_10;J2;2400;1640;634 ;3000 ;2440 ;1268
0091017500_08062023001895;P240627001;P240627001_11;K1;2400;0;0 ;3000 ;800 ;634
0091017500_08062023001895;P240627001;P240627001_11;K2;2400;0;634 ;3000 ;800 ;1268
0091017500_08062023001895;P240627001;P240627001_12;L1;2400;800;0 ;3000 ;1600 ;634
0091017500_08062023001895;P240627001;P240627001_12;L2;2400;800;634 ;3000 ;1600 ;1268
0091017500_08062023000847;P240627001;P240627001_13;M1;3000;0;0 ;3600 ;800 ;634
0091017500_08062023000847;P240627001;P240627001_13;M2;3000;0;634 ;3600 ;800 ;1268
0091017500_08062023000847;P240627001;P240627001_14;N1;3000;800;0 ;3600 ;1600 ;634
0091017500_08062023000847;P240627001;P240627001_14;N2;3000;800;634 ;3600 ;1600 ;1268
0091017500_08062023000847;P240627001;P240627001_15;O1;3000;1640;0 ;3600 ;2440 ;634
0091017500_08062023000847;P240627001;P240627001_15;O2;3000;1640;634 ;3600 ;2440 ;1268
0091017500_08062023002430;P240627001;P240627001_16;P1;3600;1640;0 ;4200 ;2440 ;634
0091017500_08062023002430;P240627001;P240627001_16;P2;3600;1640;634 ;4200 ;2440 ;1268
0091017500_08062023002430;P240627001;P240627001_17;Q1;3600;0;0 ;4200 ;800 ;634
0091017500_08062023002430;P240627001;P240627001_17;Q2;3600;0;634 ;4200 ;800 ;1268
0091017500_08062023002430;P240627001;P240627001_18;R1;3600;800;0 ;4200 ;1600 ;634
0091017500_08062023002430;P240627001;P240627001_18;R2;3600;800;634 ;4200 ;1600 ;1268
0091017500_08062023002430;P240627001;P240627001_19;S1;4200;0;0 ;4800 ;800 ;634
0091017500_08062023002430;P240627001;P240627001_19;S2;4200;0;634 ;4800 ;800 ;1268
0091017500_08062023002430;P240627001;P240627001_20;T1;4200;800;0 ;4800 ;1600 ;634
0091017500_08062023002430;P240627001;P240627001_20;T2;4200;800;634 ;4800 ;1600 ;1268
0091017500_08062023002430;P240627001;P240627001_21;U1;4200;1640;0 ;4800 ;2440 ;634
0091017500_08062023002430;P240627001;P240627001_21;U2;4200;1640;634 ;4800 ;2440 ;1268
0091017500_08062023002430;P240627001;P240627001_22;V1;4800;1640;0 ;5400 ;2440 ;634
0091017500_08062023002430;P240627001;P240627001_22;V2;4800;1640;634 ;5400 ;2440 ;1268
0091017500_08062023002430;P240627001;P240627001_23;W1;4800;0;0 ;5400 ;800 ;634
0091017500_08062023002430;P240627001;P240627001_23;W2;4800;0;634 ;5400 ;800 ;1268
0091017500_08062023002430;P240627001;P240627001_24;X1;4800;800;0 ;5400 ;1600 ;634
0091017500_08062023002430;P240627001;P240627001_24;X2;4800;800;634 ;5400 ;1600 ;1268
0091017500_08062023002430;P240627001;P240627001_25;Y1;5400;0;0 ;6000 ;800 ;634
0091017500_08062023002430;P240627001;P240627001_25;Y2;5400;0;634 ;6000 ;800 ;1268
0091017500_08062023002430;P240627001;P240627001_26;Z1;5400;800;0 ;6000 ;1600 ;634
0091017500_08062023002430;P240627001;P240627001_26;Z2;5400;800;634 ;6000 ;1600 ;1268
0091017500_08062023002430;P240627001;P240627001_27;AA1;5400;1640;0 ;6000 ;2440 ;634
0091017500_08062023002430;P240627001;P240627001_27;AA2;5400;1640;634 ;6000 ;2440 ;1268
0091017500_08062023000019;P240627001;P240627001_28;AB1;6000;1640;0 ;6600 ;2440 ;634
0091017500_08062023002430;P240627001;P240627001_28;AB2;6000;1640;634 ;6600 ;2440 ;1268
0091017500_08062023000993;P240627001;P240627001_29;AC1;6000;0;0 ;7010 ;1206 ;351
0091017500_08062023001727;P240627001;P240627001_29;AC2;6000;0;351 ;7010 ;1206 ;702
0091017500_08062023000019;P240627001;P240627001_30;AD1;6600;1206;0 ;7400 ;1806 ;634
0091017500_08062023000019;P240627001;P240627001_30;AD2;6600;1206;634 ;7400 ;1806 ;1268
0091017500_08062023000019;P240627001;P240627001_31;AE1;6600;1840;0 ;7400 ;2440 ;634
0091017500_08062023000019;P240627001;P240627001_31;AE2;6600;1840;634 ;7400 ;2440 ;1268
0091017500_08062023000486;P240627001;P240627001_32;AF1;7010;0;0 ;7810 ;600 ;634
0091017500_08062023000019;P240627001;P240627001_32;AF2;7010;0;634 ;7810 ;600 ;1268
0091017500_08062023000486;P240627001;P240627001_33;AG1;7010;606;0 ;7810 ;1206 ;634
0091017500_08062023000486;P240627001;P240627001_33;AG2;7010;606;634 ;7810 ;1206 ;1268
0091017500_08062023000486;P240627001;P240627001_34;AH1;7400;1206;0 ;8200 ;1806 ;634
0091017500_08062023000486;P240627001;P240627001_34;AH2;7400;1206;634 ;8200 ;1806 ;1268
0091017500_08062023000486;P240627001;P240627001_35;AI1;7400;1840;0 ;8200 ;2440 ;634
0091017500_08062023000486;P240627001;P240627001_35;AI2;7400;1840;634 ;8200 ;2440 ;1268
0091017500_08062023000486;P240627001;P240627001_36;AJ1;7810;0;0 ;8610 ;600 ;634
0091017500_08062023000486;P240627001;P240627001_36;AJ2;7810;0;634 ;8610 ;600 ;1268
0091017500_08062023001778;P240627001;P240627001_37;AK1;7810;606;0 ;8610 ;1206 ;634
0091017500_08062023001778;P240627001;P240627001_37;AK2;7810;606;634 ;8610 ;1206 ;1268
0091017500_08062023001778;P240627001;P240627001_38;AL1;8200;1206;0 ;9000 ;1806 ;634
0091017500_08062023001778;P240627001;P240627001_38;AL2;8200;1206;634 ;9000 ;1806 ;1268
0091017500_08062023001778;P240627001;P240627001_39;AM1;8200;1840;0 ;9000 ;2440 ;634
0091017500_08062023001778;P240627001;P240627001_39;AM2;8200;1840;634 ;9000 ;2440 ;1268
0091017500_08062023002526;P240627001;P240627001_40;AN1;8610;0;0 ;9410 ;600 ;634
0091017500_08062023002526;P240627001;P240627001_40;AN2;8610;0;634 ;9410 ;600 ;1268
0091017500_08062023002526;P240627001;P240627001_41;AO1;8610;606;0 ;9410 ;1206 ;634
0091017500_08062023002526;P240627001;P240627001_41;AO2;8610;606;634 ;9410 ;1206 ;1268
0091017500_08062023002526;P240627001;P240627001_42;AP1;9000;1206;0 ;9800 ;1806 ;634
0091017500_08062023002526;P240627001;P240627001_42;AP2;9000;1206;634 ;9800 ;1806 ;1268
0091017500_08062023002526;P240627001;P240627001_43;AQ1;9000;1840;0 ;9800 ;2440 ;634
0091017500_08062023002526;P240627001;P240627001_43;AQ2;9000;1840;634 ;9800 ;2440 ;1268
0091017500_08062023002526;P240627001;P240627001_44;AR1;9410;0;0 ;10210 ;600 ;634
