Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
Q184627001_1;12410;22317.5;30.3741;9928.01;20726.8
P184627001;13410;22532;39.4458;10948.2;19777
P187627001;13206;22427.6;35.2432;9894.34;20875.3
P188627001;13206;22496.8;34.9389;11413.1;19211.5
P191627001;13410;23752.3;37.1345;10688.6;21293.6
P193627001;11210;18265.8;28.0628;9597.77;17052
P194627001;13220;20273.7;31.5335;7541.93;21405.8
P195627001;13400;20841.5;32.5622;8111.14;21324.1
P198627001;13410;23820.9;37.087;11439.2;20505.8
P200627001;11210;18079.3;28.2439;10628;15689.8
P201627001;11620;20843.6;32.3233;11000.8;18028.7
P202627001;13210;22528.7;34.7578;10860.4;19874.1
P205627001;13420;23765.8;35.7361;10228.5;21832.2
P207627001;13410;23644.3;37.3735;10394.7;21521
P208627001;13220;23837.2;37.1924;10874;21166.9
P236627001;12800;22063.5;34.6346;10335.4;20007.9
P237627001;10810;16709.6;25.3239;10477.1;14492.2
Q240627001_1;7800;11897.3;19.1722;10835.8;9270.7
P240627001;13410;23890.4;36.0983;8609.06;23804.8
P198574201;12770;21310.8;63.2324;10180.2;19432.3
P199574201;13140;24360.6;67.6217;10220.3;22436.3
P200574201;13000;23846.8;69.6618;9675.21;22544.5
P201574201;12770;24408.5;69.2371;9420.44;23397
P202574201;13110;24272.5;64.5321;9526.97;23139.5
P205574201;13140;22396;69.9031;9448.48;21352.4
P206574201;13000;23305.5;63.0451;10744.8;20782.7
P207574201;12570;23274.7;65.8685;9744.49;21893.4
P208574201;12770;24443.9;69.2371;9704.67;23108.1
P209574201;13000;24286.4;65.4356;9775.5;22869.7
P236574201;13370;23575.9;70.0616;8670.57;23420.1
P237574201;12110;23227.2;64.2656;10196;21330.7
P240574201;9970;17706.7;53.9228;11892.9;13873.7
Q184625901_1;4560;8727.45;4.67541;11288.5;5584.19
P186625901;13080;21158.4;15.4468;10149.7;19314.7
P184625901;13350;24876.8;19.7907;10849;22235.2
P187625901;13350;24485.5;17.8756;9826.35;23010.8
P191625901;13350;24988.6;19.7698;11809.1;21251.3
