Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P209031503;P209031503_1;A;0;0;0;1600;1200;2955
P209031503;P209031503_2;B;0;1231;0;1007;2440;2920
P209031503;P209031503_3;C;1007;1240;0;2307;2440;2955
P209031503;P209031503_4;D;1600;0;0;2607;1209;2920
P209031503;P209031503_5;E;2307;1240;0;3907;2440;2385
P209031503;P209031503_6;F;2607;0;0;3614;1209;2920
P209031503;P209031503_7;G;3614;0;0;5214;1200;2700
P209031503;P209031503_8;H;3907;1231;0;4914;2440;2920
P209031503;P209031503_9;I;4914;1240;0;6514;2440;2700
P209031503;P209031503_10;J;5214;0;0;6814;1200;2700
P209031503;P209031503_11;K;6514;1240;0;8114;2440;2385
P209031503;P209031503_12;L;6814;0;0;7821;1209;2920
P209031503;P209031503_13;M;7821;0;0;8828;1209;2920
P209031503;P209031503_14;N;8114;1240;0;9714;2440;2700
P209031503;P209031503_15;O;8828;0;0;9835;1209;2920
P209031503;P209031503_16;P;9714;1240;0;11314;2440;2910
P209031503;P209031503_17;Q;9835;0;0;10842;1209;2920
P209031503;P209031503_18;R;10842;0;0;12442;1200;2700
P209031503;P209031503_19;S;11314;1231;0;12321;2440;2920
P209031503;P209031503_20;T;12321;1231;0;13328;2440;2920
P209031503;P209031503_21;U;12442;0;0;13449;1209;2920
P209031501;P209031501_1;A;0;1240;0;1600;2440;2700
P209031501;P209031501_2;B;0;0;0;1600;1200;2700
P209031501;P209031501_3;C;1600;0;0;3200;1200;2955
P209031501;P209031501_4;D;1600;1240;0;2900;2440;2955
P209031501;P209031501_5;E;2900;1240;0;4500;2440;2700
P209031501;P209031501_6;F;3200;0;0;4800;1200;2700
P209031501;P209031501_7;G;4500;1231;0;5507;2440;2920
P209031501;P209031501_8;H;4800;0;0;5807;1209;2920
P209031501;P209031501_9;I;5507;1240;0;7107;2440;2700
P209031501;P209031501_10;J;5807;0;0;7407;1200;2700
P209031501;P209031501_11;K;7107;1231;0;8114;2440;2920
P209031501;P209031501_12;L;7407;0;0;9007;1200;2520
P209031501;P209031501_13;M;8114;1231;0;9121;2440;2920
P209031501;P209031501_14;N;9007;0;0;10014;1209;2920
P209031501;P209031501_15;O;9121;1231;0;10128;2440;990
P209031501;P209031501_16;P;10014;0;0;11614;1200;2520
P209031501;P209031501_17;Q;10128;1240;0;11728;2440;2700
P209031501;P209031501_18;R;11614;0;0;13214;1200;2385
P209031501;P209031501_19;S;11728;1240;0;13328;2440;2955
P208031511;P208031511_1;A;0;0;0;1600;1200;2700
P208031511;P208031511_2;B;0;1240;0;1300;2440;2955
P208031511;P208031511_3;C;1300;1240;0;2900;2440;2520
P208031511;P208031511_4;D;1600;0;0;2607;1209;2920
P208031511;P208031511_5;E;2607;0;0;4207;1200;2700
P208031511;P208031511_6;F;2900;1240;0;4500;2440;2385
P208031511;P208031511_7;G;4207;0;0;5507;1200;2955
P208031511;P208031511_8;H;4500;1240;0;5800;2440;2955
P208031511;P208031511_9;I;5507;0;0;6807;1200;1500
P208031511;P208031511_10;J;5800;1231;0;6807;2440;2920
P208031511;P208031511_11;K;6807;1231;0;7814;2440;2920
P208031511;P208031511_12;L;6807;0;0;7814;1209;2920
