Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P184500901;12000;23439.3;21.42;11992.3;19492.9
P184500903;13200;24705.6;21.51;11210.2;21651.7
P184500907;13200;24545.9;22.32;11629.3;21013.7
P185500901;13200;24718.5;22.32;10679.8;22269.9
P185500903;13200;25119.6;24.57;11089.3;22203.7
P186500901;7000;11892.8;10.44;11916.1;8033.33
P186500903;13200;24399;22.59;11921.6;20533.3
P186500905;13200;25104.4;20.7;10648;22692.1
P186500907;13200;25068.1;24.84;10929.4;22334.6
P187500901;13200;24544.8;22.59;11643.9;20996
P187500903;13200;25012.2;20.7;10253.2;23050.4
P187500907;13200;24279;23.67;10347.2;22209.9
P188500901;13200;24665.9;22.32;11647;21113.6
P188500905;13200;24907.1;20.7;10102.4;23117.3
P188500907;13200;24984.6;25.38;11862.3;21186.7
P191500901;11800;20372.5;18.18;10034.2;18660.6
P191500905;11000;19265.9;16.74;11170.4;16257.4
P191500907;13200;24492.3;23.13;11175.1;21478.5
P192500901;13200;24585.5;22.32;10411.4;22443.2
P192500903;13200;24946.8;20.97;11578.1;21473
P192500905;13200;25145.4;24.84;10813;22544.8
P193500901;13200;24652;22.05;11556.6;21202.8
P193500903;13200;24997.3;21.24;10397.3;22871
P193500905;13200;25093.9;24.84;11009.3;22269.2
P194500901;13200;24665.9;22.05;11912.6;20810.5
P194500903;13200;24906.1;21.24;10704.7;22429.1
P194500907;13200;24225.4;23.67;11801.2;20497
P195500903;13200;24612.3;22.32;11946.3;20718.4
P195500905;13200;24969.4;20.7;11430.3;21664.4
P195500907;13200;24855.8;25.38;10960.2;22087.3
P198500901;13200;24478.3;22.32;10156.5;22626.9
P198500903;13200;24280;22.86;11220.2;21214.7
P199500901;13200;24278.9;22.86;11290.8;21133
P199500903;13200;24359.3;22.59;11643.5;20811
P199500907;13200;24266.1;23.13;10159.7;22411
P200500901;13200;24799.9;21.24;10485.1;22573.5
P200500903;13200;25131.5;25.11;10978.1;22342.4
P201500901;13200;24425.8;22.59;11547.7;20986.7
P201500905;13200;25104.4;20.7;11436.8;21792
P201500907;13200;24332.6;23.67;11888.1;20505.1
P202500901;13200;24731.4;22.32;10783.4;22164.5
P202500903;13200;24211.2;19.8;10920;21488.5
P202500905;13200;24170.7;23.4;9917.72;22591.7
P202500907;13200;24478.4;23.13;10521.5;22210.4
P205500901;13200;24517;22.32;11955.6;20612.4
P205500905;13200;24612.4;23.13;10162.9;22753.6
P207500901;13200;23718.1;21.15;10692;21255.6
P207500903;13200;25036.9;20.97;11922.4;21170.4
P207500905;13200;24291.8;23.67;11784.9;20582.1
P208500901;13200;24731.4;22.32;10124.7;22916.2
P208500903;13200;25144.1;20.97;11950.7;21245.3
P208500905;13200;24372.2;23.67;10772.2;21818.1
P208500907;13200;24731.4;22.32;11631.7;21196.5
P209500901;13200;24345.2;19.8;9635.81;23087.9
P209500903;13200;25049.8;20.7;10179;23172.6
P209500905;13200;24569.5;21.78;11471.2;21217.8
P209500907;13200;24319.9;28.08;11916.5;20460.1
P186574801;13050;19157.8;77.2608;8908.8;18730.1
P187574901;13040;20992.9;78.206;9949.65;19377.5
P187574903;13226;22345.4;76.0288;11776.4;18645.5
P192574801;12050;17207.5;74.9273;9123.64;16534.7
P193574801;13050;19325.8;78.7951;9311.11;18439
P194574901;13030;21731;80.0038;10401.1;19600.4
Q198574901_1;12020;18283.6;77.9937;10812.2;15683.9
P198574901;13060;18715;75.2262;8786.44;18427
P199574901;13240;18983.8;76.6783;9651.33;17708.8
P199574903;13040;21983.5;72.3568;11560.7;18529.7
P200574801;13040;17611.4;73.0128;9280.94;16759
P200574903;13050;21048.2;79.3834;11285.5;17908.3
P201574901;13226;21788.9;78.7395;10416.5;19640.7
P202574901;13220;21089.4;74.9241;10056.1;19352.5
P205574801;13020;18655;84.6196;10714.9;16166.4
P208574901;13206;21610.3;73.5381;10046.5;19884.4
P184574901;12030;15997.7;55.8183;10714.8;13509.1
P184574903;13210;22530.4;66.7607;11681.3;18939
P185574901;13050;18874.7;73.6428;9198.13;18116.9
P185574903;13220;23114.1;73.4728;11744.5;19450.5
P186574901;13040;20450.2;78.5896;10236.4;18507.5
P186574903;13226;22786;82.1302;11947.4;18890.9
P188574901;13220;20188;71.7735;9783.82;18761.8
P188574903;13030;22535.5;72.1408;11685.2;18939.6
P188574801;13030;19779.4;82.4367;9504.1;18672.4
P191574901;13060;19650.8;76.2695;8804.02;19342.7
P191574903;13220;22718.2;75.8315;11680.3;19127.8
P192574901;13230;20779.6;79.2069;9817.87;19314.6
P192574903;13040;22448.4;81.9328;11706.8;18827.8
P193574901;13040;21949.8;75.7136;10724.8;19449.8
P194574903;13040;22826.5;78.4582;11965.2;18911
P195574901;13030;20362.2;73.2747;9751.63;18972.8
P195574903;13230;22490.1;63.7162;11450.3;19162.2
P195574801;13050;18896.4;82.5348;7943.2;19570.7
P198574903;13030;22610.4;73.7968;11215.2;19550.9
P200574901;13050;20253.4;77.5574;9768.66;18844.6
P201574903;13230;22596.8;79.6282;11660;19029.7
