Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P210390027;P210390027_1;A;0;0;0;1200;2400;1490
P210390027;P210390027_2;B;1200;1240;0;2200;2440;2385
P210390027;P210390027_3;C;1200;0;0;2805;1205;2725
P210390027;P210390027_4;D;2200;1240;0;3800;2440;2700
P210390027;P210390027_5;E;2805;0;0;4605;1200;2615
P210390027;P210390027_6;F;3800;1240;0;6000;2440;2455
P210390027;P210390027_7;G;4605;0;0;5175;780;909
P210390027;P210390027_8;H;5175;0;0;6975;1205;2755
P210390027;P210390027_9;I;6000;1240;0;8200;2440;1500
P210390027;P210390027_10;J;6975;0;0;8580;1205;2790
P210390027;P210390027_11;K;8200;1240;0;10600;2440;1490
P210390027;P210390027_12;L;8580;0;0;9980;1200;1250
P210390027;P210390027_13;M;9980;0;0;11780;1200;2285
P210390027;P210390027_14;N;10600;1240;0;13000;2440;1490
P210390027;P210390027_15;O;11780;0;0;13185;1205;2255
P210390035;P210390035_1;A;0;0;0;3200;2400;1700
P210390035;P210390035_2;B;3200;0;0;6400;2400;1700
P210390035;P210390035_3;C;6400;1240;0;7400;2440;2160
P210390035;P210390035_4;D;6400;0;0;8005;1205;2235
P210390035;P210390035_5;E;7400;1240;0;9600;2440;1250
P210390035;P210390035_6;F;8005;0;0;9405;1200;2455
P210390035;P210390035_7;G;9405;0;0;11010;1205;2395
P210390035;P210390035_8;H;9600;1240;0;11200;2440;2700
P210390035;P210390035_9;I;11010;0;0;12610;1200;2700
P210390035;P210390035_10;J;11200;1240;0;13000;2440;1955
P210390023;P210390023_1;A;0;0;0;1900;1200;750
P210390023;P210390023_2;B;0;1240;0;2400;2440;1490
P210390023;P210390023_3;C;1900;0;0;4100;1200;1500
P210390023;P210390023_4;D;2400;1240;0;4600;2440;1500
P210390023;P210390023_5;E;4100;0;0;6300;1200;2455
P210390023;P210390023_6;F;4600;1235;0;6400;2440;2935
P210390023;P210390023_7;G;6300;0;0;8300;1200;2955
P210390023;P210390023_8;H;6400;1240;0;8000;2440;2700
P210390023;P210390023_9;I;8000;1240;0;10200;2440;1500
P210390023;P210390023_10;J;8300;0;0;10700;1200;1490
P210390023;P210390023_11;K;10200;1235;0;11805;2440;2785
P210390023;P210390023_12;L;10700;0;0;11700;1200;2835
P210390023;P210390023_13;M;11700;0;0;13500;1200;2285
P210390023;P210390023_14;N;11805;1240;0;12805;2440;2385
P210390023;P210390023_15;O;12805;1660;0;13375;2440;1340
Q210390023_1;Q210390023_1_1;A;0;0;0;3200;2400;1700
Q210390023_1;Q210390023_1_2;B;3200;0;0;6400;2400;1700
Q210390023_1;Q210390023_1_3;C;6400;0;0;9600;2400;1700
Q210390023_1;Q210390023_1_4;D;9600;0;0;12800;2400;1700
