Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
Q208390013_1;13405;6462.54;58.8008;8750.49;6215.53
Q209390023_2;13420;12134.8;73.2066;6909.23;13988.9
Q209390023_5;13410;6858.21;61.7826;3667.6;12411.5
P209390023;13200;1835.15;53.856;4679.96;6233.19
Q210390023_7;12800;1785.66;52.224;4699.54;6161.36
Q208390035_4;13000;3388.48;47.2008;5802.74;6505.27
Q208390035_3;13200;1838.93;53.856;4674.81;6242.85
Q208390035_2;13500;5901.49;57.2328;3919.95;11166.8
Q208390037_7;13005;5517.48;54.7866;4412.97;10220.2
Q208390037_6;13200;1831.87;53.856;4672.42;6238.52
Q208390037_5;13205;4702.73;55.9728;3802.51;10102.1
Q208390035_1;13210;9607.18;59.9986;5199.55;13412.3
P208390035;13405;4028.83;60.3297;4048.07;9147.95
Q208390037_4;13200;1835.65;53.856;4677.19;6236.85
Q208390037_3;13410;3704.95;58.0012;4150.1;8707.63
Q208390037_2;13405;8031.47;61.494;5139.19;11905.5
Q208390037_1;13405;5466.21;60.8608;3549.63;11154.1
P208390037;13200;1835.65;53.856;4674.98;6239.37
Q208390013_10;13310;9798.47;63.2594;4627.5;14256.4
Q208390013_9;13405;5190.68;62.24;3680.65;10729.1
Q208390013_8;13410;5738.85;58.4028;5064.33;9698.27
Q208390013_7;13400;4933;61.2852;3780.91;10357
Q208390013_6;13200;1835.15;53.856;4670.35;6244.15
Q208390013_5;13405;10239.5;66.0755;5212.6;14029.7
Q208390013_4;13200;1835.65;53.856;4679.6;6234.1
Q208390013_3;13405;6028.48;61.1524;3803.74;11426.4
Q208390013_2;13400;5587.58;60.8028;3512.7;11317.6
P208390013;13200;1842.2;53.856;4677.36;6243.21
Q209390037_1;13000;2208.76;51.324;4558.97;6744.87
P209390037;13200;2078.22;52.3152;4595.04;6573.16
P209390001;11005;5193.29;44.4071;7775.65;6058.71
Q209390023_14;13405;7103.1;63.1534;4494.97;11712.2
Q209390023_13;13400;6141.97;61.4572;3528.17;11854.4
Q209390023_12;13405;6474.12;62.3526;4029.66;11614.2
Q209390023_11;13000;7751.4;63.7084;5159.76;11601.9
Q209390023_10;13200;1831.87;53.856;4673.46;6237.33
Q209390023_9;13410;10657.7;68.7358;4682.89;15052.4
Q209390023_8;13200;1831.87;53.856;4673.46;6237.33
Q209390023_7;13005;5144.07;58.9356;4043.8;10268.1
Q209390023_6;13205;8704.33;61.4395;5807.84;11815.3
Q209390023_4;13400;4629.24;56.6274;3752.72;10085.4
Q209390023_3;13200;1831.87;53.856;4673.46;6237.33
Q209390023_1;13200;1838.93;53.856;4673.6;6244.22
Q210390023_10;13200;2078.22;52.3152;4596.61;6571.38
Q210390023_9;13000;3081.6;55.1772;4326.84;7882.6
Q210390023_8;13410;10918.6;63.608;7892.77;11650.4
Q210390023_6;13405;7441.13;64.1164;4317.42;12252.9
Q210390023_5;13000;6309.1;57.3587;4078.28;11393.7
Q210390023_4;12800;1785.66;52.224;4701.95;6158.61
