Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P198382111;12210;6176.21;52.6685;6537.79;8454.2
P198382407;13200;10720;87.7248;7528.86;11867.1
Q198382405_1;13200;9987.96;86.8775;7343.52;11346.5
P198382405;13200;10541.2;87.9228;7592.79;11615.3
P198382101;13200;9250.15;78.7311;7280.71;10680.4
P198382411;13210;10323.5;85.8503;7364.15;11658.5
P198382401;13200;10435.5;87.9207;7440.82;11683
Q198382409_2;13210;10570.7;87.8641;7300.3;11978.6
Q198382409_1;13210;10249.6;87.6167;7350.43;11600.3
P198382409;13200;10302.8;88.0891;7352.61;11650.9
P198382107;13010;8153.56;68.6231;6989.34;9916.27
P198382109;13220;8637.79;75.7391;7299.68;10046.4
Q199382403_1;13000;10532.5;86.49;7617.31;11578.6
P199382403;13410;10251.5;87.3758;7125.19;11859.2
P199382407;13210;10084.9;86.0953;7408.5;11369.3
P199382405;13200;10709.6;88.452;7578.36;11800.2
P199382101;13220;9310.42;79.6895;7379.97;10627.4
Q199382401_1;13200;10149;85.8426;7324.57;11529.1
P199382401;13200;10280.6;87.7689;7243.21;11753.6
P199382103;13200;8804.27;73.5372;7354.16;10150.7
Q199382409_1;13010;10461.6;87.7029;7308.77;11859.8
P199382409;13200;10593.6;89.0928;7573.21;11690
P199382105;13200;9158.79;77.7215;7459.77;10384.7
P199382107;13250;8442.48;77.0953;6159.93;11151.7
P200382109;13210;7758.85;66.1677;6837;9695.4
Q201382403_2;13400;9675.37;81.612;7509.5;10844.5
Q201382403_1;13200;10321.9;86.2073;7132.61;11921.2
P201382403;13010;10555.4;87.671;7323.69;11936.6
P201382407;13210;10391.9;87.8335;7309.02;11789.8
P201382405;13210;10436.7;88.2218;7221;11935
P201382401;13200;10431.9;87.2481;7440.34;11680
Q201382409_2;13200;10625.6;88.7688;7533.73;11767
Q201382409_1;13210;10279.6;86.8631;7376.74;11600.2
P201382409;13210;10481.3;88.3969;7423.35;11748.8
P202382403;13210;10197.6;85.9462;7202.36;11717.3
P202382111;13000;8160.18;68.2017;7398.75;9455.7
P202382407;13400;10380.7;88.4959;7203.55;11899
Q202382405_2;13020;10339;86.5162;7262.66;11789.8
Q202382405_1;13210;10075.7;87.4478;7107.69;11703.4
P202382405;13200;10728.6;88.452;7625.1;11765.8
P202382101;13410;9565.43;82.7113;6882.64;11449.9
Q202382401_1;13210;10457.6;87.9518;7107.78;12085.1
P202382401;13200;10642.2;88.452;7554.83;11759.6
P202382103;13200;10340.8;83.9268;7569.3;11441.7
P202382409;13220;9827.58;87.06;7043.71;11528.3
P203382403;12200;9158.62;76.8513;7556.55;10274.1
P203382111;13010;7139.57;61.3891;7092.36;8784.72
P203382407;13210;10510.4;87.5243;7441.65;11757
P203382405;13200;10457.8;87.9228;7498.89;11639
P203382101;13220;8511.78;74.6144;7092.95;10156.3
Q203382401_2;13200;10595.5;88.0668;7384.6;11907.1
Q203382401_1;13210;10183.6;87.3303;7217.5;11686
P203382401;13200;11024.2;88.452;7646.95;12036.5
