Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P203382105;P203382105_1;A;0;0;0;1600;1200;2700
P203382105;P203382105_2;B;0;1200;0;1600;2400;2700
P203382105;P203382105_3;C;1600;1240;0;3200;2440;2700
P203382105;P203382105_4;D;1600;0;0;3200;1200;2700
P203382105;P203382105_5;E;3200;0;0;4800;1200;2700
P203382105;P203382105_6;F;3200;1240;0;4800;2440;2700
P203382105;P203382105_7;G;4800;1240;0;6400;2440;2700
P203382105;P203382105_8;H;4800;0;0;6400;1200;2700
P203382105;P203382105_9;I;6400;0;0;7400;1200;2790
P203382105;P203382105_10;J;6400;1240;0;7400;2440;2790
P203382105;P203382105_11;K;7400;1240;0;8400;2440;2790
P203382105;P203382105_12;L;7400;0;0;8410;1206;2266
P203382105;P203382105_13;M;8400;1240;0;9400;2440;2790
P203382105;P203382105_14;N;8410;0;0;9410;1200;2790
P203382105;P203382105_15;O;9400;1240;0;10400;2440;2790
P203382105;P203382105_16;P;9410;0;0;10410;1200;2790
P203382105;P203382105_17;Q;10400;1240;0;11400;2440;2790
P203382105;P203382105_18;R;10410;0;0;11410;1200;2790
P203382105;P203382105_19;S;11400;1240;0;12400;2440;2790
P203382105;P203382105_20;T;11410;0;0;12410;1200;2790
P203382105;P203382105_21;U;12400;1240;0;13400;2440;2790
P203382105;P203382105_22;V;12410;0;0;13410;1200;2790
P203382409;P203382409_1;A;0;0;0;1000;1200;2835
P203382409;P203382409_2;B;0;1200;0;1000;2400;2835
P203382409;P203382409_3;C;1000;1240;0;2000;2440;2835
P203382409;P203382409_4;D;1000;0;0;2000;1200;2835
P203382409;P203382409_5;E;2000;0;0;3000;1200;2835
P203382409;P203382409_6;F;2000;1200;0;3000;2400;2835
P203382409;P203382409_7;G;3000;1240;0;4000;2440;2835
P203382409;P203382409_8;H;3000;0;0;4000;1200;2835
P203382409;P203382409_9;I;4000;1240;0;5000;2440;2835
P203382409;P203382409_10;J;4000;0;0;5000;1200;2835
P203382409;P203382409_11;K;5000;0;0;6000;1200;2835
P203382409;P203382409_12;L;5000;1240;0;6000;2440;2835
P203382409;P203382409_13;M;6000;1240;0;7000;2440;2835
P203382409;P203382409_14;N;6000;0;0;7000;1200;2835
P203382409;P203382409_15;O;7000;0;0;8000;1200;2835
P203382409;P203382409_16;P;7000;1240;0;8000;2440;2835
P203382409;P203382409_17;Q;8000;1240;0;9000;2440;2835
P203382409;P203382409_18;R;8000;0;0;9000;1200;2835
P203382409;P203382409_19;S;9000;0;0;10000;1200;2835
P203382409;P203382409_20;T;9000;1240;0;10000;2440;2835
P203382409;P203382409_21;U;10000;1240;0;11000;2440;2835
P203382409;P203382409_22;V;10000;0;0;11000;1200;2835
P203382409;P203382409_23;W;11000;0;0;12000;1200;2835
P203382409;P203382409_24;X;11000;1240;0;12000;2440;2835
P203382409;P203382409_25;Y;12000;1440;0;13200;2440;2835
P203382409;P203382409_26;Z;12000;0;0;13000;1200;2835
Q203382409_1;Q203382409_1_1;A;0;0;0;1010;1206;2362
Q203382409_1;Q203382409_1_2;B;0;1240;0;1600;2440;2865
Q203382409_1;Q203382409_1_3;C;1010;0;0;2610;1200;2865
Q203382409_1;Q203382409_1_4;D;1600;1240;0;3200;2440;2865
Q203382409_1;Q203382409_1_5;E;2610;0;0;3610;1200;2835
Q203382409_1;Q203382409_1_6;F;3200;1234;0;4210;2440;2178
Q203382409_1;Q203382409_1_7;G;3610;0;0;5210;1200;2700
Q203382409_1;Q203382409_1_8;H;4210;1240;0;5210;2440;2835
Q203382409_1;Q203382409_1_9;I;5210;1240;0;6210;2440;2835
Q203382409_1;Q203382409_1_10;J;5210;0;0;6210;1200;2835
Q203382409_1;Q203382409_1_11;K;6210;0;0;7210;1200;2835
Q203382409_1;Q203382409_1_12;L;6210;1240;0;7210;2440;2835
Q203382409_1;Q203382409_1_13;M;7210;1240;0;8210;2440;2835
Q203382409_1;Q203382409_1_14;N;7210;0;0;8210;1200;2835
Q203382409_1;Q203382409_1_15;O;8210;0;0;9210;1200;2835
Q203382409_1;Q203382409_1_16;P;8210;1240;0;9210;2440;2835
Q203382409_1;Q203382409_1_17;Q;9210;1240;0;10210;2440;2835
Q203382409_1;Q203382409_1_18;R;9210;0;0;10210;1200;2835
Q203382409_1;Q203382409_1_19;S;10210;0;0;11210;1200;2835
Q203382409_1;Q203382409_1_20;T;10210;1240;0;11210;2440;2835
Q203382409_1;Q203382409_1_21;U;11210;1240;0;12210;2440;2835
Q203382409_1;Q203382409_1_22;V;11210;0;0;12210;1200;2835
Q203382409_1;Q203382409_1_23;W;12210;0;0;13410;1000;2835
Q203382409_1;Q203382409_1_24;X;12210;1440;0;13410;2440;2835
Q203382409_2;Q203382409_2_1;A;0;1240;0;1000;2440;2835
Q203382409_2;Q203382409_2_2;B;0;0;0;1000;1200;2835
Q203382409_2;Q203382409_2_3;C;1000;0;0;2000;1200;2835
Q203382409_2;Q203382409_2_4;D;1000;1240;0;2000;2440;2835
Q203382409_2;Q203382409_2_5;E;2000;1240;0;3000;2440;2835
Q203382409_2;Q203382409_2_6;F;2000;0;0;3000;1200;2835
Q203382409_2;Q203382409_2_7;G;3000;0;0;4000;1200;2835
Q203382409_2;Q203382409_2_8;H;3000;1240;0;4000;2440;2835
Q203382409_2;Q203382409_2_9;I;4000;1240;0;5000;2440;2835
Q203382409_2;Q203382409_2_10;J;4000;0;0;5000;1200;2835
Q203382409_2;Q203382409_2_11;K;5000;0;0;6000;1200;2835
Q203382409_2;Q203382409_2_12;L;5000;1240;0;6000;2440;2835
Q203382409_2;Q203382409_2_13;M;6000;1240;0;7000;2440;2835
Q203382409_2;Q203382409_2_14;N;6000;0;0;7000;1200;2835
Q203382409_2;Q203382409_2_15;O;7000;0;0;8000;1200;2835
Q203382409_2;Q203382409_2_16;P;7000;1240;0;8000;2440;2835
Q203382409_2;Q203382409_2_17;Q;8000;1240;0;9000;2440;2835
Q203382409_2;Q203382409_2_18;R;8000;0;0;9000;1200;2835
Q203382409_2;Q203382409_2_19;S;9000;0;0;10000;1200;2835
Q203382409_2;Q203382409_2_20;T;9000;1240;0;10000;2440;2790
Q203382409_2;Q203382409_2_21;U;10000;1240;0;11000;2440;2835
Q203382409_2;Q203382409_2_22;V;10000;0;0;11000;1200;2835
Q203382409_2;Q203382409_2_23;W;11000;0;0;12000;1200;2835
Q203382409_2;Q203382409_2_24;X;11000;1240;0;12000;2440;2835
Q203382409_2;Q203382409_2_25;Y;12000;1440;0;13200;2440;2835
Q203382409_2;Q203382409_2_26;Z;12000;0;0;13000;1200;2835
P203382103;P203382103_1;A;0;0;0;1000;1200;2790
P203382103;P203382103_2;B;0;1240;0;1000;2440;2790
P203382103;P203382103_3;C;1000;1240;0;2000;2440;2790
P203382103;P203382103_4;D;1000;0;0;2000;1200;2610
P203382103;P203382103_5;E;2000;0;0;3000;1200;2610
P203382103;P203382103_6;F;2000;1240;0;3000;2440;2610
P203382103;P203382103_7;G;3000;1240;0;4000;2440;2610
P203382103;P203382103_8;H;3000;0;0;4000;1200;2610
P203382103;P203382103_9;I;4000;0;0;5000;1200;2610
P203382103;P203382103_10;J;4000;1240;0;5000;2440;2610
P203382103;P203382103_11;K;5000;1240;0;6000;2440;2610
P203382103;P203382103_12;L;5000;0;0;6000;1200;2610
P203382103;P203382103_13;M;6000;0;0;7000;1200;2610
P203382103;P203382103_14;N;6000;1240;0;7000;2440;2610
P203382103;P203382103_15;O;7000;1234;0;8010;2440;2362
P203382103;P203382103_16;P;7000;0;0;8000;1200;2610
P203382103;P203382103_17;Q;8000;0;0;9000;1200;2610
P203382103;P203382103_18;R;8010;1240;0;9010;2440;2610
P203382103;P203382103_19;S;9000;0;0;10000;1200;2610
P203382103;P203382103_20;T;9010;1240;0;10010;2440;2610
P203382103;P203382103_21;U;10000;0;0;11000;1200;2610
P203382103;P203382103_22;V;10010;1240;0;11010;2440;2610
P203382103;P203382103_23;W;11000;0;0;12000;1200;2610
P203382103;P203382103_24;X;11010;1240;0;12010;2440;2610
P203382103;P203382103_25;Y;12000;0;0;13000;1200;2610
P203382103;P203382103_26;Z;12010;1240;0;13010;2440;2610
P203382401;P203382401_1;A;0;1234;0;1010;2440;2170
P203382401;P203382401_2;B;0;0;0;1000;1200;2835
P203382401;P203382401_3;C;1000;0;0;2000;1200;2835
P203382401;P203382401_4;D;1010;1240;0;2010;2440;2835
P203382401;P203382401_5;E;2000;0;0;3600;1200;2700
P203382401;P203382401_6;F;2010;1240;0;3010;2440;2835
P203382401;P203382401_7;G;3010;1240;0;4010;2440;2835
P203382401;P203382401_8;H;3600;0;0;4600;1200;2835
P203382401;P203382401_9;I;4010;1240;0;5010;2440;2835
P203382401;P203382401_10;J;4600;0;0;5600;1200;2835
P203382401;P203382401_11;K;5010;1240;0;6010;2440;2835
P203382401;P203382401_12;L;5600;0;0;6600;1200;2835
P203382401;P203382401_13;M;6010;1240;0;7010;2440;2835
P203382401;P203382401_14;N;6600;0;0;7600;1200;2835
P203382401;P203382401_15;O;7010;1240;0;8010;2440;2835
P203382401;P203382401_16;P;7600;0;0;8600;1200;2835
P203382401;P203382401_17;Q;8010;1240;0;9010;2440;2865
P203382401;P203382401_18;R;8600;0;0;9600;1200;2835
P203382401;P203382401_19;S;9010;1240;0;10010;2440;2835
P203382401;P203382401_20;T;9600;0;0;10610;1206;2178
P203382401;P203382401_21;U;10010;1240;0;11010;2440;2835
P203382401;P203382401_22;V;10610;0;0;11610;1200;2835
P203382401;P203382401_23;W;11010;1240;0;12010;2440;2835
