Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P198382111;9600;4730.35;39.7785;6808.57;6699.35
P198382407;13210;10354.7;87.9518;7211.56;11863.9
P198382405;13210;10373.1;87.2949;7311.72;11767.9
P198382101;13200;8355.98;69.9372;7263.67;9805.64
P198382411;13210;10361.2;87.4376;7264.2;11810.2
Q198382401_2;13200;10407.2;88.3298;7250.97;11871.4
Q198382401_1;13210;10478.7;87.977;7435.05;11732.8
P198382401;13200;10620.4;88.9308;7503.39;11796.5
P198382103;13210;9978.98;83.0314;7316.81;11368
P198382409;13200;10389.2;87.9228;7416.56;11664.4
P198382107;13020;7695.34;66.2805;6803.93;9669.63
P198382109;13220;8800.15;77.1431;6995.77;10555.5
Q199382403_1;13200;10156.8;85;7204.85;11673.6
P199382403;13200;10553.2;88.2684;7497.77;11735.7
P199382111;13020;9217.86;76.0915;7603.68;10279.5
P199382407;13400;10441.5;88.4016;7268.85;11885.2
Q199382405_2;13200;10275.4;87.6395;7273.81;11713.5
Q199382405_1;13210;10168.9;86.9993;7257.05;11626.1
P199382405;13010;10372.3;86.426;7445.06;11615
P199382101;13210;10065.1;84.9355;7224.56;11559.4
P199382401;13200;10593;88.0238;7568.52;11694.8
Q199382409_1;13210;10291.7;87.977;7275.86;11727.5
P199382409;13200;10511.8;87.9228;7437.6;11763
P199382105;13010;9315.43;77.5689;7665.46;10306.6
P199382107;13260;8386.66;78.2102;6544.59;10656.9
P200382109;13210;8360.84;70.0958;7178.47;9907.73
P201382403;13200;10250.8;86.9402;7370.01;11579.1
P201382111;12610;8286.9;69.65;7522.14;9441.62
P201382407;13210;10226.8;87.3758;7061.54;11907.1
P201382405;13210;10161.4;86.7386;6989.27;11924.2
P201382401;13010;10550.2;87.8731;7489.27;11742.4
P201382103;13210;8254.46;70.3041;7125.78;9861.48
P201382409;13200;10456.6;87.9228;7431.04;11715.2
P201382105;13010;8049.54;67.8212;7209.55;9560.96
P201382107;13220;9266.49;79.5172;7163.42;10830.6
Q202382403_1;12800;9345.17;77.4288;7655.98;10347.1
P202382403;13210;10503.7;87.4245;7313.58;11896.4
P202382407;13210;10338.7;87.5774;7229.26;11827.6
P202382405;13010;10269.2;86.6287;7448.43;11508
P202382101;13210;9323.8;80.122;7186.32;10861.7
Q202382401_2;13200;10491;87.722;7269.9;11933.5
Q202382401_1;13200;10599.2;88.506;7549.21;11723
P202382401;13220;10164.4;87.5132;7191.02;11697
Q202382409_2;13210;10493.4;87.5851;7356.27;11837.4
Q202382409_1;13200;10518.6;87.5664;7470.59;11732.2
P202382409;13210;10325.4;88.2717;7066.24;12000.3
P203382403;12800;8779.14;74.1189;7635.58;9804.4
P203382111;13010;7334.15;62.1965;6914.11;9182.71
P203382407;13210;10409.9;86.8898;7282.8;11837.7
P203382405;13200;10319.2;87.6314;7552.12;11439.7
P203382101;13200;8486.81;73.1577;7295.06;9900.65
Q203382401_2;13010;10185.4;84.5585;7585.27;11268.1
Q203382401_1;13210;10212.6;88.1858;7151.51;11790.2
P203382401;13210;10399.7;86.0261;7118.41;12015.2
P203382103;13010;10356.9;81.9241;7393.25;11658.7
Q203382409_2;13010;10243.9;87.7029;7174.01;11795.9
Q203382409_1;13010;10634.8;87.9271;7581.48;11721.8
P203382409;13200;10123.1;87.9444;7372.53;11448.5
P203382105;13410;9950.51;87.8731;6627.23;12126.4
Q205382111_1;11000;5670.77;47.7108;6724.29;7735.94
P205382111;13010;7290.67;62.5569;6365.02;9765.82
P205382407;13200;10559.8;88.218;7409.82;11842.7
P205382405;13210;10089.7;86.898;6987.97;11854
P205382101;13200;9097.32;75.87;7484.28;10295.2
P205382411;13200;10297.4;87.7737;7211.89;11806.1
P205382401;13200;10490.8;88.2684;7482.22;11691.1
P205382103;13010;8528.55;70.085;7352.08;9877.33
P205382409;13400;10436.5;89.0928;7416.97;11711.2
P205382105;13210;8796.63;74.3279;7542.48;9928.13
P205382107;13020;7617.68;65.857;6565.98;9863.5
P205382109;13220;8786.05;76.5031;7182.4;10328.5
Q206382403_1;13200;10072.8;85.9209;7199.77;11595.4
P206382403;13210;10407.5;87.6314;7416.15;11683.1
P206382111;13000;8754.92;73.5631;7575.19;9849.1
P206382407;13200;10423.2;88.2938;7329.12;11798.2
P206382405;13200;10618.5;88.9308;7515.49;11780.8
P206382101;13210;8813.1;76.6568;7051.01;10505.4
P206382401;13200;10247.5;87.2858;7337.63;11612.7
P206382103;13200;8789.75;72.4248;7434.93;10044
P206382409;13200;10525.9;88.452;7487.73;11719.8
P206382105;13200;8829.36;73.2708;7412.87;10108.8
P206382107;13030;7779.61;66.4737;6815.76;9740.41
P206382109;13220;9276.66;80.1423;7208.64;10789.1
Q207382403_1;13200;10370.8;87.0789;7328.66;11746.3
P207382403;13200;10453.5;87.7248;7469.51;11668.3
P207382407;13210;10205;87.5399;7170.68;11760.8
P207382405;13200;10729.5;88.452;7498.1;11911.7
P207382101;13200;9084.94;76.0034;7393.65;10386.3
P207382401;13200;10458.7;88.2987;7351.68;11808
P207382103;13210;7638.49;67.1607;6886.28;9518.81
P207382409;13200;10361.8;87.8601;7363.61;11697.4
P207382105;13000;8710.51;72.0259;7554.55;9828.23
P207382107;13220;7939.07;70.7341;6530.8;10225
P207382109;13210;8179.98;69.9999;7202.25;9699.74
Q208382403_1;13010;10096.4;84.7385;7526.55;11246.1
P208382403;13200;10482.7;87.9228;7516.55;11643.7
P208382111;13220;9012.61;78.1814;7083.2;10668.2
P208382407;13200;10253.1;87.8601;7352.45;11601.4
P208382405;13200;10622;88.9308;7385.29;11932.9
P208382101;13000;8840.46;71.91;7580.78;9928.26
P208382401;13210;10056.5;87.6568;7386.31;11366.2
P208382103;13210;8842.89;73.4915;7401.73;10135
P208382409;13200;10394.1;87.9482;7573.73;11490
P208382105;13210;8639.39;72.9038;7397.59;9936.23
P208382107;13220;9408.82;80.2027;7356.19;10752.9
P209382403;13200;10059.2;85.4745;7332.09;11430.8
P209382111;13200;8448.68;71.7199;7294.61;9863.04
P209382407;13200;10470.3;88.2684;7359.79;11810.2
P209382405;13220;10330;87.5399;7366.96;11661.8
P209382101;13200;10041.4;81.252;7576.02;11134.6
P209382401;13210;10165.2;87.2035;7170.78;11720.8
P209382409;13200;10040.1;85.6283;7150.09;11619.4
P210382407;13200;10078.4;84.6544;7109.45;11704
P210382405;13200;10534.7;88.1964;7438.93;11784.3
Q191382111_1;13210;6504.63;57.1128;6315.11;9036.74
P191382111;13210;7368.94;61.5427;6273.46;9948.58
P191382407;13400;10236.8;88.4526;7128.91;11840.2
P191382405;13200;10295.1;87.7596;7165.53;11856.8
P191382101;13200;9320.88;78.8429;7495.68;10505.8
P191382411;13200;10589.4;88.614;7334.91;11957.8
P191382401;13200;10439.3;88.8383;7668.02;11427.6
P191382103;13410;8945.71;79.508;7131.15;10546.6
P191382409;13210;10449.6;88.6227;7464.33;11670.2
P191382105;13210;9091.94;77.8884;7295.29;10505.5
P191382107;13040;7910.46;69.7142;6790.5;9900.08
P191382109;13400;8861.89;76.7762;7162.04;10427.5
Q192382403_1;13410;9293.4;85.8984;6629.63;11466.6
P192382403;13010;10601.6;88.4058;7607.21;11659.2
P192382111;13200;9051.42;74.6172;7511.54;10218.2
P192382407;13210;10355.7;88.8216;7284.52;11781.5
P192382405;13210;9979;87.6757;7126.53;11585.2
P192382101;13200;8983.41;74.9628;7408.44;10267.9
P192382401;13200;10390.5;88.3107;7336.57;11756.9
P192382103;13010;8611.41;72.1338;7495.94;9796.02
Q192382409_1;13200;10351.4;87.8717;7308.76;11749.6
P192382409;13200;10567.7;88.8846;7567.43;11670.7
P192382105;13210;8976.93;75.8976;7491.22;10166.9
P192382107;13030;7772.32;69.7513;6632.66;9942.05
P192382109;13210;9514.68;79.295;7558.62;10627.8
P193382403;13200;10186.3;86.3049;7267.47;11631.7
P193382111;13210;8870.26;75.2881;7376.11;10191.6
P193382407;13400;10486.8;88.2936;7451.91;11721.7
P193382405;13200;10202.2;88.3107;7276.02;11637.7
P193382101;13200;9402.23;79.2312;7556.27;10518
Q193382401_1;13210;10384.5;88.6798;7322.82;11766.7
P193382401;13406;10550;89.3634;7601.76;11613.9
P193382103;13210;8438.9;72.5765;7337.25;9804.6
P193382409;13210;10145.4;88.5897;7385.66;11455.8
P193382105;13200;8877.14;74.1168;7506.84;10049.3
P193382107;13060;7859.36;73.1636;6418.84;10273.1
P193382109;13416;8739.52;77.859;6955.11;10541.3
Q187382403_2;10000;5619.64;46.5772;7111.21;7243.29
Q187382403_1;13210;8460.08;73.7795;6369.57;10930
P187382403;13200;8721.82;73.6008;6859.03;10633.2
P187382407;13210;10511.2;88.4598;7420.06;11782.4
Q187382405_1;13210;10398.2;88.7396;7226.31;11890.5
P187382405;13400;10163.9;88.3842;7099.14;11801.3
P187382101;13010;9994.68;82.1058;7391.28;11298.7
