Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090038300_14062023003008;P203382105;P203382105_1;A1;0;0;0 ;1600 ;1200 ;930
0090038300_14062023003008;P203382105;P203382105_1;A2;0;0;930 ;1600 ;1200 ;1815
0090038300_14062023003008;P203382105;P203382105_1;A3;0;0;1815 ;1600 ;1200 ;2700
0090038300_14062023000878;P203382105;P203382105_2;B1;0;1240;0 ;1600 ;2440 ;930
0090038300_14062023000878;P203382105;P203382105_2;B2;0;1240;930 ;1600 ;2440 ;1815
0090038300_14062023000878;P203382105;P203382105_2;B3;0;1240;1815 ;1600 ;2440 ;2700
0090038300_14062023000878;P203382105;P203382105_3;C1;1600;1240;0 ;3200 ;2440 ;930
0090038300_14062023000878;P203382105;P203382105_3;C2;1600;1240;930 ;3200 ;2440 ;1815
0090038300_14062023000878;P203382105;P203382105_3;C3;1600;1240;1815 ;3200 ;2440 ;2700
0090038300_14062023009868;P203382105;P203382105_4;D1;1600;0;0 ;3200 ;1200 ;930
0090038300_14062023006853;P203382105;P203382105_4;D2;1600;0;930 ;3200 ;1200 ;1815
0090038300_14062023009868;P203382105;P203382105_4;D3;1600;0;1815 ;3200 ;1200 ;2700
0090038300_14062023006428;P203382105;P203382105_5;E1;3200;0;0 ;4200 ;1200 ;975
0090038300_14062023006428;P203382105;P203382105_5;E2;3200;0;975 ;4200 ;1200 ;1905
0090038300_14062023006394;P203382105;P203382105_5;E3;3200;0;1905 ;4200 ;1200 ;2790
0090038300_14062023006428;P203382105;P203382105_6;F1;3200;1240;0 ;4200 ;2440 ;975
0090038300_14062023006428;P203382105;P203382105_6;F2;3200;1240;975 ;4200 ;2440 ;1905
0090038300_14062023006394;P203382105;P203382105_6;F3;3200;1240;1905 ;4200 ;2440 ;2790
0090038300_14062023006428;P203382105;P203382105_7;G1;4200;1240;0 ;5200 ;2440 ;975
0090038300_14062023006428;P203382105;P203382105_7;G2;4200;1240;975 ;5200 ;2440 ;1905
0090038300_14062023006394;P203382105;P203382105_7;G3;4200;1240;1905 ;5200 ;2440 ;2790
0090038300_14062023006428;P203382105;P203382105_8;H1;4200;0;0 ;5200 ;1200 ;975
0090038300_14062023006428;P203382105;P203382105_8;H2;4200;0;975 ;5200 ;1200 ;1905
0090038300_14062023006394;P203382105;P203382105_8;H3;4200;0;1905 ;5200 ;1200 ;2790
0090038300_14062023006428;P203382105;P203382105_9;I1;5200;0;0 ;6200 ;1200 ;975
0090038300_14062023006428;P203382105;P203382105_9;I2;5200;0;975 ;6200 ;1200 ;1905
0090038300_14062023006394;P203382105;P203382105_9;I3;5200;0;1905 ;6200 ;1200 ;2790
0090038300_14062023009905;P203382105;P203382105_10;J1;5200;1240;0 ;6200 ;2440 ;975
0090038300_14062023009905;P203382105;P203382105_10;J2;5200;1240;975 ;6200 ;2440 ;1905
0090038300_14062023006394;P203382105;P203382105_10;J3;5200;1240;1905 ;6200 ;2440 ;2790
0090038300_14062023009905;P203382105;P203382105_11;K1;6200;1240;0 ;7200 ;2440 ;975
0090038300_14062023009905;P203382105;P203382105_11;K2;6200;1240;975 ;7200 ;2440 ;1905
0090038300_14062023006394;P203382105;P203382105_11;K3;6200;1240;1905 ;7200 ;2440 ;2790
0090038300_14062023009905;P203382105;P203382105_12;L1;6200;0;0 ;7200 ;1200 ;975
0090038300_14062023009905;P203382105;P203382105_12;L2;6200;0;975 ;7200 ;1200 ;1905
0090038300_14062023000654;P203382105;P203382105_12;L3;6200;0;1905 ;7200 ;1200 ;2790
0090038300_14062023009905;P203382105;P203382105_13;M1;7200;0;0 ;8200 ;1200 ;975
0090038300_14062023009905;P203382105;P203382105_13;M2;7200;0;975 ;8200 ;1200 ;1905
0090038300_14062023000654;P203382105;P203382105_13;M3;7200;0;1905 ;8200 ;1200 ;2790
0090038300_14062023009905;P203382105;P203382105_14;N1;7200;1240;0 ;8200 ;2440 ;975
0090038300_14062023009905;P203382105;P203382105_14;N2;7200;1240;975 ;8200 ;2440 ;1905
0090038300_14062023000654;P203382105;P203382105_14;N3;7200;1240;1905 ;8200 ;2440 ;2790
0090038300_14062023006076;P203382105;P203382105_15;O1;8200;1240;0 ;9200 ;2440 ;975
0090038300_14062023006076;P203382105;P203382105_15;O2;8200;1240;975 ;9200 ;2440 ;1905
0090038300_14062023000654;P203382105;P203382105_15;O3;8200;1240;1905 ;9200 ;2440 ;2790
0090038300_14062023003574;P203382105;P203382105_16;P1;8200;0;0 ;9210 ;1206 ;1085
0090038300_14062023001531;P203382105;P203382105_16;P2;8200;0;1085 ;9210 ;1206 ;2266
0090038300_14062023008732;P203382105;P203382105_17;Q1;9200;1240;0 ;10200 ;2440 ;975
0090038300_14062023008732;P203382105;P203382105_17;Q2;9200;1240;975 ;10200 ;2440 ;1905
0090038300_14062023000654;P203382105;P203382105_17;Q3;9200;1240;1905 ;10200 ;2440 ;2790
0090038300_14062023008732;P203382105;P203382105_18;R1;9210;0;0 ;10210 ;1200 ;975
0090038300_14062023008732;P203382105;P203382105_18;R2;9210;0;975 ;10210 ;1200 ;1905
0090038300_14062023000654;P203382105;P203382105_18;R3;9210;0;1905 ;10210 ;1200 ;2790
0090038300_14062023008732;P203382105;P203382105_19;S1;10200;1240;0 ;11200 ;2440 ;975
0090038300_14062023008732;P203382105;P203382105_19;S2;10200;1240;975 ;11200 ;2440 ;1905
0090038300_14062023000654;P203382105;P203382105_19;S3;10200;1240;1905 ;11200 ;2440 ;2790
0090038300_14062023008732;P203382105;P203382105_20;T1;10210;0;0 ;11210 ;1200 ;975
0090038300_14062023008732;P203382105;P203382105_20;T2;10210;0;975 ;11210 ;1200 ;1905
0090038300_14062023008188;P203382105;P203382105_20;T3;10210;0;1905 ;11210 ;1200 ;2610
0090038300_14062023008732;P203382105;P203382105_21;U1;11200;1240;0 ;12200 ;2440 ;975
0090038300_14062023008732;P203382105;P203382105_21;U2;11200;1240;975 ;12200 ;2440 ;1905
0090038300_14062023008188;P203382105;P203382105_21;U3;11200;1240;1905 ;12200 ;2440 ;2610
