Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P219423109;P219423109_1;A;0;0;0;1010;1206;1570
P219423109;P219423109_2;B;0;1240;0;1000;2440;2835
P219423109;P219423109_3;C;1000;1240;0;2000;2440;975
P219423109;P219423109_4;D;1010;0;0;2020;1206;1181
P219423109;P219423109_5;E;2000;1234;0;3010;2440;1370
P219423109;P219423109_6;F;2020;0;0;3020;1200;975
P219423109;P219423109_7;G;3010;1240;0;4010;2440;2835
P219423109;P219423109_8;H;3020;0;0;4020;1200;2835
P219423109;P219423109_9;I;4010;1240;0;5010;2440;2385
P219423109;P219423109_10;J;4020;0;0;5020;1200;2610
P219423109;P219423109_11;K;5010;1240;0;6010;2440;2835
P219423109;P219423109_12;L;5020;0;0;6020;1200;2385
P219423109;P219423109_13;M;6010;1240;0;7010;2440;2835
P219423109;P219423109_14;N;6020;0;0;7020;1200;1680
P219423109;P219423109_15;O;7010;1234;0;8020;2440;2370
P219423109;P219423109_16;P;7020;0;0;8030;1206;2370
P219423109;P219423109_17;Q;8020;1234;0;9030;2440;2370
P219423109;P219423109_18;R;8030;0;0;9030;1200;2835
P219423109;P219423109_19;S;9030;1240;0;10030;2440;2835
P219423109;P219423109_20;T;9030;0;0;10040;1206;2370
P219423109;P219423109_21;U;10030;1660;0;10600;2440;1771
P219423109;P219423109_22;V;10040;0;0;11240;1600;1455
P219423109;P219423109_23;W;10600;1660;0;11170;2440;1771
P219423109;P219423109_24;X;11170;1660;0;11740;2440;1771
P219423109;P219423109_25;Y;11240;0;0;12240;1200;2385
P219423109;P219423109_26;Z;11740;1234;0;12750;2440;2370
P219423109;P219423109_27;AA;12240;0;0;13240;1200;2835
P219423109;P219423109_28;AB;12750;1660;0;13320;2440;1771
P219423105;P219423105_1;A;0;620;0;1000;1820;1905
P219423105;P219423105_2;B;1000;1240;0;2000;2440;2835
P219423105;P219423105_3;C;1000;20;0;2000;1220;2835
P219423105;P219423105_4;D;2000;620;0;3000;1820;2160
P219423105;P219423105_5;E;3000;1240;0;4000;2440;2610
P219423105;P219423105_6;F;3000;0;0;4010;1206;1866
P219423105;P219423105_7;G;4000;1660;0;4570;2440;1771
P219423105;P219423105_8;H;4010;0;0;5210;1600;750
P219423105;P219423105_9;I;4570;1660;0;5140;2440;1771
P219423105;P219423105_10;J;5140;1660;0;5710;2440;1340
P219423105;P219423105_11;K;5210;0;0;6210;1200;2835
P219423105;P219423105_12;L;5710;1240;0;6710;2440;2610
P219423105;P219423105_13;M;6210;0;0;7220;1206;1185
P219423105;P219423105_14;N;6710;1240;0;7710;2440;750
P219423105;P219423105_15;O;7220;0;0;8620;1200;2910
P219423105;P219423105_16;P;7710;1240;0;9110;2440;2555
P219423105;P219423105_17;Q;8620;0;0;10020;1200;2555
P219423105;P219423105_18;R;9110;1240;0;10510;2440;2555
P219423105;P219423105_19;S;10020;0;0;11420;1200;2555
P219423105;P219423105_20;T;10510;1240;0;11910;2440;2555
P219423105;P219423105_21;U;11420;0;0;12820;1200;2555
P219423105;P219423105_22;V;11910;1240;0;13310;2440;2555
P219423103;P219423103_1;A;0;620;0;1000;1820;2835
P219423103;P219423103_2;B;1000;1240;0;2000;2440;2835
P219423103;P219423103_3;C;1000;20;0;2000;1220;2835
P219423103;P219423103_4;D;2000;1240;0;3000;2440;2160
P219423103;P219423103_5;E;2000;0;0;3010;1206;1185
P219423103;P219423103_6;F;3000;1240;0;4000;2440;2835
P219423103;P219423103_7;G;3010;0;0;3580;780;1771
P219423103;P219423103_8;H;3580;0;0;4150;780;1771
P219423103;P219423103_9;I;4000;1010;0;5000;2210;2835
P219423103;P219423103_10;J;4150;5;0;5350;1005;750
P219423103;P219423103_11;K;5000;1240;0;6600;2440;750
P219423103;P219423103_12;L;5350;0;0;6750;1200;2255
P219423103;P219423103_13;M;6600;1240;0;8200;2440;2700
P219423103;P219423103_14;N;6750;0;0;7760;1206;2370
P219423103;P219423103_15;O;7760;0;0;8760;1200;2835
P219423103;P219423103_16;P;8200;1240;0;9200;2440;2835
P219423103;P219423103_17;Q;8760;0;0;10360;1200;2700
P219423103;P219423103_18;R;9200;1240;0;10600;2440;2555
P219423103;P219423103_19;S;10360;0;0;11760;1200;2555
P219423103;P219423103_20;T;10600;1240;0;12000;2440;2555
P219423103;P219423103_21;U;11760;0;0;13160;1200;2555
P219423103;P219423103_22;V;12000;1240;0;13400;2440;2555
P219423101;P219423101_1;A;0;1240;0;1000;2440;2835
P219423101;P219423101_2;B;0;0;0;1000;1200;1680
P219423101;P219423101_3;C;1000;0;0;2000;1200;2610
P219423101;P219423101_4;D;1000;1240;0;2600;2440;750
P219423101;P219423101_5;E;2000;0;0;2570;780;1771
P219423101;P219423101_6;F;2570;0;0;3140;780;478
P219423101;P219423101_7;G;2600;1240;0;3600;2440;2835
P219423101;P219423101_8;H;3140;0;0;4140;1200;2835
P219423101;P219423101_9;I;3600;1240;0;5000;2440;2555
P219423101;P219423101_10;J;4140;0;0;5540;1200;2555
P219423101;P219423101_11;K;5000;1240;0;6400;2440;2255
P219423101;P219423101_12;L;5540;0;0;6940;1200;2910
P219423101;P219423101_13;M;6400;1240;0;8000;2440;2700
P219423101;P219423101_14;N;6940;0;0;7950;1206;2370
P219423101;P219423101_15;O;7950;0;0;8950;1200;2835
P219423101;P219423101_16;P;8000;1240;0;9000;2440;2835
P219423101;P219423101_17;Q;8950;0;0;10350;1200;2555
P219423101;P219423101_18;R;9000;1240;0;10400;2440;2555
P219423101;P219423101_19;S;10350;0;0;11750;1200;2555
P219423101;P219423101_20;T;10400;1240;0;11800;2440;2255
P219423101;P219423101_21;U;11750;0;0;13150;1200;2910
P219423101;P219423101_22;V;11800;1240;0;13400;2440;2700
P217423109;P217423109_1;A;0;0;0;1010;1206;2055
P217423109;P217423109_2;B;0;1240;0;1000;2440;2835
P217423109;P217423109_3;C;1000;1234;0;2010;2440;1181
P217423109;P217423109_4;D;1010;0;0;2020;1206;1370
P217423109;P217423109_5;E;2010;1240;0;3010;2440;975
P217423109;P217423109_6;F;2020;0;0;3030;1206;2370
P217423109;P217423109_7;G;3010;1234;0;4020;2440;2370
P217423109;P217423109_8;H;3030;0;0;4040;1206;1185
P217423109;P217423109_9;I;4020;1240;0;5420;2440;2555
P217423109;P217423109_10;J;4040;0;0;5440;1200;2555
P217423109;P217423109_11;K;5420;1240;0;6820;2440;2555
P217423109;P217423109_12;L;5440;0;0;6840;1200;2555
P217423109;P217423109_13;M;6820;1240;0;8220;2440;2910
P217423109;P217423109_14;N;6840;0;0;8240;1200;2555
P217423109;P217423109_15;O;8220;1240;0;9620;2440;2555
P217423109;P217423109_16;P;8240;0;0;9640;1200;2555
P217423109;P217423109_17;Q;9620;1240;0;11020;2440;2555
P217423109;P217423109_18;R;9640;0;0;11040;1200;2555
P217423109;P217423109_19;S;11020;1240;0;12420;2440;2555
P217423109;P217423109_20;T;11040;0;0;12440;1200;2555
P217423109;P217423109_21;U;12420;1240;0;13420;2440;2835
P217423109;P217423109_22;V;12440;0;0;13440;1200;2835
P217423105;P217423105_1;A;0;720;0;1200;1720;975
P217423105;P217423105_2;B;1200;1440;0;2400;2440;975
P217423105;P217423105_3;C;1200;0;0;2400;1000;975
P217423105;P217423105_4;D;2400;0;0;3600;1000;2835
P217423105;P217423105_5;E;2400;1220;0;3600;2220;2835
P217423105;P217423105_6;F;3600;720;0;4800;1720;2865
P217423105;P217423105_7;G;4800;620;0;5800;1820;2610
P217423105;P217423105_8;H;5800;1240;0;6800;2440;2835
P217423105;P217423105_9;I;5800;0;0;6800;1200;2835
P217423105;P217423105_10;J;6800;1240;0;7800;2440;2835
P217423105;P217423105_11;K;6800;0;0;7800;1200;2865
P217423105;P217423105_12;L;7800;0;0;8800;1200;2835
P217423105;P217423105_13;M;7800;1240;0;8800;2440;2835
