Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P103730405;14600;10104.8;95.4576;6671.46;12230.3
P104730401;14800;9868.2;94.6992;6582.15;12095.6
P104730407;14800;9671.37;89.886;6534.78;11952.8
P107730401;14800;9565.71;90.5736;6306.75;12107.4
P118730405;14800;10099.6;94.0164;6402.51;12531.9
Q122730401_1;14800;9684.57;94.104;6138.92;12417.7
P100730401;13600;8670.91;80.3652;6500.49;10991.5
P100730403;14600;10024.5;93.6936;6318.61;12552.6
P100730405;14600;9623.71;92.1996;6022.42;12489.8
P100730407;14800;10687.6;96.8148;6515.25;12991.3
P101730401;14800;10107;96.1056;6217.88;12750.1
P101721901;14800;10475.8;96.1872;5932.99;13444
P101730407;14600;10443.8;95.9736;6580.57;12672.9
P102730401;14800;9850.87;94.6992;6007.59;12733.9
P102730403;14800;10928.1;98.8296;6358.76;13410.4
P102730405;14600;10114.1;95.9388;6264.03;12704.5
P102730407;14800;11114.9;98.82;6747.35;13153.8
P103730401;14400;10232.1;94.0068;6690.08;12336.4
P103730403;14800;10003.5;94.6596;6560.57;12255.5
P104730403;14600;10316.5;95.9436;6439.02;12707.2
P107730403;14800;10527.1;95.9268;6701.43;12618.4
P107730405;14800;10104.9;94.4976;6381.58;12561.1
P107730407;14800;10868.2;99.0468;6674.83;12989.8
P108730401;14800;10639;97.2348;6640.42;12799.9
P108730403;14800;9876.51;94.6992;6217.19;12520.3
P108730405;14800;10526.4;97.5888;6638.47;12689.5
P109730401;14600;9984.37;92.6616;6459.86;12351.3
P109730403;14800;9968.77;94.6596;6312.63;12503.7
P109730405;14800;9947.2;94.41;6060.98;12769.3
P110730401;14400;10379.2;95.7816;6802.39;12355.2
P110730403;14600;10152;96.1056;6529.99;12438.9
P110730405;14800;10616.9;97.524;6496.01;12942.5
P110721401;14800;10980.8;98.6928;6721.75;13048.9
P114730401;14800;10118.3;93.8244;6584.81;12342.6
P114730403;14800;10163.4;95.8164;6380.3;12621.1
P114730405;14800;10098.2;94.4976;6817.15;12057.4
P115730401;14800;10521.8;97.3968;6637.84;12685.6
P115730403;14800;9911.61;95.7168;6334.68;12421.4
P115730405;14800;10428.4;95.3472;6769.28;12442.2
P116730401;14600;9741.99;92.7252;6481.44;12084.3
P116730403;14800;10687.9;97.4016;6711.68;12767.5
P116730405;14600;10047.4;96.228;6308.84;12586.6
P116730407;14600;10861.2;96.7188;6798.7;12841.5
P117730401;14800;9994.47;94.5372;6211.16;12645.2
P117730403;14800;10159.3;95.9136;6309.98;12697.2
P117730405;14600;10164.9;94.2084;6479.43;12509.5
P118730401;14800;10035.6;96.4344;6192.11;12708.1
P118730403;14600;10408.4;95.7816;6546.58;12676.4
P122730401;14800;10630;97.2096;6859.3;12541.1
P122721901;14800;10698.9;96.7356;6536.24;12978.6
P083730405;14800;9977.58;92.5092;6562.91;12226.9
P086730401;14600;9910.82;94.6452;6434.17;12307.1
P079730401;14400;9312.75;86.0532;6450.65;11690.2
P079730403;14600;10204.3;95.3928;6770.35;12216.9
P079730405;14800;9869.17;95.358;6179.95;12555.5
P079730407;14800;10759.5;97.7388;6265.04;13348.7
P080730401;14600;10314.4;96.1356;6401.6;12747.8
P080730403;14800;10169.3;94.3752;6436.16;12563.2
P080730405;14800;10931.7;99.2136;6656.49;13074.3
P081730401;14800;10267.7;94.296;6569.69;12509.3
P081730403;14800;9997.58;96.4596;6393.13;12440.6
P081730405;14600;10255;95.7768;6326.98;12773.5
P082730401;14200;9301.62;87.1176;6530.48;11588
P082730403;14600;10166.1;94.3752;6678;12284.1
