Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090018000_28022023005764;P122730405;P122730405_1;A1;0;1300;0 ;1600 ;2500 ;930
0090018000_28022023005764;P122730405;P122730405_1;A2;0;1300;930 ;1600 ;2500 ;1815
0090018000_28022023005764;P122730405;P122730405_1;A3;0;1300;1815 ;1600 ;2500 ;2700
0090018000_28022023005764;P122730405;P122730405_2;B1;0;0;0 ;1600 ;1200 ;930
0090018000_28022023005764;P122730405;P122730405_2;B2;0;0;930 ;1600 ;1200 ;1815
0090018000_28022023005764;P122730405;P122730405_2;B3;0;0;1815 ;1600 ;1200 ;2700
0090018000_28022023005764;P122730405;P122730405_3;C1;1600;0;0 ;3200 ;1200 ;930
0090018000_28022023005764;P122730405;P122730405_3;C2;1600;0;930 ;3200 ;1200 ;1815
0090018000_28022023005764;P122730405;P122730405_3;C3;1600;0;1815 ;3200 ;1200 ;2700
0090018000_28022023005764;P122730405;P122730405_4;D1;1600;1300;0 ;3200 ;2500 ;930
0090018000_28022023005764;P122730405;P122730405_4;D2;1600;1300;930 ;3200 ;2500 ;1815
0090018000_28022023005764;P122730405;P122730405_4;D3;1600;1300;1815 ;3200 ;2500 ;2700
0090018000_28022023005764;P122730405;P122730405_5;E1;3200;1300;0 ;4800 ;2500 ;930
0090018000_28022023005764;P122730405;P122730405_5;E2;3200;1300;930 ;4800 ;2500 ;1815
0090018000_28022023005764;P122730405;P122730405_5;E3;3200;1300;1815 ;4800 ;2500 ;2700
0090018000_28022023005034;P122730405;P122730405_6;F1;3200;0;0 ;4800 ;1200 ;930
0090018000_28022023005764;P122730405;P122730405_6;F2;3200;0;930 ;4800 ;1200 ;1815
0090018000_28022023005034;P122730405;P122730405_6;F3;3200;0;1815 ;4800 ;1200 ;2700
0090018000_28022023005034;P122730405;P122730405_7;G1;4800;0;0 ;6400 ;1200 ;930
0090018000_28022023005034;P122730405;P122730405_7;G2;4800;0;930 ;6400 ;1200 ;1815
0090018000_28022023005034;P122730405;P122730405_7;G3;4800;0;1815 ;6400 ;1200 ;2700
0090018000_28022023005034;P122730405;P122730405_8;H1;4800;1300;0 ;6400 ;2500 ;930
0090018000_28022023005034;P122730405;P122730405_8;H2;4800;1300;930 ;6400 ;2500 ;1815
0090018000_28022023005034;P122730405;P122730405_8;H3;4800;1300;1815 ;6400 ;2500 ;2700
0090018000_28022023002705;P122730405;P122730405_9;I1;6400;1300;0 ;8000 ;2500 ;930
0090018000_28022023005034;P122730405;P122730405_9;I2;6400;1300;930 ;8000 ;2500 ;1815
0090018000_28022023002705;P122730405;P122730405_9;I3;6400;1300;1815 ;8000 ;2500 ;2700
0090018000_28022023007770;P122730405;P122730405_10;J1;6400;0;0 ;7400 ;1200 ;975
0090018000_28022023007770;P122730405;P122730405_10;J2;6400;0;975 ;7400 ;1200 ;1905
0090018000_28022023007770;P122730405;P122730405_10;J3;6400;0;1905 ;7400 ;1200 ;2835
0090018000_28022023007770;P122730405;P122730405_11;K1;7400;0;0 ;8400 ;1200 ;975
0090018000_28022023007770;P122730405;P122730405_11;K2;7400;0;975 ;8400 ;1200 ;1905
0090018000_28022023007770;P122730405;P122730405_11;K3;7400;0;1905 ;8400 ;1200 ;2835
0090018000_28022023007770;P122730405;P122730405_12;L1;8000;1300;0 ;9000 ;2500 ;975
0090018000_28022023007770;P122730405;P122730405_12;L2;8000;1300;975 ;9000 ;2500 ;1905
0090018000_28022023007770;P122730405;P122730405_12;L3;8000;1300;1905 ;9000 ;2500 ;2835
0090018000_28022023007770;P122730405;P122730405_13;M1;8400;0;0 ;9400 ;1200 ;975
0090018000_28022023007770;P122730405;P122730405_13;M2;8400;0;975 ;9400 ;1200 ;1905
0090018000_28022023005299;P122730405;P122730405_13;M3;8400;0;1905 ;9400 ;1200 ;2835
0090018000_28022023005299;P122730405;P122730405_14;N1;9000;1300;0 ;10000 ;2500 ;975
0090018000_28022023005299;P122730405;P122730405_14;N2;9000;1300;975 ;10000 ;2500 ;1905
0090018000_28022023005299;P122730405;P122730405_14;N3;9000;1300;1905 ;10000 ;2500 ;2835
0090018000_28022023005299;P122730405;P122730405_15;O1;9400;0;0 ;10400 ;1200 ;975
0090018000_28022023005299;P122730405;P122730405_15;O2;9400;0;975 ;10400 ;1200 ;1905
0090018000_28022023005299;P122730405;P122730405_15;O3;9400;0;1905 ;10400 ;1200 ;2835
0090018000_28022023005299;P122730405;P122730405_16;P1;10000;1300;0 ;11000 ;2500 ;975
0090018000_28022023005299;P122730405;P122730405_16;P2;10000;1300;975 ;11000 ;2500 ;1905
0090018000_28022023005299;P122730405;P122730405_16;P3;10000;1300;1905 ;11000 ;2500 ;2835
0090018000_28022023000376;P122730405;P122730405_17;Q1;10400;0;0 ;11400 ;1200 ;975
0090018000_28022023000376;P122730405;P122730405_17;Q2;10400;0;975 ;11400 ;1200 ;1905
0090018000_28022023000376;P122730405;P122730405_17;Q3;10400;0;1905 ;11400 ;1200 ;2835
0090018000_28022023000376;P122730405;P122730405_18;R1;11000;1300;0 ;12000 ;2500 ;975
0090018000_28022023000376;P122730405;P122730405_18;R2;11000;1300;975 ;12000 ;2500 ;1905
0090018000_28022023000376;P122730405;P122730405_18;R3;11000;1300;1905 ;12000 ;2500 ;2835
0090018000_28022023000158;P122730405;P122730405_19;S1;11400;0;0 ;12400 ;1200 ;459
0090018000_28022023014585;P122730405;P122730405_19;S2;11400;0;459 ;12400 ;1200 ;1217
0090018000_28022023000158;P122730405;P122730405_19;S3;11400;0;1217 ;12400 ;1200 ;1676
0090018000_28022023010487;P122730405;P122730405_19;S4;11400;0;1676 ;12400 ;1200 ;2135
0090018000_28022023007279;P122730405;P122730405_19;S5;11400;0;2135 ;12400 ;1200 ;2594
0090018000_28022023009492;P122730405;P122730405_20;T1;12000;1300;0 ;13000 ;2500 ;975
0090018000_28022023009492;P122730405;P122730405_20;T2;12000;1300;975 ;13000 ;2500 ;1905
0090018000_28022023009492;P122730405;P122730405_20;T3;12000;1300;1905 ;13000 ;2500 ;2835
0090018000_28022023009492;P122730405;P122730405_21;U1;12400;0;0 ;13400 ;1200 ;975
0090018000_28022023009492;P122730405;P122730405_21;U2;12400;0;975 ;13400 ;1200 ;1905
0090018000_28022023009492;P122730405;P122730405_21;U3;12400;0;1905 ;13400 ;1200 ;2835
0090018000_28022023002705;P122730405;P122730405_22;V1;13000;1300;0 ;14600 ;2500 ;930
0090018000_28022023002705;P122730405;P122730405_22;V2;13000;1300;930 ;14600 ;2500 ;1815
0090018000_28022023002705;P122730405;P122730405_22;V3;13000;1300;1815 ;14600 ;2500 ;2700
0090018000_28022023001301;P122730405;P122730405_23;W1;13400;0;0 ;14400 ;1200 ;975
0090018000_28022023001301;P122730405;P122730405_23;W2;13400;0;975 ;14400 ;1200 ;1905
0090018000_28022023001301;P122730405;P122730405_23;W3;13400;0;1905 ;14400 ;1200 ;2835
0090018000_28022023003274;P122730403;P122730403_1;A1;0;0;0 ;600 ;800 ;445
0090018000_28022023001301;P122730403;P122730403_2;B1;0;1300;0 ;1000 ;2500 ;975
0090018000_28022023001301;P122730403;P122730403_2;B2;0;1300;975 ;1000 ;2500 ;1905
0090018000_28022023001301;P122730403;P122730403_2;B3;0;1300;1905 ;1000 ;2500 ;2835
0090018000_28022023001301;P122730403;P122730403_3;C1;600;0;0 ;1600 ;1200 ;975
0090018000_28022023001301;P122730403;P122730403_3;C2;600;0;975 ;1600 ;1200 ;1905
0090018000_28022023012683;P122730403;P122730403_3;C3;600;0;1905 ;1600 ;1200 ;2835
0090018000_28022023014956;P122730403;P122730403_4;D1;1000;1300;0 ;2000 ;2500 ;1057
0090018000_28022023010288;P122730403;P122730403_4;D2;1000;1300;1057 ;2000 ;2500 ;1516
0090018000_28022023007439;P122730403;P122730403_4;D3;1000;1300;1516 ;2000 ;2500 ;1975
0090018000_28022023012386;P122730403;P122730403_4;D4;1000;1300;1975 ;2000 ;2500 ;2434
0090018000_28022023007462;P122730403;P122730403_4;D5;1000;1300;2434 ;2000 ;2500 ;2893
0090018000_28022023012683;P122730403;P122730403_5;E1;1600;0;0 ;2600 ;1200 ;975
0090018000_28022023012683;P122730403;P122730403_5;E2;1600;0;975 ;2600 ;1200 ;1905
0090018000_28022023012683;P122730403;P122730403_5;E3;1600;0;1905 ;2600 ;1200 ;2835
0090018000_28022023012683;P122730403;P122730403_6;F1;2000;1300;0 ;3000 ;2500 ;975
0090018000_28022023012683;P122730403;P122730403_6;F2;2000;1300;975 ;3000 ;2500 ;1905
0090018000_28022023012683;P122730403;P122730403_6;F3;2000;1300;1905 ;3000 ;2500 ;2835
0090018000_28022023012683;P122730403;P122730403_7;G1;2600;0;0 ;3600 ;1200 ;975
0090018000_28022023012683;P122730403;P122730403_7;G2;2600;0;975 ;3600 ;1200 ;1905
0090018000_28022023001747;P122730403;P122730403_7;G3;2600;0;1905 ;3600 ;1200 ;2835
0090018000_28022023001747;P122730403;P122730403_8;H1;3000;1300;0 ;4000 ;2500 ;975
0090018000_28022023001747;P122730403;P122730403_8;H2;3000;1300;975 ;4000 ;2500 ;1905
