Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P107730407;14600;10195.1;95.418;6291.43;12754.3
P108730401;14800;10588.6;96.0252;6104.9;13360.6
P114730407;14600;10071.1;95.9388;6463.59;12433.8
P115730401;14400;10130.7;94.1868;6354.3;12618.1
P116730405;14800;10579.4;97.7304;6441.95;12966.8
P117730401;14800;10314.6;95.0856;6544.68;12584.8
P100730401;13000;8158.77;75.6228;6739.45;10206.6
P100730403;14600;10031.6;93.6936;6461.1;12397.1
P100730405;14400;9814.73;91.194;6514.18;12119.7
P100730407;14800;10413.8;97.038;6397.93;12851.4
P101730401;14800;10020.2;96.2676;6203.32;12679.9
P101721901;14800;10576;96.0252;6430.98;12975.9
P101730403;14600;10309.7;96.1356;6638.43;12472.8
P102730401;14600;9965.37;95.196;6255.91;12565
P102730403;14800;10866.5;97.9056;6522.34;13162.1
P102730405;14800;10064.4;95.9388;6270.14;12647.8
P102730407;14800;10698;97.5936;6801.89;12674.6
P103730401;14800;10169.7;96.2724;6155.05;12884.5
P103730403;14800;10387.8;95.6364;6564.47;12635.3
P103721401;14800;10323.2;95.2776;6344.95;12821.2
P104730401;14800;9987.06;96.2676;6296.04;12540.9
P104730403;14800;10673.3;97.4016;6312.04;13208.9
P104730407;14800;10094.4;92.7564;6332.03;12607.2
P107730401;14600;9907.92;94.446;6467.94;12265.6
P107730403;14800;10552.2;95.8188;6564.44;12799.7
P107730405;14800;9843.75;94.8216;6179.81;12530.3
P108730403;14800;9996.96;96.2676;6217.21;12640.8
P108730405;14800;10675.9;97.5936;6219.69;13316.9
P109730401;14800;10381.2;96.2952;6445.63;12764.3
P109730403;14600;10257.5;95.7516;6504.13;12573.9
P109730405;14800;11000;99.0912;6479.42;13344.6
P109730407;14800;9800.46;96.552;6197.19;12467.1
P110730401;14800;10873.2;98.6628;6402.13;13306
P110730403;14600;10386.5;96.2052;6504.15;12702.9
P114730401;14800;9988.62;92.676;6657.48;12130
P114730403;14600;10067.5;96.228;6545.02;12337.2
