Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P062069123;13200;6860.09;71.4384;6504.56;9176
P063069027;13400;7914.78;70.968;6454.76;10287.5
P065069031;13200;6374.33;64.5696;5801.64;9492.38
P066069027;13200;7892.06;74.8224;6596.29;10103.3
P066069025;13200;7967.6;77.9328;6574.35;10203.9
P065069131;12000;9795.5;72.504;8613.46;9704.86
P066069119;13200;12129;89.7;7989.55;12750.3
Q062069025_1;12000;5760.1;61.8624;6067.34;8574.95
Q062069001_2;6400;5030.86;40.0848;7856.18;5804.38
Q062069005_1;1800;1102.69;10.1088;5171.02;4940.36
P062069025;13200;7422.79;73.6704;6510.81;9731.57
Q062069001_1;13200;12138.6;89.7;8013.97;12732.1
P062069001;13200;12125.8;89.7;8011.31;12722.3
P062069029;13200;6365.98;67.2624;5986.71;9272.83
P062069003;12400;10985.8;82.9848;8382.13;11159.1
P062069005;12600;7257.36;68.4672;6548.74;9522.86
P062069105;13200;7077.97;70.1568;6464.23;9439.9
P062069007;13200;7416.83;71.7408;6485.62;9754.35
P062069107;13200;12138.6;89.7;8010.27;12736.3
P062069009;13200;6653;69.7536;6002.37;9541.98
P062069111;13400;9237.89;77.8248;6124.41;11987.6
P062069013;13200;6314.15;66.0672;5668.43;9584.2
P062069015;13200;9939.94;83.9088;7276.18;11375.3
P062069017;13000;7002.92;68.1648;6392.08;9447.18
P062069115;13200;7172.57;70.4016;6236.04;9794.9
P062069019;13200;6497.29;65.376;5668.23;9767.58
P062069119;13200;12132.2;89.7;7985.23;12758.5
P062069011;12400;10788.2;83.1696;7502.74;11965
P062069127;13200;11162.9;84.828;8279.49;11453.4
P062069131;13200;12084;89.7;7982.53;12713.3
P063069025;13200;6471.37;65.6064;5776.42;9618.19
P063069001;12800;10344.6;83.5392;7379.23;11662.4
P063069029;13200;7117.73;76.8384;6396.51;9556.94
P063069055;13400;7749.74;72.1488;5799.65;10870.1
P063069051;13400;7714.62;73.6728;6373;10180.7
P063069057;13200;9048.41;76.5336;6978.48;10823.5
P063069053;13400;7994.85;73.4448;5728.46;11196.4
P063069059;13000;7063.59;67.3584;6306.73;9605.26
Q065069003_1;13200;12138.6;89.7;7990.62;12758.7
P065069101;13200;6850.1;71.3664;5962.52;9784.55
P065069003;13200;12129;89.7;7996.2;12742.7
P065069005;13200;7363.73;71.496;6244.59;9976.3
P065069105;13200;7006.59;69.6384;5995.25;9903.7
P065069007;13400;7789.54;73.2672;6332.38;10301.9
P065069107;13200;12122.6;89.7;7990.51;12742.8
P065069009;13200;6546.19;65.8944;5926.47;9521.79
P065069111;13200;8048.61;73.8888;6549.3;10313.5
P065069013;13200;7466.26;73.3104;6282.5;10035.6
P065069015;12400;10985.8;82.9848;8364.4;11179.4
P065069117;13200;6123.97;62.3808;5700.77;9357.12
P065069115;13200;7345;70.7184;6520.74;9642.45
P065069119;12400;8806.38;77.1936;7512.21;9972.42
P065069011;13200;11921.8;89.8848;8064.99;12457
P065069217;13200;7832.41;71.8656;6421.75;10242.8
P065069127;13400;7581.94;71.0664;6046;10421.1
P066069101;13200;6714.94;67.2192;5771.11;9867.83
P066069105;13200;6062.86;61.5744;5695.79;9301.7
P066069217;13400;6985.42;68.8344;6214.58;9632.24
P066069001;13200;12125.8;89.7;7997.27;12738.3
P066069003;13200;11553.7;88.3848;7921.84;12252.3
P066069005;13200;7591.74;70.8912;6432.01;9990.45
P066069107;12800;10581;83.3544;7943.32;11255
P066069009;13200;6920.05;68.2992;6020.27;9788.6
P066069111;13400;10172.7;82.5;7193.97;11701.8
P066069013;13200;7045.14;69.9264;5930.82;10015.8
P066069015;13200;9917.26;83.9088;6376.41;12379.4
P066069115;13200;7657;73.4976;6534.24;9939.04
P066069019;13200;7397.27;73.3824;6384.05;9850.7
P066069011;13200;12125.8;89.7;7984.86;12752.5
P105069319;13200;5110.57;77.5008;6042.98;7953.21
P107069305;13200;4998.14;75.0384;5622.52;8320.59
P110069215;13200;5373.67;65.3193;5513.79;8820.19
P111069201;13200;4718.37;74.016;5362.23;8337.84
P111069211;13200;4488.97;77.472;5565.81;7876.13
P111069215;13200;5119.81;65.4912;5859.9;8171.37
P112069219;13200;4917.78;74.1565;5635.96;8224.89
P111069307;13200;5024.19;79.5168;5947.2;7976.13
P112069319;13200;4963.41;78.7104;5650.81;8253.57
P114069215;13200;4368.19;79.2;5461.77;7874.07
Q101069219_1;13200;4876.57;73.4256;5590.81;8235.21
P101069219;13200;5084.19;76.9824;5976.14;8003.1
Q101069319_1;13200;4913.26;68.9472;5875.47;7947.05
P101069319;13200;5417.82;83.2896;6297.88;7969.58
P101069201;13200;4936.9;66.9312;5772.18;8088.56
P101069203;13200;4917.7;63.36;5693.67;8158.94
P101069305;13200;4609.75;75.744;5586.62;7973.17
P101069307;13200;4602.82;80.2224;5665.56;7876.16
P101069207;13200;5013.92;68.6016;5466.75;8514.13
P101069211;13200;4488.97;77.472;5582.45;7857.13
P101069215;13200;4779.7;70.9632;5506.95;8234.03
Q102069219_2;13200;5745.42;81.7776;5896.18;8755.59
Q102069219_1;13200;4756.14;71.1936;5767.4;7913.26
P102069219;13200;5122.12;68.2569;5829.63;8208.23
