Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P098069319;P098069319_1;A;0;0;0;1200;2400;2855
P098069319;P098069319_2;B;1200;0;0;2400;2400;2500
P098069319;P098069319_3;C;2400;0;0;3600;2400;2500
P098069319;P098069319_4;D;3600;0;0;4800;2400;2500
P098069319;P098069319_5;E;4800;0;0;6000;2400;2500
P098069319;P098069319_6;F;6000;0;0;7200;2400;2500
P098069319;P098069319_7;G;7200;0;0;8400;2400;2500
P098069319;P098069319_8;H;8400;0;0;9600;2400;2500
P098069319;P098069319_9;I;9600;0;0;10800;2400;2500
P098069319;P098069319_10;J;10800;0;0;12000;2400;2500
P098069319;P098069319_11;K;12000;0;0;13200;2400;2500
P098069219;P098069219_1;A;0;0;0;1200;2400;1450
P098069219;P098069219_2;B;1200;0;0;2400;2400;1900
P098069219;P098069219_3;C;2400;0;0;3600;2400;2500
P098069219;P098069219_4;D;3600;0;0;4800;2400;2000
P098069219;P098069219_5;E;4800;0;0;6000;2400;1900
P098069219;P098069219_6;F;6000;0;0;7200;2400;1620
P098069219;P098069219_7;G;7200;0;0;8400;2400;1620
P098069219;P098069219_8;H;8400;0;0;9600;2400;2500
P098069219;P098069219_9;I;9600;0;0;10800;2400;1900
P098069219;P098069219_10;J;10800;0;0;12000;2400;2500
P098069219;P098069219_11;K;12000;0;0;13200;2400;2500
P097069215;P097069215_1;A;0;0;0;1200;2400;2500
P097069215;P097069215_2;B;1200;1240;0;3000;2440;2400
P097069215;P097069215_3;C;1200;0;0;3600;1200;2500
P097069215;P097069215_4;D;3000;1240;0;5400;2440;2500
P097069215;P097069215_5;E;3600;0;0;6000;1200;2500
P097069215;P097069215_6;F;5400;1240;0;7800;2440;2500
P097069215;P097069215_7;G;6000;0;0;8400;1200;2500
P097069215;P097069215_8;H;7800;1240;0;10200;2440;2500
P097069215;P097069215_9;I;8400;0;0;10800;1200;2500
P097069215;P097069215_10;J;10200;1240;0;12600;2440;2500
P097069215;P097069215_11;K;10800;0;0;13200;1200;2500
P097069211;P097069211_1;A;0;0;0;1200;2400;1800
P097069211;P097069211_2;B;1200;0;0;2400;2400;1620
P097069211;P097069211_3;C;2400;0;0;3600;2400;1620
P097069211;P097069211_4;D;3600;0;0;4800;2400;2500
P097069211;P097069211_5;E;4800;0;0;6000;2400;2500
P097069211;P097069211_6;F;6000;0;0;7200;2400;2500
P097069211;P097069211_7;G;7200;0;0;8400;2400;2500
