Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P088069215;12000;4750.94;72.9504;5424.19;8299.71
P089069201;13200;5089.28;69.6816;5885.48;8111.65
P090069307;13200;5559.42;81.5616;6347.53;8054.53
P091069219;13200;4368.19;79.2;5461.77;7874.07
P091069319;13200;5979.42;75.4992;6447.51;8360.43
Q093069305_1;13200;4582;80.2224;5526.4;8014.14
P093069215;12000;4515.52;62.0352;5981.09;7428.8
P094069219;13200;4745.97;73.1341;5407.01;8314.34
P093069307;13200;4635.8;80.2224;5729.17;7836.54
Q094069219_1;13200;5706.25;84.312;5987.35;8612.37
P094069215;13200;4803.98;68.6592;5727.61;8006.5
Q095069319_2;13200;4622.53;75.456;5401.18;8197.55
P095069215;13200;5110.32;74.592;6062.11;7931.13
P096069307;13200;4882.59;81.2448;5941.75;7840.75
P096069207;13170;5753.02;65.4921;5707.08;8978.98
Q086069201_2;12000;4394.74;63.7632;5827.11;7483.72
Q086069201_1;13200;4686.57;71.1936;5421.91;8237.94
P086069201;13200;5069.61;69.6781;5746.1;8251.03
P086069203;13200;4651.98;69.0432;5678.07;7911.03
P086069305;13200;5373.89;80.2656;6151.39;8092.82
P086069307;13200;4965.16;75.0384;5493.24;8435.14
P086069207;12570;4568.35;67.527;5982.53;7479.98
P086069211;13200;5047.66;68.0256;5428.75;8591.22
P086069215;13200;4368.19;79.2;5461.77;7874.07
Q087069219_2;7200;2417.07;35.1072;5716.72;5632.02
Q087069219_1;13200;5405.17;71.5104;5716.16;8620.76
P087069219;13200;5110.57;77.5008;5559.91;8504.46
P087069319;13200;4635.8;80.2224;5655.4;7920.72
P087069201;13200;4912.63;69.2352;5630.82;8225.6
P087069203;13200;4786.22;64.4928;5764.46;7946.69
P087069305;13200;5144.97;77.7888;5287.48;8849.75
P087069307;13200;4730.53;74.016;5524.19;8165.18
P087069207;13200;4895.56;70.6032;5946.04;7848.82
P087069211;13200;4901.26;72.576;5407.87;8468.66
P087069215;12570;4046.68;72.2125;5560.57;7439.82
Q088069219_2;13200;5143.73;67.1472;5557.26;8540.64
Q088069219_1;13200;5171.02;82.2672;6153.32;7887.75
Q088069319_1;13200;5640.3;84.312;5457.77;9150.75
P088069219;13200;4608.96;72.4032;5560.91;8001.71
P088069319;13200;4669.74;73.2096;5397.42;8249.07
P088069201;13200;5645.6;73.2781;6259.93;8240.67
P088069203;13200;4941.16;57.7152;5610.85;8276.93
P088069305;13200;4609.75;75.744;5686.49;7859.19
P088069307;13200;4864.09;72;5943.29;7820.49
P088069207;13200;4419.42;77.472;5512.96;7866.89
P088069211;13200;4729.74;70.6752;5698.24;7965.77
P089069219;13200;5109.78;74.16;5691.22;8353.83
P089069319;13200;5158.87;82.2672;5710.31;8381.13
P089069203;13200;4754.55;64.512;5723.79;7961.43
P089069305;13200;5144.97;77.7888;5287.48;8849.75
P089069307;13200;4806.76;73.9405;5563.72;8196.3
P089069207;13200;4548.18;71.5968;5616.81;7877.14
P089069211;13200;4828.43;72.576;5452.32;8345.1
P089069215;13200;4428.18;76.6656;5521.72;7865.66
Q090069219_2;13200;4863.3;68.6592;5659.69;8143.34
Q090069219_1;13200;5231.02;79.7328;5393.58;8814.72
Q090069319_1;13200;5907.91;85.3344;6259.22;8503.79
P090069219;13200;4816.12;68.6592;5594.18;8170.91
P090069319;13200;4488.97;77.472;5415.99;8047.09
P090069201;13200;4729.74;70.6752;5682.36;7983.9
P090069203;13200;4754.55;64.512;5723.79;7961.43
P090069305;13200;5021.77;72.2125;5384.05;8616.34
P090069207;13200;4792.64;74.304;5393.16;8376.81
P090069211;13200;4488.18;74.1312;5573.4;7866.68
P090069215;13200;4944.7;66.0393;5252.38;8689.53
P091069251;13200;4660.98;74.016;5400.74;8236.5
P091069253;13200;4635.34;72.9216;5614.94;7966.43
P091069255;13200;5376.68;73.3536;6088.35;8167.55
P093069201;13200;4856.36;66.4128;5723.27;8063.83
P093069203;13200;5034.69;64.1664;5558.95;8429.68
P093069305;13200;4609.75;75.744;5619.91;7935.17
P093069207;13200;5048.91;66.0096;5476.96;8537.46
P093069211;13200;5033.1;79.344;6126.16;7780.83
P094069319;13200;5059.46;71.9856;5676.89;8319.86
P094069201;13200;4488.18;74.1312;5573.4;7866.68
P094069203;13200;5119.81;65.4912;5635.54;8427.4
P094069305;13200;4743.31;73.728;5743.54;7927.65
P094069307;13200;4635.8;80.2224;5729.17;7836.54
P094069207;13200;5300.81;60.9792;5760.85;8465.4
P094069211;13200;4582;80.2224;5426.27;8128.4
Q095069319_1;13200;5534.69;76.5648;6071.17;8345.17
Q095069307_2;12000;5029.37;76.0896;5564.92;8417.54
Q095069307_1;13200;4582;80.2224;5644.27;7879.63
P095069219;13200;4912.63;69.2352;5881.43;7939.63
P095069319;13200;4368.19;79.2;5461.77;7874.07
P095069201;13200;4989.94;64.3968;5823.67;8082.84
P095069203;13200;4877.44;65.6064;5761.9;8040.83
P095069305;13200;4609.75;75.744;5486.74;8087.14
P095069307;13200;6362.27;84.6288;6546.54;8630.27
P095069207;13200;5233.81;66.5101;5507.78;8687.18
