Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090012500_27022023000691;P114880201;P114880201_1;A1;0;713;0 ;1275 ;1727 ;840
0090012500_27022023000454;P114880201;P114880201_2;B1;1275;713;0 ;2550 ;1727 ;840
0090012500_27022023000454;P114880201;P114880201_3;C1;2550;1426;0 ;3825 ;2440 ;840
0090012500_27022023000454;P114880201;P114880201_4;D1;2550;75;0 ;3564 ;1350 ;840
0090012500_27022023000454;P114880201;P114880201_5;E1;3564;0;0 ;4578 ;1275 ;840
0090012500_27022023000454;P114880201;P114880201_6;F1;3825;1350;0 ;5100 ;2364 ;840
0090012500_27022023000454;P114880201;P114880201_7;G1;4578;37;0 ;5592 ;1312 ;840
0090012500_27022023000454;P114880201;P114880201_8;H1;5100;1426;0 ;6375 ;2440 ;840
0090012500_27022023000454;P114880201;P114880201_9;I1;5592;0;0 ;6606 ;1275 ;840
0090012500_27022023000454;P114880201;P114880201_10;J1;6375;1426;0 ;7650 ;2440 ;840
0090012500_27022023000454;P114880201;P114880201_11;K1;6606;0;0 ;7620 ;1275 ;840
0090012500_27022023000454;P114880201;P114880201_12;L1;7620;0;0 ;8634 ;1275 ;840
0090012500_27022023000454;P114880201;P114880201_13;M1;7650;1426;0 ;8925 ;2440 ;840
0090012500_27022023000454;P114880201;P114880201_14;N1;8634;0;0 ;9648 ;1275 ;840
0090012500_27022023000454;P114880201;P114880201_15;O1;8925;1426;0 ;10200 ;2440 ;840
0090012500_27022023000454;P114880201;P114880201_16;P1;9648;0;0 ;10662 ;1275 ;840
0090012500_27022023001192;P114880201;P114880201_17;Q1;10200;1426;0 ;11475 ;2440 ;840
0090012500_27022023001192;P114880201;P114880201_17;Q2;10200;1426;840 ;11475 ;2440 ;1540
0090012500_27022023001192;P114880201;P114880201_18;R1;10662;0;0 ;11676 ;1275 ;840
0090012500_27022023001192;P114880201;P114880201_18;R2;10662;0;840 ;11676 ;1275 ;1540
0090012500_27022023001192;P114880201;P114880201_19;S1;11475;1426;0 ;12750 ;2440 ;840
0090012500_27022023001192;P114880201;P114880201_19;S2;11475;1426;840 ;12750 ;2440 ;1540
0090012500_27022023001192;P114880201;P114880201_20;T1;11676;0;0 ;12690 ;1275 ;840
0090012500_27022023001192;P114880201;P114880201_20;T2;11676;0;840 ;12690 ;1275 ;1540
0090012500_27022023001192;P111880201;P111880201_1;A1;0;713;0 ;1275 ;1727 ;840
0090012500_27022023001192;P111880201;P111880201_2;B1;1275;713;0 ;2550 ;1727 ;840
0090012500_27022023001192;P111880201;P111880201_3;C1;2550;1426;0 ;3825 ;2440 ;840
