Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P114880201;P114880201_1;A;0;713;0;1275;1727;840
P114880201;P114880201_2;B;1275;713;0;2550;1727;840
P114880201;P114880201_3;C;2550;1426;0;3825;2440;840
P114880201;P114880201_4;D;2550;75;0;3564;1350;840
P114880201;P114880201_5;E;3564;0;0;4578;1275;840
P114880201;P114880201_6;F;3825;1350;0;5100;2364;840
P114880201;P114880201_7;G;4578;37;0;5592;1312;840
P114880201;P114880201_8;H;5100;1426;0;6375;2440;840
P114880201;P114880201_9;I;5592;0;0;6606;1275;840
P114880201;P114880201_10;J;6375;1426;0;7650;2440;840
P114880201;P114880201_11;K;6606;0;0;7620;1275;840
P114880201;P114880201_12;L;7620;0;0;8634;1275;840
P114880201;P114880201_13;M;7650;1426;0;8925;2440;840
P114880201;P114880201_14;N;8634;0;0;9648;1275;840
P114880201;P114880201_15;O;8925;1426;0;10200;2440;840
P114880201;P114880201_16;P;9648;0;0;10662;1275;840
P114880201;P114880201_17;Q;10200;1426;0;11475;2440;1540
P114880201;P114880201_18;R;10662;0;0;11676;1275;1540
P114880201;P114880201_19;S;11475;1426;0;12750;2440;1540
P114880201;P114880201_20;T;11676;0;0;12690;1275;1540
P111880201;P111880201_1;A;0;713;0;1275;1727;840
P111880201;P111880201_2;B;1275;713;0;2550;1727;840
P111880201;P111880201_3;C;2550;1426;0;3825;2440;1540
P111880201;P111880201_4;D;2550;75;0;3564;1350;1540
P111880201;P111880201_5;E;3564;113;0;4564;1313;1150
P111880201;P111880201_6;F;3825;1369;0;5100;2383;840
P111880201;P111880201_7;G;4564;0;0;5578;1275;840
P111880201;P111880201_8;H;5100;1350;0;6375;2364;840
P111880201;P111880201_9;I;5578;37;0;6592;1312;1540
P111880201;P111880201_10;J;6375;1426;0;7650;2440;1540
P111880201;P111880201_11;K;6592;0;0;7606;1275;1540
P111880201;P111880201_12;L;7606;0;0;8620;1275;1540
P111880201;P111880201_13;M;7650;1426;0;8925;2440;1540
P111880201;P111880201_14;N;8620;0;0;9634;1275;1540
P111880201;P111880201_15;O;8925;1426;0;10200;2440;1540
P111880201;P111880201_16;P;9634;0;0;10648;1275;1540
P111880201;P111880201_17;Q;10200;1426;0;11475;2440;1540
P111880305;P111880305_1;A;0;713;0;1275;1727;840
P111880305;P111880305_2;B;1275;1426;0;2550;2440;840
P111880305;P111880305_3;C;1275;0;0;2289;1275;840
P111880305;P111880305_4;D;2289;0;0;3303;1275;840
P111880305;P111880305_5;E;2550;1426;0;3825;2440;840
P111880305;P111880305_6;F;3303;0;0;4317;1275;840
P111880305;P111880305_7;G;3825;1426;0;5100;2440;840
P111880305;P111880305_8;H;4317;0;0;5331;1275;840
P111880305;P111880305_9;I;5100;1426;0;6375;2440;840
P111880305;P111880305_10;J;5331;0;0;6345;1275;840
P111880305;P111880305_11;K;6345;0;0;7359;1275;840
P111880305;P111880305_12;L;6375;1426;0;7650;2440;840
P111880305;P111880305_13;M;7359;0;0;8373;1275;840
P111880305;P111880305_14;N;7650;1426;0;8925;2440;840
P111880305;P111880305_15;O;8373;0;0;9387;1275;840
P111880305;P111880305_16;P;8925;1426;0;10200;2440;840
P111880305;P111880305_17;Q;9387;0;0;10401;1275;840
P111880305;P111880305_18;R;10200;1426;0;11475;2440;840
P111880305;P111880305_19;S;10401;0;0;11415;1275;840
P111880305;P111880305_20;T;11415;0;0;12429;1275;840
P111880305;P111880305_21;U;11475;1426;0;12750;2440;840
P111880305;P111880305_22;V;12429;0;0;13443;1275;840
P111880205;P111880205_1;A;0;713;0;1275;1727;840
P111880205;P111880205_2;B;1275;713;0;2550;1727;840
P111880205;P111880205_3;C;2550;713;0;3825;1727;1540
P111880205;P111880205_4;D;3825;1426;0;5100;2440;1540
P111880205;P111880205_5;E;3825;0;0;4839;1275;1540
P111880205;P111880205_6;F;4839;75;0;5853;1350;1540
P111880205;P111880205_7;G;5100;1388;0;6375;2402;1540
P111880205;P111880205_8;H;5853;0;0;6867;1275;1540
P111880205;P111880205_9;I;6375;1426;0;7650;2440;1540
P111880205;P111880205_10;J;6867;0;0;7881;1275;1540
P111880205;P111880205_11;K;7650;1426;0;8925;2440;840
P111880205;P111880205_12;L;7881;0;0;8895;1275;840
P111880205;P111880205_13;M;8895;0;0;9909;1275;840
P111880205;P111880205_14;N;8925;1426;0;10200;2440;840
P111880205;P111880205_15;O;9909;0;0;10923;1275;840
P111880205;P111880205_16;P;10200;1426;0;11475;2440;840
P111880205;P111880205_17;Q;10923;0;0;11937;1275;1540
P111880205;P111880205_18;R;11475;1426;0;12750;2440;840
P110880201;P110880201_1;A;0;713;0;1275;1727;840
P110880201;P110880201_2;B;1275;713;0;2550;1727;840
P110880201;P110880201_3;C;2550;713;0;3825;1727;840
P110880201;P110880201_4;D;3825;713;0;5100;1727;1540
