Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P093880201;12750;25384.1;27.6928;11054.4;22508
P094880205;12750;25938.7;25.5209;11079;23034.5
P111880201;12475;25273.7;29.4348;8519.76;25289.9
P114880201;12429;25368.9;25.3399;11468.9;22019.7
Q093880201_1;10200;14989;14.1179;11239.8;11901.3
P094880201;12937;25159.6;27.2629;10125.7;23343.3
P095880205;13473;22803.8;23.3489;9653.45;21526.4
P095880305;12429;25976.1;26.2449;11475.2;22619.8
P095880201;12750;25870.3;29.3218;9874.21;24341
P096880205;12675;25654.5;25.8149;11566.9;22193.5
P096880305;12951;25651.2;26.2449;11192.6;22617.5
P096880201;12459;25198.1;29.3218;10618.2;22819.8
P097880205;12750;25667.2;26.2449;10012.9;23979.6
P097880305;13443;25294;23.8919;11000;22479.9
P097880201;13459;25568;29.0728;9956.75;23944.5
P100880201;13443;25778;26.1769;11982.1;21843.3
P101880205;12750;25904.1;26.4259;11356.8;22682.9
P101880201;12429;25691.2;26.2449;11764.8;22004.5
P102880205;11676;23412.1;24.0729;11734;19760.5
P102880305;12750;25727.1;25.8149;11323.3;22544.2
P102880201;12750;25559.6;29.3218;8191.49;25950.5
P103880205;12750;25084;25.3399;11278.6;21952
P103880201;12937;25779.1;27.6249;11736.8;22124.3
P104880205;12750;25331.4;24.6159;11350.8;22117.1
P108880201;13473;24517.1;25.3399;10654.6;22097.3
P109880205;12951;24279.1;25.1589;8993.25;23755.1
P109880305;13429;25986.2;25.9959;11043.9;23122.1
P109880201;12198;25686.1;29.3218;11204.9;22638.3
P110880205;12750;25928.1;26.2449;11178.1;22910.8
P110880305;13443;25766.8;26.9009;11599.6;22268.6
P110880201;12750;25473.9;29.3218;8462.58;25555.4
P111880205;13443;25925.2;24.7969;10814.7;23322.7
P111880305;13443;25392.9;25.7019;10959.3;22625.3
P082880201;12459;23473.1;26.4259;9569;22292.1
P083880201;13398;25780.2;28.7108;6851.56;27700.2
Q086880201_1;12951;22788.5;22.4439;8839.33;22440.2
P086880201;12675;22891;25.9959;10091.7;21113.5
P087880205;12951;25750.4;27.1498;11273.1;22624.7
P088880205;12675;25762.8;26.5389;11522.8;22352.2
P088880305;12750;25759.9;26.2449;11980.2;21827.3
P075880305;11937;21387;22.0819;11027.4;18541.8
Q075880201_1;12415;24036;23.8239;11771.7;20341.4
P075880201;12429;25989.5;27.1498;11017.9;23155.1
P076880205;12750;25677.8;25.5209;11252.2;22576
P076880305;12951;25157;26.0639;10489.9;22925.1
P076880201;12675;25826;28.8918;10373.6;23726.8
Q079880201_1;12750;25989.5;27.1498;11703;22373.3
P079880201;13443;25278.8;25.0909;10720;22784.3
P080880205;7128;11589.2;11.5839;11483.7;8223.26
P080880305;12750;25392.9;25.3399;10508.8;23139.3
P080880201;13459;25952.4;29.0728;10071.9;24197.5
P081880205;12951;24868.9;25.1589;8918.37;24430.3
P081880305;12951;25392.9;25.5209;11514.7;21991.5
P082880205;12951;23439;24.2539;9584.08;22240.7
P082880305;13429;25586.9;25.9959;10711.2;23102.4
P083880205;12690;24847.8;25.6339;11730.8;21199.8
P083880305;13443;25366;23.8919;11065;22477.8
P087880305;12951;25691.2;26.4259;11504.9;22301.1
P089880205;12475;25739.9;26.5389;10667.6;23305.2
P089880305;12951;25691.2;26.4259;11564.1;22233.5
P089880201;12750;25813.6;29.5028;10605.8;23449.5
P090880205;12475;25455;26.5389;10557.6;23145.8
P090880305;13443;25366;23.8919;11065;22477.8
P090880201;12937;25718.8;27.9869;10921.2;22994.6
P075880301;12028;19831.9;44.9977;10786.2;17261.9
P076880301;12000;21034;47.7136;11935.2;17152.8
P079880301;13154;24582;55.8625;11779.4;20878.5
P080880301;13489;25829.1;60.1857;11692.5;22224.8
P082880301;13395;25378.7;58.5164;11907.9;21528.7
P086880301;13489;24810.2;57.7811;10926.6;22080
P087880301;13334;25549.7;56.7064;11520.6;22141.6
P089880301;10460;16418.1;38.0403;11128.6;13457.4
P090880301;11945;17635.6;39.8136;9131.09;16954.3
P093880301;13429;25381.6;57.7984;11301.3;22223.7
P094880301;13320;24883.3;60.1857;11780.8;21178.3
P096880301;10585;17163.2;40.6161;11431.2;13857.1
P097880301;12395;17879.1;41.9905;7833.59;18678.4
P082416303;11800;23989;23.76;10985.4;21191.7
P083416303;10800;23809;23.652;11329.1;20619.4
P093416303;10800;23921;23.76;11217.1;20859.2
P094416303;11800;23857;23.706;10913.3;21141.9
Q075416303_1;9800;22375;21.906;11806.3;18640.9
P075416303;10800;23721;23.868;11923.4;19853.3
P076416303;10800;23182;22.806;11028.1;20335.9
P079416303;8800;18597;18.414;11752.3;14924.5
Q080416303_1;8000;13313;13.176;11441.9;9994.73
P080416303;11800;23853;23.814;10422.4;21698.1
P086416303;11800;23853;23.814;11228;20778.8
P087416303;11800;23743;23.814;11160.7;20745.6
P089416303;9800;21258;21.114;11765.5;17570.4
P090416303;13000;23877;23.814;9227.62;23085.5
P096416303;9800;18551;18.414;11329.2;15361.4
P097416303;11800;22938;22.968;10647.2;20526.6
P100880301;10873;19062.5;41.0724;11764.2;15376.3
Q101880301_1;8120;14199.3;27.056;11713.9;10570.6
P101880301;13443;25282.7;59.82;11963.7;21369.1
P103880301;13289;24757.5;59.9697;10551.1;22455.8
P108880301;13489;25425.6;59.6848;11641.4;21879.7
P110880301;11564;16511.2;38.7995;9127.23;15834.3
P111880301;9784;16783.3;38.4169;11944.7;12891.2
P114880301;10985;19637;42.9364;11768.5;15946
P089413601;10800;22767.3;28.404;10599.8;20410
P090884901;11000;23538;29.628;11503.1;20149.9
P068413601;10800;20422.7;24.516;11073.4;17524.9
P069884901;11800;23538;29.628;10291.1;21533
P072884903;10800;23554.2;29.844;11462.7;20212.1
P073413601;10800;22012.7;27.558;10763.8;19468.2
P074884901;10800;21996.5;27.288;11087;19083.2
P075413601;10800;23734.4;29.574;11610.1;20224.2
P076884901;11800;23538;29.574;10395.1;21414.3
P079884903;11800;23554.2;29.898;10217.2;21633.5
P080413601;10000;20487.3;25.542;11785.7;16776.7
P081884901;11800;22767.3;28.458;10571.2;20442.6
P082413601;11800;23538;29.574;10519.8;21272
P083884901;11800;23521.9;29.304;9456.05;22469.7
P086884903;10800;23554.2;29.844;11577.9;20080.7
P087413601;10800;20487.3;25.542;10735.4;17975.3
P088884901;10000;20503.5;25.812;11707.4;16882.2
P081417901;13200;23327.2;29.25;11062.2;20442.2
P082417901;13200;23327.2;29.25;11060.9;20443.7
P086417901;12000;21461.7;26.91;11652.2;17903.4
P087417901;13200;23327.2;29.25;11062.8;20441.5
Q089417901_1;13200;20528.1;25.74;10056.1;18791.2
P089417901;13200;23327.6;29.25;11061.6;20443.3
P093417901;13200;23326.8;29.25;11061.3;20442.9
P094417901;13200;23327.6;29.25;10955.2;20564.8
Q096417901_1;13200;22396.6;28.08;11406;19119.2
P096417901;13200;23324.6;29.25;11059.6;20442.6
P100417901;11000;17728.9;22.23;11415.7;14440.6
P101417901;12000;19594.4;24.57;11050.9;16722.4
P102417901;11000;16795.7;21.06;11009.5;13970.8
P103417901;12000;18662.1;23.4;10429.2;16499.4
P108417901;13200;23327.6;29.25;10956;20563.8
P109417901;13200;23328.1;29.25;10954.7;20565.8
P110417901;13200;23328.5;29.25;11061.8;20443.9
P114417901;9000;14930.2;18.72;11908.9;11079
P096402703;12050;18575.7;21.9559;9982.83;16922.4
P100402703;13060;20060.5;24.1592;7556.27;21176.2
P103402703;13060;22299;27.8658;9576.96;21108.9
P065402703;11040;15132.6;16.6551;8765.44;14868.5
P068402703;12060;16486;20.2461;8543.04;16475.7
P072402703;12050;18828.7;22.5649;9407.96;17831.5
P075402703;11050;15348.9;18.5117;9436.16;14319.4
P079402703;11030;17718.3;19.9632;11583.8;14238.1
P082402703;11050;16339;20.2826;9506.37;15229.5
P086402703;12050;17679.9;22.2887;9579.87;16486.5
P089402703;11050;17386.4;20.035;9977.31;15739.4
P093402703;13050;20715.6;24.9887;9978.26;19067.5
P096413601;11800;23521.9;29.304;10821.4;20911.7
P097884901;10800;23538;29.574;11647.1;19985.6
P093884903;1000;3034.56;3.762;7174.21;4586.31
P093413601;11800;23538;29.628;10424.6;21380.6
P094413601;10800;22012.7;27.558;11534.5;18588.7
P095884901;11000;21996.5;27.288;11577.1;18523.9
P100884903;11800;23554.2;29.844;10202.4;21650.4
P101413601;11800;23505.7;29.034;9440.46;22471.4
P102884901;11800;23766.7;30.114;10621.3;21384.8
P103413601;11800;23538;29.574;10318.4;21501.9
P108413601;10000;21258.1;26.658;11686.3;17660.9
P109884901;10800;22012.7;27.558;11725.2;18371.1
P110413601;9800;21258.1;26.658;11929.2;17383.7
P111884901;10800;22767.3;28.458;11842.8;18991.5
P114884903;10800;23538;29.574;11541.8;20105.8
P079880401;10800;23259.6;22.752;11196.7;20221.1
P079883101;11800;23840;28.044;11286;20699.6
P080880401;11800;23840;28.044;10995.1;21031.5
P081883103;10800;23259.6;22.806;11700.1;19646.6
P082883103;11800;23840;28.044;11097.8;20914.4
P086880401;10800;23259.6;22.806;11196.7;20221.1
P086883101;11800;23840;28.044;9968.35;22203.2
P087880401;11000;23840;27.99;11174.8;20826.5
P088883103;10800;23259.6;22.752;11196.7;20221.1
P089883103;11800;23840;28.044;11097.8;20914.4
P093880401;10800;23259.6;22.806;11320;20080.4
P093883101;11800;23840;27.99;10575.9;21510
Q095883103_1;10800;23259.6;22.806;10446.6;21077.1
P095883103;11800;23840;28.098;10173.7;21968.9
P096880401;10800;23259.6;22.806;10446.6;21077.1
P096883103;11800;23840;28.098;10883.9;21158.5
P101880401;10800;23259.6;22.806;11443.3;19939.8
P101883103;11800;23840;28.044;11097.8;20914.4
P103880401;10800;23259.6;22.806;11196.7;20221.1
P103883103;11800;23840;28.098;10173.7;21968.9
P108880401;11800;23840;28.044;10071;22086.1
P110880401;10800;23259.6;22.86;11320;20080.4
Q110883103_1;10800;23259.6;22.86;11720.7;19623.2
P110883103;11800;23840;28.098;11097.8;20914.4
P069404901;9010;8090.94;55.8034;8494.82;8135.69
P072404903;13000;12636;84.24;8089.26;13143.5
P074404901;13200;13004.5;85.518;8136.66;13457.9
P083404901;11000;9644.16;65.503;8375.18;9825.43
P086404903;13200;13180.6;87.804;8327.91;13415.8
P088404901;13010;13038.3;85.5214;8209.98;13408
P100404903;13200;13395.5;86.256;8563.52;13361.9
P102404901;13000;13236.7;88.29;8403.77;13385.4
P067404901;10000;9045.8;61.704;8629.31;8937.07
P079404903;13200;11922.1;79.614;8116.22;12398.9
P081404901;12000;11753.7;78.228;8344.03;11970.5
P093404903;13200;12917.4;86.094;8082.75;13432.4
P095404901;12000;11584.8;77.112;8386.72;11752.9
P097404901;12000;10787.4;74.754;8126.87;11252
P076437201;11000;19380.7;36.63;10370.1;17285.5
P079437201;12000;22066.3;42.372;10139.9;20233.7
P081437201;12000;23140.5;44.604;9513.82;22022.5
P083437201;13200;23677.6;45.828;7854.66;24452.9
P086437201;13200;23975.2;45.774;8636.11;23858.7
P088437201;12000;23677.6;45.72;11398.4;20409
P090437201;11000;18397.3;35.514;10234.3;16457
P093437201;13200;23990.9;45.774;8942.39;23524.9
P095437201;9000;16829.5;33.174;11898;12990.8
P096437201;12000;23677.6;45.72;11146.2;20696.8
P075880303;12000;20274;47.682;11909.4;16422.3
