Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090012500_28022023001139;P114880201;P114880201_1;A1;0;713;0 ;1275 ;1727 ;840
0090012500_28022023001139;P114880201;P114880201_2;B1;1275;1426;0 ;2550 ;2440 ;840
0090012500_28022023001139;P114880201;P114880201_3;C1;1275;75;0 ;2289 ;1350 ;840
0090012500_28022023001139;P114880201;P114880201_4;D1;2289;0;0 ;3303 ;1275 ;840
0090012500_28022023001139;P114880201;P114880201_4;D2;2289;0;840 ;3303 ;1275 ;1540
0090012500_28022023001139;P114880201;P114880201_5;E1;2550;1350;0 ;3825 ;2364 ;840
0090012500_28022023001139;P114880201;P114880201_5;E2;2550;1350;840 ;3825 ;2364 ;1540
0090012500_28022023000670;P114880201;P114880201_6;F1;3303;37;0 ;4317 ;1312 ;840
0090012500_28022023002162;P114880201;P114880201_7;G1;3825;1376;0 ;5025 ;2376 ;1150
0090012500_28022023000432;P114880201;P114880201_8;H1;4317;50;0 ;5331 ;1325 ;840
0090012500_28022023000432;P114880201;P114880201_9;I1;5025;1426;0 ;6300 ;2440 ;840
0090012500_28022023000432;P114880201;P114880201_10;J1;5331;0;0 ;6345 ;1275 ;840
0090012500_28022023000432;P114880201;P114880201_11;K1;6300;1426;0 ;7575 ;2440 ;840
0090012500_28022023000432;P114880201;P114880201_12;L1;6345;0;0 ;7359 ;1275 ;840
0090012500_28022023000432;P114880201;P114880201_13;M1;7359;0;0 ;8373 ;1275 ;840
0090012500_28022023000432;P114880201;P114880201_14;N1;7575;1426;0 ;8850 ;2440 ;840
0090012500_28022023000432;P114880201;P114880201_15;O1;8373;0;0 ;9387 ;1275 ;840
0090012500_28022023000432;P114880201;P114880201_16;P1;8850;1426;0 ;10125 ;2440 ;840
0090012500_28022023000432;P114880201;P114880201_17;Q1;9387;0;0 ;10401 ;1275 ;840
0090012500_28022023000432;P114880201;P114880201_18;R1;10125;1426;0 ;11400 ;2440 ;840
0090012500_28022023000432;P114880201;P114880201_19;S1;10401;0;0 ;11415 ;1275 ;840
0090012500_28022023000432;P114880201;P114880201_20;T1;11400;1426;0 ;12675 ;2440 ;840
0090012500_28022023000432;P114880201;P114880201_21;U1;11415;0;0 ;12429 ;1275 ;840
0090012500_28022023000432;P114880201;P114880201_22;V1;12429;0;0 ;13443 ;1275 ;840
0090012500_28022023000423;P111880201;P111880201_1;A1;0;713;0 ;1275 ;1727 ;840
0090012500_28022023000423;P111880201;P111880201_2;B1;1275;713;0 ;2550 ;1727 ;840
