Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P093880201;12750;24626.1;27.5118;8999.78;24094.6
P094880205;13429;25987.3;25.9959;10704.8;23510.2
P097880201;12184;25237.3;28.5298;9887.65;23692.7
P100880201;13443;25887;26.9009;11466.7;22540.4
P101880201;12750;24823.1;25.5209;11829.9;21062
P102880205;12750;25457.9;26.5389;11034.8;22604.1
P102880201;13473;23763.1;26.6069;7552.96;24882.6
P103880201;13473;25584.3;29.6158;7438.37;26834.6
P104880305;12750;25331.4;24.6159;11138.2;22359.7
P108880201;12750;25432.1;26.2449;11322.3;22250.3
P109880205;12951;24846.7;25.8149;11895.7;21010.6
P110880201;12750;24556;28.2358;7826.5;25363.4
P111880201;12750;25846.3;29.7968;9040.4;25268.5
P114880201;13429;25417.6;25.8149;9843.02;23923.8
Q093880201_1;12459;17295;16.2899;8260.07;17607.6
P094880201;12951;25417.5;27.1498;10840;22786.1
P095880205;12750;25147.2;26.2449;9212.08;24373.5
P095880305;12750;25679.5;25.5209;11943.9;21788.4
P095880201;13473;25894.3;29.3218;8058.19;26437.3
P096880205;12675;25393.6;25.8149;11509.4;21998.3
P096880305;12750;25753.3;27.1498;11356.5;22532.5
P096880201;11475;25320.5;29.3218;11134;22353.6
P097880205;13443;25877.2;24.7969;10800.2;23291.2
P097880305;13443;25664.3;24.9779;11801.2;21936
P101880205;12750;25904.1;26.4259;11515;22502.4
P102880305;13443;25675.5;25.7019;11172.7;22664.5
P103880205;13443;25342;23.8919;11062.2;22457
P109880305;12750;25745;26.4259;11849.4;21961.7
P109880201;12750;25843.4;29.3218;9904.05;24280
P110880205;12750;25938.7;25.5209;11232.5;22859.3
P110880305;12951;25520;27.6249;11657.9;21955.2
P111880205;12750;25976.1;26.2449;9912.92;24402.6
P111880305;13443;25366;23.8919;11065;22477.8
P076880201;12475;25049.4;28.1679;10874;22379.2
Q079880201_1;12750;25441.6;25.8149;11774.4;21743.8
P081880201;12750;25790.8;26.4259;10974.4;23005.9
P082880205;12937;25793.7;26.5389;9249.7;24977
P082880201;12750;23979.6;27.3308;8795.23;23681.6
P083880201;11937;25885.2;29.6158;10899.4;23186
P086880201;12750;25726.5;25.8149;11724.5;22085.7
P087880305;13443;25995;24.7969;11230.3;22918.2
P089880201;12429;25714.1;26.2449;11985.9;21775
P090880305;12750;25822;27.2629;10419;23671
Q076880305_1;9648;15880;15.2039;11374.7;12638.4
P076880305;13443;25366;23.8919;11065;22477.8
P079880201;13443;25230.1;24.7969;10818.2;22623.6
P080880205;12750;25999;26.4259;11436.4;22687
P080880305;13443;25808.6;26.9009;11577.3;22335.8
P080880201;13473;25750.4;27.3308;10560.2;23438.3
P081880205;13443;25727.5;25.7019;11173.9;22715.1
P082880305;12750;25715.9;29.3218;8744.72;25475.4
P083880205;13429;25689;25.0909;10828.5;23070.7
P083880305;13443;25366;23.8919;11065;22477.8
P087880201;12750;25479;27.6928;11304.2;22317.8
P088880205;12690;25753.3;27.4439;11351.5;22538.2
P088880305;12750;25392.9;25.5209;11010.5;22566.9
P089880205;12415;25455;26.5389;11388.3;22197.9
P089880305;12429;25691.2;26.2449;11764.8;22004.5
P090880205;13443;25877.2;24.7969;10756.5;23341.1
P090880201;11923;25223.9;29.4348;10878.2;22548.9
P076880301;12570;21778.5;51.2548;11087.3;18864.9
P079880301;13395;25416.5;54.1218;10284.7;23418.8
P096880301;10615;17559.8;40.7869;11515.6;14157.4
