Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P094448705;13400;12320.8;91.0116;7871.9;13076.4
P095448701;13417;10922.3;87.7783;7297.41;12333.4
P095448711;13210;10846;86.1406;7702.41;11795
P096448713;13417;11310.1;88.1386;7467.99;12526.6
P096448705;13400;10861.5;86.875;6913.15;12711.1
Q097448713_1;13407;12130.1;90.45;8070.65;12658.9
P103448705;13200;11158.8;83.6172;8703.58;10965.3
P104448713;13400;12526.5;90.2886;7775.05;13392.6
Q086448701_1;1000;290.8;2.178;4401.11;5007.05
P086448701;13007;7960.5;60.377;7355.74;9305.09
P086448703;12807;8975.85;70.7077;8081.7;9492.02
P086448709;13417;11105.2;86.6804;7371.75;12431.5
P086448705;13410;11436.7;88.6803;7057.52;13121.6
P087448713;13417;10262.9;85.6336;7509.58;11432
P087448701;13407;12171.6;90.45;7547.63;13297.2
P087448709;13417;11018.6;83.0552;6705.42;13105.3
P087448705;13400;11117.6;88.7112;7231.71;12603.7
P088448713;13410;11336.2;87.5662;7351.41;12685.7
P088448701;13420;10378.3;86.1213;6668.58;12507
P088448703;13410;11350.5;83.8726;7733.59;12263.9
P088448711;13434;10843.4;85.0627;7229.29;12332.3
P088448705;13200;11069.9;86.0868;7570.87;12169
Q089448713_1;13430;10020.2;85.1034;6945.51;11832.9
P089448713;13410;10907.5;87.9899;7595.73;11978.3
P089448701;13414;12380.9;88.7022;7862.61;13147.1
P089448703;13407;10785.9;86.5908;7474.31;11995.2
P089448705;13217;9834.71;84.5877;7640.17;10854.7
P090448713;13410;12162.1;89.3914;7422.98;13430
P090448701;13217;11062.6;85.8388;7485.15;12259.5
P090448703;13400;11784.9;87.2604;8356.9;11987
P090448709;13417;10596.7;84.074;7670.98;11581.5
P090448705;13410;11200.8;87.4688;7657.65;12200.9
P091448713;13417;10799.4;83.6978;7270.57;12241.2
P091448751;13334;9696.82;76.5199;6757.16;11724.5
P091448753;13410;11342.1;87.3861;7807.71;12171
P091448755;13400;11514.2;88.6678;7157.25;13085.3
P093448701;13410;10391.2;77.7535;8159;10819.1
P093448703;13420;10101.5;79.3721;6722.79;12168.4
P093448709;13410;11361.5;88.819;7262.35;12812.7
P093448705;13420;10087.9;84.3906;6885.85;11968.7
Q094448713_1;13414;11886.5;88.9489;7449.31;13124.4
P094448713;13400;12554.5;90.1493;7614.41;13604
P094448701;13400;12156.4;89.5968;8058.88;12698.6
P094448709;13424;10031.8;78.6044;6690.73;12135.3
P095448713;13407;11439.9;86.8432;7165.5;13001.6
P095448703;13410;12000;87.7066;8392.8;12161.1
P095448705;13210;8665.14;85.3414;6422.52;11074.7
Q096448713_1;13400;12598;90.0413;7735.32;13509.5
P096448701;13417;11390.7;82.1504;7420.35;12661.6
P096448703;13210;12117.1;88.6902;7845.66;12902.6
P097448713;13417;11670.5;87.469;6496.22;13995.9
P097448701;13410;11072.9;88.8453;7100.37;12708.9
P097448703;13407;11487;87.4614;7140.64;13077.1
P097448709;13417;11447.3;87.7174;6993.72;13205
P097448705;13420;10844.4;85.6847;7488.37;12037.6
Q098448713_1;13200;11077.3;87.9984;6560.44;13329.4
P098448713;13217;11311.6;85.5227;7682.58;12283.2
P098448751;13244;9275.63;74.2049;6919.12;11118.5
P098448753;13400;12514.4;91.1736;7243.56;13987
P098448755;13407;12568.4;87.9226;7504.17;13743.6
P100448701;13210;11337.4;84.3635;7475.7;12545.1
P100448703;13427;10826.5;85.1474;7701.55;11776.5
P100448709;13420;9763.02;83.2026;6660.23;11901.3
P101448713;13400;12663.9;89.4798;7613.69;13714.2
P101448701;13400;12453.1;89.7696;7508.23;13623.6
P101448709;13434;11354.6;81.9166;6305.87;13897.2
P102448713;13200;12183.3;88.5924;8143.71;12628.8
P102448701;13410;11058.4;84.0504;6912.34;12909
P102448703;13417;11204.9;79.9306;7225.83;12697.8
P102448711;13417;10891.2;84.9562;6500.23;13212.1
P102448705;13420;9652.06;85.0602;6364.93;12127.3
P103448713;13410;12867.9;88.3674;7842.41;13657.2
P103448701;13400;12586.8;86.328;7813.13;13409.5
P103448703;13441;10370.7;79.6264;5841.65;13443
P069448709;13427;9796.67;79.7187;7826.34;10604.2
P070448713;13427;11467.6;85.4858;7307.2;12867.6
P073448705;13410;9226.42;81.8731;6400.27;11661.3
P074448703;13417;11844.2;85.7236;7536.09;12983
P076448705;13210;8447.97;80.1733;6275.09;11025.7
P077448755;13410;10229.4;87.1558;6948.3;12038.9
P083448703;13000;10682.3;81.8926;7074;12348.4
P084448713;13420;11844.1;88.3527;7180.5;13388.6
Q065448701_1;9417;5035.42;37.9191;7216.59;6538.8
P065448701;13410;10513.4;81.4318;7032.38;12227
P065448703;13220;10861.1;86.3862;7175.54;12411.3
P065448709;13410;10179.7;83.9276;6598.66;12388.2
P065448705;13410;10462.2;85.1468;6598.91;12670.5
P066448713;13400;11731.2;88.3656;7417.15;13005.7
P066448701;13410;11740.6;84.4994;7188.49;13276.1
P066448709;13210;11191.3;82.6246;7477.34;12397.1
P066448705;13410;10134.2;86.162;6837.54;12070.2
P067448713;13227;11471.7;86.0186;7135.97;13067.1
P067448701;13400;10962.6;82.2634;6999.44;12713.8
P067448703;13400;11485.4;86.3729;7178.64;13032.1
P067448711;13420;11359;86.9728;7354.46;12705
P067448705;13410;8749.68;83.4075;6256.97;11348.1
P068448713;13400;11946.5;88.8192;7521.54;13101.9
P068448701;13424;11234;82.6553;7562.86;12342.3
P068448703;13400;13027.7;89.6832;8004.17;13632.4
P068448705;13220;9053;75.9542;6104.11;11825.9
P069448713;13000;12073.8;87.2117;7717.82;13005.2
P069448701;13417;11176.1;84.1678;7510.91;12343.6
P069448703;13420;9951.54;75.5546;7944.99;10623.7
P069448705;13400;10340;88.3008;6899.08;12205.7
P070448751;13437;10191.3;81.0144;6824.97;12141.6
P070448753;13200;10919.2;86.9957;7260.33;12372.6
P070448755;13400;13277.4;91.1736;8434.95;13390.5
P072448701;13410;10192.7;76.3885;7959.12;10848.7
P072448703;13427;10538.1;81.6894;7122.05;12149.3
P072448709;13427;9522.36;83.6992;6590.44;11740.3
P073448713;13414;11842.5;87.1691;7565.07;12948.3
P073448701;13420;11886.3;87.3043;7012.82;13622.2
P073448709;13407;10966.7;81.3355;7850.8;11746.3
P074448713;13417;11510.5;83.7956;7010.59;13248.9
P074448701;13017;11168.2;84.378;7660.1;12165.5
P074448711;13430;10088.3;84.0555;7381;11404.1
P074448705;13400;9864.3;84.0344;6996.68;11618.6
P075448713;13407;11864.9;86.9544;7961.22;12518.6
P075448701;13407;11584.2;86.6251;7512.57;12749.8
P075448703;13417;10866.4;82.7052;6271.11;13448.7
P075448705;13000;9584.98;83.2786;7006.36;11328.3
P076448713;13417;12202.4;88.0434;7772.26;13071.7
P076448701;13410;12304.5;88.2358;7804.73;13136.7
P076448703;13420;11269.6;85.9642;6867.79;13171
P076448709;13417;10556.1;85.2766;6785.77;12551.1
P077448713;13410;12115.7;86.9731;7475.18;13324
P077448751;13414;11471.5;84.4746;6791.73;13459.8
P077448753;13200;13309.1;89.1324;8413.65;13446.5
P079448701;13217;11465.9;85.2278;7674.27;12447
P079448703;13434;11065.8;86.8324;7185.1;12605.1
P079448709;13220;9616.82;83.4294;6482.56;11957.8
P080448713;13410;12370.4;90.0522;7534.07;13511.5
P080448701;13007;11428;83.3904;7859.92;12197.3
P080448709;13407;11166.7;85.4733;6919.09;13009.6
P080448705;13400;9056.3;84.0234;6309.73;11594.5
P081448713;13410;11601.1;88.9816;7037.58;13308.8
P081448701;13200;12083.3;84.8664;8023.56;12665.8
P081448703;13407;12374.6;87.255;7903.7;13093.9
P081448711;13430;10172.4;82.6347;7348.84;11524.9
P081448705;13420;10141.4;84.7148;6709.96;12222.9
P082448713;13200;12146.7;86.715;8042.88;12707.2
P082448701;13400;12514.4;91.1736;7844.7;13301
P082448703;13227;9344.21;76.1185;7028.26;11062.5
P082448705;13430;9428.6;84.0126;6722.97;11495.3
P083448713;13417;12228.3;86.0414;8266.03;12534.2
P083448701;13410;12220.8;88.5686;7783.76;13076.9
P083448709;13217;11043.2;85.7805;7458.86;12270.2
P084448751;13227;9239.34;77.19;6473.78;11590.4
P084448753;13000;11212.2;87.5556;7561.21;12322.3
P084448755;13400;13277.4;91.1736;8538.64;13272.2
P074414509;13230;24025.6;77.3717;11078.4;21122.1
P075414501;13180;22207.2;70.8218;10494;19970.6
P075414503;13180;25593.2;77.1563;11851.8;21807.2
P075414515;13180;24700.6;80.3236;11427.8;21398.4
P076414503;13230;25977.6;80.5389;10097.6;24193.3
P077414557;13180;24172.5;76.9448;10606.8;21807.2
P079414505;13130;25437.9;82.6408;11917.3;21577.1
P081414515;13180;25433.7;79.9005;10360;23349.9
P082414501;13180;25676.4;80.3236;11174.7;22663
P082414515;13230;25258.2;80.5389;9677.02;23953.9
P083414505;13230;25797.8;86.8735;11963.2;21884.7
P086414515;13180;24644.1;79.9005;10679.2;22196.1
P087414501;13080;25873.1;78.6947;11546.4;22435.5
P087414515;13130;25620.7;82.6408;11889.8;21791.3
P088414501;13130;25819.8;79.6851;10883.2;23139.1
P090414515;13130;25851.5;78.6294;11981.8;21917.1
P091414503;13180;25083.7;79.9005;11228.8;22008.6
P073414501;13180;23618.9;73.989;11367.9;20385
P073414503;13230;25963;86.8735;11966.6;22046
P073414505;13230;24184;80.5389;10263.8;22210
P073414509;13180;25812;80.3236;10833.7;23187.8
P073414515;13230;25846.7;86.8735;11924.4;21977.7
P074414501;11710;19120.7;61.1692;11996.9;15169.1
P074414503;13230;25178.1;80.5389;10576.3;22847.6
P074414505;13180;25621.1;83.2793;11678.9;22032.4
P074414511;13180;25896.9;83.2793;11847.1;22116.2
P075414505;13230;25237.2;86.8735;11501.9;21850.5
P075414509;11760;18675.8;61.3846;9890.49;17127.9
P075414511;13180;24163.2;77.1563;11874.2;20351.7
P076414501;13180;24988.6;80.3236;10894.3;22295.2
P076414505;13230;25200.8;86.8735;11853.1;21413.3
P076414509;13180;24596.8;80.3236;11459.8;21258.1
P076414511;13230;23080.4;74.2044;10989.8;20278
P076414515;13180;24473.9;79.9005;10544.4;22179.8
P077414501;11610;19721.9;63.4826;11849.7;15938.3
P077414503;13230;24530.3;80.5389;10081.7;22764.1
P077414553;13180;24333.3;79.9005;10638.5;21931.8
P077414551;13180;25768.8;86.235;11933.3;21889.8
Q079414505_1;13180;25178.7;83.0678;11957;21272.5
P079414509;13230;24950.8;80.5389;10754.3;22417.2
P080414501;10140;16042.3;50.8743;10339;13982.5
P080414503;13180;25553.9;79.9005;11072.7;22656.8
P080414505;13130;24869.3;79.6851;11046.5;22002.2
P080414509;13130;24729.9;79.6851;11058;21849.6
P080414515;13230;25200;80.5389;10623.7;22815.4
P081414501;10240;17507.4;54.4723;11912.4;13652.3
P081414503;13180;25843;76.7332;11913.8;21986.2
P081414505;13230;25920.4;86.8735;11483.7;22554.5
P081414509;11710;21132.2;67.2922;11310.4;17964
P081414511;13180;21685.4;67.6545;11190.2;18654.4
P082414503;13230;25388.2;74.2044;9567.15;24209.3
P082414505;13230;25745;86.8735;11448.6;22419
P082414509;13230;25642.4;80.5389;10406.5;23505.6
P082414511;13180;24980.8;80.112;11725.5;21338.9
P083414501;13230;25449.9;80.5389;10398;23322.8
P083414503;13230;25897.3;77.3717;11893.8;22063.3
P083414509;13230;25257.8;80.5389;10228.8;23323.9
P083414511;13180;25364.1;80.112;11939.7;21477.8
P083414515;13230;24834.3;80.187;10439.4;22660
P084414501;13180;22630.4;73.2852;10710;20147.3
P084414503;13180;24382;79.9005;10253.1;22420.3
Q084414553_1;13180;25128;79.5486;10590.5;22781.2
P084414553;13180;24892.6;79.2678;10852.7;22246.6
P084414551;13130;24324.1;79.6851;10923.3;21597.6
P084414557;13230;24649.7;80.5389;10656.8;22227.3
Q086414505_1;11760;19618.7;63.848;11668.6;16041.8
