Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P114414515;P114414515_1;A;0;0;0;1470;2280;2880
P114414515;P114414515_2;B;1470;0;0;2890;2300;1855
P114414515;P114414515_3;C;2890;0;0;4360;2280;2880
P114414515;P114414515_4;D;4360;0;0;5830;2280;2880
P114414515;P114414515_5;E;5830;0;0;7300;2280;2880
P114414515;P114414515_6;F;7300;0;0;8770;2280;2880
P114414515;P114414515_7;G;8770;0;0;10240;2280;2880
P114414515;P114414515_8;H;10240;0;0;11710;2280;2880
P114414515;P114414515_9;I;11710;0;0;13180;2280;2880
P114414509;P114414509_1;A;0;0;0;1470;2280;2880
P114414509;P114414509_2;B;1470;0;0;2940;2280;2775
P114414509;P114414509_3;C;2940;0;0;4360;2300;950
P114414509;P114414509_4;D;4360;0;0;5830;2280;2880
P114414509;P114414509_5;E;5830;0;0;7300;2280;2880
P114414509;P114414509_6;F;7300;0;0;8770;2280;2880
P114414509;P114414509_7;G;8770;0;0;10240;2280;2880
P114414509;P114414509_8;H;10240;0;0;11710;2280;2880
P114414509;P114414509_9;I;11710;0;0;13180;2280;2880
P114414505;P114414505_1;A;0;80;0;1470;2360;990
P114414505;P114414505_2;B;1470;80;0;2940;2360;2880
P114414505;P114414505_3;C;2940;80;0;4410;2360;2880
P114414505;P114414505_4;D;4410;80;0;5880;2360;2880
P114414505;P114414505_5;E;5880;0;0;7350;2280;2880
P114414505;P114414505_6;F;7350;0;0;8820;2280;2880
P114414505;P114414505_7;G;8820;0;0;10290;2280;2880
P114414505;P114414505_8;H;10290;0;0;11760;2280;2880
P114414505;P114414505_9;I;11760;0;0;13230;2280;2775
P112414551;P112414551_1;A;0;0;0;1470;2280;2880
P112414551;P112414551_2;B;1470;160;0;2940;2440;2880
P112414551;P112414551_3;C;2940;0;0;4360;2300;2760
P112414551;P112414551_4;D;4360;0;0;5780;2300;950
P112414551;P112414551_5;E;5780;0;0;7250;2280;2880
P112414551;P112414551_6;F;7250;0;0;8720;2280;2880
