Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P093414515;13230;24039.9;80.5389;10336.2;21983.4
P094414501;13130;24839.7;78.9101;10242.3;22890.3
P094414503;13230;25464.5;80.5389;10446.4;23282.2
P094414515;13230;22775.9;74.2044;11167.9;19770.2
P095414501;11660;20014.4;63.9095;11192.8;16980.4
P095414503;13230;25450;80.5389;9852.2;23945.8
P101414509;13180;25347.3;79.9005;10295.9;23336.8
P102414501;13180;25270.3;79.9005;10899;22571.6
P102414515;13180;25749.2;78.8447;10340.8;23687.4
P103414501;13080;24918.1;75.3871;11293;21769.7
P104414503;13180;23202.1;76.4525;11873.2;19391.6
P108414505;13180;25945.5;82.5755;11721.1;22308.7
P108414509;13180;24663.9;79.9005;10346.3;22595.8
P109414501;13130;25916.1;79.262;10834.4;23291
P110414515;12930;23144.8;71.0083;11449.5;19817.9
P111414515;13180;24968.3;79.9005;10745.1;22445.1
P112414501;11710;19062.5;60.6057;11402.5;15789.2
P112414503;13130;25293.8;76.1659;11512.3;21895.2
P112414557;13130;24081.9;79.6851;11547.1;20643.6
P114414505;13230;25394.9;80.187;11122.2;22441.4
Q093414505_1;8720;14539.9;43.9005;11630.5;11006.4
P093414505;13230;23837.2;77.0198;10991.4;21033
P093414509;13130;25234.5;75.6025;11104.9;22300.7
P094414505;13180;25776.5;79.5486;11114.1;22832.2
P094414509;13180;24602;79.9005;11041.7;21740.4
P095414505;13230;25771.1;86.8735;11915.7;21912.1
P095414509;13230;24622.8;80.5389;10537.8;22336.2
P095414511;11710;17866.2;58.0019;11721.9;14228.4
P095414515;13180;25414.5;79.9716;11076.3;22513.4
P096414501;13180;21419.4;67.3026;10403.5;19286
Q096414503_1;13230;25516.6;77.3717;11908.6;21665.8
P096414503;13180;25997.6;79.7601;11829.7;22236.8
P096414505;13230;24715.8;86.8735;11800.2;20988.7
P096414509;13180;25082.8;80.3236;10311.1;23054.9
P096414511;13230;25416.8;80.187;10370.6;23321
P096414515;13180;25998;79.1967;11091.5;23079.6
P096414513;13230;24688.2;80.187;10833.2;22064.5
P097414501;13130;25684;81.937;11793.3;21964.7
P097414503;13230;25489;72.0929;9572.2;24304.3
P097414505;13230;25453.2;86.8735;11425.2;22154
P097414509;11760;21723;70.5344;10829.4;19103.7
P097414511;13130;23768.8;72.1545;10942.2;21020.8
P097414515;13180;24716.6;79.6197;11394.4;21452.5
P097414513;13030;25222.9;74.889;11888.3;21395.2
P098414501;13230;25241.1;74.9083;11266.3;22123.2
P098414503;13230;25091.8;80.5389;9938.29;23489.3
P098414553;13230;25829.1;79.4832;10020.1;24133.3
P098414551;13230;25576.1;79.1313;10496.6;23336.5
P098414557;13080;25368.5;75.0352;10612;22997.2
P100414505;13230;25667.1;80.5389;10762.3;23124.3
P100414509;13180;25554.3;79.1967;10839.4;22923.5
P100414515;13180;25334.4;79.9005;10408.1;23195.8
P101414501;13080;25908.7;78.6947;11178.8;22890.6
P101414503;13180;25510.1;80.3236;11027.5;22664.8
P101414505;13180;25421.7;79.5486;10500.2;23178.1
P101414507;13230;22264;74.2044;10972.9;19480.9
P102414503;13230;25913;80.5389;10268.1;23934.2
P102414505;13230;23441.8;80.5389;10299.4;21427.3
P102414509;13230;24296.6;80.5389;10151.4;22451
P102414511;10240;16903;54.6838;10888.8;14215.9
P103414503;13230;25025.2;79.1313;10899.9;22325.4
P103414505;13180;25678.4;79.6197;11517.6;22273.8
P103414509;13230;24815.4;79.8351;10693.8;22350.8
