Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090016100_27022023004449;P110211301;P110211301_1;A1;0;0;0 ;1010 ;1206 ;1185
0090016100_27022023004449;P110211301;P110211301_1;A2;0;0;1185 ;1010 ;1206 ;2370
0090016100_27022023004449;P110211301;P110211301_2;B1;0;1206;0 ;1010 ;2412 ;1185
0090016100_27022023004449;P110211301;P110211301_2;B2;0;1206;1185 ;1010 ;2412 ;2370
0090016100_27022023002358;P110211301;P110211301_3;C1;1010;1234;0 ;2020 ;2440 ;285
0090016100_27022023002358;P110211301;P110211301_3;C2;1010;1234;285 ;2020 ;2440 ;570
0090016100_27022023001587;P110211301;P110211301_3;C3;1010;1234;570 ;2020 ;2440 ;855
0090016100_27022023001587;P110211301;P110211301_3;C4;1010;1234;855 ;2020 ;2440 ;1140
0090016100_27022023003026;P110211301;P110211301_3;C5;1010;1234;1140 ;2020 ;2440 ;2325
0090016100_27022023003026;P110211301;P110211301_4;D1;1010;0;0 ;2020 ;1206 ;1185
0090016100_27022023003026;P110211301;P110211301_4;D2;1010;0;1185 ;2020 ;1206 ;2370
0090016100_27022023003668;P110211301;P110211301_5;E1;2020;0;0 ;3030 ;1206 ;1185
0090016100_27022023003668;P110211301;P110211301_5;E2;2020;0;1185 ;3030 ;1206 ;2370
0090016100_27022023003230;P110211301;P110211301_6;F1;2020;1234;0 ;3030 ;2440 ;1185
0090016100_27022023003668;P110211301;P110211301_6;F2;2020;1234;1185 ;3030 ;2440 ;2370
0090016100_27022023003230;P110211301;P110211301_7;G1;3030;1234;0 ;4040 ;2440 ;1185
0090016100_27022023003230;P110211301;P110211301_7;G2;3030;1234;1185 ;4040 ;2440 ;2370
0090016100_27022023004958;P110211301;P110211301_8;H1;3030;0;0 ;4040 ;1206 ;585
0090016100_27022023002247;P110211301;P110211301_8;H2;3030;0;585 ;4040 ;1206 ;970
0090016100_27022023005294;P110211301;P110211301_8;H3;3030;0;970 ;4040 ;1206 ;1355
0090016100_27022023005294;P110211301;P110211301_8;H4;3030;0;1355 ;4040 ;1206 ;1740
0090016100_27022023005294;P110211301;P110211301_8;H5;3030;0;1740 ;4040 ;1206 ;2125
0090016100_27022023001031;P110211301;P110211301_8;H6;3030;0;2125 ;4040 ;1206 ;2510
0090016100_27022023002161;P110211301;P110211301_9;I1;4040;0;0 ;5050 ;1206 ;985
0090016100_27022023002161;P110211301;P110211301_9;I2;4040;0;985 ;5050 ;1206 ;1970
0090016100_27022023001005;P110211301;P110211301_9;I3;4040;0;1970 ;5050 ;1206 ;2355
0090016100_27022023004817;P110211301;P110211301_10;J1;4040;1234;0 ;5050 ;2440 ;285
0090016100_27022023000316;P110211301;P110211301_10;J2;4040;1234;285 ;5050 ;2440 ;966
0090016100_27022023004817;P110211301;P110211301_10;J3;4040;1234;966 ;5050 ;2440 ;1251
0090016100_27022023004817;P110211301;P110211301_10;J4;4040;1234;1251 ;5050 ;2440 ;1536
0090016100_27022023004817;P110211301;P110211301_10;J5;4040;1234;1536 ;5050 ;2440 ;1821
0090016100_27022023000497;P110211301;P110211301_11;K1;5050;1234;0 ;6060 ;2440 ;384
0090016100_27022023000316;P110211301;P110211301_11;K2;5050;1234;384 ;6060 ;2440 ;1065
0090016100_27022023005030;P110211301;P110211301_11;K3;5050;1234;1065 ;6060 ;2440 ;1350
0090016100_27022023005030;P110211301;P110211301_11;K4;5050;1234;1350 ;6060 ;2440 ;1635
0090016100_27022023000108;P110211301;P110211301_12;L1;5050;0;0 ;6060 ;1206 ;1185
0090016100_27022023000108;P110211301;P110211301_12;L2;5050;0;1185 ;6060 ;1206 ;2370
0090016100_27022023000108;P110211301;P110211301_13;M1;6060;0;0 ;7070 ;1206 ;1185
0090016100_27022023004567;P110211301;P110211301_14;N1;6060;1234;0 ;7070 ;2440 ;1185
0090016100_27022023004567;P110211301;P110211301_14;N2;6060;1234;1185 ;7070 ;2440 ;2370
0090016100_27022023004567;P110211301;P110211301_15;O1;7070;1234;0 ;8080 ;2440 ;1185
0090016100_27022023004567;P110211301;P110211301_15;O2;7070;1234;1185 ;8080 ;2440 ;2370
0090016100_27022023004567;P110211301;P110211301_16;P1;7070;0;0 ;8080 ;1206 ;1185
0090016100_27022023004567;P110211301;P110211301_16;P2;7070;0;1185 ;8080 ;1206 ;2370
0090016100_27022023004567;P110211301;P110211301_17;Q1;8080;0;0 ;9090 ;1206 ;1185
0090016100_27022023004567;P110211301;P110211301_17;Q2;8080;0;1185 ;9090 ;1206 ;2370
0090016100_27022023004567;P110211301;P110211301_18;R1;8080;1234;0 ;9090 ;2440 ;1185
0090016100_27022023004567;P110211301;P110211301_18;R2;8080;1234;1185 ;9090 ;2440 ;2370
0090016100_27022023004567;P110211301;P110211301_19;S1;9090;1234;0 ;10100 ;2440 ;1185
0090016100_27022023004567;P110211301;P110211301_19;S2;9090;1234;1185 ;10100 ;2440 ;2370
0090016100_27022023003209;P110211301;P110211301_20;T1;9090;0;0 ;10100 ;1206 ;285
0090016100_27022023000036;P110211301;P110211301_20;T2;9090;0;285 ;10100 ;1206 ;1470
0090016100_27022023004735;P110211301;P110211301_20;T3;9090;0;1470 ;10100 ;1206 ;2555
0090016100_27022023000905;P110211301;P110211301_21;U1;10100;0;0 ;11110 ;1206 ;385
0090016100_27022023000905;P110211301;P110211301_21;U2;10100;0;385 ;11110 ;1206 ;770
0090016100_27022023000958;P110211301;P110211301_21;U3;10100;0;770 ;11110 ;1206 ;1155
0090016100_27022023003888;P110211301;P110211301_21;U4;10100;0;1155 ;11110 ;1206 ;1540
0090016100_27022023003910;P110211301;P110211301_21;U5;10100;0;1540 ;11110 ;1206 ;2125
0090016100_27022023002720;P110211301;P110211301_22;V1;10100;1234;0 ;11110 ;2440 ;1185
0090016100_27022023003910;P110211301;P110211301_22;V2;10100;1234;1185 ;11110 ;2440 ;1770
0090016100_27022023004629;P110211301;P110211301_23;W1;11110;1234;0 ;12120 ;2440 ;1185
0090016100_27022023002720;P110211301;P110211301_23;W2;11110;1234;1185 ;12120 ;2440 ;2370
0090016100_27022023004629;P110211301;P110211301_24;X1;11110;0;0 ;12120 ;1206 ;1185
0090016100_27022023002918;P110211301;P110211301_25;Y1;12120;0;0 ;13326 ;1010 ;1185
0090016100_27022023002918;P110211301;P110211301_25;Y2;12120;0;1185 ;13326 ;1010 ;2370
0090016100_27022023002918;P110211301;P110211301_26;Z1;12120;1430;0 ;13326 ;2440 ;1185
0090016100_27022023004996;P108211301;P108211301_1;A1;0;0;0 ;1010 ;1206 ;1185
0090016100_27022023004996;P108211301;P108211301_1;A2;0;0;1185 ;1010 ;1206 ;2370
0090016100_27022023004996;P108211301;P108211301_2;B1;0;1206;0 ;1010 ;2412 ;1185
0090016100_27022023000884;P108211301;P108211301_3;C1;1010;1234;0 ;2020 ;2440 ;385
0090016100_27022023001674;P108211301;P108211301_3;C2;1010;1234;385 ;2020 ;2440 ;770
0090016100_27022023000309;P108211301;P108211301_3;C3;1010;1234;770 ;2020 ;2440 ;1155
0090016100_27022023002718;P108211301;P108211301_3;C4;1010;1234;1155 ;2020 ;2440 ;1540
0090016100_27022023005002;P108211301;P108211301_3;C5;1010;1234;1540 ;2020 ;2440 ;1925
0090016100_27022023000576;P108211301;P108211301_3;C6;1010;1234;1925 ;2020 ;2440 ;2310
0090016100_27022023002106;P108211301;P108211301_3;C7;1010;1234;2310 ;2020 ;2440 ;2595
