Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P110211301;P110211301_1;A;0;0;0;1010;1206;2370
P110211301;P110211301_2;B;0;1206;0;1010;2412;2370
P110211301;P110211301_3;C;1010;1234;0;2020;2440;2325
P110211301;P110211301_4;D;1010;0;0;2020;1206;2370
P110211301;P110211301_5;E;2020;0;0;3030;1206;2370
P110211301;P110211301_6;F;2020;1234;0;3030;2440;2370
P110211301;P110211301_7;G;3030;1234;0;4040;2440;2370
P110211301;P110211301_8;H;3030;0;0;4040;1206;2510
P110211301;P110211301_9;I;4040;0;0;5050;1206;2355
P110211301;P110211301_10;J;4040;1234;0;5050;2440;1821
P110211301;P110211301_11;K;5050;1234;0;6060;2440;1635
P110211301;P110211301_12;L;5050;0;0;6060;1206;2370
P110211301;P110211301_13;M;6060;0;0;7070;1206;1185
P110211301;P110211301_14;N;6060;1234;0;7070;2440;2370
P110211301;P110211301_15;O;7070;1234;0;8080;2440;2370
P110211301;P110211301_16;P;7070;0;0;8080;1206;2370
P110211301;P110211301_17;Q;8080;0;0;9090;1206;2370
P110211301;P110211301_18;R;8080;1234;0;9090;2440;2370
P110211301;P110211301_19;S;9090;1234;0;10100;2440;2370
P110211301;P110211301_20;T;9090;0;0;10100;1206;2555
P110211301;P110211301_21;U;10100;0;0;11110;1206;2125
P110211301;P110211301_22;V;10100;1234;0;11110;2440;1770
P110211301;P110211301_23;W;11110;1234;0;12120;2440;2370
P110211301;P110211301_24;X;11110;0;0;12120;1206;1185
P110211301;P110211301_25;Y;12120;0;0;13326;1010;2370
P110211301;P110211301_26;Z;12120;1430;0;13326;2440;1185
P108211301;P108211301_1;A;0;0;0;1010;1206;2370
P108211301;P108211301_2;B;0;1206;0;1010;2412;1185
P108211301;P108211301_3;C;1010;1234;0;2020;2440;2595
P108211301;P108211301_4;D;1010;0;0;2020;1206;2436
P108211301;P108211301_5;E;2020;0;0;3030;1206;2340
P108211301;P108211301_6;F;2020;1234;0;3030;2440;2370
P108211301;P108211301_7;G;3030;1234;0;4040;2440;2370
P108211301;P108211301_8;H;3030;0;0;4040;1206;2325
P108211301;P108211301_9;I;4040;0;0;5050;1206;1185
P108211301;P108211301_10;J;4040;1234;0;5050;2440;1185
P108211301;P108211301_11;K;5050;1234;0;6060;2440;2370
P108211301;P108211301_12;L;5050;0;0;6060;1206;2370
P108211301;P108211301_13;M;6060;0;0;7070;1206;2370
P108211301;P108211301_14;N;6060;1234;0;7070;2440;2370
P108211301;P108211301_15;O;7070;1234;0;8080;2440;1185
P108211301;P108211301_16;P;7070;0;0;8080;1206;2540
P108211301;P108211301_17;Q;8080;0;0;9090;1206;2370
P108211301;P108211301_18;R;8080;1234;0;9090;2440;2370
P108211301;P108211301_19;S;9090;1234;0;10100;2440;1570
P108211301;P108211301_20;T;9090;0;0;10100;1206;1085
P108211301;P108211301_21;U;10100;0;0;11110;1206;1185
P103211301;P103211301_1;A;0;0;0;1010;1206;2370
P103211301;P103211301_2;B;0;1206;0;1010;2412;2370
P103211301;P103211301_3;C;1010;1234;0;2020;2440;2540
P103211301;P103211301_4;D;1010;0;0;2020;1206;2370
P103211301;P103211301_5;E;2020;0;0;3030;1206;2421
P103211301;P103211301_6;F;2020;1234;0;3030;2440;2525
P103211301;P103211301_7;G;3030;1234;0;4040;2440;2580
P103211301;P103211301_8;H;3030;0;0;4040;1206;2370
P103211301;P103211301_9;I;4040;0;0;5050;1206;2370
P103211301;P103211301_10;J;4040;1234;0;5050;2440;2424
P103211301;P103211301_11;K;5050;1234;0;6060;2440;2370
P103211301;P103211301_12;L;5050;0;0;6060;1206;2370
P103211301;P103211301_13;M;6060;0;0;7070;1206;1185
P103211301;P103211301_14;N;6060;1234;0;7070;2440;2370
P103211301;P103211301_15;O;7070;1234;0;8080;2440;2370
P103211301;P103211301_16;P;7070;0;0;8080;1206;2370
P103211301;P103211301_17;Q;8080;0;0;9090;1206;2370
P103211301;P103211301_18;R;8080;1234;0;9090;2440;2370
P103211301;P103211301_19;S;9090;1234;0;10100;2440;2370
P103211301;P103211301_20;T;9090;0;0;10100;1206;2370
P103211301;P103211301_21;U;10100;0;0;11110;1206;1470
P103211301;P103211301_22;V;10100;1234;0;11110;2440;2510
P103211301;P103211301_23;W;11110;1234;0;12120;2440;2370
P103211301;P103211301_24;X;11110;0;0;12120;1206;1185
P103211301;P103211301_25;Y;12120;0;0;13326;1010;1185
P103211301;P103211301_26;Z;12120;1430;0;13326;2440;385
P101211301;P101211301_1;A;0;0;0;1010;1206;2370
P101211301;P101211301_2;B;0;1234;0;1010;2440;2370
P101211301;P101211301_3;C;1010;1234;0;2020;2440;2436
P101211301;P101211301_4;D;1010;0;0;2020;1206;2495
P101211301;P101211301_5;E;2020;0;0;3030;1206;2370
P101211301;P101211301_6;F;2020;1234;0;3030;2440;2040
P101211301;P101211301_7;G;3030;1234;0;4040;2440;1185
P101211301;P101211301_8;H;3030;0;0;4040;1206;1185
P101211301;P101211301_9;I;4040;0;0;5050;1206;2370
P101211301;P101211301_10;J;4040;1234;0;5050;2440;2370
P101211301;P101211301_11;K;5050;1234;0;6060;2440;2370
P101211301;P101211301_12;L;5050;0;0;6060;1206;2370
P101211301;P101211301_13;M;6060;0;0;7070;1206;2370
P101211301;P101211301_14;N;6060;1234;0;7070;2440;2370
P101211301;P101211301_15;O;7070;1234;0;8080;2440;2125
P101211301;P101211301_16;P;7070;0;0;8080;1206;1185
P096211301;P096211301_1;A;0;0;0;1010;1206;2370
P096211301;P096211301_2;B;0;1234;0;1010;2440;2370
P096211301;P096211301_3;C;1010;1234;0;2020;2440;2425
P096211301;P096211301_4;D;1010;0;0;2020;1206;2539
P096211301;P096211301_5;E;2020;0;0;3020;1200;1045
P096211301;P096211301_6;F;2020;1234;0;3030;2440;2325
P096211301;P096211301_7;G;3020;0;0;4030;1206;2370
P096211301;P096211301_8;H;3030;1234;0;4040;2440;2151
P096211301;P096211301_9;I;4030;0;0;5040;1206;1185
P096211301;P096211301_10;J;4040;1234;0;5050;2440;2370
P096211301;P096211301_11;K;5040;0;0;6050;1206;2370
P096211301;P096211301_12;L;5050;1234;0;6060;2440;2370
P096211301;P096211301_13;M;6050;0;0;7060;1206;2370
P096211301;P096211301_14;N;6060;1234;0;7070;2440;2370
P096211301;P096211301_15;O;7060;0;0;8070;1206;1185
P096211301;P096211301_16;P;7070;1234;0;8080;2440;2125
