Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P101211301;8080;9785.78;41.3909;10293.3;7778.25
P103211301;13326;16079.3;68.1626;10179.1;14202
P108211301;11110;11480.7;51.3364;9985.44;9824.48
P110211301;13326;16738.9;68.4562;10180;14860.6
P068211301;3030;3377.4;14.6594;7215.91;4881.56
P075211301;4040;4668.75;17.4134;8064.54;5204.5
P080211301;7070;7975.78;33.697;9442.67;6938.9
P082211301;13326;16074.5;66.0578;10704.9;13597.3
P087211301;9090;9595.77;42.3958;9857.73;8085.24
P089211301;13326;16180.4;68.3587;9924.53;14593.7
P094211301;9090;9796.7;41.3726;9980.9;8145.62
P096211301;10100;11823.2;50.6768;10404.9;9688.25
P065212801;11000;16443;27.984;11134.3;13475.7
P065212805;13200;18849.3;33.072;9990.61;17187.2
P066212805;10000;13968.6;24.168;11416.2;10679.7
P066212803;13040;20173.2;35.781;11243.1;17081.8
P067212801;13200;18797.8;33.072;10131.7;16974.6
P068212801;12000;17021.8;29.256;11026.1;14178
P068212805;13200;18949.4;33.072;10661.8;16521.3
P068212803;13090;20274.7;36.333;10618.2;17896.4
P069212805;11000;15870.3;27.984;10980.9;13078
P072212801;10000;14453.5;25.44;11227.3;11380.1
P072212805;13200;19125.8;33.072;10243.9;17174.6
P073212803;13260;18263.4;33.126;10255.8;16298.6
P073212805;13200;19576.2;33.072;10532.4;17295.8
P074212801;13200;19294.6;33.072;10263;17321.7
P074212805;13200;18890.7;33.072;10164;17030.7
P075212801;13200;19683.4;33.072;10122.6;17870.7
P075212803;13470;19946.6;36.0015;10686.7;17490.2
P076212805;13200;18114.3;31.8;10382.5;16004.9
P079212801;9000;12459.7;21.624;11263.9;9344.5
P079212805;13200;19164.7;33.072;10296;17154
P080212803;13250;20022.4;36.1125;11212.1;16966.3
P080212805;13200;19616.8;33.072;10452.3;17427.9
P081212801;13200;19092.7;33.072;10365.4;17002.9
P081212805;13200;19231.3;33.072;10283.4;17235
P082212801;13200;18792.8;33.072;10175.5;16919.6
