Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P108211301;9090;10598.6;46.659;9875.75;9067.5
P110211301;13326;16226.7;68.6876;10144.6;14388.9
P073211301;3030;2515.18;13.6605;6492.27;4845.12
P075211301;5050;3879.25;21.0481;7478.35;5083.94
P080211301;2020;2544.92;9.80538;6580.76;4773.88
P082211301;7070;8386.58;34.5759;9751.13;6997.7
P087211301;9090;9788.06;43.1266;9857.41;8277.9
P089211301;13326;15240.2;64.3757;9710.53;13897.7
P094211301;9090;10011.9;42.4872;10174.5;8139.96
P096211301;9090;11277.6;47.0427;10718;8785.39
P101211301;10090;10784.3;46.0007;10012.6;9097.07
P103211301;13326;15536.4;65.0883;10100.9;13748.4
P075210701;11020;19868.3;60.3136;11170.1;16860.2
P076210707;12010;23935.6;71.0348;11912.8;20080
P079210701;13020;20146.2;61.3756;8602.24;20068.4
P080210707;13200;23982.8;70.7614;10937.7;21239.9
P086210701;12010;19364.3;59.471;11234.4;16282.9
P087210707;13200;23973.5;70.38;10059.3;22233
P089210701;11010;17105.9;52.0122;11645.6;13555.1
P090210707;13200;23982.9;70.7074;11360;20758
P093210701;13030;18275.7;55.7956;8019.97;18862.3
P094210707;13206;23958.3;71.0888;11665.4;20384.9
P072210701;11020;18039.4;54.0248;10632.6;15644.7
P073210707;12010;22726.2;67.6868;11693.4;19120.8
P074210701;12010;20360.3;61.1562;10337.1;18302.8
P081210701;13010;23091.5;68.7488;9890.9;21543.2
P082210701;10010;16891;50.5688;11318.9;13713
P083210707;13210;23283.8;70.1382;10556.3;20976
P088210701;12010;21411.6;64.5582;11840.5;17638.5
P095210701;12010;20366.6;60.7748;10325.2;18322.6
P096210701;12010;18738;56.3108;9916.69;17160.2
P097210707;13020;23732.2;71.6356;9463.93;22671
P067010019;13200;27665.1;32.868;11966.6;23748
P068010011;13040;27276.6;44.23;10972.4;24494
P075010011;13090;26335.6;66.4763;8305.77;26596.1
P076010013;13000;24704.4;28.35;10967.8;21927.1
P079010017;13200;25712.4;27.858;11483.3;22346.9
