Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P076041117;P076041117_1;A;0;0;0;1200;2400;2935
P076041117;P076041117_2;B;1200;0;0;2400;2400;2935
P076041117;P076041117_3;C;2400;0;0;3600;2400;2935
P076041117;P076041117_4;D;3600;0;0;4800;2400;2935
P076041117;P076041117_5;E;4800;0;0;6000;2400;2935
P076041117;P076041117_6;F;6000;0;0;7200;2400;2935
P076041117;P076041117_7;G;7200;1240;0;9000;2440;2935
P076041117;P076041117_8;H;7200;0;0;9000;1200;2935
P076041117;P076041117_9;I;9000;0;0;10800;1200;2935
P076041117;P076041117_10;J;9000;1240;0;10800;2440;2935
P076041117;P076041117_11;K;10800;1240;0;12600;2440;2935
P076041117;P076041117_12;L;10800;0;0;12600;1200;2935
P076041117;P076041117_13;M;12600;0;0;13400;600;2632
P076041117;P076041117_14;N;12600;600;0;13400;1200;2632
P076041117;P076041117_15;O;12600;1200;0;13400;1800;2632
P076041117;P076041117_16;P;12600;1840;0;13400;2440;2632
P076041109;P076041109_1;A;0;0;0;1800;1200;2935
P076041109;P076041109_2;B;0;1240;0;1800;2440;2935
P076041109;P076041109_3;C;1800;1240;0;3600;2440;2935
P076041109;P076041109_4;D;1800;0;0;3600;1200;2935
P076041109;P076041109_5;E;3600;0;0;5400;1200;2935
P076041109;P076041109_6;F;3600;1240;0;5400;2440;2935
P076041109;P076041109_7;G;5400;1240;0;7200;2440;2935
P076041109;P076041109_8;H;5400;0;0;7200;1200;2935
P076041109;P076041109_9;I;7200;0;0;9000;1200;2935
P076041109;P076041109_10;J;7200;1240;0;9000;2440;2935
P076041109;P076041109_11;K;9000;1240;0;10600;2440;2700
P076041109;P076041109_12;L;9000;0;0;10600;1200;2865
P076041109;P076041109_13;M;10600;0;0;12200;1200;2865
P076041109;P076041109_14;N;10600;1240;0;12000;2440;2655
P076041109;P076041109_15;O;12000;1240;0;13400;2440;2655
P076041109;P076041109_16;P;12200;0;0;13200;1200;2835
P076041107;P076041107_1;A;0;0;0;1400;1200;2655
P076041107;P076041107_2;B;0;1240;0;1400;2440;2655
P076041107;P076041107_3;C;1400;1240;0;2800;2440;2655
P076041107;P076041107_4;D;1400;0;0;2800;1200;2655
P076041107;P076041107_5;E;2800;0;0;4200;1200;2655
P076041107;P076041107_6;F;2800;1240;0;4400;2440;2865
P076041107;P076041107_7;G;4200;0;0;5800;1200;2865
P076041107;P076041107_8;H;4400;1240;0;5400;2440;2835
P076041107;P076041107_9;I;5400;1240;0;6400;2440;2835
P076041107;P076041107_10;J;5800;0;0;7400;1200;2865
P076041107;P076041107_11;K;6400;1240;0;7800;2440;2655
P076041107;P076041107_12;L;7400;0;0;8800;1200;2655
P076041107;P076041107_13;M;7800;1240;0;9400;2440;2865
P076041107;P076041107_14;N;8800;0;0;9800;1200;2835
P076041107;P076041107_15;O;9400;1240;0;10400;2440;2835
P076041107;P076041107_16;P;9800;0;0;10800;1200;2835
P076041107;P076041107_17;Q;10400;1240;0;11400;2440;2835
P076041107;P076041107_18;R;10800;0;0;11800;1200;2835
P076041107;P076041107_19;S;11400;1240;0;12400;2440;2835
P076041107;P076041107_20;T;11800;0;0;12800;1200;2835
P076041107;P076041107_21;U;12400;1240;0;13400;2440;2385
P076041107;P076041107_22;V;12800;0;0;13370;780;1771
P076041105;P076041105_1;A;0;0;0;570;780;1771
P076041105;P076041105_2;B;0;780;0;570;1560;1771
P076041105;P076041105_3;C;0;1660;0;570;2440;478
P076041105;P076041105_4;D;570;1240;0;1570;2440;2835
P076041105;P076041105_5;E;570;0;0;1570;1200;2865
P076041105;P076041105_6;F;1570;0;0;2570;1200;2385
P076041105;P076041105_7;G;1570;1240;0;2570;2440;2835
P076041105;P076041105_8;H;2570;1240;0;3570;2440;2835
P076041105;P076041105_9;I;2570;0;0;3570;1200;2835
P076041105;P076041105_10;J;3570;0;0;4570;1200;2865
P076041105;P076041105_11;K;3570;1240;0;4570;2440;2865
P076041105;P076041105_12;L;4570;1640;0;5170;2440;2632
P076041105;P076041105_13;M;4570;0;0;5770;1600;2865
P076041105;P076041105_14;N;5170;1640;0;5770;2440;2632
P076041105;P076041105_15;O;5770;0;0;7370;1200;2340
P076041105;P076041105_16;P;5770;1240;0;7170;2440;2655
P076041105;P076041105_17;Q;7170;1240;0;8170;2440;2835
P076041105;P076041105_18;R;7370;0;0;9170;1200;2935
P076041105;P076041105_19;S;8170;1240;0;9170;2440;2835
P076041105;P076041105_20;T;9170;1240;0;10570;2440;2655
P076041105;P076041105_21;U;9170;0;0;10170;1200;2610
P076041105;P076041105_22;V;10170;0;0;11970;1200;2935
P076041105;P076041105_23;W;10570;1240;0;12370;2440;2935
P076041105;P076041105_24;X;11970;0;0;13370;1200;2655
P076041105;P076041105_25;Y;12370;1240;0;13370;2440;2835
P076041103;P076041103_1;A;0;0;0;1200;2400;2935
P076041103;P076041103_2;B;1200;0;0;2800;1200;2340
P076041103;P076041103_3;C;1200;1240;0;3000;2440;2935
P076041103;P076041103_4;D;2800;0;0;3800;1200;2610
P076041103;P076041103_5;E;3000;1240;0;4600;2440;2865
P076041103;P076041103_6;F;3800;0;0;5600;1200;2935
P076041103;P076041103_7;G;4600;1240;0;5600;2440;2835
P076041103;P076041103_8;H;5600;1240;0;7400;2440;2935
P076041103;P076041103_9;I;5600;0;0;7000;1200;2655
P076041103;P076041103_10;J;7000;0;0;8000;1200;2610
P076041103;P076041103_11;K;7400;1200;0;8200;1800;2632
P076041103;P076041103_12;L;7400;1840;0;8200;2440;1596
P076041103;P076041103_13;M;8000;0;0;9800;1200;2935
P076041103;P076041103_14;N;8200;1240;0;10600;2440;2935
P076041103;P076041103_15;O;9800;0;0;11400;1200;2865
P076041103;P076041103_16;P;10600;1240;0;12400;2440;2935
P076041103;P076041103_17;Q;11400;0;0;13200;1200;2935
P076041103;P076041103_18;R;12400;1240;0;13400;2440;2610
P076041101;P076041101_1;A;0;1240;0;1600;2440;2520
P076041101;P076041101_2;B;0;0;0;1400;1200;2655
P076041101;P076041101_3;C;1400;0;0;2400;1200;2835
P076041101;P076041101_4;D;1600;1240;0;2600;2440;2610
P076041101;P076041101_5;E;2400;0;0;3400;1200;2835
P076041101;P076041101_6;F;2600;1240;0;3600;2440;2865
P076041101;P076041101_7;G;3400;0;0;5200;1200;2935
P076041101;P076041101_8;H;3600;1240;0;5200;2440;2865
P076041101;P076041101_9;I;5200;0;0;6600;1200;2655
P076041101;P076041101_10;J;5200;1240;0;7000;2440;2935
P076041101;P076041101_11;K;6600;0;0;9000;1200;2935
P076041101;P076041101_12;L;7000;1240;0;8000;2440;2835
P076041101;P076041101_13;M;8000;1240;0;10400;2440;2935
P076041101;P076041101_14;N;9000;0;0;10000;1200;2835
P076041101;P076041101_15;O;10000;0;0;11600;1200;2865
P076041101;P076041101_16;P;10400;1240;0;11800;2440;2655
P076041101;P076041101_17;Q;11600;0;0;13400;1200;2935
P076041101;P076041101_18;R;11800;1240;0;13200;2440;2655
P075041117;P075041117_1;A;0;1240;0;1800;2440;2935
P075041117;P075041117_2;B;0;0;0;1000;1200;2835
P075041117;P075041117_3;C;1000;0;0;2800;1200;2935
P075041117;P075041117_4;D;1800;1240;0;4200;2440;2935
P075041117;P075041117_5;E;2800;0;0;5200;1200;2935
P075041117;P075041117_6;F;4200;1240;0;6600;2440;2935
P075041117;P075041117_7;G;5200;0;0;7000;1200;2935
P075041117;P075041117_8;H;6600;1240;0;8400;2440;2935
P075041117;P075041117_9;I;7000;0;0;8800;1200;2935
P075041117;P075041117_10;J;8400;1240;0;10200;2440;2935
P075041117;P075041117_11;K;8800;0;0;10600;1200;2935
P075041117;P075041117_12;L;10200;1240;0;12000;2440;2935
P075041117;P075041117_13;M;10600;0;0;12400;1200;2935
P075041117;P075041117_14;N;12000;1240;0;13400;2440;2655
P075041117;P075041117_15;O;12400;0;0;13400;1200;2835
P075041115;P075041115_1;A;0;0;0;1800;1200;2935
P075041115;P075041115_2;B;0;1240;0;1000;2440;2835
P075041115;P075041115_3;C;1000;1240;0;2800;2440;2935
P075041115;P075041115_4;D;1800;0;0;3600;1200;2935
P075041115;P075041115_5;E;2800;1240;0;4600;2440;2935
P075041115;P075041115_6;F;3600;0;0;5400;1200;2935
P075041115;P075041115_7;G;4600;1240;0;6400;2440;2935
P075041115;P075041115_8;H;5400;0;0;7200;1200;2935
P075041115;P075041115_9;I;6400;1240;0;8200;2440;2935
P075041115;P075041115_10;J;7200;0;0;9000;1200;2935
P075041115;P075041115_11;K;8200;1240;0;9800;2440;2865
P075041115;P075041115_12;L;9000;0;0;10000;1200;2835
P075041115;P075041115_13;M;9800;1240;0;10800;2440;2835
P075041115;P075041115_14;N;10000;0;0;11000;1200;2835
P075041115;P075041115_15;O;10800;1240;0;11800;2440;2835
P075041115;P075041115_16;P;11000;0;0;12000;1200;2835
P075041115;P075041115_17;Q;11800;1240;0;12800;2440;2835
P075041115;P075041115_18;R;12000;0;0;13000;1200;2835
P075041115;P075041115_19;S;12800;1640;0;13400;2440;2632
P075041113;P075041113_1;A;0;1240;0;1400;2440;2655
P075041113;P075041113_2;B;0;0;0;1400;1200;2655
P075041113;P075041113_3;C;1400;0;0;2800;1200;2655
P075041113;P075041113_4;D;1400;1240;0;2800;2440;2655
P075041113;P075041113_5;E;2800;1240;0;4200;2440;2655
P075041113;P075041113_6;F;2800;0;0;4200;1200;2655
P075041113;P075041113_7;G;4200;0;0;5600;1200;2655
P075041113;P075041113_8;H;4200;1240;0;5800;2440;2700
P075041113;P075041113_9;I;5600;0;0;6600;1200;2385
P075041113;P075041113_10;J;5800;1240;0;8200;2440;2935
P075041113;P075041113_11;K;6600;0;0;8200;1200;2865
P075041113;P075041113_12;L;8200;1240;0;9800;2440;2865
P075041113;P075041113_13;M;8200;0;0;9800;1200;2865
P075041113;P075041113_14;N;9800;0;0;11400;1200;2865
P075041113;P075041113_15;O;9800;1240;0;10800;2440;2835
P075041113;P075041113_16;P;10800;1240;0;11800;2440;2835
P075041113;P075041113_17;Q;11400;0;0;12400;1200;2835
P075041113;P075041113_18;R;11800;1240;0;13400;2440;2865
P075041113;P075041113_19;S;12400;0;0;13400;1200;2835
P075041111;P075041111_1;A;0;0;0;600;800;2632
