Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P065041101;13200;6562.01;83.6748;6408.53;8987.5
P065041103;13400;11650.7;89.9892;7635.75;12675.8
P065041105;13400;10236.6;89.9563;6828.2;12183.1
P065041107;13400;11973.7;91.1736;7355.81;13318.2
P065041111;13400;14029.6;91.1839;9105.76;13377.2
P065041113;13400;9762.77;90.9211;5847.3;12828.7
P065041117;13400;9821.85;91.7064;6863.54;11728.1
P066041101;13400;12616.2;89.8879;7081.01;14274.3
P066041103;13370;11682.9;86.2865;7690.71;12645.3
P066041105;13200;10170.3;90.0931;7327.23;11547.4
P066041107;13400;12240.7;90.4529;8525;12251.1
P066041109;13400;12138.5;90.1332;8491.64;12186.9
P066041111;13400;12745.4;90.5899;8490.6;12795
P066041115;13400;9806.84;93.0125;5895.89;12817.3
P066041117;13400;11695.3;91.4976;6244.62;14307.8
P067041101;13400;10170.9;88.9258;6933.81;11996.9
P067041103;13370;13255;88.0232;9326.32;12350.9
P067041105;13400;9892.65;89.9604;7549.05;11016.7
P067041107;13400;10936.2;89.4019;7749.54;11831.4
P067041109;13400;10979.3;91.368;6897.54;12846.8
P067041111;13400;15226.1;88.8223;6950.08;17033.7
P067041113;13400;10512.7;92.3467;6768.34;12527.6
P067041115;13400;9721.85;93.031;6163.14;12427.4
P068041101;13400;11762.2;88.12;7553.1;12881.6
P068041103;13400;11573.6;89.3263;7112.36;13195.9
P068041105;13400;12407.8;90.5652;8668.22;12254.6
P068041107;13400;9989.11;91.3498;6484.68;12327.7
P068041109;13400;13584.9;85.5284;7724.81;14508.3
P068041111;13400;10951;91.8571;6451.11;13327.9
P068041113;13400;8159.77;92.25;5831.02;11244.3
P069041101;13400;12795.7;88.5806;7951.84;13460
P069041103;13400;12550.5;89.2656;7231.18;14037.3
P069041105;13400;12383.4;87.6052;7229.43;13872.1
P069041111;13400;12446.6;89.1178;8207.75;12818.9
P069041115;13400;13852.3;89.6676;6343.66;16351.8
P069041117;13400;8183.76;93.4092;6271.35;10765.8
P072041101;13200;12155.2;86.7121;8615.76;12061.9
P072041103;13400;10824.5;86.0436;7204.48;12341.7
P072041105;13400;12354.8;89.6203;7026.83;14074.7
P072041109;13400;12719.9;89.0635;9172.96;11990.8
P072041111;13170;13071;86.0263;7989.87;13692
P072041113;13400;9785.56;92.1631;7831.15;10587.6
P073041101;13400;11026.2;88.3433;6682.22;13139.4
P073041103;13400;12105.2;89.9388;7588.96;13183.6
P073041105;13400;10658;88.8548;7129.46;12260.8
P073041107;13400;9970.6;88.938;6162.53;12676.8
P073041109;13400;13175.5;90.2335;7322.26;14558.3
