Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P076041117;P076041117_1;A;0;1240;0;1800;2440;2935
P076041117;P076041117_2;B;0;0;0;1800;1200;2935
P076041117;P076041117_3;C;1800;0;0;3600;1200;2935
P076041117;P076041117_4;D;1800;1240;0;3600;2440;2935
P076041117;P076041117_5;E;3600;1240;0;5400;2440;2935
P076041117;P076041117_6;F;3600;0;0;5400;1200;2935
P076041117;P076041117_7;G;5400;0;0;7200;1200;2935
P076041117;P076041117_8;H;5400;1240;0;7200;2440;2935
P076041117;P076041117_9;I;7200;0;0;8400;2400;2935
P076041117;P076041117_10;J;8400;0;0;9600;2400;2935
P076041117;P076041117_11;K;9600;0;0;10800;2400;2935
P076041117;P076041117_12;L;10800;0;0;12600;1200;2935
P076041117;P076041117_13;M;10800;1240;0;12600;2440;2935
P076041117;P076041117_14;N;12600;1840;0;13400;2440;2632
P076041117;P076041117_15;O;12600;0;0;13400;600;2632
P076041117;P076041117_16;P;12600;600;0;13400;1200;2632
P076041117;P076041117_17;Q;12600;1200;0;13400;1800;2632
P076041111;P076041111_1;A;0;0;0;1200;2400;2935
P076041111;P076041111_2;B;1200;0;0;2400;2400;2935
P076041111;P076041111_3;C;2400;0;0;3600;2400;2935
P076041111;P076041111_4;D;3600;1240;0;5400;2440;2935
P076041111;P076041111_5;E;3600;0;0;5400;1200;2935
P076041111;P076041111_6;F;5400;0;0;7200;1200;2935
P076041111;P076041111_7;G;5400;1240;0;7200;2440;2935
P076041111;P076041111_8;H;7200;1240;0;9000;2440;2935
P076041111;P076041111_9;I;7200;0;0;9000;1200;2935
P076041111;P076041111_10;J;9000;0;0;10400;1200;2655
P076041111;P076041111_11;K;9000;1240;0;10400;2440;2655
P076041111;P076041111_12;L;10400;1240;0;11800;2440;2655
P076041111;P076041111_13;M;10400;0;0;11800;1200;2655
P076041111;P076041111_14;N;11800;0;0;13200;1200;2655
P076041111;P076041111_15;O;11800;1240;0;13400;2440;2865
P076041109;P076041109_1;A;0;1240;0;1400;2440;2655
P076041109;P076041109_2;B;0;0;0;1400;1200;2655
P076041109;P076041109_3;C;1400;0;0;2800;1200;2655
P076041109;P076041109_4;D;1400;1240;0;2800;2440;2655
P076041109;P076041109_5;E;2800;1240;0;4400;2440;2700
P076041109;P076041109_6;F;2800;0;0;4400;1200;2340
P076041109;P076041109_7;G;4400;0;0;6000;1200;2865
P076041109;P076041109_8;H;4400;1240;0;5400;2440;2835
P076041109;P076041109_9;I;5400;1240;0;6400;2440;2835
P076041109;P076041109_10;J;6000;0;0;7000;1200;2835
P076041109;P076041109_11;K;6400;1240;0;7400;2440;2835
P076041109;P076041109_12;L;7000;0;0;8000;1200;2835
P076041109;P076041109_13;M;7400;1240;0;8400;2440;2835
P076041109;P076041109_14;N;8000;0;0;9000;1200;2835
P076041109;P076041109_15;O;8400;1240;0;9400;2440;2835
P076041109;P076041109_16;P;9000;0;0;10600;1200;2865
P076041109;P076041109_17;Q;9400;1240;0;11000;2440;2865
P076041109;P076041109_18;R;10600;0;0;12200;1200;2865
P076041109;P076041109_19;S;11000;1240;0;12600;2440;2865
P076041109;P076041109_20;T;12200;0;0;13200;1200;2835
P076041109;P076041109_21;U;12600;1200;0;13400;1800;2632
P076041109;P076041109_22;V;12600;1840;0;13400;2440;2632
P076041107;P076041107_1;A;0;1660;0;570;2440;1771
P076041107;P076041107_2;B;0;0;0;570;780;1771
P076041107;P076041107_3;C;0;780;0;570;1560;478
P076041107;P076041107_4;D;570;0;0;1570;1200;2865
P076041107;P076041107_5;E;570;1240;0;1570;2440;2835
P076041107;P076041107_6;F;1570;1240;0;2570;2440;2835
P076041107;P076041107_7;G;1570;0;0;2570;1200;2835
P076041107;P076041107_8;H;2570;0;0;3570;1200;2835
P076041107;P076041107_9;I;2570;1240;0;3570;2440;2835
P076041107;P076041107_10;J;3570;1240;0;4570;2440;2385
P076041107;P076041107_11;K;3570;0;0;4570;1200;2865
P076041107;P076041107_12;L;4570;0;0;6170;1200;2865
P076041107;P076041107_13;M;4570;1240;0;5570;2440;2865
P076041107;P076041107_14;N;5570;1240;0;6570;2440;2385
P076041107;P076041107_15;O;6170;0;0;7570;1200;2655
P076041107;P076041107_16;P;6570;1240;0;7570;2440;2835
P076041107;P076041107_17;Q;7570;1240;0;8570;2440;2835
P076041107;P076041107_18;R;7570;0;0;9370;1200;2935
P076041107;P076041107_19;S;8570;1240;0;9970;2440;2655
P076041107;P076041107_20;T;9370;0;0;11170;1200;2935
P076041107;P076041107_21;U;9970;1240;0;12370;2440;2935
P076041107;P076041107_22;V;11170;0;0;12170;1200;2610
P076041107;P076041107_23;W;12170;0;0;13170;1200;2835
P076041107;P076041107_24;X;12370;1240;0;13370;2440;2835
P076041105;P076041105_1;A;0;1240;0;1800;2440;2935
P076041105;P076041105_2;B;0;0;0;1600;1200;2340
P076041105;P076041105_3;C;1600;0;0;3000;1200;2655
P076041105;P076041105_4;D;1800;1240;0;3600;2440;2935
P076041105;P076041105_5;E;3000;0;0;4800;1200;2935
P076041105;P076041105_6;F;3600;1240;0;5200;2440;2865
P076041105;P076041105_7;G;4800;0;0;5800;1200;2610
P076041105;P076041105_8;H;5200;1240;0;7600;2440;2935
P076041105;P076041105_9;I;5800;0;0;7600;1200;2935
P076041105;P076041105_10;J;7600;0;0;9000;1200;2655
P076041105;P076041105_11;K;7600;1240;0;9400;2440;2935
P076041105;P076041105_12;L;9000;0;0;10600;1200;2340
P076041105;P076041105_13;M;9400;1240;0;10400;2440;2610
P076041105;P076041105_14;N;10400;1200;0;11200;1800;2632
P076041105;P076041105_15;O;10600;0;0;12400;1200;2935
P076041105;P076041105_16;P;11200;1240;0;13000;2440;2935
P076041105;P076041105_17;Q;12400;0;0;13400;1200;2835
P076041101;P076041101_1;A;0;0;0;1400;1200;2655
P076041101;P076041101_2;B;0;1240;0;1000;2440;2865
P076041101;P076041101_3;C;1000;1240;0;2600;2440;2865
P076041101;P076041101_4;D;1400;0;0;2400;1200;2835
P076041101;P076041101_5;E;2400;0;0;3400;1200;2835
P076041101;P076041101_6;F;2600;1240;0;5000;2440;2935
P076041101;P076041101_7;G;3400;0;0;5200;1200;2935
P076041101;P076041101_8;H;5000;1240;0;6400;2440;2655
P076041101;P076041101_9;I;5200;0;0;7600;1200;2935
P076041101;P076041101_10;J;6400;1240;0;8200;2440;2935
P076041101;P076041101_11;K;7600;0;0;9200;1200;2865
P076041101;P076041101_12;L;8200;1240;0;9200;2440;2835
P076041101;P076041101_13;M;9200;1240;0;10200;2440;2385
P076041101;P076041101_14;N;9200;0;0;10600;1200;2655
P076041101;P076041101_15;O;10200;1240;0;12000;2440;2935
P076041101;P076041101_16;P;10600;0;0;11400;600;1596
P076041101;P076041101_17;Q;11400;0;0;12400;1200;2835
P076041101;P076041101_18;R;12000;1240;0;13400;2440;2655
P076041101;P076041101_19;S;12400;0;0;13400;1200;2835
P075041115;P075041115_1;A;0;1240;0;1600;2440;2865
P075041115;P075041115_2;B;0;0;0;1800;1200;2935
P075041115;P075041115_3;C;1600;1240;0;3200;2440;2520
P075041115;P075041115_4;D;1800;0;0;2800;1200;2610
P075041115;P075041115_5;E;2800;0;0;4600;1200;2935
P075041115;P075041115_6;F;3200;1240;0;5600;2440;2935
P075041115;P075041115_7;G;4600;0;0;7000;1200;2935
P075041115;P075041115_8;H;5600;1240;0;8000;2440;2935
P075041115;P075041115_9;I;7000;0;0;8800;1200;2935
P075041115;P075041115_10;J;8000;1240;0;9800;2440;2935
P075041115;P075041115_11;K;8800;0;0;10600;1200;2935
P075041115;P075041115_12;L;9800;1240;0;11600;2440;2935
P075041115;P075041115_13;M;10600;0;0;12400;1200;2935
P075041115;P075041115_14;N;11600;1240;0;13400;2440;2935
P075041115;P075041115_15;O;12400;0;0;13400;1200;2835
P075041113;P075041113_1;A;0;0;0;1800;1200;2935
P075041113;P075041113_2;B;0;1240;0;1800;2440;2935
P075041113;P075041113_3;C;1800;1240;0;3600;2440;2935
P075041113;P075041113_4;D;1800;0;0;3600;1200;2935
P075041113;P075041113_5;E;3600;0;0;5400;1200;2935
P075041113;P075041113_6;F;3600;1240;0;5400;2440;2935
P075041113;P075041113_7;G;5400;1240;0;7200;2440;2935
P075041113;P075041113_8;H;5400;0;0;7800;1200;2935
P075041113;P075041113_9;I;7200;1240;0;9600;2440;2935
P075041113;P075041113_10;J;7800;0;0;8800;1200;2835
P075041113;P075041113_11;K;8800;0;0;9800;1200;2835
P075041113;P075041113_12;L;9600;1240;0;10600;2440;2835
P075041113;P075041113_13;M;9800;0;0;11400;1200;2520
P075041113;P075041113_14;N;10600;1240;0;11600;2440;2835
P075041113;P075041113_15;O;11400;0;0;12400;1200;2835
P075041113;P075041113_16;P;11600;1240;0;12600;2440;2835
P075041113;P075041113_17;Q;12400;0;0;13400;1200;2835
P075041113;P075041113_18;R;12600;1200;0;13400;1800;2632
P075041113;P075041113_19;S;12600;1840;0;13400;2440;2632
P075041111;P075041111_1;A;0;0;0;1400;1200;2655
P075041111;P075041111_2;B;0;1240;0;1400;2440;2655
P075041111;P075041111_3;C;1400;1240;0;2800;2440;2655
P075041111;P075041111_4;D;1400;0;0;2800;1200;2655
P075041111;P075041111_5;E;2800;0;0;4200;1200;2655
P075041111;P075041111_6;F;2800;1240;0;4200;2440;2655
P075041111;P075041111_7;G;4200;1240;0;5600;2440;2655
P075041111;P075041111_8;H;4200;0;0;5800;1200;2865
P075041111;P075041111_9;I;5600;1240;0;7200;2440;2865
P075041111;P075041111_10;J;5800;0;0;6800;1200;2835
P075041111;P075041111_11;K;6800;0;0;7800;1200;2835
P075041111;P075041111_12;L;7200;1240;0;8800;2440;2865
P075041111;P075041111_13;M;7800;0;0;9400;1200;2865
P075041111;P075041111_14;N;8800;1240;0;9800;2440;2385
P075041111;P075041111_15;O;9400;0;0;10400;1200;2835
P075041111;P075041111_16;P;9800;1240;0;10800;2440;2865
P075041111;P075041111_17;Q;10400;0;0;12000;1200;2865
P075041111;P075041111_18;R;10800;1240;0;11800;2440;2865
P075041111;P075041111_19;S;11800;1240;0;12800;2440;2385
P075041111;P075041111_20;T;12000;0;0;12800;600;2632
P075041111;P075041111_21;U;12000;640;0;12800;1240;2632
P075041111;P075041111_22;V;12800;0;0;13370;780;1771
P075041111;P075041111_23;W;12800;780;0;13370;1560;478
P075041111;P075041111_24;X;12800;1640;0;13400;2440;2632
P075041109;P075041109_1;A;0;0;0;1200;2400;2935
P075041109;P075041109_2;B;1200;1240;0;3000;2440;2935
P075041109;P075041109_3;C;1200;0;0;3000;1200;2935
P075041109;P075041109_4;D;3000;0;0;4800;1200;2935
P075041109;P075041109_5;E;3000;1240;0;4600;2440;2340
P075041109;P075041109_6;F;4600;1240;0;6000;2440;2655
P075041109;P075041109_7;G;4800;0;0;6200;1200;2655
P075041109;P075041109_8;H;6000;1240;0;7000;2440;2835
P075041109;P075041109_9;I;6200;0;0;7800;1200;2865
P075041109;P075041109_10;J;7000;1240;0;8000;2440;2835
P075041109;P075041109_11;K;7800;0;0;8800;1200;2610
P075041109;P075041109_12;L;8000;1240;0;10400;2440;2935
P075041109;P075041109_13;M;8800;0;0;10600;1200;2935
P075041109;P075041109_14;N;10400;1240;0;12200;2440;2935
P075041109;P075041109_15;O;10600;0;0;12400;1200;2935
P075041109;P075041109_16;P;12200;1240;0;13200;2440;2835
P075041109;P075041109_17;Q;12400;0;0;13400;1200;2835
P075041107;P075041107_1;A;0;0;0;1400;1200;2655
P075041107;P075041107_2;B;0;1240;0;1600;2440;2865
P075041107;P075041107_3;C;1400;0;0;2200;600;2632
P075041107;P075041107_4;D;1400;640;0;2200;1240;2632
P075041107;P075041107_5;E;1600;1240;0;2600;2440;2385
P075041107;P075041107_6;F;2200;0;0;4000;1200;2935
P075041107;P075041107_7;G;2600;1240;0;4400;2440;2935
P075041107;P075041107_8;H;4000;0;0;6400;1200;2935
