Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P066041115;13400;8362.52;91.8;6548.75;10628
Q067041101_1;13400;9016.44;92.0628;5471.49;12511.2
P072041113;13400;10230.4;93.0708;7224.06;11725.2
P073041101;13400;12796;89.1206;7869.33;13554.5
Q073041101_1;13400;7639.27;91.026;5766.21;10797.7
P074041111;13400;9802.98;88.7858;8182.11;10204.6
P075041101;13400;11874.4;89.232;7393.56;13175.8
Q065041101_1;5400;2445.49;28.6416;6139.62;5177.85
P065041101;13000;8992.31;76.1832;7452.5;10226.5
P065041105;13400;10547.1;88.8943;7922.4;11245.1
P065041107;13400;10224.7;89.4924;6975.67;12003
P065041111;13400;11263.5;92.1204;6673.11;13387.1
P065041113;13400;14068.9;89.0455;7788.7;14919.5
P065041115;13400;9089.27;92.8039;6010.79;11968.7
Q066041101_1;13200;8654.39;86.4324;6319.39;11181.6
P066041101;13400;12500.5;88.5478;8145.57;12943.8
P066041103;13370;13262.4;88.4206;7395.98;14561
P066041105;13400;13648;88.901;9893.25;12096.9
P066041109;13400;9517.44;91.8792;7033.19;11230.1
P066041111;13400;11704.4;91.872;7959.17;12360.4
P066041113;13400;14384.8;89.1888;6525.52;16676.8
P067041101;13400;10748.8;89.4778;7191.09;12281.3
P067041103;13400;12354.7;87.7415;8499.61;12394
P067041105;13400;10455.5;89.3299;7327.35;11832.5
P067041107;13400;11992.7;89.3119;7622.18;13033.2
P067041109;13400;14659.4;90.1003;9217.88;13879
P067041111;13400;12833.1;88.2684;5743.86;16017.1
P067041115;13400;9610.54;92.5339;6898.61;11476.8
Q068041101_1;13200;7887.45;86.9976;5973.1;10809.8
P068041101;13400;12646.2;87.7492;7880.05;13392.5
P068041103;13400;10621.4;90.2374;6533.08;12904.8
P068041105;13400;13716;89.1826;9483.49;12632.5
P068041107;13400;10765.6;89.4672;7671.48;11749.9
P068041109;13400;14432.2;88.2853;7831.67;15233.7
P068041111;13400;9186.17;91.4616;6652.73;11333
P069041101;13400;12213.5;89.711;7892.9;12945.2
P069041105;13400;12314.2;87.3744;7402.2;13605.7
P069041107;13400;12817.5;87.9978;8625.87;12712.7
P069041111;13400;9454.91;91.4616;7234.64;10937.7
P069041113;13400;15058.1;86.9309;9919.79;13476.7
P069041117;13400;10001.8;91.2168;6218.08;12644.6
P072041101;11370;7957.48;66.333;7806.45;8787.76
P072041103;13400;11574.1;89.2068;7338.75;12938.1
P072041105;13200;10216.3;89.2728;6663.2;12351.1
P072041107;13400;12078.7;90.1433;7636.21;13103.2
P072041109;13400;12473.1;89.6323;8291.62;12749.8
P072041111;13370;12540.2;84.3048;7533.47;13682
P073041103;13400;11972.5;88.7359;6084.04;14768.3
P073041107;13370;11565.6;88.2716;7417.51;12839.7
P073041109;13400;12021.9;86.652;6992.62;13780.8
P073041113;13400;11776.2;88.9368;5711.7;14996.9
P073041117;13400;11287.6;92.6165;6135.97;14024.2
P074041101;13400;11269.9;90.3156;6868.11;13170.9
P074041103;13400;12765.5;88.6139;7234.25;14248.7
P074041105;13400;10531.9;89.6004;7778.35;11394.3
P074041107;13400;11718.4;90.745;8454.51;11809.2
P074041109;13400;14287.3;87.7679;5913.18;17278.1
Q075041101_1;13400;8339.38;90.9612;5970.47;11264.8
P075041105;13400;11128.2;84.5348;7652.23;12134.5
P075041107;13400;12124.7;89.6537;6635;14291.8
P075041109;13400;11466.2;90.5076;7909.02;12179.4
P075041111;13400;15184.6;86.1965;8056.74;15729.3
P075041113;13400;10119.5;90.828;5472.26;13613.5
P075041115;13400;10480.3;92.8363;6823.76;12432
P076041101;13400;11227.2;87.7277;7098.26;12865.7
P076041105;13400;10769.2;89.2078;6776.25;12775.1
P076041107;13370;15728.3;86.2536;10566.7;13408.7
P076041109;13400;11792.2;89.0496;6025.03;14655.3
P076041111;13400;10586.7;92.52;6632.94;12756.1
P076041117;13400;9303.14;93.8078;5423.96;12852.2
P090041113;13400;9099.49;93.4308;7098.95;10737.1
P093041101;13400;11845.1;90.8386;7462.12;13068.3
P086041101;11800;8560.62;63.1138;8530.95;8564.14
P086041105;12600;9905.62;77.8246;8185.02;10303.9
P086041107;13400;10579.7;91.0718;6889.04;12456.8
P086041109;13370;15653.9;87.1556;10171;13785.9
P086041111;13400;11456.3;89.1029;4937.89;15560
P086041115;13400;11863.3;92.2747;7057.21;13548.5
P086041117;13400;8725.83;93.6792;7049.31;10420.1
Q087041101_1;13000;7341.24;86.1012;5957.63;10281.3
P087041101;13400;11791.6;87.6956;8212.86;12158.1
P087041107;13400;10489.3;86.6304;7361.68;11827.2
P087041109;13410;14544.7;85.573;9629.79;13294.3
P087041111;13400;14599.1;89.9743;7546.9;15725.6
P087041113;13400;10867.6;93.8808;8109.28;11352.3
P087041117;13400;9918.24;91.6918;7170;11474.8
P088041101;13400;14599.7;90.5724;7083.53;16254.9
P088041103;13370;15793.5;86.7161;10777.9;13232.9
P088041105;13400;16671.5;90.3816;8538.84;16666
P088041107;13400;9509.54;93.9096;6212.9;12158.3
P088041115;13400;10039.1;92.4084;6647.17;12192.3
Q089041101_1;13200;7054.01;85.056;6135.46;9791.12
P089041101;13400;13806.6;90.6331;8005.07;14410.2
P089041103;13400;12819.6;87.7788;7612.77;13870.9
P089041105;13370;17738.6;87.6573;9620.7;16498.6
P089041111;13400;10291.4;93.5592;6283.64;12859.4
P089041117;13400;12117.6;91.1513;7401.09;13410.5
P090041101;13200;12217.5;89.6076;7894.05;12947.8
P090041105;13400;13038.8;90.3989;7570.97;14137.8
P090041107;13370;16921.9;87.3892;9552.81;15759.4
P090041111;13400;11586.2;92.6854;5977.41;14503.7
P093041105;13400;13448.7;90.4776;8374.15;13631.1
P093041107;13400;18142.9;87.2349;9869.5;16618.9
P093041109;13400;9112.76;93.4452;6419.57;11525.7
P093041115;13400;10673;91.7388;7887.93;11410.3
P094041101;13000;12182;87.6022;8730.38;11958
P094041107;13200;10934.2;89.5858;8167.85;11352.1
P094041109;13340;16309.1;85.5084;11056.9;13430.2
P094041111;13400;10902.2;91.8864;6933.01;12729.2
P094041113;13400;10025.2;93.8808;6854.76;11941.5
P094041115;13400;9359.01;91.7419;6473.67;11710.2
P095041101;13400;11555.1;90.6113;7257.03;13012.4
P095041105;13400;13836.4;87.1058;9164.61;13116.8
P095041107;13400;16242.8;89.8481;7736.22;17153.2
P095041111;13400;10393.6;93.852;7002.4;12141.4
P095041115;13400;10352.9;91.2166;7003.31;12099.6
P096041101;13400;12196.4;89.6076;7354.53;13542.3
P096041103;13400;12903.6;89.3978;8038.22;13469.4
P096041105;13400;17671.2;88.0088;10208.6;15760.3
P096041111;13400;10354.6;93.8443;6884.47;12237
P096041113;13400;9184.51;93.8664;7410.41;10466.7
P097041101;13400;11568;87.9797;7929.78;12257.5
P097041103;13400;11824.7;90.0396;7126.64;13430.7
P097041105;13370;17088.7;86.6281;10196.5;15191.6
P097041107;13400;10622.8;93.8808;5668.19;13893.2
P097041115;13400;9715.93;93.8808;7492.18;10904.8
P101041101;5400;3792.57;25.3608;7080.4;5451.37
P101041103;10000;8122.53;58.7261;9047.86;7536.18
P101041105;13400;12815.5;91.8031;8573.15;12770.8
P101041109;13400;11505.9;91.2996;8494.25;11551.3
P101041111;13400;16429.2;89.478;8415.97;16564
P101041115;13400;9094.5;93.5592;5512.62;12542.4
P101041117;13400;10908.1;93.6108;8237.84;11246.1
P102041101;13400;11984.1;88.9918;7934.43;12668.4
P102041103;13400;11352.7;90.0396;7948.76;12020.5
P102041105;13400;14117.9;91.7419;9242.09;13309.9
P102041107;13400;16562.3;90.4608;8881.09;16166.3
P102041111;13400;10771.7;93.042;6397.52;13209.7
P102041113;13400;11323.2;93.0984;6697.99;13418.4
