Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0091017600_27022023004113;P090549305;P090549305_1;A1;0;0;0 ;2200 ;2400 ;1500
0091017600_27022023004113;P090549305;P090549305_1;A2;0;0;1500 ;2200 ;2400 ;2955
0091017600_27022023004113;P090549305;P090549305_2;B1;2200;0;0 ;4400 ;2400 ;1500
0091017600_27022023004113;P090549305;P090549305_2;B2;2200;0;1500 ;4400 ;2400 ;2955
0091017600_27022023004113;P090549305;P090549305_3;C1;4400;0;0 ;6600 ;2400 ;1500
0091017600_27022023004113;P090549305;P090549305_3;C2;4400;0;1500 ;6600 ;2400 ;2955
0091017600_27022023004113;P090549305;P090549305_4;D1;6600;0;0 ;8800 ;2400 ;1500
0091017600_27022023004113;P090549305;P090549305_4;D2;6600;0;1500 ;8800 ;2400 ;2955
0091017600_27022023004113;P090549305;P090549305_5;E1;8800;0;0 ;11000 ;2400 ;1500
0091017600_27022023004113;P090549305;P090549305_5;E2;8800;0;1500 ;11000 ;2400 ;2955
0091017600_27022023004113;P090549305;P090549305_6;F1;11000;0;0 ;13200 ;2400 ;1500
0091017600_27022023004113;P090549305;P090549305_6;F2;11000;0;1500 ;13200 ;2400 ;2955
0091017600_27022023007630;P090549107;P090549107_1;A1;0;0;0 ;2200 ;2400 ;1500
0091017600_27022023007630;P090549107;P090549107_1;A2;0;0;1500 ;2200 ;2400 ;2955
0091017600_27022023007630;P090549107;P090549107_2;B1;2200;0;0 ;4400 ;2400 ;1500
0091017600_27022023007630;P090549107;P090549107_2;B2;2200;0;1500 ;4400 ;2400 ;2955
0091017600_27022023007630;P090549107;P090549107_3;C1;4400;0;0 ;6600 ;2400 ;1500
0091017600_27022023007630;P090549107;P090549107_3;C2;4400;0;1500 ;6600 ;2400 ;2955
0091017600_27022023007630;P090549107;P090549107_4;D1;6600;0;0 ;8800 ;2400 ;1500
0091017600_27022023007630;P090549107;P090549107_4;D2;6600;0;1500 ;8800 ;2400 ;2955
0091017600_27022023007630;P090549107;P090549107_5;E1;8800;0;0 ;11000 ;2400 ;1500
0091017600_27022023007630;P090549107;P090549107_5;E2;8800;0;1500 ;11000 ;2400 ;2955
0091017600_27022023003888;P090549107;P090549107_6;F1;11000;0;0 ;13200 ;2400 ;1500
0091017600_27022023007630;P090549107;P090549107_6;F2;11000;0;1500 ;13200 ;2400 ;2955
0091017600_27022023006934;Q090549107_1;Q090549107_1_1;A1;0;0;0 ;1750 ;1200 ;1470
0091017600_27022023006934;Q090549107_1;Q090549107_1_1;A2;0;0;1470 ;1750 ;1200 ;2895
0091017600_27022023006934;Q090549107_1;Q090549107_1_2;B1;0;1240;0 ;1750 ;2440 ;1470
0091017600_27022023006934;Q090549107_1;Q090549107_1_2;B2;0;1240;1470 ;1750 ;2440 ;2895
0091017600_27022023006934;Q090549107_1;Q090549107_1_3;C1;1750;1240;0 ;3500 ;2440 ;1470
0091017600_27022023006934;Q090549107_1;Q090549107_1_3;C2;1750;1240;1470 ;3500 ;2440 ;2895
0091017600_27022023005250;Q090549107_1;Q090549107_1_4;D1;1750;0;0 ;3500 ;1200 ;1470
0091017600_27022023006934;Q090549107_1;Q090549107_1_4;D2;1750;0;1470 ;3500 ;1200 ;2895
0091017600_27022023007292;Q090549107_1;Q090549107_1_5;E1;3500;0;0 ;5100 ;1200 ;1500
0091017600_27022023007292;Q090549107_1;Q090549107_1_5;E2;3500;0;1500 ;5100 ;1200 ;2955
0091017600_27022023002301;Q090549107_1;Q090549107_1_6;F1;3500;1240;0 ;5100 ;2440 ;1500
0091017600_27022023002301;Q090549107_1;Q090549107_1_6;F2;3500;1240;1500 ;5100 ;2440 ;2955
0091017600_27022023002301;Q090549107_1;Q090549107_1_7;G1;5100;1240;0 ;6700 ;2440 ;1500
0091017600_27022023002301;Q090549107_1;Q090549107_1_7;G2;5100;1240;1500 ;6700 ;2440 ;2955
0091017600_27022023002301;Q090549107_1;Q090549107_1_8;H1;5100;0;0 ;6700 ;1200 ;1500
0091017600_27022023002301;Q090549107_1;Q090549107_1_8;H2;5100;0;1500 ;6700 ;1200 ;2955
0091017600_27022023002301;Q090549107_1;Q090549107_1_9;I1;6700;0;0 ;8300 ;1200 ;1500
0091017600_27022023002301;Q090549107_1;Q090549107_1_9;I2;6700;0;1500 ;8300 ;1200 ;2955
0091017600_27022023002301;Q090549107_1;Q090549107_1_10;J1;6700;1240;0 ;8300 ;2440 ;1500
0091017600_27022023002301;Q090549107_1;Q090549107_1_10;J2;6700;1240;1500 ;8300 ;2440 ;2955
0091017600_27022023002301;Q090549107_1;Q090549107_1_11;K1;8300;1240;0 ;9900 ;2440 ;1500
0091017600_27022023002301;Q090549107_1;Q090549107_1_11;K2;8300;1240;1500 ;9900 ;2440 ;2955
0091017600_27022023002301;Q090549107_1;Q090549107_1_12;L1;8300;0;0 ;9900 ;1200 ;1500
0091017600_27022023002301;Q090549107_1;Q090549107_1_12;L2;8300;0;1500 ;9900 ;1200 ;2955
0091017600_27022023004441;Q090549107_1;Q090549107_1_13;M1;9900;0;0 ;10900 ;1200 ;975
0091017600_27022023004441;Q090549107_1;Q090549107_1_13;M2;9900;0;975 ;10900 ;1200 ;1905
0091017600_27022023004441;Q090549107_1;Q090549107_1_13;M3;9900;0;1905 ;10900 ;1200 ;2835
0091017600_27022023004441;Q090549107_1;Q090549107_1_14;N1;9900;1240;0 ;10900 ;2440 ;975
0091017600_27022023004441;Q090549107_1;Q090549107_1_14;N2;9900;1240;975 ;10900 ;2440 ;1905
0091017600_27022023006000;Q090549107_1;Q090549107_1_14;N3;9900;1240;1905 ;10900 ;2440 ;2610
0091017600_27022023001582;Q090549107_1;Q090549107_1_15;O1;10900;1240;0 ;12500 ;2440 ;930
0091017600_27022023003188;Q090549107_1;Q090549107_1_15;O2;10900;1240;930 ;12500 ;2440 ;1815
0091017600_27022023001582;Q090549107_1;Q090549107_1_15;O3;10900;1240;1815 ;12500 ;2440 ;2700
0091017600_27022023001582;Q090549107_1;Q090549107_1_16;P1;10900;0;0 ;12500 ;1200 ;930
0091017600_27022023001582;Q090549107_1;Q090549107_1_16;P2;10900;0;930 ;12500 ;1200 ;1815
0091017600_27022023001582;Q090549107_1;Q090549107_1_16;P3;10900;0;1815 ;12500 ;1200 ;2700
0091017600_27022023006000;Q090549107_1;Q090549107_1_17;Q1;12500;0;0 ;13500 ;1200 ;750
0091017600_27022023006000;Q090549107_1;Q090549107_1_17;Q2;12500;0;750 ;13500 ;1200 ;1455
0091017600_27022023006000;Q090549107_1;Q090549107_1_17;Q3;12500;0;1455 ;13500 ;1200 ;2160
0091017600_27022023006000;Q090549107_1;Q090549107_1_17;Q4;12500;0;2160 ;13500 ;1200 ;2865
0091017600_27022023001070;Q090549107_1;Q090549107_1_18;R1;12500;1240;0 ;13500 ;2440 ;750
0091017600_27022023001070;Q090549107_1;Q090549107_1_18;R2;12500;1240;750 ;13500 ;2440 ;1455
0091017600_27022023001070;Q090549107_1;Q090549107_1_18;R3;12500;1240;1455 ;13500 ;2440 ;2160
0091017600_27022023001492;Q090549107_1;Q090549107_1_18;R4;12500;1240;2160 ;13500 ;2440 ;2865
0091017600_27022023007897;P090549203;P090549203_1;A1;0;1240;0 ;1480 ;2440 ;1500
0091017600_27022023007897;P090549203;P090549203_1;A2;0;1240;1500 ;1480 ;2440 ;2955
0091017600_27022023006563;P090549203;P090549203_2;B1;0;0;0 ;1600 ;1200 ;1500
0091017600_27022023006563;P090549203;P090549203_2;B2;0;0;1500 ;1600 ;1200 ;2955
0091017600_27022023006563;P090549203;P090549203_3;C1;1480;1240;0 ;3080 ;2440 ;1500
0091017600_27022023006563;P090549203;P090549203_3;C2;1480;1240;1500 ;3080 ;2440 ;2955
0091017600_27022023006563;P090549203;P090549203_4;D1;1600;0;0 ;3200 ;1200 ;1500
0091017600_27022023006563;P090549203;P090549203_4;D2;1600;0;1500 ;3200 ;1200 ;2955
0091017600_27022023002869;P090549203;P090549203_5;E1;3080;1240;0 ;4680 ;2440 ;930
0091017600_27022023002869;P090549203;P090549203_5;E2;3080;1240;930 ;4680 ;2440 ;1815
0091017600_27022023002869;P090549203;P090549203_5;E3;3080;1240;1815 ;4680 ;2440 ;2700
