Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P090549305;P090549305_1;A;0;0;0;2200;2400;2955
P090549305;P090549305_2;B;2200;0;0;4400;2400;2955
P090549305;P090549305_3;C;4400;0;0;6600;2400;2955
P090549305;P090549305_4;D;6600;0;0;8800;2400;2955
P090549305;P090549305_5;E;8800;0;0;11000;2400;2955
P090549305;P090549305_6;F;11000;0;0;13200;2400;2955
P090549107;P090549107_1;A;0;0;0;2200;2400;2955
P090549107;P090549107_2;B;2200;0;0;4400;2400;2955
P090549107;P090549107_3;C;4400;0;0;6600;2400;2955
P090549107;P090549107_4;D;6600;0;0;8800;2400;2955
P090549107;P090549107_5;E;8800;0;0;11000;2400;2955
P090549107;P090549107_6;F;11000;0;0;13200;2400;2955
Q090549107_1;Q090549107_1_1;A;0;0;0;1000;1200;2865
Q090549107_1;Q090549107_1_2;B;0;1240;0;1000;2440;2610
Q090549107_1;Q090549107_1_3;C;1000;1240;0;2600;2440;2700
Q090549107_1;Q090549107_1_4;D;1000;0;0;2600;1200;2700
Q090549107_1;Q090549107_1_5;E;2600;0;0;4200;1200;2700
Q090549107_1;Q090549107_1_6;F;2600;1240;0;4200;2440;2955
Q090549107_1;Q090549107_1_7;G;4200;1240;0;5800;2440;2955
Q090549107_1;Q090549107_1_8;H;4200;0;0;5800;1200;2955
Q090549107_1;Q090549107_1_9;I;5800;0;0;7400;1200;2955
Q090549107_1;Q090549107_1_10;J;5800;1240;0;7400;2440;2955
Q090549107_1;Q090549107_1_11;K;7400;1240;0;9000;2440;2955
Q090549107_1;Q090549107_1_12;L;7400;0;0;9000;1200;2955
Q090549107_1;Q090549107_1_13;M;9000;0;0;10750;1200;2895
Q090549107_1;Q090549107_1_14;N;9000;1240;0;10750;2440;2895
Q090549107_1;Q090549107_1_15;O;10750;1240;0;12500;2440;2895
Q090549107_1;Q090549107_1_16;P;10750;0;0;12500;1200;2895
Q090549107_1;Q090549107_1_17;Q;12500;0;0;13500;1200;2835
Q090549107_1;Q090549107_1_18;R;12500;1240;0;13500;2440;2865
Q090549107_2;Q090549107_2_1;A;0;0;0;1600;1200;2955
Q090549107_2;Q090549107_2_2;B;0;1240;0;1600;2440;2955
Q090549107_2;Q090549107_2_3;C;1600;1240;0;3200;2440;2955
Q090549107_2;Q090549107_2_4;D;1600;0;0;3080;1200;2955
Q090549107_2;Q090549107_2_5;E;3080;0;0;4680;1200;2700
Q090549107_2;Q090549107_2_6;F;3200;1240;0;4800;2440;2955
Q090549107_2;Q090549107_2_7;G;4680;0;0;6280;1200;2700
Q090549107_2;Q090549107_2_8;H;4800;1240;0;6400;2440;2700
Q090549107_2;Q090549107_2_9;I;6280;0;0;7880;1200;2700
Q090549107_2;Q090549107_2_10;J;6400;1240;0;8000;2440;2700
Q090549107_2;Q090549107_2_11;K;7880;0;0;9480;1200;2700
Q090549107_2;Q090549107_2_12;L;8000;1240;0;9600;2440;2700
Q090549107_2;Q090549107_2_13;M;9480;0;0;11080;1200;2700
Q090549107_2;Q090549107_2_14;N;9600;1240;0;11200;2440;2700
Q090549107_2;Q090549107_2_15;O;11080;0;0;12680;1200;2955
