Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P089549203;13200;2470;93.6144;4857.63;6665.29
Q090549101_1;12950;6324.18;87.417;5840.96;9397.36
P089549305;13200;2560.84;93.6144;4982.28;6613.88
P090549305;13200;2899.8;93.6144;5107.27;6810.22
Q089549101_2;5820;1814.22;26.4586;5435.28;5350.34
Q089549101_1;13150;4662.78;82.7001;5930.69;7633.55
P089549101;13200;2777;93.6144;4991.62;6819.4
P089549501;13200;7192.39;83.3706;6604.09;9394.73
P089549103;13430;4079.36;86.773;5817.07;7179.8
P089549301;13150;4855.16;91.539;6185.24;7535.46
P089549503;13400;6383.43;91.5732;5806.92;9495.45
P089549201;13300;4816.11;92.4345;5949.76;7765.13
P089549105;13400;6720.17;91.1801;5499.17;10183.4
P089549303;13200;3109.13;93.6144;4900.32;7255.7
P089549505;13400;5290.94;92.2671;5529.86;8719.13
P089549107;13200;2715.6;93.6144;4809.68;6965.61
P090549101;13430;6926.59;89.4503;5453.58;10441.8
P090549501;13200;4910.82;91.944;4843.61;9122.11
P090549103;12640;4977.05;78.8276;6445.49;7360.37
P090549301;13500;7603.94;84.897;6801.01;9581.55
P090549503;13000;4835.1;89.6328;4980.83;8889.8
P090549201;13150;4884.42;89.955;6579.72;7114.57
P090549105;13150;4488.81;91.2339;4818.38;8728.89
P090549303;13150;4637.22;88.1235;6073.87;7444.61
P090549505;13400;5218.7;86.85;6663.19;7353.59
P090549203;13150;4833.41;91.539;5810.64;7941.18
Q090549107_1;13500;8109.42;87.066;6740;10156.7
P090549107;13480;6209.84;94.3553;5193.16;10022.2
Q107549101_1;12380;4629.18;72.8775;6138.37;7362.97
P108549101;13360;6394.95;84.874;5974.92;9315.26
P108549103;11970;3228.02;67.2649;5673.8;6491.95
P109549101;13500;7770.94;87.7566;6410.16;10194.6
P108549107;13430;6315.8;93.0548;5528.47;9745.58
P107549101;13000;3397.85;87.534;4699.36;7773.75
P107549501;13400;6158.34;84.8529;5618.66;9485.19
P107549301;12400;3690;69.4701;6167.67;6390.34
P107549503;12600;3276.76;88.8696;5020.32;7286.4
P107549201;12550;4475.03;73.7703;5667.71;7745.9
P107549105;13150;4873.85;86.1327;5070.98;8825.68
P107549505;13400;5689.07;86.6583;6318.95;8216.79
P107549203;13400;6455.6;87.5016;5857.58;9509.81
P107549107;13500;4487.05;92.0673;4335.19;9278.52
P107549305;13200;3052.04;93.6144;4995.61;7089.87
P108549501;13480;4292.45;90.7164;4994.6;8331.44
P108549301;12350;5205.25;73.125;6409.87;7629.21
P108549201;12400;4829.04;84.0096;6100.4;7606.16
P108549105;13150;4772.49;91.1331;5359.47;8395.11
P108549303;12600;3292.8;88.38;5359.18;6915.75
P108549505;13500;7474.29;88.2297;6229.94;10103.6
P108549203;13200;2863.53;93.6144;4995.54;6901.45
P108549305;13200;2802.13;93.6144;5170.42;6640.48
P109549103;13420;4604.35;84.2286;5605.67;7946.03
P109549301;13480;4383.03;91.1223;4751.01;8699.99
P109549201;13400;5727.35;87.3315;5490.26;9200.72
P109549303;13200;2863.53;93.6144;5013.87;6880.53
P109549505;13350;7502.53;86.4666;6782.58;9501.18
P109549107;13430;6763.56;90.6995;5460.33;10271.1
P109549305;13200;2863.53;93.6144;4836.86;7082.52
Q093549101_1;13006;4185.29;60.4207;5976.79;7103.47
P093549101;13200;3047.73;93.6144;5069.58;7001.16
P093549501;13430;5799.93;82.4778;6219.48;8441.16
P093549103;13430;3964.68;78.2389;5376.13;7568.29
P093549301;13400;5309.43;81.9639;6023.15;8174.7
P093549201;13000;4349.95;83.2239;5844.12;7419.52
P093549105;11550;3201.59;74.8359;5455.38;6714.76
P093549303;13400;6099.65;83.2815;5707.75;9324.84
P093549505;13150;5017;90.1539;6022.54;7882.97
P093549203;13480;4317.6;88.722;4873.06;8495.28
P093549107;13200;2531.4;93.6144;4853.4;6731.52
P093549305;13350;7524.01;90.7137;6411.28;9946.37
P094549101;13430;6855.26;87.2694;5907.89;9852.06
P094549501;12600;3158.36;88.8696;4820.14;7396.44
P094549103;12980;4007.55;76.1454;5759.18;7174.05
P094549301;13430;6232.17;84.9807;6433.69;8628.96
P094549503;12750;3519.33;89.7651;5212.59;7309.56
P094549201;13400;5335.65;91.4535;4645.51;9773
P094549505;13000;3922.8;86.7663;4995.47;7960.79
P094549203;13500;7381.02;85.7414;6560.81;9632.75
P094549107;13400;6540.06;93.312;5050.23;10515.6
P094549305;13200;2715.6;93.6144;4809.68;6965.61
P086549305;13480;4459.7;92.0072;4863.12;8648.73
P087549201;13400;5564.72;91.8594;4688.25;9953.3
Q086549101_2;7610;1862.73;44.7595;5262.97;5595.48
Q086549101_1;13480;5496.13;79.047;6297.55;8048.28
P086549101;13200;2863.53;93.6144;5082.27;6802.47
P086549501;13400;5508.91;90.6939;4823.18;9743.51
P086549103;13380;5752.72;82.5577;5561.99;9144.23
P086549503;13400;5520.79;90.288;5540.13;8937.26
P086549201;13150;4832.44;90.6435;5720.23;8043.39
P086549105;13150;4589.5;89.3583;5238.88;8349.73
P086549303;13350;7626.63;89.0226;6222.17;10264.8
P086549107;13200;2715.6;93.6144;4809.68;6965.61
P087549101;13350;7531.73;88.7238;6294.2;10087.7
P087549501;13200;2777;93.6144;4991.62;6819.4
P087549103;12970;4627.15;72.5981;6315.26;7159.08
P087549301;13150;4938.18;92.0286;4913.66;9069.53
P087549503;13480;4058.56;88.5348;4865.29;8245.12
P087549105;13400;6784.94;90.6264;6338.79;9290.02
P087549505;13500;4590.77;93.1977;4363.59;9349.83
P087549203;13480;4682.38;93.7541;4833.53;8905.17
Q082549101_5;12800;5596.48;71.7174;7367.99;6927.1
Q082549101_4;13250;7727.51;87.3855;6716.39;9801.69
Q082549101_3;13200;3614.32;93.6144;5565.81;7001.48
Q082549101_2;13200;2347.2;93.6144;4835.06;6568.24
Q082549101_1;13200;3084;93.6144;5063.55;7044.31
P082549101;12950;5979.19;87.9003;6060.92;8801.37
P082549103;12230;5571.5;78.3835;5758.82;8738.42
P082549503;13200;2654.2;93.6144;4860.45;6846.27
P082549107;13200;2470;93.6144;4873.14;6647.59
P082549305;13480;5831.44;89.3189;5329.94;9487.76
P083549101;13500;7187.88;87.4161;6493.76;9516.12
P083549501;13350;4950.81;91.9962;5303.77;8636.99
P083549103;13420;4956.94;88.9503;5627.79;8273.37
P083549301;13430;6170.56;87.2703;6439.61;8560.59
P083549503;13150;4768.41;92.5182;6235.37;7391.51
P083549201;13400;5618.3;92.0295;4783.68;9897.98
P083549105;13480;4589.83;89.4312;4946.76;8683.42
P083549303;13150;4588.36;92.5182;5185.34;8409.69
P083549505;13400;6550.34;90.018;6796.03;8533.65
P083549203;13500;7606.28;90.2241;6381.02;10063.2
P083549107;13480;4110.63;91.6119;4682.04;8506.3
P083549305;13200;2961.2;93.6144;5103.04;6876.45
P062549505;13500;4673.73;91.746;5807.48;7785.11
Q067549101_2;13150;4205.1;88.9686;4525.56;8779.33
P062549305;13200;3022.6;93.6144;5083.29;6960.38
P067549203;13480;4291.85;86.0717;4651.37;8722.51
P068549101;13450;6215.19;88.6221;4658.45;10637.8
P067549305;13200;2715.6;93.6144;4809.68;6965.61
P068549303;13400;6078.01;93.5136;4459.53;10727.6
P062549103;13240;5178.24;78.598;6229.38;7808.17
P062549503;13400;6447.98;90.9;7228.05;7938.29
P062549201;13400;5796.07;94.4748;4908.28;9933.57
P062549303;13200;3536.4;93.6144;5452.23;7053.17
P062549203;13200;2715.6;93.6144;5088.93;6646.94
P062549107;13480;4108.08;95.1106;5502.01;7568.05
Q067549101_1;13500;8683.46;89.298;6437.07;11076.4
P067549101;13400;6296.38;92.5337;5985.84;9204.23
P067549501;13150;5288.42;86.1822;6475.59;7637.39
P067549103;13340;6531.75;82.0772;6000.13;9423.29
P067549301;13200;2924.93;93.6144;5006.82;6949.98
P067549201;13400;6241.3;91.4904;5720.5;9451.94
P067549303;13400;6631.71;89.3448;6628.47;8806.22
P067549505;13200;2347.2;93.6144;4835.06;6568.24
P067549107;13400;5814.29;94.8168;5831.05;8898.77
P068549103;12660;6107.76;69.5488;5981.5;9020.55
P068549301;13400;6264.99;89.6976;6896.44;8133.71
P068549503;13200;3231.93;93.6144;5015.97;7246.53
P068549105;13250;6774.58;91.3383;6349.28;9267.7
P068549505;13400;5880.25;94.0212;5486.43;9357.99
P068549203;13200;2347.2;93.6144;4835.06;6568.24
P068549107;13200;3084;93.6144;5063.55;7044.31
P068549305;13400;6792.78;91.3896;6883.61;8676.14
P069549101;13380;8141.62;89.1776;6708.49;10224.8
P069549501;12800;6841.28;86.9249;6102.98;9615.46
P069549103;13340;6669.13;86.1336;5742.45;9854.73
P069549301;13200;3084;93.6144;5063.55;7044.31
P069549503;13200;2347.2;93.6144;4835.06;6568.24
P100549103;12770;6034.49;71.3496;6223.3;8671.36
P101549101;13150;5065.92;88.6231;5426.2;8612.4
Q100549101_2;5690;2152.41;24.2665;5751.46;5327.72
Q100549101_1;13400;5226.47;85.5;5924.21;8204.64
P100549101;13350;4382.15;90.7938;4574.68;8900.33
P100549501;13200;2777;93.6144;4898.53;6925.62
P100549301;13300;5051.31;91.539;4885.78;9214.48
P100549503;12600;3231.4;88.38;5316.86;6902.64
P100549201;13430;6915.91;87.4899;5839.8;9990.41
