Id truck; Loaded length; Weight of loaded items; Volumevof loaded items; emm; emr
P088652003;13370;16099.3;60.7078;10825.4;13484.5
P089652003;13420;21786.2;77.3033;9984.64;20130.8
P080652003;1010;201.9;0.937906;4311.14;5020.81
P081652003;5630;6598.24;25.2733;9292.28;5732.97
P082652003;8840;10542.6;41.5727;10712;8057.32
P083652003;9170;11163.7;42.887;10788.5;8590.98
P086652003;10220;14401.8;52.4456;11650.6;10845.4
P087652003;12350;17488.2;61.7455;11044.5;14623.4
P090652003;5630;5921.04;21.8215;9029.91;5355.17
P093652003;10400;13734.2;51.3775;11822;9982.19
P094652003;12020;15803.3;55.435;10977.8;13014.7
P095652003;10790;13877.7;50.1651;10879.1;11201.6
P101652003;12430;15507.4;55.704;10539.1;13219.3
P102652003;13390;18595;69.0322;10576.8;16263.9
P103652003;13200;21397.2;71.9043;10572.2;19071.4
P107652003;12140;16158.4;57.5497;11603.8;12655.4
P108652003;13250;19646.4;69.7096;9950.95;18029.5
P109652003;13390;18265.8;69.9786;10181.3;16386
P100652003;11800;15314.6;53.8375;11556.2;11865.9
P104652003;4840;6140.41;22.7838;9342.63;5217.69
P110652003;13380;22887.9;75.4777;9854.26;21381.4
P111652003;5630;5097.2;20.3498;8338.77;5320.02
P114652003;10440;14224.4;50.7136;11414.6;10937.3
P087652001;13380;19618.1;67.3616;10492.6;17383.1
P088652001;13170;21548.7;74.0801;10085.6;19778.1
P081652001;6600;8626.84;36.7359;10253.6;6664.54
P082652001;8400;13327.3;48.5864;11898.6;9487.88
P083652001;11140;16698.7;59.2671;11472.8;13345.1
P086652001;10950;17631.3;58.7511;11980.2;13698.8
Q089652001_1;7550;12088.4;29.528;11487.4;8718.21
P089652001;13200;21569.5;88.218;11390;18310.4
P093652001;11180;17303.4;59.8129;11690.4;13701.5
P094652001;13350;19787;68.6545;10602.7;17426.3
P095652001;10940;15146.6;53.876;11550.9;11703.9
P100652001;12600;19566.1;66.3604;10672.5;17125.8
P101652001;13310;23141.1;78.5602;10669.1;20704.7
P102652001;13340;22838.6;77.485;9995.58;21170.8
P103652001;13280;22253.4;83.4183;11807.8;18517.5
P107652001;12950;19571.5;68.2639;10257.3;17605
P108652001;13320;20858.7;71.8515;9705.11;19522.4
P109652001;13340;21664.7;74.7528;10275.6;19677.3
Q110652001_1;7310;11489.3;28.7472;11978.6;7558.51
P110652001;13200;21194.3;87.372;11155.4;18202.9
P114652001;12610;18260.2;64.5765;11340.3;15057.9
P066590903;4030;1984.46;19.0432;5802.3;5101.76
P068590903;7830;4433.27;33.0706;6755.27;6463.08
P072590903;4020;1591.97;15.0399;5432.08;5131.73
P073590903;7040;4447.82;33.0053;7067.59;6121.23
P075590903;7030;3229.98;31.2855;6430.19;5630.75
P079590903;3810;1573.46;15.1915;5440.33;5103.81
P080590903;7040;4577.89;33.8206;7107.19;6206.12
P082590903;5830;2175.93;23.0265;5718.01;5389.41
P086590903;4020;2817.54;16.8715;6407.94;5243.71
P087590903;7030;3188.23;31.2598;6237.19;5809.24
P089590903;7050;4285.77;31.5462;6796.66;6268.35
P093590903;5830;2336.65;21.0405;5926.05;5312.72
P094590903;6030;2991;31.3692;6352.99;5479.87
P100590903;5040;2869.85;17.9429;6442.81;5256.23
P101590903;7830;3232.51;32.1886;6263.54;5823.47
P103590903;7840;4402.32;33.153;6826.58;6350.76
P107590903;4820;1775.22;17.8402;5534.07;5198.6
P108590903;7040;4361.59;31.0976;7022.79;6086.12
P110590903;8650;3753.55;36.2534;6354.94;6240.2
P114590903;4810;2849.23;18.1021;6340.58;5352.27
P073550301;3620;1815.16;16.9675;5728.62;5016.53
P075550301;4630;3318.72;30.5683;6776.68;5324.1
P080550301;3620;2158.21;19.8324;6002.99;5046.49
P082550301;4630;3016.57;28.472;6534.52;5298.29
P087550301;3620;1901.01;17.6472;5802.93;5017.59
P089550301;5640;3770.27;34.7036;6936.96;5592.75
P094550301;4630;3115.02;28.9739;6612.59;5307.66
P101550301;3620;2024.16;18.149;5912.69;5015.48
P103550301;4630;2470.41;22.6973;6170.97;5166.99
P108550301;3620;1844.56;17.0564;5752.11;5019.12
P110550301;5640;3761.27;34.7036;6927.87;5594.12
P073354601;8000;8738.16;52.2;9491.68;7645.35
P075354601;8000;8548.2;51.03;9539.67;7400.62
P079354601;4000;4369.08;26.1;7803.03;5203.26
P080354601;8000;8738.16;52.2;9578.95;7545.77
P082354601;10000;11207.6;66.924;9740.39;9831.01
P086354601;7000;7408.44;44.226;9238.6;6604.43
P088354601;4000;4369.08;26.1;7803.03;5203.26
P089354601;12000;12917.3;77.13;9482.95;11834.4
P093354601;5000;5698.8;34.02;8557.9;5671.56
