Id truck; Id stack; Stack code; X origin; Y origin; Z origin; X extremity; Y extremity; Z extremity
P094652003;P094652003_1;A;0;830;0;570;1610;1771
P094652003;P094652003_2;B;570;620;0;1570;1820;2835
P094652003;P094652003_3;C;1570;1240;0;2570;2440;2835
P094652003;P094652003_4;D;1570;0;0;2570;1200;2835
P094652003;P094652003_5;E;2570;0;0;3580;1206;2880
P094652003;P094652003_6;F;2570;1223;0;3570;2423;2865
P094652003;P094652003_7;G;3570;1240;0;4570;2440;2835
P094652003;P094652003_8;H;3580;20;0;4580;1220;2835
P094652003;P094652003_9;I;4570;1240;0;5570;2440;2835
P094652003;P094652003_10;J;4580;20;0;6180;1220;2865
P094652003;P094652003_11;K;5570;1440;0;6140;2220;1771
P094652003;P094652003_12;L;6140;1660;0;6710;2440;478
P094652003;P094652003_13;M;6180;0;0;7190;1206;2295
P094652003;P094652003_14;N;6710;1240;0;7710;2440;2835
P094652003;P094652003_15;O;7190;0;0;8190;1200;2610
P094652003;P094652003_16;P;7710;1240;0;8710;2440;2610
P094652003;P094652003_17;Q;8190;0;0;9190;1200;2835
P094652003;P094652003_18;R;8710;1240;0;9710;2440;2835
P094652003;P094652003_19;S;9190;0;0;10190;1200;2385
P094652003;P094652003_20;T;9710;1240;0;11310;2440;2865
P094652003;P094652003_21;U;10190;0;0;11790;1200;750
P094652003;P094652003_22;V;11310;1200;0;12110;1800;2114
P094652003;P094652003_23;W;11310;1840;0;12110;2440;2114
P094652003;P094652003_24;X;11790;0;0;12590;600;2632
P094652003;P094652003_25;Y;11790;600;0;12590;1200;1596
P094652003;P094652003_26;Z;12110;1200;0;12910;1800;1596
P094652003;P094652003_27;AA;12110;1840;0;12910;2440;2114
P094652003;P094652003_28;AB;12590;0;0;13390;600;2114
P094652003;P094652003_29;AC;12590;600;0;13390;1200;1596
P093652003;P093652003_1;A;0;1234;0;1010;2440;2680
P093652003;P093652003_2;B;0;0;0;1000;1200;2835
P093652003;P093652003_3;C;1000;0;0;2000;1200;2835
P093652003;P093652003_4;D;1010;1240;0;2010;2440;2835
P093652003;P093652003_5;E;2000;0;0;2570;780;1340
P093652003;P093652003_6;F;2010;1240;0;3010;2440;2835
P093652003;P093652003_7;G;2570;0;0;3570;1200;2835
P093652003;P093652003_8;H;3010;1240;0;4010;2440;2835
P093652003;P093652003_9;I;3570;0;0;4570;1200;1455
P093652003;P093652003_10;J;4010;1240;0;5610;2440;2160
P093652003;P093652003_11;K;4570;0;0;5580;1206;2695
P093652003;P093652003_12;L;5580;0;0;6590;1206;2695
P093652003;P093652003_13;M;5610;1234;0;6620;2440;2695
P093652003;P093652003_14;N;6590;0;0;7600;1206;2725
P093652003;P093652003_15;O;6620;1206;0;7420;1806;2114
P093652003;P093652003_16;P;6620;1840;0;7420;2440;2114
P093652003;P093652003_17;Q;7420;1206;0;8220;1806;2114
P093652003;P093652003_18;R;7420;1840;0;8220;2440;1596
P093652003;P093652003_19;S;7600;0;0;8610;1206;2695
P093652003;P093652003_20;T;8220;1234;0;9230;2440;2695
P093652003;P093652003_21;U;8610;0;0;9620;1206;2340
P093652003;P093652003_22;V;9230;1206;0;10030;1806;560
P093652003;P093652003_23;W;9620;0;0;10620;1200;2700
P093652003;P093652003_24;X;10030;1240;0;11030;2440;1815
P093652003;P093652003_25;Y;10620;0;0;11630;1206;1155
P093652003;P093652003_26;Z;11030;1660;0;11600;2440;909
P093652003;P093652003_27;AA;11600;1206;0;12400;1806;2632
P093652003;P093652003_28;AB;11600;1840;0;12400;2440;2632
P093652003;P093652003_29;AC;11630;0;0;12630;1200;1905
P093652003;P093652003_30;AD;12400;1234;0;13410;2440;385
P093652003;P093652003_31;AE;12630;0;0;13430;600;2632
P093652003;P093652003_32;AF;12630;634;0;13430;1234;2632
P089652003;P089652003_1;A;0;830;0;570;1610;1771
P089652003;P089652003_2;B;570;1240;0;2170;2440;2865
P089652003;P089652003_3;C;570;0;0;1570;1200;2835
P089652003;P089652003_4;D;1570;20;0;2570;1220;2835
P089652003;P089652003_5;E;2170;1240;0;3170;2440;2835
P089652003;P089652003_6;F;2570;0;0;3570;1200;2835
P089652003;P089652003_7;G;3170;1240;0;4170;2440;2610
P089652003;P089652003_8;H;3570;0;0;4570;1200;2385
P089652003;P089652003_9;I;4170;1217;0;5180;2423;2779
P089652003;P089652003_10;J;4570;0;0;5570;1200;2835
P089652003;P089652003_11;K;5180;1240;0;6180;2440;2835
P089652003;P089652003_12;L;5570;0;0;6580;1206;385
P089652003;P089652003_13;M;6180;1240;0;7180;2440;2160
P089652003;P089652003_14;N;6580;0;0;7150;780;1340
P089652003;P089652003_15;O;7150;0;0;8750;1200;2865
P089652003;P089652003_16;P;7180;1234;0;8190;2440;2695
P089652003;P089652003_17;Q;8190;1234;0;9200;2440;2695
