Item ident;Id truck;Id stack;Item code;X origin;Y origin; Z origin; X extremity; Y extremity; Z extremity
0090015100_27022023005768;P082172427;P082172427_1;A1;0;0;0 ;1335 ;1140 ;1360
0090015100_27022023005768;P082172427;P082172427_1;A2;0;0;1360 ;1335 ;1140 ;2720
0090015100_27022023005768;P082172427;P082172427_2;B1;0;1300;0 ;1335 ;2440 ;1360
0090015100_27022023005768;P082172427;P082172427_2;B2;0;1300;1360 ;1335 ;2440 ;2720
0090015100_27022023005768;P082172427;P082172427_3;C1;1335;1300;0 ;2670 ;2440 ;1360
0090015100_27022023005768;P082172427;P082172427_3;C2;1335;1300;1360 ;2670 ;2440 ;2720
0090015100_27022023005768;P082172427;P082172427_4;D1;1335;0;0 ;2670 ;1140 ;1360
0090015100_27022023005768;P082172427;P082172427_4;D2;1335;0;1360 ;2670 ;1140 ;2720
0090015100_27022023005768;P082172427;P082172427_5;E1;2670;0;0 ;4005 ;1140 ;1360
0090015100_27022023005768;P082172427;P082172427_5;E2;2670;0;1360 ;4005 ;1140 ;2720
0090015100_27022023005768;P082172427;P082172427_6;F1;2670;1300;0 ;4005 ;2440 ;1360
0090015100_27022023005768;P082172427;P082172427_6;F2;2670;1300;1360 ;4005 ;2440 ;2720
0090015100_27022023007238;P082172427;P082172427_7;G1;4005;1240;0 ;5605 ;2440 ;1000
0090015100_27022023007238;P082172427;P082172427_7;G2;4005;1240;1000 ;5605 ;2440 ;1955
0090015100_27022023002897;P082172427;P082172427_7;G3;4005;1240;1955 ;5605 ;2440 ;2910
0090015100_27022023002897;P082172427;P082172427_8;H1;4005;0;0 ;5605 ;1200 ;1000
0090015100_27022023002897;P082172427;P082172427_8;H2;4005;0;1000 ;5605 ;1200 ;1955
0090015100_27022023002897;P082172427;P082172427_8;H3;4005;0;1955 ;5605 ;1200 ;2910
0090015100_27022023003620;P082172427;P082172427_9;I1;5605;0;0 ;7205 ;1200 ;1000
0090015100_27022023003620;P082172427;P082172427_9;I2;5605;0;1000 ;7205 ;1200 ;1955
0090015100_27022023003620;P082172427;P082172427_9;I3;5605;0;1955 ;7205 ;1200 ;2910
0090015100_27022023003649;P082172427;P082172427_10;J1;5605;1240;0 ;7205 ;2440 ;1000
0090015100_27022023003620;P082172427;P082172427_10;J2;5605;1240;1000 ;7205 ;2440 ;1955
0090015100_27022023003649;P082172427;P082172427_10;J3;5605;1240;1955 ;7205 ;2440 ;2910
0090015100_27022023004975;P082172427;P082172427_11;K1;7205;1240;0 ;8805 ;2440 ;1000
0090015100_27022023003649;P082172427;P082172427_11;K2;7205;1240;1000 ;8805 ;2440 ;1955
0090015100_27022023004063;P082172427;P082172427_11;K3;7205;1240;1955 ;8805 ;2440 ;2910
0090015100_27022023004063;P082172427;P082172427_12;L1;7205;0;0 ;8805 ;1200 ;1000
0090015100_27022023004063;P082172427;P082172427_12;L2;7205;0;1000 ;8805 ;1200 ;1955
0090015100_27022023004063;P082172427;P082172427_12;L3;7205;0;1955 ;8805 ;1200 ;2910
0090015100_27022023004809;P082172427;P082172427_13;M1;8805;0;0 ;10405 ;1200 ;1000
0090015100_27022023004211;P082172427;P082172427_13;M2;8805;0;1000 ;10405 ;1200 ;1955
0090015100_27022023004809;P082172427;P082172427_13;M3;8805;0;1955 ;10405 ;1200 ;2910
0090015100_27022023001632;P082172427;P082172427_14;N1;8805;1240;0 ;10405 ;2440 ;975
0090015100_27022023001632;P082172427;P082172427_14;N2;8805;1240;975 ;10405 ;2440 ;1905
0090015100_27022023001632;P082172427;P082172427_14;N3;8805;1240;1905 ;10405 ;2440 ;2835
0090015100_27022023006758;P082172427;P082172427_15;O1;10405;1240;0 ;12005 ;2440 ;1000
0090015100_27022023004809;P082172427;P082172427_15;O2;10405;1240;1000 ;12005 ;2440 ;1955
0090015100_27022023006758;P082172427;P082172427_15;O3;10405;1240;1955 ;12005 ;2440 ;2910
